IDs:;240814 01_240812A_elasticity;03_DNAJB6_00_439_uM_exchange_expansion_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
274.458;70.13587496;31.568;19.4
275.459;66.8101151139598;27.77;16.334
276.43;66.4798307986459;25.872;14.863
277.425;65.1150411943613;25.477;14.555
278.402;63.5156883046607;25.347;14.451
279.406;65.7833778035302;25.293;14.416
280.4;62.9250711646054;25.252;14.376
281.411;66.1732906974843;25.453;14.543
282.413;69.3002943705094;29.991;18.114
283.416;70.9438981298969;31.535;19.378
284.418;69.83271404568;31.546;19.38
285.406;67.3137255844848;29.397;17.627
289.157;63.8080843077641;24.468;13.789
290.146;65.3415508015668;25.118;14.281
291.175;64.4803148744499;25.319;14.432
292.169;67.9439286383302;28.501;16.916
293.153;70.0872978148696;31.616;19.439
294.151;70.0390231403007;31.621;19.442
295.218;69.8239315975413;31.623;19.443
296.223;62.6506802923802;23.64;13.166
297.237;64.5929783487707;25.042;14.223
298.245;64.2189783487707;25.044;14.223
299.294;63.8090854314479;25.1;14.263
300.291;64.1039832672491;25.132;14.289
301.391;64.9732567713072;25.276;14.401
302.383;68.5528658532663;29.874;18.015
303.384;69.3319149810374;31.67;19.476
304.379;69.7107324216849;31.668;19.478
305.367;71.6415715367827;31.178;19.092
306.367;62.2723610548989;24.91;14.111
307.355;63.5421429865906;25.265;14.386
308.398;64.0377083013382;25.17;14.316
309.432;64.1914882747443;25.161;14.312
310.444;64.0587083013382;25.169;14.316
311.432;65.2724210598136;25.586;14.639
312.435;68.8993384248521;30.125;18.218
313.418;69.294467958241;31.649;19.459
314.422;69.8322851410634;31.647;19.461
315.424;64.7664180501141;28.892;17.203
316.422;62.5685013181645;25.878;14.848
317.43;66.1063649114664;25.375;14.479
318.443;64.5911448205523;25.295;14.412
319.446;63.45752852199;25.297;14.41
320.455;63.3537612477454;25.304;14.414
321.458;65.2753911178182;25.744;14.754
322.469;68.9132823943952;30.316;18.373
323.461;69.0819996059569;31.699;19.497
324.46;69.5739996059569;31.694;19.497
325.481;66.6509244123527;27.804;16.357
326.633;63.1821448205523;25.3;14.412
327.66;63.691845281505;25.206;14.341
328.663;66.814602768863;25.254;14.394
329.654;63.819845281505;25.204;14.341
330.698;63.9924571880446;25.246;14.374
331.696;65.5244854786477;26.823;15.588
332.695;69.1089127441818;31.316;19.184
333.7;69.1998154321343;31.753;19.543
334.694;69.5048154321343;31.75;19.543
335.691;63.3378419520983;25.088;14.249
336.676;59.442348846009;25.053;14.206
337.672;65.8446133944678;25.136;14.296
338.673;61.0047880474803;25.207;14.331
339.66;63.1831958950288;25.239;14.365
340.669;64.9720646148255;25.275;14.402
341.681;66.12932227867;26.794;15.57
342.68;69.19110369125;31.271;19.15
343.689;69.2783751730227;31.815;19.592
344.701;69.4922847320058;31.813;19.593
345.684;61.8085543606035;23.763;13.252
346.679;65.768657245937;26.846;15.606
347.716;63.9481599689933;25.556;14.608
348.733;63.659255275965;25.424;14.506
349.737;63.5425035340282;25.381;14.473
350.732;64.2495504253766;25.331;14.436
351.73;65.74194222912;26.991;15.72
352.744;69.1129668387588;31.579;19.399
353.732;69.7176334935603;31.713;19.512
354.727;69.3673604706412;31.719;19.515
355.862;64.3050920226867;27.863;16.392
356.872;64.2191864780014;25.884;14.861
357.869;63.4856235833498;25.529;14.584
358.899;63.36217525248;25.391;14.48
359.924;63.4302138728913;25.341;14.443
360.923;62.1437204209575;25.302;14.409
361.925;66.8973041770987;27.861;16.405
362.912;68.6423599521035;31.741;19.526
363.897;69.0864508717187;31.734;19.525
364.888;69.2404508717188;31.733;19.525
365.901;61.178643303594;25.39;14.467
366.901;62.2769340794374;25.392;14.476
367.908;64.4669123520973;25.293;14.408
368.91;63.9309123520973;25.295;14.408
369.895;62.5956803984762;25.292;14.404
370.895;63.67078648896;25.337;14.44
371.875;66.1731977646817;27.693;16.269
372.872;69.3414543542193;31.768;19.558
373.867;69.4509103743034;31.777;19.564
374.863;69.2068197359288;31.782;19.565
375.87;66.3096428947117;27.848;16.388
376.853;63.2238626497401;25.836;14.818
377.862;63.5722906974843;25.474;14.543
378.902;63.6989340794374;25.386;14.476
379.911;63.9399340794374;25.384;14.476
380.931;63.7207443249403;25.385;14.477
381.95;66.3281431982504;28.064;16.561
382.954;68.808109632017;31.837;19.606
383.94;69.416109632017;31.831;19.606
384.933;69.2090192882502;31.834;19.607
388.604;65.6545098506663;27.945;16.462
