IDs:;DNAJB6_meas3;01_DNAJB6_00_439_uM_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
305.663;66.0183951549667;50.228;38.799
306.667;65.9515200926264;50.229;38.797
307.667;65.9243951549667;50.232;38.799
308.673;65.868207677783;50.237;38.802
309.681;65.8106449926005;50.233;38.795
310.693;65.7785825473231;50.237;38.796
311.676;65.7524576285082;50.241;38.798
312.669;65.7115825473232;50.242;38.796
313.661;65.7272701796061;50.25;38.801
314.658;65.6375825473232;50.246;38.796
315.675;65.5733951549667;50.25;38.799
316.663;65.5325825473231;50.25;38.796
317.675;65.4977698549048;50.25;38.793
318.672;65.4632701796061;50.26;38.801
319.66;65.4272701796061;50.262;38.801
320.655;65.3743951549667;50.262;38.799
321.64;65.3593951549667;50.265;38.799
322.643;65.3304576285082;50.265;38.798
323.656;65.2782701796061;50.27;38.801
324.655;65.241332672;50.272;38.8
325.645;65.2115200926264;50.271;38.797
326.651;65.1894576285082;50.274;38.798
327.632;65.204332672;50.278;38.8
328.622;65.1225200926264;50.277;38.797
329.613;65.1440201157195;50.288;38.805
330.612;65.063207677783;50.286;38.802
331.595;65.0808950271625;50.294;38.807
332.586;64.9763951549667;50.287;38.799
333.59;64.9592701796061;50.291;38.801
334.584;64.9630201157195;50.298;38.805
335.582;64.9091451665288;50.3;38.803
336.581;64.8758950271625;50.305;38.807
337.602;64.8192701796061;50.3;38.801
338.596;64.8318324687237;50.308;38.808
339.598;64.750207677783;50.305;38.802
340.605;64.7838324687237;50.314;38.808
341.615;64.673332672;50.307;38.8
342.598;64.6573951549667;50.308;38.799
343.586;64.614332672;50.311;38.8
344.579;64.6102701796061;50.312;38.801
345.581;64.561207677783;50.317;38.802
346.583;64.553332672;50.317;38.8
347.568;64.537207677783;50.32;38.802
348.57;64.4870826458417;50.324;38.804
349.561;64.4592701796061;50.323;38.801
350.558;64.453207677783;50.326;38.802
351.539;64.4079575761604;50.33;38.806
352.526;64.3811451665289;50.33;38.803
353.513;64.3386447367432;50.339;38.811
354.509;64.3477699008422;50.339;38.809
355.492;64.3305821405217;50.343;38.812
356.494;64.2817699008422;50.343;38.809
357.498;64.2690201157195;50.34;38.805
358.479;64.2278324687237;50.345;38.808
359.487;64.2019575761604;50.345;38.806
360.502;64.1998950271625;50.347;38.807
361.513;64.1618324687237;50.35;38.808
362.503;64.1547699008422;50.353;38.809
363.497;64.1197699008422;50.355;38.809
364.496;64.0956447367432;50.358;38.811
365.501;64.0635821405217;50.361;38.812
366.478;64.0259575761604;50.356;38.806
367.492;64.0149575761604;50.358;38.806
368.495;63.9748950271625;50.361;38.807
369.483;63.9569575761604;50.361;38.806
370.464;63.9530826458417;50.36;38.804
371.45;63.9198324687237;50.366;38.808
372.441;63.8946447367432;50.37;38.811
373.433;63.878707323516;50.37;38.81
374.43;63.8429575761604;50.369;38.806
375.432;63.8178324687237;50.372;38.808
376.424;63.8011451665289;50.369;38.803
377.419;63.7870201157195;50.372;38.805
378.406;63.7728324687237;50.376;38.808
379.39;63.7427699008422;50.379;38.809
380.375;63.7278950271625;50.378;38.807
381.366;63.6950826458417;50.376;38.804
382.379;63.6799575761604;50.379;38.806
383.388;63.6590826458417;50.379;38.804
384.386;63.6200201157195;50.382;38.805
385.392;63.6090201157195;50.383;38.805
386.402;63.6158324687237;50.387;38.808
387.393;63.6198950271625;50.387;38.807
388.392;63.5490201157195;50.387;38.805
389.402;63.5419575761604;50.389;38.806
390.384;63.5198324687237;50.392;38.808
391.374;63.4910201157195;50.39;38.805
392.371;63.4776447367432;50.398;38.811
393.359;63.4684569197253;50.402;38.814
394.344;63.457707323516;50.4;38.81
395.338;63.4350826458417;50.395;38.804
396.336;63.3988950271625;50.399;38.807
397.338;63.3788950271625;50.4;38.807
398.344;63.3718324687237;50.403;38.808
399.357;63.3398950271625;50.404;38.807
400.343;63.3189575761604;50.405;38.806
401.335;63.3248324687237;50.407;38.808
402.33;63.3227699008422;50.408;38.809
403.329;63.2930201157195;50.406;38.805
404.335;63.2888324687237;50.411;38.808
405.333;63.2567699008422;50.412;38.809
406.322;63.2408324687237;50.412;38.808
407.314;63.2186447367432;50.415;38.811
408.305;63.2090201157195;50.411;38.805
409.296;63.1866447367432;50.418;38.811
410.272;63.1668950271625;50.416;38.807
411.265;63.1690201157195;50.414;38.805
412.258;63.157707323516;50.42;38.81
413.252;63.1118950271625;50.42;38.807
414.25;63.0770201157195;50.419;38.805
415.231;63.1020826458417;50.418;38.804
416.224;63.0948950271625;50.422;38.807
417.228;63.0700826458417;50.42;38.804
418.23;63.0559575761604;50.423;38.806
419.232;63.0449575761604;50.424;38.806
420.228;63.0431451665288;50.421;38.803
421.224;63.0158324687237;50.428;38.808
422.22;63.0038950271625;50.428;38.807
423.232;62.9908324687237;50.431;38.808
424.216;62.9758950271625;50.43;38.807
425.218;62.9519575761604;50.43;38.806
426.194;62.9339575761604;50.432;38.806
427.187;62.908707323516;50.437;38.81
428.178;62.9247699008422;50.436;38.809
429.176;62.8939575761604;50.434;38.806
430.179;62.877707323516;50.438;38.81
431.174;62.8816447367432;50.44;38.811
432.196;62.856707323516;50.44;38.81
433.195;62.859707323516;50.442;38.81
434.199;62.8568324687237;50.44;38.808
435.209;62.824707323516;50.443;38.81
436.224;62.8197699008422;50.443;38.809
437.21;62.802707323516;50.444;38.81
438.199;62.7838950271625;50.444;38.807
439.195;62.7800201157195;50.443;38.805
440.194;62.7617699008422;50.447;38.809
441.194;62.7729575761604;50.444;38.806
442.201;62.7658324687237;50.446;38.808
443.195;62.7386447367432;50.451;38.811
444.182;62.7088950271625;50.448;38.807
445.182;62.7160201157195;50.447;38.805
446.159;62.7158324687237;50.45;38.808
447.157;62.6850201157195;50.449;38.805
448.15;62.6729575761604;50.451;38.806
449.155;62.6768950271625;50.452;38.807
450.139;62.6708950271625;50.452;38.807
451.147;62.6290201157195;50.452;38.805
452.148;62.6379575761604;50.453;38.806
453.164;62.6179575761604;50.454;38.806
454.169;62.6099575761604;50.455;38.806
455.163;62.6010201157195;50.455;38.805
456.163;62.5908950271625;50.458;38.807
457.17;62.5949575761604;50.458;38.806
458.177;62.6048324687237;50.459;38.808
