IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
207.785;57.802191808641;52.342;40.024
208.797;57.7872672855379;52.342;40.023
209.801;57.789191808641;52.346;40.024
210.802;57.7963427506301;52.344;40.022
211.819;57.7610408194254;52.348;40.026
212.814;57.7801163199375;52.349;40.025
213.814;57.7704182039194;52.346;40.021
214.817;57.7491163199375;52.35;40.025
215.84;57.7778897829676;52.354;40.028
216.85;57.7443427506301;52.351;40.022
217.857;57.732493645408;52.349;40.02
218.866;57.719493645408;52.35;40.02
219.885;57.7062672855379;52.354;40.023
220.875;57.707493645408;52.353;40.02
221.872;57.697191808641;52.356;40.024
222.872;57.685493645408;52.355;40.02
223.872;57.694493645408;52.355;40.02
224.868;57.7036444929904;52.356;40.018
225.865;57.6973427506301;52.36;40.022
226.88;57.6799653071027;52.363;40.027
227.896;57.6731163199375;52.363;40.025
228.918;57.6713427506301;52.362;40.022
229.911;57.6621163199375;52.366;40.025
230.915;57.6665875682632;52.374;40.032
231.913;57.6431163199375;52.368;40.025
232.923;57.675493645408;52.365;40.02
233.915;57.6516444929904;52.365;40.018
234.916;57.672493645408;52.366;40.02
235.937;57.6813427506301;52.372;40.022
236.936;57.6177198990882;52.364;40.017
237.934;57.6167952933929;52.365;40.016
238.925;57.6353427506301;52.372;40.022
239.926;57.6224182039194;52.373;40.021
240.901;57.6381163199375;52.377;40.025
241.911;57.5954182039194;52.373;40.021
242.928;57.6100214055682;52.37;40.013
243.948;57.5937198990882;52.372;40.017
244.93;57.5726444929904;52.373;40.018
245.951;57.5792672855379;52.378;40.023
246.968;57.5707198990882;52.375;40.017
247.957;57.5706444929904;52.377;40.018
248.951;57.5777952933929;52.377;40.016
249.949;57.5975690750977;52.38;40.019
250.943;57.550493645408;52.381;40.02
251.938;57.5463427506301;52.383;40.022
252.946;57.5852672855379;52.385;40.023
253.963;57.5600967527201;52.378;40.012
254.962;57.5480967527201;52.378;40.012
255.988;57.5408706759065;52.38;40.015
256.974;57.5256444929904;52.384;40.018
257.95;57.5534182039194;52.389;40.021
258.95;57.5422672855379;52.391;40.023
259.943;57.5577198990882;52.388;40.017
260.944;57.5166444929904;52.388;40.018
261.936;57.550191808641;52.396;40.024
262.933;57.5250967527201;52.386;40.012
263.946;57.5254182039194;52.394;40.021
264.962;57.481946046631;52.39;40.014
265.957;57.5286444929904;52.394;40.018
266.929;57.479946046631;52.391;40.014
267.942;57.5057198990882;52.395;40.017
268.934;57.4846444929904;52.397;40.018
269.941;57.4740967527201;52.393;40.012
270.948;57.468946046631;52.395;40.014
271.959;57.4956444929904;52.399;40.018
272.976;57.4588706759065;52.397;40.015
273.974;57.4468706759065;52.399;40.015
274.974;57.4358706759065;52.398;40.015
275.98;57.437946046631;52.4;40.014
276.988;57.440946046631;52.4;40.014
278.001;57.4338706759065;52.402;40.015
279.001;57.4240214055682;52.401;40.013
279.999;57.455493645408;52.408;40.02
280.984;57.4307952933929;52.405;40.016
281.979;57.4120214055682;52.404;40.013
282.979;57.4056444929904;52.409;40.018
283.984;57.4150214055682;52.406;40.013
284.96;57.3925690750977;52.41;40.019
285.954;57.395946046631;52.408;40.014
286.938;57.3888706759065;52.409;40.015
287.935;57.3910214055682;52.407;40.013
288.953;57.3998706759065;52.41;40.015
289.954;57.3757198990882;52.413;40.017
290.95;57.3860214055682;52.411;40.013
291.947;57.3778706759065;52.413;40.015
292.954;57.3671720880888;52.411;40.011
293.959;57.3630214055682;52.414;40.013
294.97;57.3671720880888;52.413;40.011
295.956;57.3703227234838;52.412;40.009
296.967;57.3527952933929;52.419;40.016
297.965;57.3550967527201;52.415;40.012
298.962;57.3496444929904;52.422;40.018
299.967;57.3590214055682;52.418;40.013
300.943;57.3411720880888;52.417;40.011
301.956;57.336946046631;52.42;40.014
302.954;57.3421720880888;52.419;40.011
303.951;57.3263227234838;52.417;40.009
304.955;57.3431720880888;52.42;40.011
305.95;57.3241720880888;52.42;40.011
306.982;57.3210214055682;52.423;40.013
307.995;57.3221720880888;52.422;40.011
308.997;57.305946046631;52.427;40.014
309.992;57.312247411676;52.424;40.01
310.985;57.3111720880888;52.425;40.011
311.986;57.3020214055682;52.428;40.013
312.987;57.2950967527201;52.427;40.012
313.975;57.2990214055682;52.429;40.013
314.978;57.2911720880888;52.427;40.011
