ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
71	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.420	66732	1.274	19359	1	127.4	*	4.350	4.7	1.43	8.93	1.342
72	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.426	60146	1.141	16968	1	114.1	*	4.350	4.583	1.31	8.72	1.506
73	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.418	154879	3.057	44843	3	101.9	*	4.350	4.667	0.65	47.16	1.470
74	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.419	154087	3.041	44683	3	101.4	*	4.350	4.7	0.67	45.17	1.451
75	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.424	484217	9.721	132718	9	108.0	*	4.133	4.783	1.32	73.61	1.514
76	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.419	467398	9.381	134304	9	104.2	*	4.333	4.7	0.96	97.53	1.441
77	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.416	1308549	26.400	369996	27	97.8	*	4.283	4.7	1.18	224.65	1.484
78	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.417	1288584	25.996	378560	27	96.3	*	4.350	4.7	1.09	238.58	1.408
	Average				4.373	139664	2.750	32211		100.0		4.276	4.674	0.48	24.79	1.885
	%RSD				0.850123	236.126320	242.677504	243.545766		18.795655		1.426548	4.248954	429.991876	279.083622	26.070310
	Maximum				4.566	2032677	41.051	388028		127.4		4.467	5.383	2.51	487.73	3.478
	Minimum				4.347	313	-0.070	63		61.4		4.100	4.400	-8.93	0.08	0.973
	Std. Dev.				0.037172	329784.615990	6.672582	78447.839415		18.795655		0.061004	0.198610	2.069514	69.183166	0.491374
