wavelength / nm	10oC	20oC	30oC	40oC	50oC	60oC	70oC	80oC	10oC again	bas10	bas30	bas50	bas80	basmv	10	20	30	40	50	60	70	80	10again
228.00	-0.81542	-1.2397	-1.9265	-1.9607	-2.1741	-2.7048	-3.2312	-3.5629	-1.7573	1.0568	0.93759	0.91837	0.70514	0.90448	-2.0475	-2.5526	-3.3702	-3.4109	-3.6650	-4.2968	-4.9235	-5.3183	-3.1688
227.00	-0.85845	-1.3572	-2.0621	-2.1439	-2.2670	-2.8986	-3.4217	-3.7768	-1.8167	1.1027	0.94611	0.94896	0.72869	0.93161	-2.1310	-2.7248	-3.5640	-3.6613	-3.8079	-4.5598	-5.1825	-5.6052	-3.2718
226.00	-0.87057	-1.4272	-2.2211	-2.2785	-2.4240	-3.1139	-3.6060	-4.0369	-1.8668	1.0667	0.94255	0.96675	0.74499	0.93025	-2.1438	-2.8065	-3.7516	-3.8200	-3.9932	-4.8144	-5.4004	-5.9133	-3.3299
225.00	-0.92055	-1.5421	-2.3171	-2.4143	-2.5947	-3.2980	-3.7469	-4.1913	-1.8961	1.0492	0.94035	1.0163	0.76727	0.94327	-2.2188	-2.9588	-3.8814	-3.9971	-4.2119	-5.0491	-5.5835	-6.1126	-3.3802
224.00	-0.96436	-1.5936	-2.3848	-2.5326	-2.7293	-3.4096	-3.9043	-4.3468	-1.9088	1.0431	0.95475	0.96635	0.81866	0.94573	-2.2739	-3.0229	-3.9649	-4.1409	-4.3751	-5.1849	-5.7738	-6.3006	-3.3982
223.00	-1.0022	-1.6151	-2.4903	-2.6462	-2.8832	-3.5925	-4.1013	-4.5026	-1.9535	1.0452	0.92189	0.97672	0.81037	0.93853	-2.3104	-3.0400	-4.0820	-4.2675	-4.5497	-5.3941	-5.9998	-6.4775	-3.4428
222.00	-1.0738	-1.6558	-2.5434	-2.7355	-3.0138	-3.7321	-4.2436	-4.6005	-2.0109	1.0312	0.94615	0.96656	0.84399	0.94697	-2.4057	-3.0986	-4.1552	-4.3839	-4.7152	-5.5703	-6.1793	-6.6042	-3.5213
221.00	-1.1232	-1.7096	-2.6187	-2.8261	-3.1403	-3.8075	-4.3682	-4.7288	-2.0678	1.0543	0.98752	0.93103	0.85944	0.95808	-2.4777	-3.1758	-4.2581	-4.5050	-4.8790	-5.6734	-6.3408	-6.7701	-3.6022
220.00	-1.1570	-1.7937	-2.7330	-2.9363	-3.2795	-3.9267	-4.5551	-4.8566	-2.1134	1.1127	1.0207	0.89028	0.93234	0.98901	-2.5547	-3.3127	-4.4309	-4.6730	-5.0815	-5.8520	-6.6001	-6.9590	-3.6933
219.00	-1.2307	-1.9082	-2.8577	-3.1329	-3.3791	-4.1013	-4.6839	-5.0498	-2.2156	1.0670	1.0084	0.86486	0.91662	0.96420	-2.6130	-3.4196	-4.5499	-4.8775	-5.1706	-6.0303	-6.7239	-7.1596	-3.7855
218.00	-1.3135	-2.1096	-3.0305	-3.2727	-3.5633	-4.2247	-4.7929	-5.1128	-2.3443	1.0698	1.0544	0.84788	0.91158	0.97091	-2.7195	-3.6672	-4.7635	-5.0519	-5.3979	-6.1852	-6.8617	-7.2425	-3.9466
