IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
1699.239;55.656;26.28;14.996
1700.226;55.552;26.283;14.996
1701.284;55.528;26.277;14.994
1702.289;55.657;26.282;14.996
1703.309;55.626;26.284;14.998
1704.284;55.6;26.283;14.997
1705.347;55.705;26.283;14.998
1706.362;55.582;26.285;14.998
1707.393;55.646;26.285;14.998
1708.402;55.523;26.283;14.998
1709.395;55.645;26.287;15
1710.402;55.606;26.288;15.001
1711.406;55.644;26.286;15
1712.41;55.72;26.286;15
1713.396;55.651;26.289;15.002
1714.393;55.511;26.288;15.001
1715.431;55.579;26.293;15.004
1716.423;55.596;26.291;15.003
1717.419;55.685;26.29;15.003
1718.432;55.68;26.291;15.003
1719.437;55.51;26.291;15.004
1720.445;55.611;26.293;15.005
1721.451;55.566;26.295;15.006
1722.439;55.658;26.295;15.006
1723.426;55.616;26.289;15.003
1724.448;55.609;26.296;15.007
1725.436;55.542;26.295;15.006
1726.433;55.517;26.288;15.002
1727.467;55.561;26.293;15.004
1728.478;55.679;26.292;15.005
1729.491;55.592;26.295;15.006
1730.491;55.598;26.294;15.005
1731.501;55.55;26.291;15.004
1732.478;55.479;26.292;15.004
1733.475;55.485;26.295;15.006
1734.475;55.513;26.279;14.993
1735.48;55.562;26.28;14.994
1736.455;55.627;26.281;14.995
1737.468;55.464;26.274;14.99
1738.46;55.543;26.28;14.994
1739.467;55.55;26.278;14.994
1740.466;55.649;26.28;14.995
1741.463;55.549;26.284;14.997
1742.471;55.468;26.28;14.994
1743.473;55.618;26.284;14.997
1744.476;55.529;26.284;14.997
1745.472;55.482;26.285;14.997
1746.482;55.395;26.28;14.995
1747.49;55.625;26.283;14.997
1748.501;55.489;26.282;14.996
1749.488;55.527;26.286;14.999
1750.479;55.468;26.284;14.998
1751.49;55.464;26.288;15
1752.515;55.587;26.289;15.001
1753.504;55.586;26.286;14.999
1754.508;55.491;26.288;15
1755.498;55.535;26.282;14.997
1756.479;55.523;26.285;15
1757.477;55.385;26.291;15.003
1758.47;55.506;26.296;15.006
1759.481;55.461;26.292;15.004
1760.459;55.463;26.291;15.004
1761.465;55.636;26.293;15.005
1762.485;55.586;26.294;15.005
1763.497;55.406;26.294;15.006
1764.505;55.532;26.294;15.006
1765.49;55.315;26.28;14.993
1766.501;55.502;26.278;14.992
1767.509;55.342;26.276;14.991
1768.505;55.55;26.279;14.993
1769.519;55.525;26.278;14.992
1770.52;55.437;26.275;14.99
1771.513;55.557;26.277;14.992
1772.528;55.422;26.277;14.992
1773.51;55.44;26.277;14.992
1774.512;55.422;26.278;14.993
1775.518;55.484;26.282;14.995
1776.517;55.429;26.275;14.991
1777.5;55.379;26.277;14.992
1778.559;55.446;26.276;14.992
1779.583;55.444;26.276;14.991
1780.6;55.469;26.279;14.994
1781.598;55.385;26.281;14.994
1782.613;55.413;26.281;14.995
1783.621;55.396;26.282;14.996
1784.609;55.464;26.286;14.998
1785.596;55.505;26.283;14.996
1786.578;55.536;26.282;14.996
1787.554;55.419;26.283;14.996
1788.555;55.406;26.28;14.995
1789.56;55.307;26.281;14.995
1790.561;55.3;26.28;14.994
1791.555;55.343;26.28;14.994
1792.546;55.385;26.278;14.993
1793.534;55.341;26.279;14.993
1794.517;55.4;26.282;14.995
1795.509;55.313;26.28;14.994
1796.495;55.348;26.278;14.993
1797.483;55.446;26.275;14.991
1798.521;55.376;26.284;14.995
1799.515;55.273;26.281;14.994
1800.519;55.267;26.284;14.996
1801.514;55.407;26.281;14.995
1802.512;55.411;26.281;14.996
1803.497;55.379;26.287;14.998
1804.518;55.34;26.279;14.994
1805.513;55.491;26.283;14.996
1806.503;55.474;26.284;14.996
1807.506;55.34;26.281;14.995
1808.504;55.224;26.282;14.995
1809.498;55.411;26.281;14.995
1810.542;55.334;26.281;14.994
1811.557;55.366;26.28;14.994
1812.556;55.341;26.283;14.996
1813.559;55.397;26.285;14.997
1814.553;55.409;26.287;14.998
1815.539;55.181;26.284;14.996
1816.557;55.333;26.284;14.997
1817.574;55.359;26.28;14.995
1818.572;55.317;26.283;14.996
1819.611;55.377;26.285;14.998
1820.611;55.341;26.285;14.998
1821.63;55.373;26.283;14.997
1822.622;55.291;26.281;14.995
1823.617;55.345;26.281;14.995
1824.622;55.304;26.282;14.996
1825.624;55.298;26.282;14.995
1826.613;55.256;26.28;14.994
1827.604;55.317;26.28;14.994
1828.634;55.328;26.28;14.994
1829.67;55.326;26.278;14.992
1830.667;55.266;26.278;14.993
1831.687;55.293;26.277;14.991
1832.691;55.354;26.282;14.994
1833.729;55.291;26.279;14.993
1834.726;55.387;26.281;14.993
1835.737;55.396;26.281;14.993
1836.735;55.234;26.277;14.991
1837.733;55.321;26.276;14.99
1838.746;55.299;26.277;14.991
1839.728;55.417;26.279;14.993
1840.719;55.289;26.278;14.992
1841.771;55.239;26.277;14.991
1842.76;55.337;26.275;14.991
1843.766;55.192;26.279;14.992
1844.768;55.273;26.277;14.991
1845.785;55.221;26.276;14.99
1846.786;55.23;26.276;14.99
1847.813;55.32;26.28;14.992
1848.802;55.346;26.277;14.991
1849.819;55.36;26.279;14.993
1850.824;55.281;26.279;14.993
1851.828;55.232;26.278;14.992
1852.824;55.227;26.279;14.993
1853.817;55.179;26.28;14.993
1854.836;55.216;26.281;14.994
1855.835;55.151;26.28;14.993
1856.821;55.254;26.28;14.994
1857.82;55.296;26.285;14.996
1858.81;55.312;26.281;14.995
1859.796;55.256;26.281;14.994
1860.799;55.128;26.284;14.996
1861.788;55.21;26.284;14.996
1862.788;55.181;26.284;14.996
1863.788;55.238;26.283;14.996
1864.794;55.303;26.281;14.994
1865.777;55.275;26.283;14.995
1866.778;55.158;26.287;14.998
1867.776;55.137;26.29;15
1868.774;55.252;26.287;14.998
1869.774;55.283;26.286;14.998
1870.769;55.191;26.285;14.997
1871.759;55.175;26.288;14.999
1872.742;55.201;26.288;14.999
1873.727;55.212;26.29;15
1874.728;55.27;26.288;14.999
1875.729;55.335;26.287;15
1876.725;55.238;26.294;15.003
1877.744;55.241;26.29;15.001
1878.744;55.189;26.291;15.001
1879.754;55.139;26.29;15.001
1880.757;55.086;26.29;15
1881.751;55.168;26.29;15.001
1882.743;55.198;26.291;15.002
1883.752;55.164;26.292;15.002
1884.759;55.146;26.291;15.002
1885.764;55.113;26.292;15.002
1886.768;55.194;26.291;15.001
1887.784;55.218;26.29;15.001
1888.782;55.169;26.29;15
1889.766;55.158;26.291;15.001
1890.751;55.177;26.291;15.002
1891.734;55.165;26.29;15.001
1892.73;55.137;26.292;15.002
1893.727;55.261;26.291;15.002
1894.725;55.141;26.293;15.002
1895.729;55.119;26.292;15.002
1896.723;55.189;26.292;15.003
1897.715;55.218;26.291;15.002
1898.711;55.034;26.293;15.002
1899.717;55.166;26.292;15.002
1900.699;55.1;26.292;15.002
1901.684;55.185;26.295;15.004
1902.668;55.137;26.293;15.003
1903.672;55.244;26.299;15.006
1904.652;55.127;26.296;15.005
1905.64;55.19;26.294;15.004
1906.624;55.102;26.296;15.005
1907.61;55.196;26.296;15.006
1908.588;55.189;26.298;15.007
1909.579;55.113;26.298;15.007
1910.607;55.162;26.296;15.006
1911.593;55.141;26.298;15.007
1912.605;55.066;26.297;15.006
1913.603;55.057;26.299;15.007
1914.592;55.099;26.299;15.008
1915.575;55.202;26.303;15.01
1916.557;55.139;26.3;15.008
1917.566;55.1;26.304;15.011
1918.572;55.194;26.3;15.008
1919.559;55.061;26.304;15.01
1920.538;55.08;26.304;15.011
1921.537;55.055;26.306;15.012
1922.536;55.015;26.304;15.011
1923.534;55.123;26.304;15.012
1924.53;55.073;26.306;15.013
1925.523;55.172;26.306;15.013
1926.551;55.116;26.308;15.014
1927.55;55.055;26.309;15.015
1928.547;55.122;26.311;15.016
1929.548;55.042;26.31;15.015
1930.541;55.107;26.311;15.016
1931.531;55.119;26.31;15.016
1932.522;55.094;26.31;15.015
1933.527;55.166;26.312;15.017
1934.545;55.009;26.293;15.002
1935.548;55.062;26.294;15.003
1936.53;54.992;26.295;15.003
1937.514;54.981;26.292;15.001
1938.513;55.048;26.29;15
1939.499;55.076;26.29;15
1940.488;55.047;26.29;15
1941.477;55.081;26.291;15.001
1942.464;54.967;26.292;15
1943.461;55.084;26.29;15
1944.468;55.094;26.291;15.001
1945.483;55.028;26.293;15.002
1946.486;54.984;26.292;15.001
1947.477;55.005;26.293;15.001
1948.479;55.016;26.293;15.003
1949.473;55.104;26.298;15.005
1950.484;55.051;26.296;15.005
1951.475;55.091;26.294;15.003
1952.48;55.025;26.294;15.003
1953.47;55.063;26.294;15.003
1954.454;55.045;26.296;15.004
1955.454;55.027;26.294;15.002
1956.443;55.07;26.295;15.004
1957.428;55.033;26.298;15.006
1958.42;54.968;26.297;15.005
1959.424;55.014;26.296;15.004
1960.42;54.98;26.296;15.004
1961.413;55.045;26.296;15.004
1962.43;55.011;26.297;15.004
1963.426;54.947;26.297;15.004
1964.449;55.042;26.296;15.005
1965.433;55.056;26.296;15.005
1966.427;55.056;26.298;15.006
1967.445;55.092;26.297;15.005
1968.459;54.943;26.299;15.006
1969.465;55.068;26.299;15.007
1970.456;55.253;26.299;15.006
1971.463;55.021;26.299;15.007
1972.478;54.961;26.299;15.006
1973.475;55.069;26.302;15.007
1974.461;55.038;26.303;15.009
1975.471;55.092;26.303;15.009
1976.484;55.079;26.304;15.01
1977.476;55.059;26.298;15.006
1978.461;55.024;26.3;15.007
1979.473;55.041;26.299;15.007
1980.491;55.001;26.302;15.009
1981.528;55.037;26.309;15.012
1982.53;54.913;26.284;14.995
1983.516;54.902;26.283;14.994
1984.492;54.877;26.282;14.993
1985.492;54.915;26.284;14.994
1986.507;54.977;26.28;14.992
1987.523;54.991;26.283;14.994
1988.541;54.923;26.282;14.993
1989.533;55.011;26.281;14.992
1990.543;55.059;26.279;14.991
1991.544;54.912;26.281;14.992
1992.575;54.908;26.283;14.994
1993.575;54.901;26.285;14.995
1994.568;54.849;26.284;14.995
1995.569;54.991;26.284;14.995
1996.567;55.019;26.283;14.995
1997.565;54.934;26.285;14.995
1998.558;54.976;26.289;14.997
1999.552;54.909;26.286;14.996
2000.549;54.914;26.286;14.996
2001.553;54.889;26.288;14.998
2002.56;54.96;26.287;14.997
2003.586;54.918;26.288;14.997
2004.595;55.031;26.289;14.998
2005.633;54.852;26.283;14.994
2006.626;54.894;26.284;14.995
2007.625;54.838;26.282;14.993
2008.612;54.952;26.282;14.993
2009.638;54.982;26.281;14.993
2010.636;54.876;26.286;14.995
2011.65;54.896;26.287;14.997
2012.693;54.999;26.286;14.997
2013.703;54.957;26.286;14.996
2014.699;54.961;26.286;14.996
2015.694;54.906;26.285;14.996
2016.735;54.975;26.288;14.998
2017.724;54.937;26.296;15.002
2018.724;55.004;26.295;15.002
2019.74;54.91;26.291;14.999
2020.773;54.967;26.287;14.998
2021.776;54.89;26.291;15
2022.768;54.921;26.29;14.999
2023.762;54.868;26.292;15
2024.762;54.924;26.288;14.998
2025.755;54.987;26.288;14.998
2026.793;54.894;26.291;14.999
2027.776;54.792;26.288;14.997
2028.756;54.922;26.288;14.998
2029.79;54.93;26.288;14.998
2030.795;54.933;26.293;15
2031.854;54.9;26.289;14.998
2032.833;54.861;26.287;14.997
2033.882;54.924;26.294;15
2034.895;54.875;26.288;14.998
2035.902;54.886;26.29;14.998
2036.91;54.931;26.289;14.998
2037.925;54.869;26.287;14.997
2038.935;54.893;26.29;14.999
2039.941;54.903;26.29;14.999
2040.949;54.825;26.293;15.001
2041.938;54.866;26.292;15
2042.923;54.97;26.296;15.003
2043.926;54.891;26.294;15.002
2044.919;54.907;26.294;15.002
2045.913;54.948;26.292;15
2046.901;55.032;26.296;15.003
2047.915;54.921;26.292;15.001
2048.981;55.045;26.296;15.003
2049.99;54.86;26.294;15.002
2050.973;54.789;26.296;15.002
2051.996;54.989;26.299;15.005
2053.011;54.974;26.3;15.006
2054.005;54.935;26.297;15.004
2055.07;54.894;26.296;15.003
2056.078;54.916;26.298;15.005
2057.058;54.902;26.3;15.006
2058.06;54.941;26.302;15.006
2059.078;54.98;26.302;15.007
2060.097;54.845;26.296;15.003
2061.097;54.963;26.299;15.005
2062.112;54.984;26.299;15.004
2063.111;55.007;26.3;15.005
2064.096;54.833;26.296;15.003
2065.09;54.845;26.294;15.001
2066.132;54.938;26.296;15.002
2067.133;54.923;26.298;15.003
2068.141;54.948;26.298;15.004
2069.139;54.889;26.293;15.001
2070.127;54.837;26.292;15
2071.125;54.843;26.294;15.001
2072.136;54.919;26.297;15.003
2073.13;54.94;26.297;15.003
2074.127;54.983;26.296;15.002
2075.118;55.04;26.296;15.003
2076.096;54.826;26.295;15.002
2077.07;54.789;26.296;15.002
2078.062;54.803;26.296;15.002
2079.07;54.851;26.297;15.003
2080.073;54.774;26.295;15.001
2081.08;54.851;26.295;15.002
2082.078;54.931;26.297;15.002
2083.065;54.771;26.292;15
2084.07;54.956;26.296;15.002
2085.066;54.923;26.296;15.002
2086.068;54.963;26.296;15.002
2087.06;54.823;26.292;15
2088.057;54.907;26.296;15.002
2089.052;54.826;26.295;15.002
2090.064;54.785;26.297;15.003
2091.112;54.868;26.294;15.002
2092.116;54.772;26.294;15.001
2093.13;54.797;26.294;15.001
2094.125;54.765;26.294;15.001
2095.127;54.831;26.299;15.005
2096.116;54.798;26.3;15.005
2097.114;54.938;26.301;15.006
2098.143;54.777;26.298;15.004
2099.157;54.811;26.299;15.005
2100.152;54.903;26.301;15.006
2101.135;54.787;26.297;15.004
2102.141;54.766;26.298;15.004
2103.133;54.763;26.299;15.004
2104.121;54.762;26.298;15.004
2105.123;54.864;26.304;15.007
2106.132;54.804;26.3;15.006
2107.162;54.8;26.301;15.006
2108.171;54.757;26.302;15.007
2109.171;54.763;26.303;15.008
2110.173;54.776;26.302;15.007
2111.195;54.797;26.304;15.009
2112.2;54.794;26.303;15.008
2113.184;54.841;26.306;15.01
2114.165;54.84;26.304;15.009
2115.173;54.78;26.285;14.994
2116.183;54.722;26.285;14.994
2117.182;54.735;26.284;14.993
2118.203;54.724;26.285;14.994
2119.214;54.73;26.285;14.994
2120.216;54.764;26.287;14.995
2121.212;54.701;26.288;14.995
2122.235;54.669;26.289;14.997
2123.239;54.806;26.287;14.997
2124.235;54.752;26.286;14.995
2125.271;54.673;26.289;14.996
2126.283;54.733;26.287;14.995
2127.292;54.773;26.288;14.996
2128.298;54.683;26.287;14.995
2129.31;54.74;26.29;14.997
2130.298;54.79;26.288;14.997
2131.321;54.783;26.29;14.998
2132.312;54.744;26.289;14.998
2133.287;54.841;26.295;15.001
2134.3;54.759;26.29;14.998
2135.313;54.728;26.289;14.997
2136.317;54.695;26.29;14.997
2137.325;54.811;26.289;14.997
2138.359;54.659;26.291;14.998
2139.355;54.871;26.295;15.001
2140.37;54.689;26.295;15.001
2141.428;54.71;26.293;15
2142.439;54.727;26.295;15.002
2143.459;54.724;26.296;15.002
2144.469;54.715;26.296;15.002
2145.464;54.689;26.296;15.002
2146.452;54.741;26.298;15.004
2147.435;54.749;26.295;15.002
2148.442;54.721;26.294;15.001
2149.504;54.683;26.298;15.003
2150.515;54.796;26.299;15.005
2151.521;54.744;26.303;15.007
2152.535;54.688;26.299;15.004
2153.553;54.761;26.298;15.004
2154.559;54.732;26.298;15.004
2155.554;54.643;26.295;15.001
2156.564;54.78;26.299;15.005
2157.552;54.776;26.302;15.007
2158.551;54.75;26.302;15.007
2159.558;54.742;26.301;15.006
2160.564;54.768;26.304;15.009
2161.553;54.721;26.304;15.009
2162.587;54.68;26.293;14.999
2163.63;54.725;26.289;14.997
2164.629;54.74;26.29;14.997
2165.628;54.705;26.29;14.997
2166.618;54.673;26.288;14.995
2167.625;54.647;26.285;14.993
2168.638;54.662;26.282;14.991
2169.645;54.669;26.281;14.99
2170.657;54.659;26.281;14.99
2171.701;54.64;26.281;14.991
2172.696;54.687;26.282;14.992
2173.694;54.662;26.284;14.993
2174.722;54.691;26.282;14.992
2175.714;54.654;26.283;14.992
2176.721;54.646;26.283;14.992
2177.776;54.693;26.28;14.99
2178.771;54.606;26.281;14.99
2179.805;54.643;26.277;14.987
2180.803;54.647;26.277;14.987
2181.792;54.59;26.279;14.988
2182.815;54.574;26.278;14.987
2183.827;54.71;26.277;14.987
2184.869;54.622;26.275;14.985
2185.875;54.613;26.274;14.985
2186.853;54.654;26.274;14.985
2187.842;54.604;26.273;14.984
2188.829;54.636;26.273;14.985
2189.831;54.617;26.272;14.984
2190.836;54.58;26.272;14.983
2191.824;54.646;26.27;14.982
2192.807;54.573;26.273;14.983
2193.816;54.626;26.272;14.983
2194.81;54.676;26.273;14.984
2195.785;54.695;26.271;14.983
2196.776;54.626;26.27;14.982
2197.765;54.623;26.27;14.982
2198.768;54.613;26.271;14.983
2199.774;54.523;26.272;14.982
2200.782;54.634;26.272;14.983
2201.762;54.663;26.288;14.996
2202.762;54.612;26.287;14.994
2203.77;54.634;26.286;14.994
2204.764;54.58;26.284;14.993
2205.759;54.624;26.284;14.992
2206.766;54.642;26.283;14.992
2207.774;54.644;26.282;14.991
2208.78;54.621;26.284;14.992
2209.797;54.628;26.282;14.991
2210.799;54.654;26.283;14.992
2211.83;54.657;26.284;14.992
2212.838;54.605;26.282;14.991
2213.841;54.612;26.284;14.993
2214.838;54.633;26.286;14.993
2215.825;54.621;26.283;14.992
2216.824;54.614;26.284;14.992
2217.825;54.647;26.281;14.99
2218.819;54.657;26.28;14.99
2219.818;54.681;26.282;14.99
2220.801;54.639;26.281;14.99
2221.816;54.684;26.278;14.988
2222.82;54.601;26.278;14.988
2223.818;54.544;26.28;14.989
2224.82;54.598;26.279;14.989
2225.803;54.571;26.281;14.99
2226.814;54.603;26.28;14.988
2227.805;54.625;26.294;15
2228.857;54.689;26.295;15
2229.849;54.657;26.296;15.001
2230.853;54.606;26.295;15
2231.853;54.641;26.294;14.999
2232.841;54.606;26.293;14.998
2233.824;54.615;26.292;14.998
2234.815;54.607;26.292;14.998
2235.817;54.611;26.293;14.998
2236.82;54.556;26.292;14.998
2237.81;54.6;26.294;14.999
2238.814;54.607;26.293;14.998
2239.823;54.639;26.292;14.998
2240.814;54.625;26.292;14.997
2241.801;54.615;26.291;14.997
2242.812;54.587;26.292;14.998
2243.794;54.661;26.293;14.999
2244.782;54.593;26.292;14.998
2245.766;54.633;26.293;14.999
2246.758;54.649;26.293;14.999
2247.772;54.61;26.292;14.998
2248.787;54.639;26.292;14.998
2249.782;54.609;26.292;14.998
2250.783;54.563;26.291;14.997
2251.781;54.633;26.291;14.998
2252.78;54.613;26.292;14.998
2253.758;54.561;26.292;14.997
2254.749;54.653;26.293;14.999
2255.781;54.6;26.293;14.999
2256.78;54.63;26.295;15
2257.807;54.566;26.294;14.999
2258.789;54.55;26.295;14.999
2259.777;54.57;26.296;15.001
2260.774;54.605;26.294;15
2261.771;54.612;26.297;15.002
2262.778;54.588;26.297;15.001
2263.788;54.568;26.297;15.001
2264.775;54.617;26.296;15.001
2265.758;54.586;26.299;15.003
2266.757;54.654;26.294;15
2267.75;54.596;26.295;15
2268.75;54.616;26.295;15.001
2269.752;54.536;26.295;15
2270.736;54.592;26.296;15.001
2271.747;54.607;26.295;15
2272.738;54.632;26.295;15.001
2273.754;54.532;26.296;15
2274.76;54.572;26.296;15
2275.75;54.563;26.297;15.001
2276.737;54.596;26.296;15.001
2277.747;54.588;26.296;15.001
2278.753;54.534;26.297;15.001
2279.746;54.596;26.295;15
2280.78;54.536;26.295;15
2281.767;54.618;26.295;15.001
2282.742;54.513;26.296;15
2283.758;54.469;26.297;15
2284.76;54.554;26.296;15.001
2285.748;54.564;26.297;15.001
2286.763;54.543;26.297;15.001
2287.763;54.61;26.298;15.002
2288.763;54.539;26.299;15.002
2289.759;54.638;26.297;15.002
2290.76;54.588;26.298;15.002
2291.767;54.596;26.297;15.002
2292.743;54.526;26.298;15.001
2293.738;54.506;26.298;15.002
2294.755;54.576;26.297;15.002
2295.761;54.531;26.298;15.002
2296.768;54.511;26.298;15.002
2297.76;54.568;26.299;15.003
2298.741;54.554;26.298;15.002
2299.737;54.587;26.296;15
2300.738;54.59;26.296;15.001
2301.752;54.558;26.297;15.001
2302.765;54.502;26.298;15.002
2303.754;54.503;26.299;15.002
2304.766;54.569;26.297;15.001
2305.758;54.57;26.297;15.002
2306.75;54.537;26.295;15
2307.749;54.581;26.296;15.001
2308.742;54.593;26.297;15.001
2309.738;54.52;26.299;15.001
2310.746;54.556;26.297;15.001
2311.791;54.527;26.297;15.001
2312.813;54.592;26.295;15.001
2313.81;54.571;26.295;15.001
2314.793;54.53;26.297;15.001
2315.77;54.547;26.297;15.002
2316.78;54.439;26.297;15.001
2317.785;54.491;26.298;15.002
2318.79;54.52;26.297;15.001
2319.803;54.53;26.296;15
2320.824;54.554;26.298;15.002
2321.834;54.537;26.296;15
2322.845;54.531;26.296;15.001
2323.834;54.537;26.296;15
2324.822;54.533;26.295;15
2325.806;54.507;26.297;15.001
2326.796;54.518;26.299;15.002
2327.78;54.5;26.299;15.002
2328.784;54.529;26.298;15.001
2329.802;54.525;26.297;15.001
2330.805;54.522;26.298;15.002
2331.787;54.514;26.298;15.002
2332.772;54.497;26.299;15.003
2333.781;54.479;26.296;15
2334.773;54.48;26.295;15
2335.77;54.485;26.295;15
2336.777;54.469;26.295;14.999
2337.783;54.498;26.296;15.001
2338.761;54.516;26.297;15.001
2339.798;54.551;26.296;15.001
2340.778;54.472;26.299;15.002
2341.766;54.578;26.299;15.003
2342.749;54.541;26.299;15.002
2343.736;54.566;26.3;15.004
2344.73;54.584;26.302;15.005
2345.718;54.547;26.301;15.004
2346.708;54.486;26.3;15.003
2347.708;54.495;26.301;15.004
2348.704;54.53;26.302;15.004
2349.675;54.444;26.301;15.003
2350.657;54.475;26.3;15.003
2351.647;54.487;26.299;15.003
2352.646;54.561;26.3;15.004
2353.66;54.522;26.299;15.002
2354.673;54.471;26.3;15.003
2355.721;54.504;26.3;15.003
2356.724;54.419;26.3;15.003
2357.728;54.5;26.3;15.003
2358.734;54.497;26.299;15.002
2359.73;54.434;26.301;15.004
2360.766;54.472;26.3;15.003
2361.758;54.551;26.299;15.003
2362.762;54.457;26.299;15.002
2363.768;54.536;26.301;15.004
2364.765;54.471;26.302;15.004
2365.745;54.54;26.301;15.004
2366.754;54.449;26.304;15.005
2367.768;54.489;26.303;15.005
2368.768;54.467;26.305;15.007
2369.763;54.461;26.305;15.006
2370.752;54.499;26.305;15.007
2371.759;54.495;26.308;15.008
2372.77;54.536;26.306;15.008
2373.776;54.541;26.306;15.008
2374.774;54.484;26.306;15.008
2375.775;54.579;26.308;15.01
2376.76;54.566;26.308;15.01
2377.766;54.517;26.307;15.008
2378.765;54.489;26.31;15.01
2379.764;54.488;26.31;15.01
2380.766;54.536;26.31;15.01
2381.782;54.525;26.309;15.01
2382.807;54.557;26.308;15.009
2383.828;54.556;26.309;15.01
2384.827;54.479;26.311;15.011
2385.825;54.445;26.311;15.01
2386.824;54.454;26.312;15.012
2387.814;54.569;26.311;15.011
2388.816;54.533;26.312;15.012
2389.82;54.421;26.314;15.013
2390.821;54.543;26.312;15.012
2391.824;54.491;26.313;15.013
2392.827;54.443;26.313;15.012
2393.82;54.53;26.314;15.014
2394.807;54.441;26.316;15.015
2395.804;54.532;26.316;15.015
2396.8;54.429;26.314;15.013
2397.8;54.493;26.315;15.014
2398.797;54.53;26.315;15.014
2399.779;54.471;26.314;15.013
2400.775;54.529;26.316;15.015
2401.773;54.491;26.315;15.014
2402.788;54.466;26.315;15.014
2403.774;54.478;26.3;15.002
2404.806;54.4;26.301;15.002
2405.794;54.436;26.3;15.002
2406.805;54.412;26.3;15.001
2407.818;54.429;26.299;15.002
2408.812;54.451;26.298;15.001
2409.808;54.405;26.297;15
2410.817;54.419;26.298;15.001
2411.863;54.452;26.296;14.999
2412.868;54.466;26.295;14.999
2413.876;54.388;26.296;14.999
2414.857;54.368;26.296;14.999
2415.859;54.388;26.297;14.999
2416.839;54.336;26.295;14.998
2417.82;54.363;26.296;14.998
2418.805;54.436;26.296;14.999
2419.814;54.372;26.297;15
2420.796;54.427;26.296;14.999
2421.79;54.348;26.295;14.998
2422.793;54.482;26.293;14.997
2423.803;54.343;26.293;14.996
2424.821;54.361;26.292;14.996
2425.825;54.376;26.292;14.996
2426.83;54.38;26.295;14.998
2427.839;54.404;26.295;14.998
2428.857;54.342;26.293;14.997
2429.854;54.46;26.294;14.998
2430.849;54.38;26.297;15
2431.838;54.334;26.298;15.001
2432.841;54.357;26.298;15
2433.857;54.371;26.299;15.001
2434.864;54.308;26.298;15
2435.874;54.448;26.298;15
2436.851;54.312;26.299;15
2437.863;54.464;26.3;15.002
2438.872;54.446;26.3;15.002
2439.867;54.307;26.298;14.999
2440.875;54.401;26.298;15
2441.873;54.464;26.296;15
2442.854;54.44;26.297;15
2443.852;54.41;26.299;15.001
2444.857;54.407;26.298;15.001
2445.854;54.322;26.3;15.001
2446.854;54.323;26.301;15.002
2447.861;54.446;26.298;15.001
2448.856;54.43;26.302;15.003
2449.862;54.359;26.302;15.003
2450.895;54.368;26.303;15.004
2451.889;54.334;26.302;15.003
2452.877;54.428;26.303;15.004
2453.869;54.407;26.303;15.004
2454.864;54.453;26.302;15.003
2455.855;54.328;26.303;15.004
2456.854;54.42;26.305;15.005
2457.852;54.424;26.304;15.005
2458.859;54.392;26.304;15.005
2459.863;54.36;26.306;15.006
2460.864;54.322;26.307;15.006
2461.863;54.392;26.308;15.007
2462.852;54.413;26.308;15.007
2463.847;54.326;26.307;15.007
2464.865;54.339;26.307;15.007
2465.86;54.48;26.305;15.007
2466.856;54.445;26.307;15.008
2467.868;54.422;26.309;15.008
2468.877;54.349;26.309;15.009
2469.858;54.456;26.311;15.011
2470.858;54.388;26.31;15.009
2471.861;54.42;26.31;15.009
2472.846;54.371;26.31;15.009
2473.847;54.402;26.311;15.01
2474.855;54.333;26.295;14.998
2475.86;54.281;26.295;14.997
2476.86;54.342;26.294;14.997
2477.858;54.33;26.294;14.997
2478.848;54.341;26.294;14.997
2479.841;54.319;26.294;14.997
2480.826;54.215;26.296;14.997
2481.832;54.417;26.295;14.998
2482.831;54.433;26.294;14.998
2483.837;54.365;26.293;14.997
2484.854;54.295;26.294;14.997
2485.857;54.385;26.289;14.993
2486.853;54.329;26.291;14.994
2487.854;54.31;26.294;14.995
2488.861;54.316;26.291;14.995
2489.864;54.324;26.29;14.994
2490.86;54.365;26.29;14.994
2491.841;54.359;26.29;14.994
2492.824;54.388;26.29;14.994
2493.818;54.344;26.29;14.994
2494.837;54.307;26.29;14.994
2495.825;54.378;26.29;14.994
2496.832;54.344;26.294;14.996
2497.836;54.26;26.293;14.996
2498.838;54.238;26.291;14.993
2499.83;54.362;26.291;14.994
2500.818;54.284;26.29;14.993
2501.817;54.374;26.29;14.994
2502.832;54.277;26.293;14.995
2503.844;54.196;26.29;14.993
2504.834;54.349;26.292;14.995
2505.845;54.324;26.292;14.995
2506.854;54.312;26.293;14.996
2507.887;54.259;26.291;14.994
2508.883;54.363;26.288;14.993
2509.878;54.252;26.289;14.992
2510.896;54.194;26.292;14.994
2511.908;54.31;26.288;14.992
2512.922;54.342;26.29;14.994
2513.918;54.357;26.288;14.993
2514.903;54.312;26.288;14.992
2515.919;54.292;26.288;14.992
2516.934;54.339;26.288;14.992
2517.911;54.211;26.291;14.993
2518.936;54.355;26.292;14.994
2519.919;54.341;26.289;14.993
2520.943;54.32;26.29;14.994
2521.942;54.282;26.292;14.995
2522.933;54.319;26.292;14.995
2523.991;54.289;26.292;14.995
