IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
322.214;64.477;26.2;14.984
323.196;64.244;26.202;14.986
324.231;64.53;26.203;14.986
325.264;64.589;26.202;14.986
326.273;64.206;26.208;14.989
327.281;64.295;26.206;14.988
328.313;64.243;26.206;14.987
329.299;64.306;26.202;14.986
330.301;64.245;26.202;14.986
331.313;64.169;26.206;14.988
332.311;64.071;26.208;14.988
333.295;64.031;26.208;14.989
334.274;63.905;26.209;14.99
335.266;64.072;26.207;14.988
336.264;63.933;26.212;14.991
337.26;64.096;26.21;14.99
338.242;63.821;26.212;14.991
339.251;63.864;26.213;14.992
340.241;63.911;26.214;14.993
341.238;63.889;26.214;14.993
342.242;63.877;26.215;14.993
343.243;63.829;26.218;14.995
344.246;63.862;26.217;14.994
345.227;63.801;26.217;14.994
346.23;63.806;26.219;14.996
347.237;63.692;26.219;14.995
348.269;63.764;26.22;14.997
349.281;63.782;26.219;14.996
350.274;63.773;26.22;14.996
351.315;63.638;26.222;14.998
352.321;63.645;26.223;14.998
353.315;63.596;26.223;14.998
354.326;63.67;26.223;14.998
355.313;63.603;26.225;15
356.31;63.603;26.229;15.002
357.305;63.572;26.227;15
358.301;63.512;26.225;14.999
359.318;63.561;26.224;14.998
360.328;63.473;26.227;15
361.371;63.544;26.227;15
362.379;63.497;26.227;15
363.403;63.394;26.227;14.999
364.406;63.484;26.227;15
365.429;63.455;26.226;14.999
366.439;63.553;26.229;15.002
367.443;63.458;26.228;15
368.458;63.398;26.228;15.001
369.454;63.474;26.228;15
370.443;63.324;26.228;14.999
371.442;63.263;26.225;14.998
372.442;63.283;26.227;14.999
373.434;63.167;26.229;15
374.445;63.254;26.23;15.002
375.444;63.187;26.231;15.002
376.477;63.296;26.23;15.001
377.48;63.269;26.23;15.001
378.486;63.111;26.229;15
379.478;63.155;26.228;15
380.519;63.219;26.23;15.001
381.52;63.01;26.231;15.001
382.528;63.17;26.232;15.002
383.521;63.003;26.233;15.002
384.534;63.054;26.235;15.004
385.531;63.111;26.235;15.004
386.523;62.963;26.235;15.004
387.525;63.06;26.235;15.004
388.568;62.98;26.237;15.005
389.577;63.107;26.237;15.006
390.599;63.021;26.237;15.005
391.626;62.961;26.235;15.003
392.609;62.927;26.236;15.005
393.617;62.955;26.239;15.006
394.601;62.876;26.24;15.007
395.623;62.8;26.244;15.01
396.634;62.909;26.241;15.008
397.63;62.864;26.24;15.007
398.656;62.958;26.239;15.006
399.645;62.985;26.241;15.007
400.662;62.887;26.236;15.003
401.657;62.849;26.235;15.003
402.645;62.918;26.235;15.002
403.664;62.969;26.233;15.002
404.643;62.703;26.237;15.004
405.643;62.731;26.235;15.003
406.647;62.818;26.237;15.004
407.637;62.727;26.234;15.001
408.637;62.647;26.234;15.001
409.639;62.698;26.241;15.005
410.632;62.86;26.236;15.004
411.625;62.637;26.236;15.003
412.613;62.598;26.239;15.005
413.609;62.657;26.239;15.005
414.58;62.564;26.239;15.005
415.595;62.713;26.241;15.005
416.586;62.743;26.241;15.006
417.579;62.664;26.242;15.006
418.572;62.381;26.241;15.006
419.566;62.41;26.243;15.007
420.573;62.491;26.24;15.005
421.578;62.846;26.245;15.008
422.563;62.495;26.239;15.005
423.542;62.46;26.245;15.008
424.553;62.426;26.241;15.006
425.567;62.601;26.246;15.009
426.565;62.627;26.246;15.008
427.569;62.475;26.248;15.01
428.584;62.482;26.243;15.008
429.584;62.583;26.248;15.01
430.587;62.488;26.25;15.011
431.599;62.482;26.252;15.013
