IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
303.602;66.616;26.213;15.008
304.586;66.572;26.213;15.008
305.604;66.473;26.214;15.009
306.601;66.381;26.215;15.01
307.592;66.2;26.216;15.01
308.622;66.34;26.217;15.011
309.631;66.234;26.218;15.011
310.678;66.261;26.219;15.012
311.666;66.188;26.219;15.012
312.683;66.223;26.219;15.012
313.673;66.293;26.219;15.012
314.679;65.765;26.214;15.005
315.665;66.127;26.206;15.001
316.667;66.055;26.21;15.003
317.722;65.953;26.209;15.002
318.718;66.285;26.208;15.002
319.73;65.967;26.208;15.002
320.764;65.842;26.209;15.003
321.757;65.986;26.21;15.003
322.76;65.933;26.211;15.004
323.738;65.864;26.211;15.004
324.734;65.939;26.213;15.005
325.731;65.87;26.211;15.004
326.732;65.784;26.213;15.004
327.789;65.774;26.212;15.004
328.787;65.705;26.212;15.004
329.765;65.803;26.216;15.007
330.808;65.816;26.218;15.008
331.784;65.644;26.217;15.007
332.801;65.708;26.219;15.008
333.786;65.633;26.22;15.009
334.772;65.74;26.22;15.009
335.757;65.565;26.218;15.008
336.751;65.438;26.218;15.007
337.737;65.541;26.221;15.009
338.724;65.374;26.2;14.994
339.723;65.45;26.199;14.992
340.705;65.39;26.198;14.991
341.703;65.379;26.197;14.99
342.713;65.438;26.198;14.991
343.693;65.341;26.2;14.992
344.7;65.43;26.2;14.993
345.68;65.225;26.202;14.993
346.657;65.284;26.203;14.994
347.662;65.199;26.202;14.993
348.656;65.127;26.201;14.992
349.647;65.295;26.2;14.992
350.7;65.151;26.201;14.992
351.699;65.227;26.2;14.992
352.683;65.105;26.202;14.993
353.698;65.104;26.204;14.994
354.719;65.131;26.204;14.995
355.735;65.089;26.205;14.995
356.763;64.922;26.204;14.994
357.755;64.942;26.207;14.996
358.742;64.9;26.206;14.995
359.771;65.055;26.208;14.997
360.768;65.065;26.21;14.999
361.789;65.016;26.212;15
362.781;64.97;26.211;14.999
363.775;64.901;26.209;14.997
364.768;64.834;26.211;14.999
365.754;64.762;26.211;14.997
366.753;65.013;26.213;15
367.735;64.643;26.216;15.002
368.751;64.681;26.217;15.002
369.752;64.893;26.219;15.004
370.76;64.716;26.22;15.004
371.76;64.721;26.218;15.004
372.743;64.689;26.223;15.007
