ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Height	Conc.	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
19	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.412	320099	92059	27.903	27	103.3	*	4.300	4.783	5.45	51.21	1.477
20	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.422	12457	3944	1.035	1	103.5	*	4.350	4.533	4.41	2.35	1.347
21	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.418	14927	4375	1.251	1	125.1	*	4.167	4.517	5.11	2.45	1.312
22	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.422	4546	1434	0.344	0.33	104.3	*	4.350	4.500	3.80	0.91	1.071
23	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.421	5038	1440	0.387	0.33	117.3	*	4.367	4.550	4.48	0.86	1.503
24	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.406	1354	450	0.065	0.11	59.4	*	4.350	4.450	1.89	0.35	--
25	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.409	1608	444	0.088	0.11	79.6	*	4.367	4.467	2.66	0.33	--
	Average				4.433	43194	12390	3.720		100.0		4.329	4.692	3.07	8.52	1.371
	%RSD				1.037952	196.520475	195.276484	199.311968		17.232942		2.271230	8.157533	65.568481	170.401790	15.615295
	Maximum				4.481	320099	92059	27.903		125.1		4.433	6.383	5.46	51.21	1.779
	Minimum				4.284	341	36	-0.023		59.4		4.067	4.367	-2.00	0.03	0.718
	Std. Dev.				0.046015	84884.755196	24194.389557	7.413409		17.232942		0.098325	0.382781	2.011760	14.511604	0.214043

