"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"7.2785e+05","1.5154e-12","1.5281e-12","1.8097e-07","1.8109e-07","2.0000e+00","7.1870e-01","9.0539e-07"," 0.00 %"
"7.4551e+05","1.5398e-12","1.5528e-12","1.7953e-07","1.7965e-07","2.0000e+00","7.1870e-01","4.5625e-06"," 0.00 %"
"7.6332e+05","1.5643e-12","1.5774e-12","1.7812e-07","1.7824e-07","2.0000e+00","7.1870e-01","1.9556e-06"," 0.00 %"
"7.8126e+05","1.5887e-12","1.6020e-12","1.7675e-07","1.7687e-07","2.0000e+00","7.1870e-01","3.1720e-06"," 0.00 %"
"7.9934e+05","1.6131e-12","1.6266e-12","1.7540e-07","1.7552e-07","2.0000e+00","7.1870e-01","4.2405e-09"," 0.00 %"
"8.1756e+05","1.6375e-12","1.6513e-12","1.7409e-07","1.7421e-07","2.0000e+00","7.1870e-01","3.8007e-07"," 0.00 %"
"6.9932e+05","1.6864e-12","1.7005e-12","2.0960e-07","2.0974e-07","1.7500e+00","7.1870e-01","7.4388e-07"," 0.00 %"
"8.5440e+05","1.6864e-12","1.7005e-12","1.7155e-07","1.7167e-07","2.0000e+00","7.1870e-01","5.7624e-07"," 0.00 %"
"6.9269e+05","1.9550e-12","1.9714e-12","2.4531e-07","2.4547e-07","1.5000e+00","7.1870e-01","2.4035e-08"," 0.00 %"
"8.8929e+05","1.9794e-12","1.9960e-12","1.9346e-07","1.9359e-07","1.7500e+00","7.1870e-01","9.3229e-07"," 0.00 %"
"9.5592e+05","2.0771e-12","2.0945e-12","1.8886e-07","1.8899e-07","1.7500e+00","7.1870e-01","1.5887e-07"," 0.00 %"
"1.0414e+06","2.1991e-12","2.2176e-12","1.8354e-07","1.8366e-07","1.7500e+00","7.1870e-01","4.0990e-07"," 0.00 %"
"1.0588e+06","2.2236e-12","2.2422e-12","1.8253e-07","1.8265e-07","1.7500e+00","7.1870e-01","3.8344e-07"," 0.00 %"
"8.5412e+05","2.2480e-12","2.2668e-12","2.2876e-07","2.2892e-07","1.5000e+00","7.1870e-01","6.7810e-07"," 0.00 %"
"9.9700e+05","2.4922e-12","2.5131e-12","2.1727e-07","2.1741e-07","1.5000e+00","7.1870e-01","4.8599e-07"," 0.00 %"
"1.2090e+06","2.8340e-12","2.8578e-12","2.0374e-07","2.0388e-07","1.5000e+00","7.1870e-01","1.1695e-07"," 0.00 %"
"1.5516e+06","3.3468e-12","3.3749e-12","1.8748e-07","1.8761e-07","1.5000e+00","7.1870e-01","2.8352e-07"," 0.00 %"
"1.7421e+06","3.6154e-12","3.6457e-12","1.8039e-07","1.8051e-07","1.5000e+00","7.1870e-01","7.9915e-07"," 0.00 %"
"2.1953e+06","3.6154e-12","3.6457e-12","1.4315e-07","1.4324e-07","1.7500e+00","7.1870e-01","1.3168e-06"," 0.00 %"
"1.3793e+06","3.7131e-12","3.7442e-12","2.3398e-07","2.3414e-07","1.2500e+00","7.1870e-01","1.9794e-07"," 0.00 %"
"1.8311e+06","3.7375e-12","3.7688e-12","1.7741e-07","1.7754e-07","1.5000e+00","7.1870e-01","1.0723e-07"," 0.00 %"
"1.9033e+06","3.8352e-12","3.8673e-12","1.7514e-07","1.7526e-07","1.5000e+00","7.1870e-01","4.3432e-08"," 0.00 %"
"1.9949e+06","3.9573e-12","3.9905e-12","1.7242e-07","1.7254e-07","1.5000e+00","7.1870e-01","4.7345e-07"," 0.00 %"
"2.0879e+06","4.0794e-12","4.1136e-12","1.6982e-07","1.6993e-07","1.5000e+00","7.1870e-01","6.2647e-07"," 0.00 %"
"1.8819e+06","4.5677e-12","4.6060e-12","2.1096e-07","2.1110e-07","1.2500e+00","7.1870e-01","3.5435e-07"," 0.00 %"
"3.8394e+06","4.5921e-12","4.6306e-12","1.0396e-07","1.0403e-07","2.0000e+00","7.1870e-01","1.8364e-06"," 0.00 %"
"3.2686e+06","4.7142e-12","4.7538e-12","1.2536e-07","1.2544e-07","1.7500e+00","7.1870e-01","9.5776e-07"," 0.00 %"
"2.6140e+06","4.7387e-12","4.7784e-12","1.5756e-07","1.5767e-07","1.5000e+00","7.1870e-01","9.5775e-07"," 0.00 %"
"4.1183e+06","4.8119e-12","4.8523e-12","1.0156e-07","1.0163e-07","2.0000e+00","7.1870e-01","1.7980e-06"," 0.00 %"
"2.1128e+06","4.9340e-12","4.9754e-12","2.0298e-07","2.0312e-07","1.2500e+00","7.1870e-01","8.1110e-07"," 0.00 %"
"3.4998e+06","4.9340e-12","4.9754e-12","1.2253e-07","1.2262e-07","1.7500e+00","7.1870e-01","6.7986e-07"," 0.00 %"
"2.7980e+06","4.9584e-12","5.0000e-12","1.5403e-07","1.5414e-07","1.5000e+00","7.1870e-01","1.5053e-06"," 0.00 %"
"3.5259e+06","4.9584e-12","5.0000e-12","1.2223e-07","1.2232e-07","1.7500e+00","7.1870e-01","1.9299e-06"," 0.00 %"
