7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_file1to4: A01 X	240914_noSeedspH7p4_platereader2_file1to4: A01 Y	240914_noSeedspH7p4_platereader2_file1to4: A02 X	240914_noSeedspH7p4_platereader2_file1to4: A02 Y	240914_noSeedspH7p4_platereader2_file1to4: A03 X	240914_noSeedspH7p4_platereader2_file1to4: A03 Y	240914_noSeedspH7p4_platereader2_file1to4: A04 X	240914_noSeedspH7p4_platereader2_file1to4: A04 Y	240914_noSeedspH7p4_platereader2_file1to4: A05 X	240914_noSeedspH7p4_platereader2_file1to4: A05 Y	240914_noSeedspH7p4_platereader2_file1to4: B10 X	240914_noSeedspH7p4_platereader2_file1to4: B10 Y
20160.0	-0.0030317894649748637	49440.0	-0.002018908366462981	49440.0	-0.0029254628630773676	49440.0	-0.004875334196295737	49440.0	-0.0025596152243532507	166427.0	-9.714225158076134e-05
20320.0	-0.003829628797862983	49600.0	-0.004153437035851171	49600.0	-0.0028157580057119663	49600.0	-0.006387534629389941	49600.0	-0.002638983138286685	166587.0	0.00016779116182133694
20480.0	-0.003859178402784765	49760.0	-0.0050872933287085045	49760.0	-0.0025963482909811637	49760.0	-0.005359238334885882	49760.0	-0.0029167708370537045	166747.0	0.0004327245752234352
20640.0	-0.0037114303781758543	49920.0	-0.004197906383130092	49920.0	-0.003327714006750506	49920.0	-0.006931926785303855	49920.0	-0.0035517141485211776	166907.0	-0.00018545338938146075
20800.0	-0.0030022398600530816	50080.0	-0.003931090299456568	50080.0	-0.003181440863596637	50080.0	-0.004572894109676896	50080.0	-0.0036310820624546117	167067.0	0.0010509025398283312
20960.0	-0.002884041440365953	50240.0	-0.003219580742993838	50240.0	-0.00252321171940423	50240.0	-0.004028501953762982	50240.0	-0.003154874578854007	167227.0	0.00030025786852238607
21120.0	-0.004154674452002587	50400.0	-0.003931090299456568	50400.0	-0.002230665433096493	50400.0	-0.005359238334885882	50400.0	-0.003988237675155065	167387.0	-0.00022960895828181047
21280.0	-0.003356835119114468	50560.0	-0.004020028994014409	50560.0	-0.0028157580057119663	50560.0	-0.00541972635220965	50560.0	-0.003313610406720875	167547.0	0.0003444134374227358
21440.0	-0.003356835119114468	50720.0	-0.002952764659320314	50720.0	-0.002962031148865835	50720.0	-0.007113390837275159	50720.0	-0.004345393287855519	167707.0	-9.714225158076134e-05
21600.0	-0.0037705295880194186	50880.0	-0.004820477245034981	50880.0	-0.002376938576250361	50880.0	-0.006508510664037477	50880.0	-0.0030358227079538558	167867.0	-0.0005386979405842585
21760.0	-0.0034454839338798147	51040.0	-0.006110088316123679	51040.0	-0.0027426214341350324	51040.0	-0.005722166438828491	51040.0	-0.004107289546055217	168027.0	-0.00018545338938146075
21920.0	-0.0034454839338798147	51200.0	-0.003975559646735489	51200.0	-0.0028888945772889006	51200.0	-0.006266558594742405	51200.0	-0.0028374029231202705	168187.0	-5.298668268041162e-05
22080.0	-0.003327285514192686	51360.0	-0.004197906383130092	51360.0	-0.004315057723039117	51360.0	-0.006387534629389941	51360.0	-0.004107289546055217	168347.0	-8.831113780061911e-06
22240.0	-0.004036476032315458	51520.0	-0.005398578759660949	51520.0	-0.0032545774351735715	51520.0	-0.005540702386857187	51520.0	-0.004345393287855519	168507.0	-0.00031792009608250986
22400.0	-0.0037705295880194186	51680.0	-0.00473153855047714	51680.0	-0.0036568285788467097	51680.0	-0.004935822213619505	51680.0	-0.00474223285752269	168667.0	0.0005651912819244843
22560.0	-0.0037114303781758543	51840.0	-0.0036198048685041236	51840.0	-0.0035471237214813084	51840.0	-0.005359238334885882	51840.0	-0.00418665745998865	168827.0	7.948002402063751e-05
22720.0	-0.0037705295880194186	52000.0	-0.006376904399797203	52000.0	-0.0032180091493851045	52000.0	-0.004572894109676896	52000.0	-0.003988237675155065	168987.0	-0.00018545338938146075
22880.0	-0.0030317894649748637	52160.0	-0.004242375730409012	52160.0	-0.0032545774351735715	52160.0	-0.004996310230943273	52160.0	-0.003750133933354763	169147.0	0.0006976579886255335
23040.0	-0.0034159343289580325	52320.0	-0.004464722466803616	52320.0	-0.004424762580404518	52320.0	-0.005540702386857187	52320.0	-0.004900968685389558	169307.0	0.0011833692465293803
23200.0	-0.003947827217550112	52480.0	-0.0058432722324501555	52480.0	-0.003766533436212111	52480.0	-0.005238262300238346	52480.0	-0.004146973503021934	169467.0	0.0008742802642269323
23360.0	-0.0037705295880194186	52640.0	-0.0073552300399334575	52640.0	-0.003473987149904374	52640.0	-0.007173878854598927	52640.0	-0.005535911996857031	169627.0	0.001845702780034626
23520.0	-0.004154674452002587	52800.0	-0.004464722466803616	52800.0	-0.0037299651504236436	52800.0	-0.006508510664037477	52800.0	-0.005535911996857031	169787.0	0.00021194673072168663
23680.0	-0.003475033538801597	52960.0	-0.00544304810693987	52960.0	-0.004461330866192986	52960.0	-0.006508510664037477	52960.0	-0.005178756384156578	169947.0	-0.00014129782048111103
23840.0	-0.004509269711063974	53120.0	-0.005220701370545267	53120.0	-0.0035471237214813084	53120.0	-0.007173878854598927	53120.0	-0.004385077244822236	170107.0	0.0016249249355328773
24000.0	-0.00486386497012536	53280.0	-0.005220701370545267	53280.0	-0.005009855153019992	53280.0	-0.006508510664037477	53280.0	-0.00474223285752269	170267.0	7.948002402063751e-05
