1000nM	1000nM	1000nM	1000nM	1000nM	1000nM	300nM	300nM	300nM	300nM	300nM	300nM	100nM	100nM	100nM	100nM	100nM	100nM	30nM	30nM	30nM	30nM	30nM	30nM	10nM	10nM	10nM	10nM	10nM	10nM	3nM	3nM	3nM	3nM	3nM	3nM	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds
241019_tauJB6elongation50percSeeds: B07 X	241019_tauJB6elongation50percSeeds: B07 Y	241019_tauJB6elongation50percSeeds: B08 X	241019_tauJB6elongation50percSeeds: B08 Y	241019_tauJB6elongation50percSeeds: B09 X	241019_tauJB6elongation50percSeeds: B09 Y	241019_tauJB6elongation50percSeeds: B04 X	241019_tauJB6elongation50percSeeds: B04 Y	241019_tauJB6elongation50percSeeds: B05 X	241019_tauJB6elongation50percSeeds: B05 Y	241019_tauJB6elongation50percSeeds: B06 X	241019_tauJB6elongation50percSeeds: B06 Y	241019_tauJB6elongation50percSeeds: B01 X	241019_tauJB6elongation50percSeeds: B01 Y	241019_tauJB6elongation50percSeeds: B02 X	241019_tauJB6elongation50percSeeds: B02 Y	241019_tauJB6elongation50percSeeds: B03 X	241019_tauJB6elongation50percSeeds: B03 Y	241019_tauJB6elongation50percSeeds: A10 X	241019_tauJB6elongation50percSeeds: A10 Y	241019_tauJB6elongation50percSeeds: A11 X	241019_tauJB6elongation50percSeeds: A11 Y	241019_tauJB6elongation50percSeeds: A12 X	241019_tauJB6elongation50percSeeds: A12 Y	241019_tauJB6elongation50percSeeds: A07 X	241019_tauJB6elongation50percSeeds: A07 Y	241019_tauJB6elongation50percSeeds: A08 X	241019_tauJB6elongation50percSeeds: A08 Y	241019_tauJB6elongation50percSeeds: A09 X	241019_tauJB6elongation50percSeeds: A09 Y	241019_tauJB6elongation50percSeeds: A04 X	241019_tauJB6elongation50percSeeds: A04 Y	241019_tauJB6elongation50percSeeds: A05 X	241019_tauJB6elongation50percSeeds: A05 Y	241019_tauJB6elongation50percSeeds: A06 X	241019_tauJB6elongation50percSeeds: A06 Y	241019_tauJB6elongation50percSeeds: A01 X	241019_tauJB6elongation50percSeeds: A01 Y	241019_tauJB6elongation50percSeeds: A02 X	241019_tauJB6elongation50percSeeds: A02 Y	241019_tauJB6elongation50percSeeds: A03 X	241019_tauJB6elongation50percSeeds: A03 Y
378.0	0.48789181664440184	900.0	0.4969961061326079	1008.0	0.5099875718560738	378.0	0.5271827896775397	378.0	0.5069262674666775	378.0	0.5183726747722852	378.0	0.526974836331251	378.0	0.5278936026420821	378.0	0.5201709203103417	378.0	0.5462551798281893	378.0	0.5432626928790963	378.0	0.5440446014427603	378.0	0.559167459296145	378.0	0.5639274322705679	378.0	0.5558476845788455	378.0	0.5542261754896652	378.0	0.5531333490196864	378.0	0.544704716505634	378.0	0.5840403786797514	378.0	0.547065086690447	378.0	0.5494510511860525
396.0	0.4851366611503137	918.0	0.49595127348308027	1026.0	0.5103254972196252	396.0	0.5274290810480087	396.0	0.506630961489416	396.0	0.514389882616749	396.0	0.5309889488805443	396.0	0.533769854932014	396.0	0.5274539672703957	396.0	0.55135625633824	396.0	0.551978116132278	396.0	0.5494486690912466	396.0	0.5595870866670397	396.0	0.5605820568675366	396.0	0.5630900951971383	396.0	0.5508893127269843	396.0	0.5547103281284679	396.0	0.5435428893615931	396.0	0.5886251436150326	396.0	0.5451421777070192	396.0	0.5508822517086602
414.0	0.48756554823062825	936.0	0.5054667136841359	1044.0	0.5205195790200915	414.0	0.5292308968635442	414.0	0.5053155075907059	414.0	0.5169405063601917	414.0	0.5287089329525457	414.0	0.5351193739931738	414.0	0.5301864546084367	414.0	0.5531853275968239	414.0	0.546721350134023	414.0	0.5512371351287599	414.0	0.5649489919618046	414.0	0.560899290741962	414.0	0.5611939714995016	414.0	0.5508462008049858	414.0	0.5508304588925769	414.0	0.5490786539890823	414.0	0.5911767836236563	414.0	0.5457803483740084	414.0	0.5533056341886585
432.0	0.4882362110811629	954.0	0.49333919185926106	1062.0	0.5121465394565409	432.0	0.5329641555317042	432.0	0.5053557765876052	432.0	0.5089749220491193	432.0	0.5286768200521513	432.0	0.5331747914089829	432.0	0.5271527481937613	432.0	0.55059414331383	432.0	0.5520174190556294	432.0	0.5473315119981903	432.0	0.5635688841641955	432.0	0.5685513563190103	432.0	0.5570596399319742	432.0	0.5553901973836237	432.0	0.5554278953419876	432.0	0.5504882236858966	432.0	0.5958570644950891	432.0	0.5461330216373443	432.0	0.5603123704895232
450.0	0.4889975040466346	972.0	0.5058025527500555	1080.0	0.5110013479467279	450.0	0.5274161183442998	450.0	0.5102820172082847	450.0	0.5164767565886567	450.0	0.5323698035975012	450.0	0.5394229584008093	450.0	0.5324240820348639	450.0	0.5487447490412618	450.0	0.5522827137882516	450.0	0.5595704201251733	450.0	0.5611723456237527	450.0	0.5631679936014888	450.0	0.5624743436870809	450.0	0.5655646109752607	450.0	0.5582397575624075	450.0	0.5474469702794366	450.0	0.6048082722258761	450.0	0.5527246528687451	450.0	0.5622001503199567
468.0	0.47353600643836335	990.0	0.5075190635314224	1098.0	0.5118461613556063	468.0	0.5302679131602553	468.0	0.5066175384904495	468.0	0.5203504311508905	468.0	0.5338362927155097	468.0	0.5349281035750566	468.0	0.5364367504486013	468.0	0.5510920571564445	468.0	0.5529999921394153	468.0	0.5499223709065879	468.0	0.5631585818459874	468.0	0.5663307191980328	468.0	0.5666184490881013	468.0	0.5598221029650655	468.0	0.5578559425412225	468.0	0.5548707040159923	468.0	0.6065139139428706	468.0	0.558577349643632	468.0	0.5665200930016928
486.0	0.48127581825399274	1008.0	0.503041209319161	1116.0	0.5223406212570072	486.0	0.5217903049346421	486.0	0.5106310151814119	486.0	0.5074745551412118	486.0	0.5359236312411422	486.0	0.5290093467477653	486.0	0.5385775574575389	486.0	0.5577173597153152	486.0	0.5568418528970185	486.0	0.5589033706301008	486.0	0.5632984576362856	486.0	0.5693107949880893	486.0	0.569579920636472	486.0	0.5570112056507658	486.0	0.5650232708716105	486.0	0.5493776536217398	486.0	0.602979824305258	486.0	0.5527330498512054	486.0	0.5674947142164748
504.0	0.4882362110811629	1026.0	0.514870207529885	1134.0	0.5113955942042044	504.0	0.5282975821965042	504.0	0.5068457294728789	504.0	0.5123166483440041	504.0	0.5350779915307577	504.0	0.5292006171658824	504.0	0.536662664756077	504.0	0.5568536316209839	504.0	0.5595734060699435	504.0	0.5567475440010983	504.0	0.5678397582946344	504.0	0.5762514876346081	504.0	0.5718767715073206	504.0	0.5604429146418434	504.0	0.5640220142946064	504.0	0.5557762457606124	504.0	0.6023930835546119	504.0	0.5559071092212302	504.0	0.5661161959216932
522.0	0.48673175117320683	1044.0	0.5079668489526485	1152.0	0.5214394869542035	522.0	0.5291531206412908	522.0	0.5069396904656438	522.0	0.5134896624720046	522.0	0.5253477827112708	522.0	0.5375846371600168	522.0	0.5440532899577863	522.0	0.5658262422950373	522.0	0.5535502330663354	522.0	0.5592223943016572	522.0	0.5670191536582182	522.0	0.5781164382903209	522.0	0.5707918759896007	522.0	0.5652973170588702	522.0	0.562336565723316	522.0	0.5535892770188883	522.0	0.6078102016477863	522.0	0.5576452845905295	522.0	0.5692244473634301
540.0	0.4920245498855342	1062.0	0.504813693278181	1170.0	0.5194307084042037	540.0	0.5323289830499687	540.0	0.5051275856051759	540.0	0.5108708402327479	540.0	0.5334509379107775	540.0	0.5342905355146662	540.0	0.5346832251096222	540.0	0.5568536316209839	540.0	0.5620396645102463	540.0	0.5607401735875469	540.0	0.5721386075831328	540.0	0.5721947393010473	540.0	0.5730594053599702	540.0	0.5609775024746243	540.0	0.5663415920313326	540.0	0.5574506437034948	540.0	0.6178530200774498	540.0	0.5621880521015967	540.0	0.5739395067538616
