[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_longTimes: C09 X	240914_noSeedspH7p4_platereader2_longTimes: C09 Y	240914_noSeedspH7p4_platereader2_longTimes: C10 X	240914_noSeedspH7p4_platereader2_longTimes: C10 Y	240914_noSeedspH7p4_platereader2_longTimes: C11 X	240914_noSeedspH7p4_platereader2_longTimes: C11 Y	240914_noSeedspH7p4_platereader2_longTimes: B04 X	240914_noSeedspH7p4_platereader2_longTimes: B04 Y	240914_noSeedspH7p4_platereader2_longTimes: B05 X	240914_noSeedspH7p4_platereader2_longTimes: B05 Y
1228987.0	0.0009617666529271488	197147.0	-0.0008181233240845713	1242107.0	-0.0007958589865213323	616827.0	-0.0006242335185778625	616827.0	0.0013535177593733928
1229147.0	0.001086671413047557	197307.0	0.0003755797466437913	1242267.0	0.00015917179730426644	616987.0	0.0007568140888952623	616987.0	0.00024407697300176347
1229307.0	0.0008368618928067406	197467.0	2.6203238137929074e-05	1242427.0	0.0002865092351476796	617147.0	0.0008949188496425748	617147.0	-0.00028290740052476043
1229467.0	-0.00022482856821672906	197627.0	0.00014266207430654982	1242587.0	-0.0002865092351476796	617307.0	0.0010606445625393499	617307.0	-8.87552629097253e-05
1229627.0	0.0005245999925057201	197787.0	-0.00014848501611500203	1242747.0	0.000541184110834506	617467.0	0.0003701207588027874	617467.0	0.00021634095334247276
1229787.0	-0.000786899988758566	197947.0	-0.000614320360789485	1242907.0	0.0011778713000515717	617627.0	0.0006187093281479498	617627.0	-0.0006712116757548307
1229947.0	-0.00022482856821672906	198107.0	-0.001109270414506123	1243067.0	0.0011778713000515717	617787.0	0.0002596369502049374	617787.0	-0.00022743536120617896
1230107.0	-3.747142803611678e-05	198267.0	-0.001109270414506123	1243227.0	0.0013688774568166914	617947.0	0.0011435074189877373	617947.0	0.0007710613465282874
1230267.0	0.0002747904722649037	198427.0	-0.0004396321065365539	1243387.0	0.001432546175738398	618107.0	-0.0005689916142789374	618107.0	-0.00022743536120617896
1230427.0	0.0018360999737700061	198587.0	-0.0004105173974943987	1243547.0	0.000986865143286452	618267.0	-0.000430886853531625	618267.0	-0.0008653638133698658
1230587.0	-0.0003497333283371373	198747.0	-0.0014295322139698302	1243707.0	0.0006048528297562125	618427.0	0.0003701207588027874	618427.0	-0.0003661154595026326
1230747.0	-0.0004746380884575455	198907.0	-0.00038140268845224354	1243867.0	0.003278939024467889	618587.0	0.0005358464716995623	618587.0	0.00032728503197963565
1230907.0	0.0008368618928067406	199067.0	-6.114088898853649e-05	1244027.0	0.0012415400189732782	618747.0	0.00042536266310171236	618747.0	0.0003827570712982171
1231067.0	0.001149123793107761	199227.0	-0.0008472380331267265	1244187.0	0.0010505338622081586	618907.0	-0.000154677332037	618907.0	0.00018860493368318202
1231227.0	-0.00016237618815652497	199387.0	-0.0006434350698316402	1244347.0	0.0006685215486779191	619067.0	0.0002596369502049374	619067.0	-0.0006434756560955399
1231387.0	-0.0015987809295412193	199547.0	8.443265622223945e-05	1244507.0	0.0011778713000515717	619227.0	0.0005910883759984874	619227.0	-0.0003938514791619233
1231547.0	-0.0009742571289391783	199707.0	-0.00035228797941008836	1244667.0	0.0015598836135818112	619387.0	-4.419352343915004e-05	619387.0	4.992483538672836e-05
1231707.0	-0.0013489714093004028	199867.0	-0.0013130733778012095	1244827.0	0.0002865092351476796	619547.0	0.0004529836152511749	619547.0	0.0007433253268689967
1231867.0	0.000462147612445516	200027.0	-0.0012548439597168991	1244987.0	0.00251491439740741	619707.0	0.0002872579023543999	619707.0	0.000909741444824741
1232027.0	0.00039969523238531194	200187.0	-0.00026494385228362276	1245147.0	0.0007321902675996257	619867.0	0.0007291931367457998	619867.0	-0.00022743536120617896
1232187.0	0.0012115761731679652	200347.0	-0.0010510409964218127	1245307.0	0.0007958589865213323	620027.0	-0.0003756449492327	620027.0	0.00027181299266105423
1232347.0	0.0009617666529271488	200507.0	-0.00014848501611500203	1245467.0	-0.00015917179730426644	620187.0	0.0008396769453436499	620187.0	0.0008542694055061595
1232507.0	0.0003372428523251078	200667.0	0.00031735032855948093	1245627.0	0.000986865143286452	620347.0	-0.0006794754228767874	620347.0	-0.00019969934154688822
1232667.0	0.00039969523238531194	200827.0	0.00043380916472810166	1245787.0	0.0018782272081903442	620507.0	9.391123730816244e-05	620507.0	0.000909741444824741
1232827.0	0.000462147612445516	200987.0	-0.0008181233240845713	1245947.0	0.001432546175738398	620667.0	0.00014915314160708742	620667.0	-0.00014422730222830675
1232987.0	0.000462147612445516	201147.0	-0.0004396321065365539	1246107.0	0.0017508897703469308	620827.0	-0.000154677332037	620827.0	0.0006878532875504152
1233147.0	-0.0018485904497820356	201307.0	5.531794718008426e-05	1246267.0	0.0015598836135818112	620987.0	-0.00034802399708323747	620987.0	-0.00031064342018405117
1233307.0	-0.00016237618815652497	201467.0	-0.0004978615246208643	1246427.0	0.0024512456784857033	621147.0	0.0003148788545038624	621147.0	2.218881572743763e-05
1233467.0	-0.0009118047488789741	201627.0	-0.0014877616320541406	1246587.0	0.0022602395217205837	621307.0	-0.00040326590138216247	621307.0	-0.0009763078920070287
1233627.0	0.0002747904722649037	201787.0	-0.0005852056517473298	1246747.0	0.0017508897703469308	621467.0	0.0002872579023543999	621467.0	0.00046596513027608933
1233787.0	-0.0010367095089993824	201947.0	-0.00038140268845224354	1246907.0	0.0013052087378949849	621627.0	-0.00045850780568108747	621627.0	-0.0007266837150734122
1233947.0	0.000462147612445516	202107.0	-0.0005560909427051746	1247067.0	0.00047751539191279933	621787.0	-0.0005689916142789374	621787.0	-3.328322359114383e-05
1234107.0	0.00021233809220469962	202267.0	-0.0003231732703679332	1247227.0	0.0011778713000515717	621947.0	-0.0005689916142789374	621947.0	-0.0006712116757548307
1234267.0	-0.0015363285494810152	202427.0	-0.0003231732703679332	1247387.0	0.0016235523325035177	622107.0	-4.419352343915004e-05	622107.0	-0.001447820226214971
1234427.0	-0.00041218570839734135	202587.0	-0.0013713027958855198	1247547.0	0.0013688774568166914	622267.0	0.00020439504590601243	622267.0	4.992483538672836e-05
1234587.0	0.0007119571326863324	202747.0	-0.00011937030707284685	1247707.0	0.0007958589865213323	622427.0	-0.0006794754228767874	622427.0	-0.0012259320689406452
1234747.0	-0.0012865190292401987	202907.0	-2.9114709042261103e-06	1247867.0	0.00015917179730426644	622587.0	-0.0001822982841864625	622587.0	-0.00033837943984334185
1234907.0	-0.0003497333283371373	203067.0	-0.0002358291432414676	1248027.0	0.0025785831163291167	622747.0	-0.0006242335185778625	622747.0	-0.00033837943984334185
1235067.0	-0.0009118047488789741	203227.0	-0.0015751057591806062	1248187.0	0.0020055646460337574	622907.0	-0.0011214106572681873	622907.0	0.0006601172678911244
1235227.0	-0.0003497333283371373	203387.0	-0.0005560909427051746	1248347.0	0.0016235523325035177	623067.0	6.629028515869993e-05	623067.0	-0.0005880036167769584
1235387.0	-0.00016237618815652497	203547.0	-0.0005852056517473298	1248507.0	0.0024512456784857033	623227.0	-0.00026516114063485	623227.0	0.0003550210516389264
1235547.0	-0.00041218570839734135	203707.0	0.00025912091047517057	1248667.0	9.550307838255987e-05	623387.0	-0.0005689916142789374	623387.0	-0.0005047955577990863
1235707.0	0.0015862904535291899	203867.0	-0.0004978615246208643	1248827.0	0.0015598836135818112	623547.0	-0.000762338279325175	623547.0	7.76608550460191e-05
1235867.0	0.0020234571139506187	204027.0	-0.0009636968692953473	1248987.0	0.0016872210514252244	623707.0	3.8669333009237446e-05	623707.0	-0.0005047955577990863
1236027.0	0.0007119571326863324	204187.0	-0.00020671443419931242	1249147.0	0.0014962148946601045	623867.0	0.0002872579023543999	623867.0	-0.0007821557543919936
1236187.0	-0.0011616142691197905	204347.0	-0.0009928115783375024	1249307.0	0.0030879328677027693	624027.0	-0.000209919236335925	624027.0	4.992483538672836e-05
1236347.0	0.0009617666529271488	204507.0	-0.001109270414506123	1249467.0	0.0023239082406422903	624187.0	-0.0009004430400724874	624187.0	-0.0005602675971176677
1236507.0	0.0016487428335893938	204667.0	-0.0007598939060002609	1249627.0	0.002196570802798877	624347.0	0.0003424998066533249	624347.0	-0.0007266837150734122
1236667.0	0.0009617666529271488	204827.0	-0.0008763527421688816	1249787.0	3.183435946085329e-05	624507.0	-9.943542773807503e-05	624507.0	-0.0011704600296220638
1236827.0	-9.992380809632088e-05	204987.0	-0.0013421880868433648	1249947.0	0.0021329020838771703	624667.0	-0.0007070963750262499	624667.0	0.0004382291106167986
1236987.0	2.498095202408732e-05	205147.0	-0.0004396321065365539	1250107.0	0.00251491439740741	624827.0	-0.0007899592314746374	624827.0	0.0004382291106167986
1237147.0	0.0017736475937098022	205307.0	-0.0006434350698316402	1250267.0	0.0009231964243647454	624987.0	-0.0005689916142789374	624987.0	-8.87552629097253e-05
1237307.0	-0.00041218570839734135	205467.0	-9.025559803069167e-05	1250427.0	0.0009231964243647454	625147.0	-7.181447558861253e-05	625147.0	-0.0020302766390600767
1237467.0	0.001149123793107761	205627.0	-0.00038140268845224354	1250587.0	0.0024512456784857033	625307.0	-0.0005966125664283999	625307.0	-8.87552629097253e-05
1237627.0	0.0003372428523251078	205787.0	-0.0016042204682227613	1250747.0	0.0014962148946601045	625467.0	-0.00040326590138216247	625467.0	-0.0013091401279185174
1237787.0	0.0006495047526261283	205947.0	-0.0005269762336630195	1250907.0	0.0019418959271120507	625627.0	-0.00045850780568108747	625627.0	-0.000837627793710575
1237947.0	-0.0016612333096014233	206107.0	-0.0010219262873796577	1251067.0	0.00251491439740741	625787.0	-0.000430886853531625	625787.0	-0.0005047955577990863
1238107.0	-0.0008493523688187701	206267.0	-0.001109270414506123	1251227.0	0.0013688774568166914	625947.0	-0.000651854470727325	625947.0	-0.000532531577458377
1238267.0	0.0012740285532281692	206427.0	5.531794718008426e-05	1251387.0	0.002642251835250823	626107.0	-0.00023754018848538751	626107.0	0.00010539687470530983
1238427.0	-0.00016237618815652497	206587.0	-0.0002358291432414676	1251547.0	0.0030879328677027693	626267.0	-0.0012871363701649624	626267.0	-0.0006712116757548307
1238587.0	0.0002747904722649037	206747.0	-0.001545991050138451	1251707.0	0.000986865143286452	626427.0	0.0006187093281479498	626427.0	-8.87552629097253e-05
1238747.0	-9.992380809632088e-05	206907.0	-0.000614320360789485	1251867.0	0.0031516015866244755	626587.0	6.629028515869993e-05	626587.0	-0.0005047955577990863
1238907.0	0.0024606237743720473	207067.0	-0.0005560909427051746	1252027.0	0.0030879328677027693	626747.0	-0.0003756449492327	626747.0	0.0008820054251654503
1239067.0	0.0013364809332883734	207227.0	-0.00035228797941008836	1252187.0	0.0020055646460337574	626907.0	-0.00034802399708323747	626907.0	-0.00047705953813979553
1239227.0	0.0006495047526261283	207387.0	-0.0011383851235482784	1252347.0	0.0015598836135818112	627067.0	0.0005634674238490249	627067.0	-0.00047705953813979553
1239387.0	8.743333208429142e-05	207547.0	-0.0009636968692953473	1252507.0	0.0018145584892686375	627227.0	0.0003424998066533249	627227.0	0.00010539687470530983
1239547.0	0.0014613856934087815	207707.0	-0.0015168763410962959	1252667.0	0.0015598836135818112	627387.0	-0.0008452011357735624	627387.0	-0.0003938514791619233
1239707.0	0.001086671413047557	207867.0	-0.0005269762336630195	1252827.0	0.002196570802798877	627547.0	-0.00040326590138216247	627547.0	0.00032728503197963565
