[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_longTimes: C02 X	240914_noSeedspH7p4_platereader2_longTimes: C02 Y	240914_noSeedspH7p4_platereader2_file1to4: C03 X	240914_noSeedspH7p4_platereader2_file1to4: C03 Y	240914_noSeedspH7p4_platereader2_longTimes: C04 X	240914_noSeedspH7p4_platereader2_longTimes: C04 Y	240914_noSeedspH7p4_platereader2_file1to4: C05 X	240914_noSeedspH7p4_platereader2_file1to4: C05 Y	240914_noSeedspH7p4_platereader2_file1to4: C06 X	240914_noSeedspH7p4_platereader2_file1to4: C06 Y	240914_noSeedspH7p4_platereader2_longTimes: C09 X	240914_noSeedspH7p4_platereader2_longTimes: C09 Y
435867.0	0.00018466197625246987	385947.0	0.0008778271196943164	435867.0	-0.0009517503931142928	343867.0	3.402069308657764e-05	86080.0	-0.0019987888526951988	1222907.0	-0.0003497333283371373
436027.0	0.000266733965698012	386107.0	0.00021392425605996454	436027.0	0.0002482827112472068	344027.0	0.0009270638866090377	86240.0	-0.0029487083074414317	1223067.0	-0.0012240666491799947
436187.0	0.0005745039261187951	386267.0	0.0003983417181806178	436187.0	-0.000620706778118017	344187.0	0.0006293828221015511	86400.0	-0.0012863492616355238	1223227.0	0.0002747904722649037
436347.0	-0.0001025899868069277	386427.0	0.00017704076363583387	436347.0	-0.0008276090374906894	344347.0	0.001054641485683675	86560.0	-0.0016029890798842682	1223387.0	2.498095202408732e-05
436507.0	-0.0003898419498663253	386587.0	0.00017704076363583387	436507.0	0.0005379458743689481	344507.0	-0.0003912379704955462	86720.0	-0.00227584869366285	1223547.0	0.0007744095127465365
436667.0	-6.155399208415662e-05	386747.0	0.0008409436272701857	436667.0	0.000703467681867086	344667.0	-0.0001786086387044843	86880.0	-0.0011280293525111518	1223707.0	0.0009617666529271488
436827.0	0.00014362598152969878	386907.0	0.0002508077484840952	436827.0	0.0003724240668708102	344827.0	-8.505173271634742e-06	87040.0	-0.002196688739100664	1223867.0	-0.0009742571289391783
436987.0	0.0005539859287574096	387067.0	-0.00015491066818134206	436987.0	-0.0013655549118596374	344987.0	3.402069308657764e-05	87200.0	-0.00136550921619771	1224027.0	-3.747142803611678e-05
437147.0	-0.00014362598152969878	387227.0	0.0003245747333323565	437147.0	-0.00020690225937267234	345147.0	0.0014799001492657986	87360.0	-0.0014842491480409892	1224187.0	0.0008993142728669447
437307.0	-0.00047191393931186746	387387.0	0.0005458756878771405	437307.0	-4.138045187453447e-05	345307.0	0.001054641485683675	87520.0	-0.001444669170759896	1224347.0	2.498095202408732e-05
437467.0	-6.155399208415662e-05	387547.0	0.0002508077484840952	437467.0	0.00016552180749813787	345467.0	0.0005443310893851263	87680.0	-0.0018800489208519195	1224507.0	0.0014613856934087815
437627.0	-2.051799736138554e-05	387707.0	0.0005089921954530098	437627.0	-0.00016552180749813787	345627.0	0.0004167534903104891	87840.0	-0.00267164846647378	1224667.0	-0.00022482856821672906
437787.0	-0.00047191393931186746	387867.0	-0.00015491066818134206	437787.0	0.0005379458743689481	345787.0	-5.1031039629847126e-05	88000.0	-0.0019196288981330125	1224827.0	-0.0005370904685177496
437947.0	-0.0006360579182029518	388027.0	6.639028636344189e-05	437947.0	0.000703467681867086	345947.0	0.0014373742829075864	88160.0	-0.002196688739100664	1224987.0	-0.00028728094827693316
438107.0	2.051799736138554e-05	388187.0	-0.00041309511515025667	438107.0	-0.0004965654224944136	346107.0	-0.00026366037142090904	88320.0	-0.0027903883983170594	1225147.0	0.000462147612445516
438267.0	0.0004103599472277108	388347.0	-0.00037621162272612603	438267.0	-0.0005793263262434825	346267.0	-0.0007314449013612453	88480.0	-0.003265348125690176	1225307.0	-0.0005370904685177496
438427.0	0.0002462159683366265	388507.0	0.0012466620439356229	438427.0	-0.0005379458743689481	346427.0	-0.0006038673022866082	88640.0	-0.004056947671312037	1225467.0	0.0012115761731679652
438587.0	0.0003898419498663253	388667.0	0.0012097785515114924	438587.0	0.0	346587.0	-0.00034871210413733384	88800.0	-0.0027508084210359665	1225627.0	0.00014988571214449552
438747.0	0.000266733965698012	388827.0	0.0008778271196943164	438747.0	-0.0006620872299925515	346747.0	-0.0007314449013612453	88960.0	-0.0019987888526951988	1225787.0	-0.0018485904497820356
438907.0	0.0003077699604207831	388987.0	0.00017704076363583387	438907.0	0.00020690225937267234	346907.0	0.0007569604211761882	89120.0	-0.0031861881711279898	1225947.0	0.00039969523238531194
439067.0	-0.00014362598152969878	389147.0	-0.00019179416060547273	439067.0	-8.276090374906894e-05	347067.0	-0.0001786086387044843	89280.0	-0.0038194678076254786	1226107.0	-0.0019110428298422398
439227.0	-0.0003077699604207831	389307.0	0.0011728950590873617	439227.0	0.0004138045187453447	347227.0	0.0003742276239522767	89440.0	-0.0028299683755981524	1226267.0	0.000462147612445516
439387.0	-0.00028725196305939756	389467.0	-0.0004499786075743873	439387.0	0.0002482827112472068	347387.0	0.0006719086884597634	89600.0	-0.0027112284437548735	1226427.0	0.0007744095127465365
439547.0	-8.207198944554216e-05	389627.0	6.639028636344189e-05	439547.0	0.0004965654224944136	347547.0	-9.355690598805951e-05	89760.0	-0.002236268716381757	1226587.0	0.001711195213649598
439707.0	0.00036932395250493974	389787.0	0.0013204290287838843	439707.0	-0.0007448481337416204	347707.0	0.0013097966838329493	89920.0	-0.0027903883983170594	1226747.0	-3.747142803611678e-05
439867.0	0.00028725196305939756	389947.0	6.639028636344189e-05	439867.0	-0.00020690225937267234	347867.0	0.00020412415851942718	90080.0	-0.0036611478985011064	1226907.0	0.0006495047526261283
