"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.0700e+06","4.7725e-12","4.8143e-12","1.0191e-07","1.0203e-07","2.0000e+00","7.1870e-01","1.0404e-04"," 0.02 %"
"3.6700e+06","4.7971e-12","4.8391e-12","1.1360e-07","1.1373e-07","1.8571e+00","7.1870e-01","1.0173e-06"," 0.00 %"
"4.1015e+06","4.7971e-12","4.8391e-12","1.0165e-07","1.0176e-07","2.0000e+00","7.1870e-01","9.1090e-05"," 0.02 %"
"1.4613e+06","4.8217e-12","4.8639e-12","2.8678e-07","2.8710e-07","1.0000e+00","7.1870e-01","1.1518e-04"," 0.02 %"
"4.1331e+06","4.8217e-12","4.8639e-12","1.0139e-07","1.0150e-07","2.0000e+00","7.1870e-01","9.1113e-05"," 0.02 %"
"1.4725e+06","4.8463e-12","4.8887e-12","2.8605e-07","2.8637e-07","1.0000e+00","7.1870e-01","5.3301e-06"," 0.00 %"
"1.4837e+06","4.8709e-12","4.9135e-12","2.8533e-07","2.8565e-07","1.0000e+00","7.1870e-01","2.4993e-05"," 0.00 %"
"4.1965e+06","4.8709e-12","4.9135e-12","1.0088e-07","1.0099e-07","2.0000e+00","7.1870e-01","9.9821e-05"," 0.02 %"
"4.2283e+06","4.8955e-12","4.9384e-12","1.0063e-07","1.0074e-07","2.0000e+00","7.1870e-01","5.9621e-05"," 0.01 %"
"1.5062e+06","4.9201e-12","4.9632e-12","2.8390e-07","2.8421e-07","1.0000e+00","7.1870e-01","2.0328e-05"," 0.00 %"
"4.2602e+06","4.9201e-12","4.9632e-12","1.0037e-07","1.0049e-07","2.0000e+00","7.1870e-01","9.3753e-05"," 0.02 %"
"1.8541e+06","4.9447e-12","4.9880e-12","2.3179e-07","2.3205e-07","1.1429e+00","7.1870e-01","2.4106e-05"," 0.00 %"
"2.9894e+06","4.9447e-12","4.9880e-12","1.4376e-07","1.4392e-07","1.5714e+00","7.1870e-01","1.3318e-05"," 0.00 %"
"4.2922e+06","4.9447e-12","4.9880e-12","1.0012e-07","1.0023e-07","2.0000e+00","7.1870e-01","5.8271e-05"," 0.01 %"
"3.4316e+06","4.9693e-12","5.0128e-12","1.2586e-07","1.2600e-07","1.7143e+00","7.1870e-01","7.3358e-06"," 0.00 %"
"4.3243e+06","4.9693e-12","5.0128e-12","9.9876e-08","9.9986e-08","2.0000e+00","7.1870e-01","7.1466e-05"," 0.01 %"
"1.5402e+06","4.9939e-12","5.0376e-12","2.8180e-07","2.8211e-07","1.0000e+00","7.1870e-01","2.5913e-05"," 0.00 %"
"2.2455e+06","4.9939e-12","5.0376e-12","1.9329e-07","1.9351e-07","1.2857e+00","7.1870e-01","2.4300e-05"," 0.00 %"
"3.8981e+06","4.9939e-12","5.0376e-12","1.1134e-07","1.1147e-07","1.8571e+00","7.1870e-01","1.9685e-05"," 0.00 %"
"4.3564e+06","4.9939e-12","5.0376e-12","9.9630e-08","9.9740e-08","2.0000e+00","7.1870e-01","7.8830e-05"," 0.01 %"
"1.5516e+06","5.0185e-12","5.0624e-12","2.8110e-07","2.8142e-07","1.0000e+00","7.1870e-01","3.9318e-06"," 0.00 %"
"2.2621e+06","5.0185e-12","5.0624e-12","1.9282e-07","1.9303e-07","1.2857e+00","7.1870e-01","1.3498e-05"," 0.00 %"
"2.6494e+06","5.0185e-12","5.0624e-12","1.6463e-07","1.6481e-07","1.4286e+00","7.1870e-01","1.0126e-05"," 0.00 %"
"3.0565e+06","5.0185e-12","5.0624e-12","1.4270e-07","1.4286e-07","1.5714e+00","7.1870e-01","8.1423e-06"," 0.00 %"
"3.9270e+06","5.0185e-12","5.0624e-12","1.1107e-07","1.1119e-07","1.8571e+00","7.1870e-01","1.5819e-05"," 0.00 %"
"4.3887e+06","5.0185e-12","5.0624e-12","9.9385e-08","9.9495e-08","2.0000e+00","7.1870e-01","6.4657e-05"," 0.01 %"
"1.5631e+06","5.0431e-12","5.0872e-12","2.8042e-07","2.8073e-07","1.0000e+00","7.1870e-01","4.6120e-05"," 0.01 %"
"2.6689e+06","5.0431e-12","5.0872e-12","1.6423e-07","1.6441e-07","1.4286e+00","7.1870e-01","2.2604e-05"," 0.00 %"
"4.4210e+06","5.0431e-12","5.0872e-12","9.9142e-08","9.9252e-08","2.0000e+00","7.1870e-01","1.0555e-04"," 0.02 %"
