"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"3.3913e+05","1.8214e-12","1.8368e-12","4.6683e-07","4.6719e-07","1.0000e+00","7.1870e-01","3.5258e-03"," 0.83 %"
"4.1433e+05","1.8214e-12","1.8368e-12","3.8209e-07","3.8238e-07","1.1429e+00","7.1870e-01","1.2567e-04"," 0.03 %"
"6.6804e+05","1.8214e-12","1.8368e-12","2.3698e-07","2.3716e-07","1.5714e+00","7.1870e-01","6.9410e-06"," 0.00 %"
"8.5828e+05","1.8214e-12","1.8368e-12","1.8445e-07","1.8460e-07","1.8571e+00","7.1870e-01","6.5790e-05"," 0.02 %"
"9.5919e+05","1.8214e-12","1.8368e-12","1.6505e-07","1.6517e-07","2.0000e+00","7.1870e-01","1.8108e-05"," 0.00 %"
"4.2275e+05","1.8460e-12","1.8616e-12","3.7954e-07","3.7983e-07","1.1429e+00","7.1870e-01","1.2909e-04"," 0.03 %"
"5.0445e+05","1.8460e-12","1.8616e-12","3.1807e-07","3.1832e-07","1.2857e+00","7.1870e-01","1.2735e-04"," 0.03 %"
"7.7665e+05","1.8460e-12","1.8616e-12","2.0659e-07","2.0675e-07","1.7143e+00","7.1870e-01","7.2369e-06"," 0.00 %"
"8.7573e+05","1.8460e-12","1.8616e-12","1.8322e-07","1.8336e-07","1.8571e+00","7.1870e-01","3.1647e-05"," 0.01 %"
"9.7869e+05","1.8460e-12","1.8616e-12","1.6395e-07","1.6407e-07","2.0000e+00","7.1870e-01","2.1533e-05"," 0.01 %"
"3.5296e+05","1.8706e-12","1.8865e-12","4.6065e-07","4.6100e-07","1.0000e+00","7.1870e-01","1.1063e-02"," 2.60 %"
"4.3123e+05","1.8706e-12","1.8865e-12","3.7703e-07","3.7732e-07","1.1429e+00","7.1870e-01","5.4259e-05"," 0.01 %"
"5.1457e+05","1.8706e-12","1.8865e-12","3.1597e-07","3.1622e-07","1.2857e+00","7.1870e-01","1.8107e-05"," 0.00 %"
"7.9223e+05","1.8706e-12","1.8865e-12","2.0523e-07","2.0539e-07","1.7143e+00","7.1870e-01","5.9510e-05"," 0.01 %"
"8.9329e+05","1.8706e-12","1.8865e-12","1.8201e-07","1.8215e-07","1.8571e+00","7.1870e-01","4.6171e-05"," 0.01 %"
"9.9832e+05","1.8706e-12","1.8865e-12","1.6286e-07","1.6299e-07","2.0000e+00","7.1870e-01","1.5017e-05"," 0.00 %"
"3.5995e+05","1.8952e-12","1.9113e-12","4.5765e-07","4.5800e-07","1.0000e+00","7.1870e-01","6.2331e-03"," 1.47 %"
"4.3977e+05","1.8952e-12","1.9113e-12","3.7458e-07","3.7486e-07","1.1429e+00","7.1870e-01","1.3471e-04"," 0.03 %"
"6.1460e+05","1.8952e-12","1.9113e-12","2.6803e-07","2.6823e-07","1.4286e+00","7.1870e-01","1.3555e-05"," 0.00 %"
"1.0181e+06","1.8952e-12","1.9113e-12","1.6180e-07","1.6193e-07","2.0000e+00","7.1870e-01","2.6598e-05"," 0.01 %"
"3.6698e+05","1.9198e-12","1.9361e-12","4.5470e-07","4.5505e-07","1.0000e+00","7.1870e-01","6.5780e-03"," 1.55 %"
"1.0380e+06","1.9198e-12","1.9361e-12","1.6076e-07","1.6089e-07","2.0000e+00","7.1870e-01","7.6859e-06"," 0.00 %"
"3.7406e+05","1.9444e-12","1.9609e-12","4.5182e-07","4.5217e-07","1.0000e+00","7.1870e-01","6.1522e-03"," 1.45 %"
"4.5701e+05","1.9444e-12","1.9609e-12","3.6981e-07","3.7009e-07","1.1429e+00","7.1870e-01","9.4397e-05"," 0.02 %"
"1.0580e+06","1.9444e-12","1.9609e-12","1.5974e-07","1.5987e-07","2.0000e+00","7.1870e-01","4.1289e-05"," 0.01 %"
"3.8118e+05","1.9691e-12","1.9857e-12","4.4899e-07","4.4933e-07","1.0000e+00","7.1870e-01","3.1114e-03"," 0.73 %"
"4.6571e+05","1.9691e-12","1.9857e-12","3.6749e-07","3.6777e-07","1.1429e+00","7.1870e-01","1.3896e-04"," 0.03 %"
"8.5556e+05","1.9691e-12","1.9857e-12","2.0004e-07","2.0019e-07","1.7143e+00","7.1870e-01","7.8252e-06"," 0.00 %"
"1.0781e+06","1.9691e-12","1.9857e-12","1.5874e-07","1.5886e-07","2.0000e+00","7.1870e-01","6.1446e-05"," 0.01 %"
"3.8834e+05","1.9937e-12","2.0105e-12","4.4621e-07","4.4655e-07","1.0000e+00","7.1870e-01","2.3178e-03"," 0.54 %"
"4.8328e+05","2.0183e-12","2.0353e-12","3.6298e-07","3.6326e-07","1.1429e+00","7.1870e-01","5.2926e-05"," 0.01 %"
"5.7666e+05","2.0183e-12","2.0353e-12","3.0420e-07","3.0443e-07","1.2857e+00","7.1870e-01","6.8096e-05"," 0.02 %"
"6.7540e+05","2.0183e-12","2.0353e-12","2.5973e-07","2.5993e-07","1.4286e+00","7.1870e-01","5.8065e-06"," 0.00 %"
"8.8783e+05","2.0183e-12","2.0353e-12","1.9758e-07","1.9773e-07","1.7143e+00","7.1870e-01","1.4253e-05"," 0.00 %"
"1.1188e+06","2.0183e-12","2.0353e-12","1.5679e-07","1.5691e-07","2.0000e+00","7.1870e-01","1.8107e-05"," 0.00 %"
"6.8779e+05","2.0429e-12","2.0601e-12","2.5816e-07","2.5836e-07","1.4286e+00","7.1870e-01","8.2270e-06"," 0.00 %"
"1.0195e+06","2.0429e-12","2.0601e-12","1.7417e-07","1.7430e-07","1.8571e+00","7.1870e-01","1.7342e-05"," 0.00 %"
"1.1393e+06","2.0429e-12","2.0601e-12","1.5585e-07","1.5597e-07","2.0000e+00","7.1870e-01","7.6544e-07"," 0.00 %"
"4.1011e+05","2.0675e-12","2.0850e-12","4.3817e-07","4.3851e-07","1.0000e+00","7.1870e-01","9.9098e-04"," 0.23 %"
