Sample IDs:;251006_buffer;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
528.52001953125;-0.0397958420217037;-0.0363581366837025;-0.0399482622742653
528.969970703125;-0.02487962692976;-0.0329564586281776;-0.0434415601193905
529.549987792969;-0.0398034416139126;-0.033889964222908;-0.0341194123029709
530;-0.0452962294220924;-0.0418462119996548;-0.0488477014005184
530.440002441406;-0.0353855267167091;-0.0388779118657112;-0.0335477516055107
531.039978027344;-0.024089690297842;-0.048799280077219;-0.0517923384904861
531.489990234375;-0.0507744513452053;-0.0373739153146744;-0.0577179454267025
531.940002441406;-0.0527328886091709;-0.0507898814976215;-0.0429372973740101
532.530029296875;-0.040647104382515;-0.0601989701390266;-0.0384251698851585
532.97998046875;-0.0407035127282143;-0.0517599582672119;-0.0404862686991692
533.429992675781;-0.032733142375946;-0.0398579575121403;-0.0488468930125236
534.02001953125;-0.0441767871379852;-0.0453271791338921;-0.0493412651121616
534.469970703125;-0.0452488400042057;-0.0493183881044388;-0.0409917831420898
535.070007324219;-0.0417379811406136;-0.0478366911411285;-0.0498504415154457
535.52001953125;-0.0501570664346218;-0.0404384136199951;-0.0552674010396004
535.969970703125;-0.050189983099699;-0.0493924431502819;-0.0528094694018364
536.559997558594;-0.0481523349881172;-0.0439673326909542;-0.0439518056809902
537.010009765625;-0.0472141653299332;-0.0611632615327835;-0.0449622869491577
537.460021972656;-0.0522228516638279;-0.0523210093379021;-0.0562427267432213
538.049987792969;-0.0437010712921619;-0.041524600237608;-0.0518132410943508
538.5;-0.0492329932749271;-0.0449757538735867;-0.0400381460785866
538.950012207031;-0.0507401078939438;-0.0479154139757156;-0.05329529941082
539.549987792969;-0.0467310920357704;-0.0454318076372147;-0.0498673245310783
540;-0.0431910157203674;-0.0455034747719765;-0.0469120927155018
540.440002441406;-0.052227258682251;-0.0464454628527164;-0.0572256594896317
541.02001953125;-0.050279326736927;-0.0454294271767139;-0.0425384044647217
541.469970703125;-0.0383210256695747;-0.0528011918067932;-0.0518393181264401
542.049987792969;-0.0492667146027088;-0.0488776750862598;-0.0557564795017242
542.5;-0.0562306270003319;-0.0616337023675442;-0.0518377162516117
542.940002441406;-0.0502652190625668;-0.0488575361669064;-0.0498786456882954
543.52001953125;-0.0488241761922836;-0.0547706298530102;-0.0547721572220325
543.969970703125;-0.0482752025127411;-0.0528066232800484;-0.0582074411213398
544.549987792969;-0.0537675730884075;-0.0473957359790802;-0.0479307621717453
545;-0.0537516511976719;-0.0537656433880329;-0.0640609264373779
545.440002441406;-0.0454052947461605;-0.0552531704306602;-0.0449841991066933
546.02001953125;-0.0502992570400238;-0.0532812997698784;-0.0459716022014618
546.469970703125;-0.0512662082910538;-0.0513208694756031;-0.0391137339174747
547.049987792969;-0.0537521690130234;-0.0478797927498817;-0.0484481528401375
547.5;-0.0522925704717636;-0.0582132898271084;-0.0474390164017677
547.940002441406;-0.0468798168003559;-0.0547736957669258;-0.0572256594896317
548.52001953125;-0.0596959553658962;-0.0503650046885014;-0.0547765903174877
548.969970703125;-0.0532747507095337;-0.0572256594896317;-0.0538118779659271
549.549987792969;-0.0473216287791729;-0.0468746684491634;-0.0455317981541157
550;-0.0507800541818142;-0.0483838878571987;-0.0513770096004009
550.440002441406;-0.0478062257170677;-0.0557492040097713;-0.0518626347184181
551.039978027344;-0.0582165531814098;-0.0517976656556129;-0.0464877560734749
551.489990234375;-0.0419932454824448;-0.0518008433282375;-0.0513555519282818
551.940002441406;-0.0527549125254154;-0.0572256594896317;-0.0484397038817406
552.530029296875;-0.048285499215126;-0.0399308726191521;-0.051360946148634
552.97998046875;-0.0567278675734997;-0.0611875168979168;-0.0552673637866974
553.429992675781;-0.0587132088840008;-0.0552420429885387;-0.0474844202399254
554.02001953125;-0.0503054298460484;-0.0522615909576416;-0.0391962006688118
554.469970703125;-0.0472873821854591;-0.0502805113792419;-0.0586906224489212
555.070007324219;-0.0433579906821251;-0.0473401844501495;-0.0552778169512749
555.52001953125;-0.0587139911949635;-0.0567309185862541;-0.0557576157152653
555.969970703125;-0.0379187762737274;-0.0542527697980404;-0.0611277110874653
556.559997558594;-0.0468098744750023;-0.0562359839677811;-0.0547751411795616
557.010009765625;-0.0468405559659004;-0.0577216185629368;-0.0567324683070183
557.460021972656;-0.0498108863830566;-0.0577186793088913;-0.0478454120457172
558.049987792969;-0.0467607118189335;-0.0483225584030151;-0.0478477254509926
558.5;-0.0423410832881927;-0.0517689473927021;-0.0577185675501823
558.950012207031;-0.0397656597197056;-0.0488003566861153;-0.0468895025551319
559.549987792969;-0.0547393336892128;-0.0522475987672806;-0.0478721857070923
560;-0.0517206303775311;-0.0572256594896317;-0.0523071512579918
