Sample IDs:;251006_251002B_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
495.519989013672;0.49990040063858;0.412945985794067;0.449897050857544
495.970001220703;0.527497351169586;0.41142874956131;0.451832950115204
496.559997558594;0.487712144851685;0.429572224617004;0.451595783233643
497.010009765625;0.497085869312286;0.422252058982849;0.440687894821167
497.459991455078;0.499710559844971;0.410771191120148;0.462569177150726
498.049987792969;0.491860151290894;0.417340099811554;0.423463582992554
498.5;0.476811528205872;0.438249826431274;0.416343808174133
498.950012207031;0.491012156009674;0.411065518856049;0.405465006828308
499.549987792969;0.482811033725738;0.422607719898224;0.412276208400726
500;0.461851835250854;0.397982597351074;0.425232350826263
500.440002441406;0.457907617092133;0.398048877716064;0.422142565250397
501.040008544922;0.433530032634735;0.404833316802978;0.407553672790527
501.489990234375;0.415776968002319;0.385728001594543;0.4255011677742
501.940002441406;0.420472979545593;0.392756700515747;0.423334896564484
502.529998779297;0.419614613056183;0.409661889076233;0.430117428302765
502.980010986328;0.411473751068115;0.400503873825073;0.413107693195343
503.429992675781;0.395568549633026;0.389926910400391;0.395357191562653
504.019989013672;0.385274291038513;0.401935040950775;0.396495521068573
504.470001220703;0.377931416034698;0.400592744350433;0.417246043682098
505.070007324219;0.380436599254608;0.425483703613281;0.412511706352234
505.519989013672;0.388164639472961;0.392868220806122;0.395880162715912
505.970001220703;0.374086499214172;0.373119056224823;0.40978866815567
506.559997558594;0.382537126541138;0.392630934715271;0.407762885093689
507.010009765625;0.397661149501801;0.416981518268585;0.399694502353668
507.459991455078;0.373553812503815;0.40807318687439;0.398443996906281
508.049987792969;0.387634098529816;0.387854993343353;0.402634382247925
508.5;0.389390528202057;0.396371006965637;0.404622375965118
508.950012207031;0.378151416778564;0.395282924175262;0.400740027427673
509.549987792969;0.373589873313904;0.412973761558533;0.429685175418854
510;0.403474867343903;0.414366543292999;0.415183484554291
510.440002441406;0.392631471157074;0.421218156814575;0.452849745750427
511.040008544922;0.399214029312134;0.443653464317322;0.447204768657684
511.489990234375;0.397394061088562;0.446797549724579;0.438209176063538
511.940002441406;0.407971382141113;0.433078706264496;0.433039844036102
512.530029296875;0.409580171108246;0.439842343330383;0.428809523582458
512.97998046875;0.399691462516785;0.438139259815216;0.452246248722076
513.429992675781;0.408416628837585;0.447106122970581;0.441238343715668
514.02001953125;0.412751197814941;0.439069092273712;0.460603356361389
514.469970703125;0.449885547161102;0.461078763008118;0.460327804088593
515.070007324219;0.432532608509064;0.456240177154541;0.473021626472473
515.52001953125;0.438615322113037;0.457621276378632;0.469606041908264
515.969970703125;0.413546144962311;0.45680183172226;0.471540689468384
516.559997558594;0.445715367794037;0.450709640979767;0.468323767185211
517.010009765625;0.416383862495422;0.456008970737457;0.466993153095245
517.460021972656;0.410706996917725;0.460824906826019;0.455703794956207
518.049987792969;0.410845100879669;0.42386269569397;0.449702441692352
518.5;0.420306742191315;0.445838153362274;0.470147371292114
518.950012207031;0.412111759185791;0.419351279735565;0.427816092967987
519.549987792969;0.41379588842392;0.443832516670227;0.43984717130661
520;0.393512189388275;0.415676176548004;0.424842417240143
520.440002441406;0.389330387115479;0.421416282653809;0.403536558151245
521.02001953125;0.359876215457916;0.391797423362732;0.394717991352081
521.469970703125;0.371924698352814;0.376668632030487;0.406915605068207
522.049987792969;0.345970094203949;0.36728036403656;0.374749541282654
522.5;0.343331694602966;0.366340219974518;0.357494115829468
522.940002441406;0.331177771091461;0.349924802780151;0.354727208614349
523.52001953125;0.325034081935883;0.335555911064148;0.338927567005157
523.969970703125;0.308116734027863;0.304568290710449;0.333484768867493
524.549987792969;0.294619262218475;0.3023362159729;0.313975512981415
525;0.280124604701996;0.286082804203033;0.310387492179871
525.440002441406;0.274434685707092;0.293334126472473;0.295652210712433
526.02001953125;0.273764133453369;0.265368640422821;0.275531947612762
526.469970703125;0.267491638660431;0.281409621238709;0.283362329006195
527.049987792969;0.235692992806435;0.256982862949371;0.244539842009544
527.5;0.245623841881752;0.263476967811584;0.237187638878822
527.940002441406;0.225697800517082;0.247922495007515;0.267555892467499
528.52001953125;0.22404845058918;0.237043783068657;0.238154217600822
528.969970703125;0.244006559252739;0.211952939629555;0.238438621163368
529.549987792969;0.226380690932274;0.226252660155296;0.230944439768791
530;0.211111292243004;0.226920202374458;0.223044380545616
530.440002441406;0.197478726506233;0.226311221718788;0.20462141931057
531.039978027344;0.209545746445656;0.204623773694038;0.209581986069679
531.489990234375;0.195918515324593;0.203331485390663;0.203168675303459
