ID#	1															
Name	AB(M1-42)_205															
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
49	260105 seeded temp sol_37c2d_5_49_38.lcd	Unknown	37c2d_5	C5	4.208	12498	0.446	2972	-----	-----	-----	4.1	4.6	0.12	37.66	1.423
50	260105 seeded temp sol_37c7d_5_50_39.lcd	Unknown	37c7d_5	C10	4.338	66199	2.735	10616	-----	-----	-----	4.1	4.6	0.25	110.43	0.869
51	260105 seeded temp sol_60c2d_5_51_40.lcd	Unknown	60c2d_5	D5	4.208	270041	11.421	36449	-----	-----	-----	4.1	4.6	0.25	455.29	2.852
52	260105 seeded temp sol_60c7d_5_52_41.lcd	Unknown	60c7d_5	D10	4.203	173795	7.32	28264	-----	-----	-----	4.1	4.6	0.3	240.97	2.509
53	260105 seeded temp sol_80c2d_5_53_42.lcd	Unknown	80c2d_5	E5	4.197	173393	7.303	21692	-----	-----	-----	-----	4.6	0.21	355.33	2.646
54	260105 seeded temp sol_80c7d_5_54_43.lcd	Unknown	80c7d_5	E10	4.19	1152610	49.031	155313	-----	-----	-----	-----	4.6	0.22	2182.04	2.792
55	260105 seeded temp sol_37c2d_1_55_44.lcd	Unknown	37c2d_1	H5	4.212	8191	0.263	1508	-----	-----	-----	4.1	4.6	0	-----	2.535
56	260105 seeded temp sol_80c7d_1_56_45.lcd	Unknown	80c7d_1	H6	4.205	1201662	51.121	177832	-----	-----	-----	4.1	4.6	0.25	2020.83	3.64
57	260105 seeded temp sol_80c2d_2_57_46.lcd	Unknown	80c2d_2	H7	4.198	212368	8.964	24975	-----	-----	-----	-----	4.6	0.24	366.84	2.764
58	260105 seeded temp sol_none_0_47.lcd	Unknown	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
59	260105 seeded temp sol_10c2d_B_58_48.lcd	Unknown	10c2d_B	A11	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
60	260105 seeded temp sol_10c7d_B_59_49.lcd	Unknown	10c7d_B	A12	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
61	260105 seeded temp sol_21c2d_B_60_50.lcd	Unknown	21c2d_B	B11	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
62	260105 seeded temp sol_21c7d_B_61_51.lcd	Unknown	21c7d_B	B12	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
63	260105 seeded temp sol_37c7d_B_62_52.lcd	Unknown	37c7d_B	C12	4.212	20687	0.795	2376	-----	-----	-----	4.1	4.6	0.22	35.42	2.143
64	260105 seeded temp sol_60c2d_B_63_53.lcd	Unknown	60c2d_B	D11	4.21	107233	4.483	17185	-----	-----	-----	4.1	4.6	0.18	244.3	2.57
65	260105 seeded temp sol_60c7d_B_64_54.lcd	Unknown	60c7d_B	D12	4.202	127982	5.368	22192	-----	-----	-----	4.1	4.6	0.19	288.56	2.325
66	260105 seeded temp sol_final clean_65_55.lcd	Unknown	final clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
67	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.395	1872	-0.007	1227	0.11	-5.9	*	4.362	4.445	0	29.01	1.099
68	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.397	2086	0.003	1277	0.11	2.4	*	4.347	4.435	0	24.76	1.176
69	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.412	9363	0.313	4412	0.33	94.8	*	4.357	4.545	0.03	93.19	1.737
70	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.407	9840	0.333	4726	0.33	100.9	*	4.33	4.488	0.03	112.1	1.024
71	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.41	26119	1.027	13193	1	102.7	*	4.1	4.492	0.04	275.81	0.964
72	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.405	26554	1.045	13510	1	104.5	*	4.1	4.49	0.03	300.6	1.071
73	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.402	67820	2.804	34074	3	93.5	*	4.1	4.6	0.05	551.38	0.947
74	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.4	69327	2.868	33570	3	95.6	*	4.1	4.567	0.06	473.46	0.982
75	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.403	212748	8.98	107226	9	99.8	*	4.1	4.588	0.05	1949.55	1.065
76	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.407	210862	8.899	106248	9	98.9	*	4.1	4.592	0.05	1709.78	1.088
77	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.4	607098	25.784	288750	27	95.5	*	4.1	4.605	0.05	5315.69	1.101
78	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.4	631377	26.819	304193	27	99.3	*	4.1	4.607	0.06	4717.57	1.083
	Average				4.403	156256	6.572	76034		82.8		4.334	4.528	0.04	1296.08	1.112
	%RSD				0.116203	146.310104	148.229586	144.079327		44.556094		0.449119	1.385858	53.953084	143.019324	18.679297
	Maximum				4.412	631377	26.819	304193		104.5		4.362	4.607	0.06	5315.69	1.737
	Minimum				4.395	1872	-0.007	1227		2.4		4.297	4.435	0	24.76	0.947
	Std. Dev.				0.005116	228617.643298	9.742142	109549.26669		36.896979		0.019467	0.062754	0.020186	1853.638013	0.207626
