Sample IDs:;251003_251002K_tht_1days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
491.040008544922;0.577314138412476;0.558429718017578;0.5507692694664
491.489990234375;0.562186181545258;0.537658154964447;0.562345266342163
491.940002441406;0.573215663433075;0.545586407184601;0.544592142105103
492.529998779297;0.575232207775116;0.539376199245453;0.555545032024384
492.980010986328;0.570437431335449;0.564021170139313;0.549368023872375
493.429992675781;0.552565813064575;0.540034532546997;0.570414125919342
494.019989013672;0.549259901046753;0.565775156021118;0.552060663700104
494.470001220703;0.558794617652893;0.542535185813904;0.525803804397583
495.070007324219;0.576783120632172;0.548646032810211;0.527198791503906
495.519989013672;0.562321901321411;0.531090974807739;0.540587067604065
495.970001220703;0.553724765777588;0.519105315208435;0.538122713565826
496.559997558594;0.539458274841309;0.539890766143799;0.524249374866486
497.010009765625;0.559690475463867;0.539890885353088;0.543690145015717
497.459991455078;0.525557219982147;0.525689542293549;0.557105958461761
498.049987792969;0.525430202484131;0.509815692901611;0.53802090883255
498.5;0.534449458122253;0.539906859397888;0.515706896781921
498.950012207031;0.534504652023315;0.501629412174225;0.521271049976349
499.549987792969;0.51531857252121;0.537378132343292;0.5076744556427
500;0.53546142578125;0.514366090297699;0.553806900978088
500.440002441406;0.516554355621338;0.495188862085342;0.514006912708282
501.040008544922;0.518600463867188;0.5057173371315;0.509434640407562
501.489990234375;0.544192492961884;0.485740631818771;0.513826012611389
501.940002441406;0.51761531829834;0.504858613014221;0.494660586118698
502.529998779297;0.526675581932068;0.511063516139984;0.509135782718658
502.980010986328;0.517919301986694;0.478991776704788;0.498699575662613
503.429992675781;0.541238963603973;0.507638454437256;0.514761626720428
504.019989013672;0.499866753816605;0.476317256689072;0.497618824243546
504.470001220703;0.506673991680145;0.466901153326035;0.504357159137726
505.070007324219;0.503211915493011;0.481934159994125;0.500071108341217
505.519989013672;0.505636811256409;0.496360450983047;0.48913100361824
505.970001220703;0.491904705762863;0.479778259992599;0.501209020614624
506.559997558594;0.506492674350738;0.483967393636703;0.490736693143845
507.010009765625;0.486337393522263;0.49192276597023;0.491171926259994
507.459991455078;0.485259205102921;0.48860576748848;0.50056266784668
508.049987792969;0.519105017185211;0.522663831710815;0.523325026035309
508.5;0.518134415149689;0.496152967214584;0.497221559286118
508.950012207031;0.513511419296265;0.5007603764534;0.509430468082428
509.549987792969;0.533658683300018;0.520672678947449;0.509104311466217
510;0.502348005771637;0.517529845237732;0.50891250371933
510.440002441406;0.54400360584259;0.516119301319122;0.490430980920792
511.040008544922;0.533596456050873;0.514589309692383;0.531136870384216
511.489990234375;0.538062214851379;0.520853877067566;0.505976140499115
511.940002441406;0.53205281496048;0.512166440486908;0.54620760679245
512.530029296875;0.550029337406158;0.555453598499298;0.546071231365204
512.97998046875;0.562354981899262;0.552226781845093;0.55137574672699
513.429992675781;0.558896541595459;0.525136828422546;0.527045607566833
514.02001953125;0.560466408729553;0.56251460313797;0.543025970458984
514.469970703125;0.537653982639313;0.546060621738434;0.548189282417297
515.070007324219;0.558895468711853;0.531421184539795;0.539832949638367
515.52001953125;0.55586838722229;0.543939292430878;0.558438420295715
515.969970703125;0.545128166675568;0.554434299468994;0.551751792430878
516.559997558594;0.533274531364441;0.539039313793182;0.553353548049927
517.010009765625;0.535466134548187;0.541471660137177;0.54027795791626
517.460021972656;0.546998739242554;0.534564018249512;0.543127357959747
518.049987792969;0.539140939712524;0.551392138004303;0.529778599739075
518.5;0.54279351234436;0.522020518779755;0.527540266513824
518.950012207031;0.506399810314178;0.523620665073395;0.526378393173218
519.549987792969;0.514569759368897;0.495933145284653;0.514901578426361
520;0.501184523105621;0.508474349975586;0.505236387252808
520.440002441406;0.518026232719421;0.49640229344368;0.476410359144211
521.02001953125;0.496491342782974;0.470448464155197;0.473842173814774
521.469970703125;0.476600736379623;0.48473659157753;0.45865061879158
522.049987792969;0.447346597909927;0.446302682161331;0.468831270933151
522.5;0.457348257303238;0.438542038202286;0.442283183336258
522.940002441406;0.425570547580719;0.417210191488266;0.410375386476517
523.52001953125;0.416859775781631;0.402503162622452;0.387546330690384
523.969970703125;0.403097718954086;0.394493013620377;0.387363165616989
524.549987792969;0.398225218057632;0.412301480770111;0.371384590864182
525;0.357695907354355;0.355499029159546;0.392259985208511
525.440002441406;0.375373840332031;0.363341182470322;0.36928254365921
526.02001953125;0.365526139736176;0.345757305622101;0.349856078624725
526.469970703125;0.365818917751312;0.331664264202118;0.348878055810928
527.049987792969;0.315849423408508;0.343096137046814;0.34156996011734
527.5;0.315723031759262;0.339291602373123;0.313576638698578
527.940002441406;0.335911899805069;0.314762383699417;0.323474615812302
528.52001953125;0.325306236743927;0.308232307434082;0.303870230913162
528.969970703125;0.315059632062912;0.290112167596817;0.302407115697861
529.549987792969;0.297824859619141;0.300320774316788;0.291002601385117
530;0.292603939771652;0.296472817659378;0.295242041349411
530.440002441406;0.301084518432617;0.283275961875916;0.277105122804642
531.039978027344;0.289221346378326;0.274633854627609;0.277079045772552
531.489990234375;0.274314016103745;0.257508486509323;0.298321187496185
531.940002441406;0.286576151847839;0.273334950208664;0.275211781263351
532.530029296875;0.286943286657333;0.268209338188171;0.275461167097092
532.97998046875;0.265570819377899;0.264479368925095;0.283907949924469
533.429992675781;0.275460302829742;0.249950185418129;0.281429678201675
534.02001953125;0.271743923425674;0.257574260234833;0.266838371753693
534.469970703125;0.251976728439331;0.262093484401703;0.2606600522995
535.070007324219;0.271857231855392;0.23638091981411;0.245135739445686
535.52001953125;0.264752715826035;0.255229264497757;0.248862102627754
535.969970703125;0.248845800757408;0.238470003008842;0.239462360739708
536.559997558594;0.245501056313515;0.231290176510811;0.235526010394096
537.010009765625;0.233060047030449;0.243262127041817;0.244191095232964
537.460021972656;0.229740485548973;0.222762867808342;0.243163362145424
538.049987792969;0.224344089627266;0.217073336243629;0.228301838040352
538.5;0.23552830517292;0.223032400012016;0.201071456074715
538.950012207031;0.223314061760902;0.218319043517113;0.22851137816906
539.549987792969;0.228378131985664;0.232662633061409;0.227247878909111
540;0.204276069998741;0.214714571833611;0.209562405943871
540.440002441406;0.226535305380821;0.221708551049232;0.220119282603264
541.02001953125;0.209268555045128;0.21376521885395;0.215434566140175
541.469970703125;0.223755076527596;0.221148893237114;0.219218090176582
542.049987792969;0.196437492966652;0.202293410897255;0.212162032723427
542.5;0.222337797284126;0.193954169750214;0.215490713715553
542.940002441406;0.186601653695106;0.20893307030201;0.21174530684948
543.52001953125;0.204400941729546;0.19342802464962;0.194709822535515
543.969970703125;0.200161144137382;0.208634480834007;0.201682642102242
544.549987792969;0.184543892741203;0.192494586110115;0.200534507632256
545;0.192706778645515;0.193296685814857;0.202306136488914
545.440002441406;0.20368854701519;0.194163456559181;0.189819902181625
546.02001953125;0.188216269016266;0.193303793668747;0.180160567164421
546.469970703125;0.183313488960266;0.195195391774178;0.193211674690247
547.049987792969;0.182977557182312;0.187913358211517;0.185522988438606
547.5;0.18737581372261;0.197952851653099;0.178517654538155
547.940002441406;0.181395635008812;0.16383945941925;0.172265827655792
548.52001953125;0.172936156392097;0.173127099871635;0.176374182105064
548.969970703125;0.176206022500992;0.152521878480911;0.180602669715881
549.549987792969;0.157033085823059;0.15458171069622;0.1613699644804
550;0.151281028985977;0.163530454039574;0.16489365696907
550.440002441406;0.162370339035988;0.174529746174812;0.160926282405853
