Sample IDs:;251006_251002Q_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
517.460021972656;5.90448522567749;6.10110807418823;6.02273607254028
518.049987792969;5.77881813049316;6.00844764709473;5.889732837677
518.5;5.67614507675171;5.84092950820923;5.79068374633789
518.950012207031;5.66499471664429;5.86750221252441;5.7687931060791
519.549987792969;5.58508634567261;5.70000314712524;5.624755859375
520;5.46747016906738;5.66718196868897;5.55633401870728
520.440002441406;5.3742823600769;5.60013914108276;5.46393537521362
521.02001953125;5.26603984832764;5.46690464019775;5.42330026626587
521.469970703125;5.24181318283081;5.42103385925293;5.36052417755127
522.049987792969;5.11782693862915;5.29458570480347;5.25083637237549
522.5;5.07310914993286;5.36171197891235;5.14648818969727
522.940002441406;4.96404552459717;5.16189861297607;5.1388430595398
523.52001953125;4.90048313140869;5.04855918884277;5.04390907287598
523.969970703125;4.81957483291626;5.00965356826782;4.90581560134888
524.549987792969;4.63920545578003;4.89990329742432;4.82082319259644
525;4.68143844604492;4.83760976791382;4.74002408981323
525.440002441406;4.55186796188354;4.77206182479858;4.65005779266357
526.02001953125;4.46166753768921;4.71096754074097;4.65978860855103
526.469970703125;4.44128036499023;4.64846086502075;4.48833131790161
527.049987792969;4.32079029083252;4.53753232955933;4.3930459022522
527.5;4.28472566604614;4.52345895767212;4.36600494384766
527.940002441406;4.18950319290161;4.38502359390259;4.30483818054199
528.52001953125;4.12703275680542;4.36628484725952;4.22845363616943
528.969970703125;4.08441925048828;4.26945495605469;4.21560621261597
529.549987792969;4.03264856338501;4.20937967300415;4.03684616088867
530;3.9007875919342;4.1742525100708;4.04796123504639
530.440002441406;3.89661765098572;4.03850507736206;4.02429056167603
531.039978027344;3.83183932304382;4.06681776046753;3.89180564880371
531.489990234375;3.83758401870728;3.94769430160522;3.84640693664551
531.940002441406;3.74159097671509;3.9217004776001;3.77044463157654
532.530029296875;3.66002607345581;3.81843590736389;3.7785861492157
532.97998046875;3.65236330032349;3.7834312915802;3.73586368560791
533.429992675781;3.56527948379517;3.72281432151794;3.64054155349731
534.02001953125;3.53374338150024;3.6535165309906;3.57535290718079
534.469970703125;3.45445370674133;3.57137727737427;3.51306915283203
535.070007324219;3.42017388343811;3.54132294654846;3.46319961547852
535.52001953125;3.38013792037964;3.48033452033997;3.45659828186035
535.969970703125;3.32623553276062;3.50598382949829;3.36089944839478
536.559997558594;3.31874585151672;3.40795111656189;3.31884837150574
537.010009765625;3.25931167602539;3.38636422157288;3.28416228294373
537.460021972656;3.23007726669312;3.30811047554016;3.20418381690979
538.049987792969;3.20471262931824;3.21924495697022;3.16275501251221
538.5;3.13542723655701;3.23755216598511;3.1246976852417
538.950012207031;3.10335540771484;3.15404462814331;3.08078861236572
539.549987792969;3.07184267044067;3.12401604652405;3.06843400001526
540;3.04480314254761;3.03247833251953;3.03911995887756
540.440002441406;3.01098799705505;3.06282138824463;2.96501564979553
541.02001953125;2.96738290786743;2.94367218017578;2.89701128005981
541.469970703125;2.94816088676453;2.94866180419922;2.86335611343384
542.049987792969;2.89056849479675;2.90123343467712;2.82154393196106
542.5;2.88937139511108;2.86975121498108;2.7587947845459
542.940002441406;2.90267634391785;2.78848648071289;2.7548520565033
543.52001953125;2.77740693092346;2.74085688591003;2.71591401100159
543.969970703125;2.82272982597351;2.74240112304687;2.68372797966003
544.549987792969;2.69131088256836;2.65449237823486;2.60289740562439
545;2.73970007896423;2.61661386489868;2.60267996788025
545.440002441406;2.70312094688416;2.59986257553101;2.55818200111389
546.02001953125;2.68467450141907;2.54616761207581;2.51029920578003
546.469970703125;2.64504504203796;2.44949841499329;2.45893836021423
547.049987792969;2.59386563301086;2.42925930023193;2.46145486831665
547.5;2.57613348960876;2.44411015510559;2.38984847068787
547.940002441406;2.52422523498535;2.40349268913269;2.38825750350952
548.52001953125;2.47936010360718;2.33181405067444;2.33948302268982
548.969970703125;2.47152137756348;2.31710720062256;2.29086422920227
549.549987792969;2.46226191520691;2.24790811538696;2.29067063331604
550;2.39207601547241;2.25471568107605;2.21135878562927
550.440002441406;2.40827703475952;2.23061442375183;2.22736358642578
551.039978027344;2.37332916259766;2.18528938293457;2.15152049064636
551.489990234375;2.32027983665466;2.15547847747803;2.11984467506409
551.940002441406;2.27079963684082;2.09717440605164;2.08696031570435
552.530029296875;2.24765968322754;2.05039095878601;2.09034585952759
552.97998046875;2.23791790008545;2.04658985137939;2.03031349182129
553.429992675781;2.19479179382324;2.02359676361084;2.00387787818909
554.02001953125;2.1767852306366;1.96266603469849;1.96992230415344
554.469970703125;2.17571306228638;1.9667854309082;1.92280077934265
555.070007324219;2.11400771141052;1.94524121284485;1.90397620201111
555.52001953125;2.087406873703;1.88244915008545;1.9133688211441
555.969970703125;2.07045340538025;1.90028238296509;1.88797903060913
556.559997558594;2.02123165130615;1.80843377113342;1.81525981426239
557.010009765625;2.04218220710754;1.80852258205414;1.79087042808533
557.460021972656;2.01632976531982;1.84055328369141;1.77884197235107
558.049987792969;1.96550297737122;1.79726028442383;1.70770049095154
558.5;1.91390717029572;1.75777697563171;1.69761753082275
558.950012207031;1.91522681713104;1.73523139953613;1.72830700874329
559.549987792969;1.9147709608078;1.70673906803131;1.71492445468903
560;1.8505334854126;1.68282520771027;1.63869786262512
