Sample IDs:;251006_251002P_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
536.559997558594;4.53896617889404;3.85143780708313;3.78797221183777
537.010009765625;4.47753715515137;3.8245735168457;3.83383464813232
537.460021972656;4.3793249130249;3.76242327690124;3.76765775680542
538.049987792969;4.37776327133179;3.68876528739929;3.67706894874573
538.5;4.31513977050781;3.60431098937988;3.63222932815552
538.950012207031;4.24472332000732;3.56535291671753;3.52557849884033
539.549987792969;4.17263984680176;3.53195452690124;3.49810147285461
540;4.14950656890869;3.49435067176819;3.48733115196228
540.440002441406;4.14454746246338;3.438148021698;3.39660310745239
541.02001953125;4.06472396850586;3.39683771133423;3.33178281784058
541.469970703125;3.99971675872803;3.29668402671814;3.31588530540466
542.049987792969;3.94458675384521;3.28269910812378;3.19006013870239
542.5;3.87099242210388;3.22185158729553;3.21271467208862
542.940002441406;3.89650726318359;3.24469685554504;3.19864678382874
543.52001953125;3.78657793998718;3.10875773429871;3.07958912849426
543.969970703125;3.75743770599365;3.143399477005;3.07967448234558
544.549987792969;3.73013472557068;3.06385588645935;3.02293014526367
545;3.66492509841919;2.99832987785339;2.98050999641418
545.440002441406;3.58492517471313;2.95076751708984;2.95798921585083
546.02001953125;3.52917337417603;2.90151500701904;2.8445131778717
546.469970703125;3.52340245246887;2.86282920837402;2.87379026412964
547.049987792969;3.4548282623291;2.88328051567078;2.80904316902161
547.5;3.44283294677734;2.79508996009827;2.74524068832397
547.940002441406;3.35887575149536;2.74331593513489;2.78075861930847
548.52001953125;3.34714412689209;2.65274429321289;2.67343688011169
548.969970703125;3.26287174224854;2.67423343658447;2.61224794387817
549.549987792969;3.19042110443115;2.69179534912109;2.66001415252686
550;3.17130851745605;2.61681604385376;2.56959438323975
550.440002441406;3.12532567977905;2.51380896568298;2.54179215431213
551.039978027344;3.09498882293701;2.46579122543335;2.52327966690063
551.489990234375;3.05584573745728;2.47910022735596;2.47490978240967
551.940002441406;3.00835204124451;2.41967010498047;2.43969583511353
552.530029296875;2.9524028301239;2.40534496307373;2.38611197471619
552.97998046875;2.8927218914032;2.36508083343506;2.3604850769043
553.429992675781;2.89323925971985;2.32727837562561;2.32076334953308
554.02001953125;2.82530999183655;2.28756833076477;2.29311394691467
554.469970703125;2.81355762481689;2.27831983566284;2.2384078502655
555.070007324219;2.75881242752075;2.2059121131897;2.20534014701843
555.52001953125;2.75313782691956;2.22572660446167;2.19767999649048
555.969970703125;2.68643927574158;2.1466281414032;2.14778017997742
556.559997558594;2.60134220123291;2.12866997718811;2.13769340515137
