Sample IDs:;251006_251002O_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
530;6.60149240493774;6.5937237739563;5.54348802566528
530.440002441406;6.49209260940552;6.55257225036621;5.55980730056763
531.039978027344;6.43516492843628;6.37623167037964;5.42151069641113
531.489990234375;6.31973218917847;6.35110187530518;5.37442970275879
531.940002441406;6.25765562057495;6.19683599472046;5.26456499099731
532.530029296875;6.18548345565796;6.14912128448486;5.17623996734619
532.97998046875;6.10082197189331;6.03714466094971;5.07662010192871
533.429992675781;6.02505731582642;5.9614086151123;5.03664875030518
534.02001953125;5.87378025054932;5.98033332824707;4.98686027526855
534.469970703125;5.86077833175659;5.87763500213623;4.9158821105957
535.070007324219;5.69804096221924;5.78585529327393;4.78809785842895
535.52001953125;5.64228200912476;5.76041507720947;4.76867246627808
535.969970703125;5.59794998168945;5.69105863571167;4.64433097839355
536.559997558594;5.4036135673523;5.52804517745972;4.60803747177124
537.010009765625;5.36226415634155;5.53030347824097;4.52756500244141
537.460021972656;5.31263732910156;5.43026828765869;4.50383806228638
538.049987792969;5.23375272750854;5.39455223083496;4.42303895950317
538.5;5.21978092193604;5.26715326309204;4.38931608200073
538.950012207031;5.09445238113403;5.24682855606079;4.30438423156738
539.549987792969;4.98941278457642;5.22467947006226;4.22669792175293
540;4.93137407302856;5.08030939102173;4.1878981590271
540.440002441406;4.83577728271484;5.01960229873657;4.18011903762817
541.02001953125;4.83171129226685;5.00770616531372;3.99526739120483
541.469970703125;4.75118112564087;4.96060609817505;4.00268411636353
542.049987792969;4.6029953956604;4.92841100692749;3.90380191802978
542.5;4.63302659988403;4.82287502288818;3.88521027565002
542.940002441406;4.61883115768433;4.79509973526001;3.84278273582458
543.52001953125;4.45867967605591;4.66109275817871;3.71610569953918
543.969970703125;4.40602493286133;4.62306022644043;3.72363567352295
544.549987792969;4.27788639068604;4.57923078536987;3.65418863296509
545;4.21923446655273;4.54126644134521;3.61620402336121
545.440002441406;4.22199249267578;4.50159883499146;3.53055763244629
546.02001953125;4.14855670928955;4.42434358596802;3.48886108398438
546.469970703125;4.10229063034058;4.37715339660645;3.48831248283386
547.049987792969;3.97380447387695;4.33111524581909;3.40061521530151
547.5;3.9913330078125;4.20742416381836;3.34353590011597
547.940002441406;3.88639879226685;4.17486476898193;3.35202717781067
548.52001953125;3.79397559165955;4.13034057617188;3.25989866256714
548.969970703125;3.70610308647156;4.15338897705078;3.22061443328857
549.549987792969;3.68367505073547;4.07685708999634;3.18915343284607
550;3.66049981117249;4.03573751449585;3.16416049003601
550.440002441406;3.59689736366272;3.97944831848145;3.09967637062073
551.039978027344;3.5193190574646;3.90729665756226;3.05098938941956
551.489990234375;3.47933268547058;3.85087442398071;3.02307343482971
551.940002441406;3.43538355827332;3.79842829704285;2.94315767288208
552.530029296875;3.34221768379211;3.77821493148804;2.94845747947693
