wavelength / nm	10	10	22	22	37	37	60	60	80	80	10 av	22 av	37 av	60 av	80 av
204.00	0.76659	0.74395	0.98607	1.0612	-0.39415	-0.46045	-1.7979	-1.9825	-1.6105	-1.6437	0.75527	1.0236	-0.42730	-1.8902	-1.6271
203.00	1.4151	1.5840	2.3543	2.3830	1.3376	1.2070	-0.86285	-1.0644	-1.2335	-1.2336	1.4995	2.3686	1.2723	-0.96363	-1.2335
202.00	2.0655	2.4163	3.8238	3.7394	3.2325	2.9615	0.051243	-0.18838	-0.89526	-0.86522	2.2409	3.7816	3.0970	-0.068568	-0.88024
201.00	2.6880	3.2158	5.2412	5.1144	5.0021	4.8239	1.0240	0.74597	-0.44644	-0.45963	2.9519	5.1778	4.9130	0.88497	-0.45304
200.00	3.2741	4.0265	6.7448	6.3938	6.8865	6.5431	2.0662	1.6767	-0.13047	-0.085430	3.6503	6.5693	6.7148	1.8714	-0.10795
199.00	3.8324	4.7070	7.9861	7.4841	8.7651	8.2590	3.0000	2.5142	0.13320	0.20433	4.2697	7.7351	8.5120	2.7571	0.16877
198.00	4.3118	5.4221	9.2030	8.4631	10.226	9.6303	3.7277	3.1790	0.39076	0.51124	4.8670	8.8331	9.9282	3.4533	0.45100
197.00	4.7371	5.9244	10.172	9.4197	11.629	10.873	4.6759	4.0420	0.64933	0.74623	5.3307	9.7957	11.251	4.3589	0.69778
196.00	5.0734	6.3912	11.043	10.189	12.666	11.960	5.3625	4.6675	0.83682	0.97103	5.7323	10.616	12.313	5.0150	0.90392
195.00	5.3717	6.6702	11.506	10.640	13.280	12.397	5.6160	4.9957	1.1135	1.0997	6.0209	11.073	12.838	5.3058	1.1066
194.00	5.5324	6.8169	11.715	10.996	13.615	12.704	5.7835	5.1421	1.3031	1.2044	6.1746	11.355	13.159	5.4628	1.2538
193.00	5.5678	6.7858	11.817	11.167	13.566	12.907	5.6788	5.3552	1.3757	1.3202	6.1768	11.492	13.236	5.5170	1.3480
192.00	5.4560	6.6174	11.626	10.854	13.101	12.710	5.3908	4.9895	1.4553	1.3473	6.0367	11.240	12.905	5.1901	1.4013
191.00	5.1532	6.1805	11.236	10.376	12.520	12.316	5.0263	4.6317	1.4196	1.3953	5.6669	10.806	12.418	4.8290	1.4074
190.00	4.7408	5.7707	10.752	9.9593	11.638	11.624	4.7385	4.2952	1.2648	1.3461	5.2557	10.356	11.631	4.5169	1.3055
189.00	4.2286	5.2403	9.7291	8.9126	10.743	10.591	4.2526	3.6932	1.0828	1.2388	4.7345	9.3209	10.667	3.9729	1.1608
188.00	3.5287	4.6163	8.2727	7.6682	9.1853	9.2085	3.6129	2.8668	0.83709	0.97348	4.0725	7.9705	9.1969	3.2399	0.90528
187.00	2.8349	3.7769	6.6894	6.3638	7.9139	7.7207	2.9375	2.2433	0.67707	0.75245	3.3059	6.5266	7.8173	2.5904	0.71476
186.00	2.2535	3.0190	5.0124	4.9826	5.9883	6.0997	1.9149	1.5608	0.67318	0.52941	2.6363	4.9975	6.0440	1.7379	0.60129
185.00	1.5788	2.0347	3.6523	3.5883	3.7592	3.9553	1.1318	0.75307	0.35173	0.10997	1.8068	3.6203	3.8572	0.94245	0.23085
