IDs:;240912_04_240712D;15_b02_DNAJB6_00_087_uM;
155.856;71.91;49.817;38.349
156.849;71.904;49.818;38.349
157.841;71.977;49.822;38.353
158.834;72.003;49.82;38.352
159.841;71.975;49.819;38.35
160.829;71.913;49.819;38.35
161.825;71.907;49.821;38.353
162.827;71.891;49.818;38.349
163.825;71.91;49.82;38.352
164.82;71.976;49.822;38.354
165.812;71.9;49.819;38.35
166.811;71.926;49.821;38.352
167.797;71.913;49.821;38.353
168.785;71.906;49.82;38.352
169.78;71.901;49.821;38.353
170.778;71.893;49.824;38.356
171.79;71.931;49.82;38.352
172.778;71.966;49.828;38.358
173.779;71.929;49.821;38.353
174.778;71.917;49.823;38.354
175.769;71.972;49.826;38.357
176.787;71.919;49.822;38.354
177.812;71.948;49.825;38.357
178.809;71.917;49.824;38.355
179.787;71.898;49.827;38.358
180.775;71.92;49.826;38.357
181.775;71.942;49.824;38.355
182.783;71.966;49.828;38.359
183.764;71.963;49.828;38.358
184.764;72.033;49.822;38.355
185.758;72.005;49.83;38.361
186.774;72.006;49.828;38.359
187.762;71.896;49.828;38.359
188.773;71.911;49.827;38.359
189.758;71.842;49.83;38.359
190.753;71.909;49.83;38.361
191.739;71.884;49.83;38.36
192.733;71.902;49.832;38.362
193.744;71.954;49.835;38.364
194.729;71.921;49.831;38.363
195.732;71.89;49.83;38.36
196.742;71.944;49.826;38.358
197.743;71.947;49.826;38.358
198.743;71.917;49.83;38.361
199.747;71.915;49.829;38.36
200.755;71.927;49.829;38.361
201.769;71.898;49.829;38.36
202.789;71.92;49.829;38.361
203.797;71.926;49.83;38.361
204.802;71.988;49.833;38.364
205.81;71.904;49.831;38.362
206.825;71.922;49.83;38.361
207.815;71.903;49.829;38.359
208.805;71.922;49.83;38.362
209.797;71.902;49.833;38.364
210.797;71.971;49.834;38.364
211.788;71.945;49.839;38.368
212.773;71.91;49.835;38.366
213.776;71.977;49.836;38.365
214.785;71.912;49.834;38.366
215.773;71.962;49.836;38.366
216.777;71.924;49.832;38.364
217.762;72.007;49.834;38.366
218.77;71.897;49.832;38.362
219.776;71.96;49.839;38.368
220.761;71.883;49.832;38.363
221.766;71.919;49.83;38.361
222.775;71.924;49.835;38.366
223.767;71.903;49.835;38.366
224.764;71.905;49.836;38.367
225.755;72.01;49.836;38.367
226.755;71.902;49.832;38.363
227.763;71.895;49.835;38.365
228.777;71.918;49.832;38.363
229.799;71.911;49.836;38.367
230.781;71.907;49.835;38.366
231.779;71.9;49.836;38.366
232.781;71.9;49.84;38.37
233.784;71.886;49.837;38.366
234.795;71.929;49.835;38.366
235.811;71.911;49.836;38.367
236.798;71.902;49.836;38.367
237.791;71.913;49.836;38.367
238.799;71.989;49.84;38.37
239.787;71.973;49.842;38.371
240.781;71.929;49.836;38.368
241.779;71.914;49.838;38.368
242.769;71.98;49.843;38.373
243.77;71.914;49.838;38.369
244.782;71.934;49.84;38.371
245.777;71.918;49.836;38.366
246.789;71.917;49.839;38.37
247.792;71.925;49.837;38.368
248.791;71.916;49.837;38.368
249.793;71.972;49.841;38.371
250.789;71.917;49.837;38.368
251.771;71.927;49.837;38.369
252.758;71.944;49.837;38.368
253.752;71.91;49.838;38.368
254.727;71.926;49.838;38.369
255.731;71.959;49.842;38.371
256.721;71.988;49.842;38.372
257.712;71.918;49.836;38.367
258.707;71.909;49.837;38.368
259.707;71.972;49.843;38.372
260.714;71.919;49.838;38.37
261.724;71.887;49.84;38.369
262.722;71.928;49.835;38.366
263.749;71.901;49.84;38.369
264.751;71.982;49.843;38.374
265.758;71.935;49.837;38.369
266.772;71.96;49.844;38.373
267.761;71.927;49.838;38.37
268.752;71.91;49.838;38.369
269.739;71.948;49.84;38.371
270.74;71.957;49.844;38.373
271.762;71.931;49.838;38.37
272.748;71.894;49.842;38.372
273.752;71.936;49.838;38.369
274.76;71.924;49.842;38.373
275.766;71.988;49.841;38.371
276.761;71.907;49.842;38.373
277.765;71.907;49.84;38.371
278.757;71.907;49.838;38.369
279.774;71.92;49.84;38.371
280.775;71.901;49.839;38.368
281.782;71.924;49.841;38.372
282.784;71.974;49.844;38.373
283.785;71.99;49.845;38.374
284.777;71.881;49.841;38.371
285.757;71.922;49.838;38.368
286.769;71.912;49.841;38.372
287.769;71.939;49.84;38.372
288.759;71.972;49.845;38.374
289.746;71.921;49.84;38.371
290.739;71.917;49.841;38.372
291.742;71.919;49.841;38.371
292.752;71.933;49.841;38.371
293.735;71.896;49.841;38.371
294.718;71.893;49.84;38.37
295.704;71.898;49.843;38.372
296.696;71.937;49.839;38.371
297.688;71.881;49.841;38.37
298.683;71.914;49.84;38.37
299.682;71.891;49.842;38.372
300.669;71.925;49.841;38.371
301.672;71.919;49.84;38.371
302.666;71.921;49.842;38.372
303.656;71.908;49.841;38.371
304.637;71.899;49.841;38.372
305.64;71.907;49.842;38.373
306.637;71.921;49.844;38.375
307.64;71.901;49.842;38.372
308.627;71.92;49.842;38.373
309.621;71.926;49.843;38.374
310.608;71.905;49.843;38.373
311.608;71.943;49.844;38.375
312.595;71.881;49.847;38.376
313.583;71.926;49.844;38.374
314.607;71.927;49.845;38.376
315.608;71.92;49.842;38.372
316.604;71.904;49.844;38.374
317.599;71.925;49.846;38.377
318.598;71.91;49.842;38.372
319.604;71.898;49.847;38.377
320.613;71.891;49.846;38.375
321.599;71.907;49.848;38.378
322.588;71.938;49.846;38.377
323.58;71.926;49.85;38.38
324.579;71.911;49.847;38.377
325.581;71.901;49.851;38.381
326.576;71.937;49.846;38.376
327.593;71.901;49.849;38.38
328.587;71.929;49.848;38.378
329.584;71.88;49.848;38.378
330.586;71.933;49.848;38.379
331.578;71.965;49.852;38.38
332.565;72.008;49.851;38.381
333.548;71.925;49.85;38.381
334.524;71.918;49.85;38.381
335.515;71.925;49.849;38.38
336.511;71.9;49.849;38.378
337.508;71.925;49.852;38.382
338.51;71.918;49.851;38.381
339.506;71.922;49.853;38.383
340.519;71.913;49.854;38.384
341.508;71.922;49.851;38.381
342.519;71.926;49.852;38.383
343.517;71.875;49.853;38.382
344.497;71.946;49.851;38.382
345.482;71.885;49.857;38.385
346.475;71.935;49.855;38.385
347.495;71.926;49.852;38.382
348.516;71.92;49.853;38.383
349.51;71.911;49.853;38.383
350.514;71.91;49.853;38.383
351.52;71.906;49.853;38.382
352.498;71.97;49.857;38.385
353.514;71.926;49.851;38.381
354.501;71.902;49.855;38.384
355.492;71.975;49.86;38.388
356.504;71.893;49.855;38.384
357.515;71.928;49.854;38.384
358.511;71.915;49.855;38.384
359.505;71.935;49.856;38.386
360.501;71.897;49.855;38.384
361.476;71.902;49.857;38.386
362.49;71.886;49.858;38.387
363.505;71.927;49.853;38.383
364.501;71.894;49.857;38.386
365.49;71.939;49.856;38.387
366.484;71.885;49.861;38.39
367.477;71.939;49.856;38.387
368.483;71.901;49.859;38.389
369.484;71.931;49.853;38.383
370.482;71.904;49.856;38.385
371.481;71.924;49.857;38.387
372.487;71.945;49.858;38.388
373.484;71.911;49.858;38.387
374.487;71.893;49.858;38.387
375.47;71.921;49.858;38.387
376.457;71.903;49.86;38.389
377.458;71.91;49.864;38.394
378.468;71.913;49.859;38.388
379.454;71.923;49.86;38.39
380.449;71.915;49.858;38.387
381.432;71.933;49.86;38.389
382.445;71.916;49.861;38.391
383.462;71.927;49.86;38.39
384.481;71.884;49.861;38.389
385.475;71.913;49.86;38.39
386.477;71.897;49.863;38.392
387.479;71.921;49.859;38.389
388.489;71.903;49.862;38.391
389.499;71.918;49.86;38.39
390.482;71.921;49.86;38.39
391.472;71.985;49.863;38.392
392.464;71.905;49.86;38.389
393.449;71.902;49.862;38.391
394.439;71.916;49.863;38.393
395.438;71.925;49.861;38.39
396.43;71.912;49.86;38.389
397.44;71.893;49.865;38.394
398.439;71.947;49.866;38.394
399.432;71.903;49.866;38.396
400.432;71.91;49.862;38.391
401.445;71.927;49.864;38.393
402.436;71.93;49.861;38.391
403.434;71.963;49.867;38.395
404.418;71.87;49.867;38.396
405.412;71.899;49.868;38.397
406.403;71.891;49.864;38.392
407.406;71.938;49.864;38.394
408.386;71.912;49.868;38.398
409.404;71.957;49.87;38.398
410.398;71.91;49.865;38.394
411.399;71.917;49.864;38.394
412.405;71.901;49.865;38.394
413.386;71.899;49.868;38.398
414.372;71.961;49.87;38.398
415.364;71.923;49.861;38.391
416.367;71.864;49.869;38.397
417.373;71.913;49.863;38.393
418.367;71.909;49.865;38.394
419.358;71.913;49.866;38.396
420.356;71.955;49.871;38.398
421.358;71.892;49.866;38.395
422.364;71.903;49.866;38.395
423.373;71.9;49.865;38.394
424.385;71.898;49.864;38.393
425.373;71.901;49.866;38.395
426.365;71.964;49.87;38.397
427.367;71.884;49.867;38.396
428.374;71.9;49.868;38.397
429.367;71.929;49.868;38.397
430.361;71.891;49.869;38.398
431.355;71.924;49.869;38.399
432.359;71.914;49.868;38.397
433.366;71.95;49.874;38.401
434.352;71.907;49.868;38.397
435.349;71.881;49.866;38.393
436.358;71.934;49.867;38.397
437.348;71.878;49.869;38.398
438.355;71.922;49.867;38.397
439.368;71.922;49.866;38.396
440.371;71.884;49.869;38.398
441.362;71.902;49.87;38.4
442.356;71.899;49.87;38.399
443.358;71.924;49.87;38.399
444.335;71.893;49.87;38.4
445.336;71.902;49.869;38.398
446.345;71.913;49.872;38.402
447.33;71.888;49.873;38.402
448.325;71.889;49.872;38.4
449.325;71.911;49.87;38.399
450.309;71.897;49.87;38.399
451.319;71.869;49.87;38.398
452.305;71.876;49.871;38.399
453.294;71.91;49.872;38.401
454.287;71.903;49.872;38.401
455.284;71.912;49.873;38.402
456.285;71.897;49.872;38.401
457.258;71.918;49.873;38.402
458.25;71.904;49.873;38.403
459.239;71.896;49.872;38.401
460.23;71.894;49.873;38.401
461.231;71.905;49.873;38.401
462.228;71.902;49.872;38.401
463.246;71.898;49.872;38.4
464.231;71.902;49.871;38.4
465.211;71.893;49.87;38.398
466.207;71.906;49.872;38.401
467.2;71.899;49.872;38.4
468.188;71.89;49.87;38.399
469.185;71.9;49.873;38.402
470.192;71.908;49.872;38.4
471.19;71.881;49.873;38.4
472.194;71.883;49.873;38.401
473.205;71.905;49.873;38.402
474.197;71.894;49.874;38.403
475.202;71.925;49.872;38.401
476.196;71.914;49.872;38.4
477.192;71.877;49.875;38.404
478.2;71.89;49.873;38.401
479.182;71.874;49.874;38.402
480.172;71.909;49.874;38.403
481.151;71.873;49.875;38.403
482.16;71.874;49.874;38.401
483.144;71.865;49.875;38.402
484.132;71.895;49.874;38.403
485.124;71.903;49.874;38.403
486.123;71.897;49.875;38.404
487.108;71.913;49.876;38.404
488.096;71.906;49.875;38.404
489.086;71.903;49.873;38.402
490.082;71.876;49.875;38.403
491.079;71.904;49.874;38.403
492.074;71.897;49.874;38.403
493.074;71.916;49.877;38.406
494.065;71.902;49.874;38.404
495.053;71.881;49.877;38.405
496.054;71.919;49.876;38.404
497.038;71.884;49.879;38.407
498.039;71.922;49.884;38.409
499.033;71.914;49.875;38.404
500.017;71.919;49.878;38.407
501.01;71.898;49.877;38.405
502.01;71.878;49.877;38.405
503.02;71.922;49.878;38.407
504.035;71.901;49.877;38.406
505.035;71.897;49.877;38.406
506.04;71.887;49.877;38.405
507.047;71.917;49.875;38.404
508.042;71.927;49.873;38.402
509.04;71.885;49.878;38.406
510.046;71.888;49.876;38.403
511.026;71.882;49.877;38.405
512.014;71.919;49.876;38.405
513.007;71.894;49.878;38.406
514.005;71.908;49.874;38.403
515.009;71.913;49.876;38.404
516.019;71.907;49.875;38.403
517.003;71.886;49.876;38.404
517.99;71.907;49.878;38.406
519.011;71.904;49.875;38.403
520.034;71.91;49.876;38.405
521.028;71.9;49.875;38.404
522.032;71.946;49.882;38.409
523.02;71.882;49.878;38.406
524.036;71.89;49.878;38.406
525.042;71.908;49.877;38.405
526.041;71.894;49.879;38.406
527.028;71.918;49.877;38.406
528.016;71.971;49.881;38.408
529.014;71.901;49.877;38.405
530.004;71.867;49.881;38.409
530.983;71.87;49.88;38.408
531.959;71.883;49.88;38.408
532.964;71.917;49.875;38.404
533.968;71.882;49.88;38.408
534.974;71.899;49.878;38.407
535.987;71.916;49.881;38.409
536.99;71.876;49.878;38.405
537.999;71.912;49.88;38.408
538.984;71.891;49.88;38.407
539.979;71.914;49.876;38.405
540.959;71.9;49.878;38.406
541.948;71.887;49.879;38.408
542.943;71.899;49.881;38.408
543.948;71.917;49.879;38.408
544.933;71.926;49.878;38.407
545.919;71.896;49.882;38.41
546.908;71.878;49.882;38.409
547.902;71.917;49.88;38.409
548.903;71.949;49.887;38.414
549.91;71.892;49.88;38.408
550.904;71.902;49.883;38.411
551.902;71.892;49.882;38.409
552.912;71.902;49.881;38.41
553.917;71.87;49.882;38.41
554.93;71.896;49.882;38.41
555.922;71.887;49.882;38.41
556.926;71.89;49.882;38.41
557.932;71.912;49.882;38.411
558.937;71.84;49.885;38.411
559.921;71.919;49.885;38.412
560.918;71.896;49.885;38.413
561.9;71.899;49.882;38.41
562.897;71.914;49.883;38.411
563.899;71.923;49.882;38.41
564.893;71.88;49.883;38.411
565.868;71.923;49.882;38.41
566.856;71.872;49.885;38.412
567.869;71.895;49.881;38.41
568.855;71.891;49.884;38.411
569.849;71.895;49.883;38.411
570.852;71.9;49.886;38.413
571.861;71.925;49.88;38.409
572.862;71.901;49.886;38.414
573.867;71.883;49.884;38.412
574.88;71.911;49.884;38.412
575.876;71.892;49.883;38.411
576.876;71.897;49.885;38.413
577.878;71.892;49.885;38.413
578.893;71.891;49.885;38.413
579.869;71.914;49.887;38.415
580.873;71.898;49.885;38.412
581.88;71.915;49.889;38.417
582.893;71.889;49.885;38.413
583.877;71.884;49.888;38.415
584.854;71.897;49.886;38.414
585.84;71.891;49.889;38.417
586.838;71.895;49.887;38.414
587.848;71.885;49.887;38.415
588.841;71.882;49.887;38.414
589.82;71.893;49.888;38.415
590.819;71.902;49.888;38.416
591.806;71.904;49.886;38.414
592.806;71.907;49.888;38.415
593.814;71.91;49.886;38.414
594.809;71.883;49.888;38.415
595.812;71.885;49.887;38.415
596.804;71.874;49.89;38.418
597.801;71.891;49.887;38.414
598.791;71.915;49.889;38.417
599.784;71.894;49.889;38.416
600.787;71.901;49.887;38.414
601.796;71.898;49.888;38.416
602.801;71.902;49.888;38.415
603.807;71.9;49.89;38.417
604.815;71.896;49.888;38.415
605.805;71.877;49.887;38.414
606.809;71.915;49.886;38.415
607.818;71.905;49.888;38.416
608.833;71.886;49.888;38.415
609.854;71.887;49.89;38.418
610.857;71.884;49.887;38.415
611.86;71.882;49.889;38.417
612.841;71.893;49.89;38.418
613.857;71.888;49.889;38.416
614.846;71.888;49.887;38.415
615.844;71.906;49.888;38.416
616.846;71.891;49.888;38.415
617.827;71.894;49.89;38.417
618.81;71.912;49.886;38.415
619.796;71.888;49.887;38.415
620.798;71.92;49.887;38.415
621.788;71.853;49.89;38.416
622.787;71.897;49.887;38.415
623.775;71.902;49.888;38.416
624.781;71.909;49.888;38.417
625.776;71.902;49.888;38.415
626.787;71.896;49.887;38.415
627.792;71.895;49.887;38.414
628.78;71.904;49.888;38.415
629.785;71.892;49.888;38.416
630.784;71.861;49.89;38.417
631.762;71.9;49.889;38.416
632.752;71.904;49.893;38.42
633.754;71.905;49.889;38.416
634.744;71.886;49.889;38.416
635.746;71.87;49.892;38.419
636.751;71.903;49.888;38.416
637.739;71.873;49.889;38.416
638.733;71.907;49.89;38.418
639.716;71.874;49.893;38.42
640.708;71.892;49.888;38.415
641.718;71.901;49.889;38.417
642.733;71.904;49.89;38.418
643.722;71.902;49.892;38.42
644.715;71.877;49.893;38.42
645.72;71.878;49.892;38.419
646.728;71.876;49.892;38.419
647.743;71.915;49.891;38.418
648.732;71.872;49.891;38.418
649.721;71.898;49.891;38.418
650.712;71.906;49.892;38.419
651.718;71.891;49.892;38.42
652.715;71.871;49.891;38.417
653.725;71.896;49.891;38.418
654.728;71.893;49.891;38.418
655.719;71.87;49.894;38.42
656.724;71.897;49.89;38.418
657.713;71.923;49.89;38.418
658.705;71.91;49.888;38.416
659.687;71.908;49.89;38.418
660.667;71.882;49.892;38.419
661.656;71.912;49.888;38.416
662.667;71.906;49.891;38.419
663.652;71.879;49.895;38.422
664.644;71.858;49.891;38.418
665.642;71.884;49.891;38.418
666.617;71.891;49.892;38.419
667.633;71.896;49.891;38.417
668.621;71.916;49.889;38.418
669.616;71.889;49.892;38.42
670.617;71.882;49.897;38.423
671.63;71.913;49.892;38.42
672.645;71.898;49.891;38.418
673.638;71.904;49.891;38.418
674.638;71.887;49.893;38.42
675.638;71.903;49.89;38.418
676.617;71.889;49.895;38.421
677.629;71.886;49.895;38.422
678.615;71.886;49.891;38.419
679.61;71.876;49.896;38.422
680.624;71.882;49.893;38.42
681.634;71.898;49.893;38.421
682.648;71.896;49.891;38.418
683.664;71.873;49.893;38.42
684.657;71.9;49.89;38.417
685.65;71.912;49.893;38.421
686.645;71.866;49.893;38.419
687.649;71.909;49.892;38.42
688.643;71.905;49.894;38.421
689.645;71.876;49.893;38.419
690.649;71.858;49.895;38.421
691.645;71.903;49.891;38.419
692.651;71.892;49.892;38.418
693.646;71.887;49.893;38.421
694.663;71.896;49.892;38.419
695.67;71.895;49.89;38.418
696.662;71.882;49.894;38.42
697.662;71.893;49.892;38.419
698.671;71.889;49.891;38.419
699.661;71.911;49.89;38.418
700.657;71.877;49.895;38.421
701.65;71.917;49.892;38.42
702.656;71.91;49.892;38.42
703.672;71.885;49.891;38.418
704.665;71.859;49.895;38.422
705.667;71.881;49.893;38.42
706.678;71.908;49.891;38.418
707.663;71.876;49.892;38.419
708.654;71.862;49.895;38.421
709.654;71.914;49.891;38.419
710.657;71.871;49.897;38.423
711.668;71.866;49.89;38.417
712.658;71.914;49.893;38.42
713.652;71.909;49.891;38.419
714.649;71.897;49.891;38.418
715.651;71.892;49.892;38.419
716.659;71.902;49.89;38.417
717.672;71.908;49.894;38.421
718.658;71.914;49.893;38.42
719.647;71.886;49.891;38.418
720.642;71.891;49.892;38.419
721.638;71.886;49.888;38.414
722.636;71.886;49.89;38.418
723.619;71.912;49.891;38.419
724.626;71.875;49.892;38.418
725.619;71.901;49.89;38.417
726.624;71.864;49.895;38.421
727.622;71.887;49.89;38.418
728.61;71.863;49.898;38.423
729.591;71.879;49.894;38.421
730.6;71.91;49.891;38.419
731.599;71.889;49.895;38.422
732.611;71.866;49.895;38.421
733.593;71.886;49.892;38.418
734.606;71.895;49.893;38.42
735.594;71.858;49.894;38.421
736.595;71.89;49.894;38.421
737.604;71.892;49.893;38.42
738.615;71.883;49.894;38.421
739.608;71.867;49.894;38.421
740.609;71.913;49.893;38.42
741.621;71.898;49.893;38.421
742.614;71.894;49.892;38.419
743.616;71.88;49.892;38.419
744.621;71.922;49.889;38.417
745.622;71.832;49.895;38.42
746.623;71.905;49.891;38.419
747.605;71.914;49.891;38.419
748.589;71.863;49.894;38.42
749.576;71.912;49.893;38.421
750.57;71.887;49.896;38.422
751.567;71.908;49.889;38.417
752.573;71.885;49.892;38.419
753.582;71.868;49.895;38.421
754.567;71.881;49.892;38.419
755.554;71.85;49.894;38.42
756.547;71.888;49.892;38.419
757.55;71.9;49.892;38.419
758.549;71.943;49.898;38.423
759.537;71.9;49.892;38.42
760.538;71.889;49.894;38.422
761.551;71.879;49.893;38.42
762.544;71.881;49.892;38.419
763.534;71.874;49.893;38.42
764.541;71.884;49.894;38.421
765.545;71.896;49.893;38.42
766.548;71.889;49.894;38.421
767.532;71.876;49.89;38.417
768.531;71.889;49.896;38.422
769.528;71.868;49.898;38.424
770.512;71.881;49.894;38.421
771.501;71.883;49.892;38.419
772.495;71.86;49.896;38.422
773.495;71.857;49.894;38.42
774.502;71.863;49.896;38.422
775.484;71.892;49.895;38.422
776.472;71.885;49.895;38.423
777.468;71.888;49.895;38.421
778.476;71.879;49.896;38.423
779.494;71.871;49.897;38.422
780.517;71.871;49.897;38.423
781.509;71.865;49.899;38.425
782.508;71.868;49.899;38.425
783.511;71.866;49.899;38.425
784.516;71.88;49.898;38.425
785.526;71.887;49.896;38.423
786.538;71.876;49.9;38.426
787.554;71.88;49.898;38.424
788.54;71.895;49.896;38.423
789.533;71.882;49.897;38.424
790.522;71.906;49.894;38.421
791.515;71.924;49.895;38.422
792.519;71.864;49.897;38.424
793.533;71.884;49.898;38.424
794.517;71.89;49.897;38.423
795.512;71.901;49.892;38.42
796.51;71.904;49.895;38.422
797.52;71.867;49.896;38.422
798.52;71.9;49.898;38.424
799.528;71.888;49.897;38.423
800.516;71.882;49.892;38.419
801.49;71.888;49.894;38.42
802.493;71.891;49.898;38.424
803.478;71.905;49.896;38.424
804.477;71.894;49.895;38.421
805.471;71.872;49.897;38.424
806.466;71.883;49.896;38.422
807.468;71.891;49.892;38.419
808.475;71.861;49.897;38.423
809.46;71.909;49.896;38.422
810.448;71.88;49.894;38.421
811.442;71.883;49.895;38.422
812.446;71.907;49.895;38.422
813.454;71.908;49.893;38.42
814.436;71.895;49.897;38.423
815.425;71.886;49.894;38.421
816.435;71.892;49.895;38.421
817.44;71.849;49.897;38.422
818.454;71.897;49.898;38.425
819.441;71.888;49.898;38.425
820.431;71.898;49.895;38.421
821.424;71.878;49.896;38.422
822.419;71.844;49.899;38.425
823.412;71.888;49.898;38.425
824.432;71.902;49.897;38.424
825.437;71.875;49.898;38.424
826.437;71.873;49.898;38.425
827.432;71.878;49.898;38.425
828.416;71.875;49.896;38.423
829.405;71.866;49.898;38.424
830.412;71.883;49.898;38.425
831.412;71.882;49.897;38.423
832.413;71.887;49.896;38.423
833.433;71.87;49.898;38.424
834.419;71.868;49.897;38.425
835.433;71.847;49.897;38.423
836.429;71.895;49.898;38.425
837.437;71.893;49.896;38.423
838.434;71.909;49.896;38.423
839.44;71.868;49.899;38.425
840.425;71.879;49.9;38.427
841.408;71.855;49.899;38.425
842.383;71.851;49.897;38.422
843.393;71.886;49.897;38.423
844.381;71.872;49.897;38.424
845.378;71.859;49.898;38.424
846.362;71.879;49.9;38.426
847.343;71.865;49.899;38.425
848.329;71.853;49.903;38.428
849.319;71.899;49.895;38.422
850.314;71.865;49.898;38.424
851.309;71.863;49.899;38.425
852.312;71.886;49.896;38.422
853.32;71.871;49.898;38.425
854.334;71.873;49.898;38.424
855.349;71.903;49.895;38.422
856.366;71.893;49.897;38.424
857.353;71.868;49.9;38.425
858.346;71.856;49.898;38.423
859.34;71.873;49.899;38.425
860.336;71.888;49.896;38.423
861.347;71.865;49.898;38.424
862.34;71.853;49.9;38.425
863.337;71.873;49.899;38.425
864.339;71.87;49.897;38.423
865.341;71.884;49.898;38.425
866.331;71.87;49.897;38.424
867.312;71.873;49.9;38.426
868.313;71.873;49.901;38.427
869.315;71.912;49.897;38.424
