IDs:;240715_08_240712F;08_DNAJB6_00_658_uM;;*shifted by 3 s
58.098;70.094;50.538;38.984;
59.097;70.032;50.541;38.984;
60.09;69.955;50.548;38.987;
61.072;69.891;50.55;38.986;
62.074;69.822;50.547;38.979;
63.064;69.757;50.552;38.981;
64.053;69.649;50.555;38.98;
65.058;69.573;50.557;38.978;
66.068;69.469;50.565;38.982;
67.069;69.377;50.57;38.982;
68.072;69.305;50.574;38.982;
69.071;69.227;50.575;38.979;
70.055;69.226;50.582;38.981;
71.067;69.08;50.584;38.979;
72.089;69.029;50.59;38.981;
73.093;68.917;50.598;38.984;
74.119;68.839;50.6;38.983;
75.104;68.785;50.606;38.984;
76.107;68.69;50.612;38.985;
77.08;68.632;50.616;38.984;
78.057;68.593;50.62;38.985;
79.074;68.489;50.628;38.988;
80.076;68.404;50.638;38.992;
81.09;68.316;50.641;38.991;
82.089;68.246;50.648;38.992;
83.084;68.179;50.652;38.99;
84.076;68.093;50.654;38.989;
85.058;68;50.662;38.992;
86.073;67.897;50.669;38.993;
87.074;67.816;50.674;38.993;
88.072;67.709;50.679;38.992;
89.073;67.642;50.683;38.991;
90.078;67.561;50.687;38.991;
91.071;67.468;50.693;38.99;
92.074;67.375;50.7;38.992;
93.081;67.26;50.703;38.989;
94.075;67.174;50.71;38.991;
95.069;67.11;50.714;38.991;
96.066;67.036;50.719;38.989;
97.051;66.94;50.723;38.988;
98.045;66.848;50.731;38.991;
99.041;66.77;50.737;38.992;
100.051;66.69;50.744;38.994;
101.055;66.619;50.748;38.992;
102.067;66.549;50.757;38.995;
103.065;66.479;50.761;38.994;
104.066;66.378;50.77;38.997;
105.068;66.302;50.774;38.996;
106.062;66.248;50.778;38.995;
107.052;66.172;50.784;38.996;
108.061;66.089;50.789;38.996;
109.056;65.99;50.796;38.996;
110.041;65.9;50.804;38.998;
111.031;65.865;50.809;39;
112.016;65.762;50.807;38.993;
113.006;65.704;50.813;38.994;
114.019;65.625;50.819;38.995;
115.015;65.586;50.822;38.992;
116.012;65.482;50.832;38.997;
117.004;65.411;50.84;39;
118.001;65.351;50.842;38.997;
119.008;65.29;50.846;38.997;
120.012;65.248;50.848;38.993;
121.014;65.2;50.854;38.995;
122.027;65.071;50.859;38.994;
123.027;65.023;50.865;38.997;
124.045;64.973;50.87;38.996;
125.064;64.895;50.874;38.996;
126.057;64.84;50.88;38.996;
127.077;64.782;50.885;38.997;
128.077;64.738;50.888;38.997;
129.055;64.68;50.893;38.997;
130.056;64.61;50.899;38.999;
131.054;64.544;50.904;39;
132.058;64.512;50.909;39;
133.07;64.461;50.912;38.999;
134.055;64.435;50.917;39;
135.044;64.385;50.92;38.998;
136.028;64.319;50.923;38.997;
137.033;64.287;50.929;38.999;
138.019;64.213;50.932;38.998;
139.013;64.151;50.937;39;
140.014;64.107;50.938;38.998;
141.011;64.086;50.942;38.998;
142.022;64.033;50.944;38.997;
143.047;64.002;50.949;38.997;
144.027;63.954;50.952;38.997;
145.01;63.914;50.955;38.997;
146.027;63.872;50.958;38.997;
147.04;63.837;50.965;38.999;
148.068;63.78;50.97;39.001;
149.069;63.736;50.974;39.001;
150.081;63.713;50.979;39.004;
151.058;63.685;50.979;39.001;
152.051;63.645;50.982;39;
153.053;63.623;50.988;39.004;
154.048;63.593;50.989;39.002;
155.028;63.574;50.992;39.002;
156.03;63.541;50.996;39.002;
157.016;63.503;50.999;39.003;
158.007;63.467;51.001;39.003;
159.003;63.438;51.004;39.002;
160;63.38;51.01;39.006;
161.005;63.348;51.011;39.004;
161.995;63.33;51.012;39.002;
162.978;63.297;51.016;39.003;
163.98;63.28;51.018;39.004;
164.979;63.249;51.02;39.003;
165.986;63.229;51.02;39;
166.971;63.186;51.021;38.999;
167.951;63.173;51.023;38.998;
168.95;63.145;51.026;39;
169.94;63.122;51.028;39;
170.94;63.095;51.03;38.999;
171.929;63.046;51.036;39.002;
172.941;63.021;51.041;39.005;
173.935;63.017;51.041;39.003;
174.946;62.969;51.044;39.003;
175.945;62.95;51.045;39.003;
176.957;62.933;51.047;39.002;
177.94;62.923;51.048;39.001;
178.952;62.895;51.051;39.003;
179.957;62.877;51.051;39;
180.943;62.86;51.053;39.001;
181.961;62.845;51.056;39.002;
182.97;62.81;51.058;39.001;
183.951;62.809;51.062;39.004;
184.952;62.765;51.06;39;
185.958;62.763;51.064;39.002;
186.934;62.73;51.063;38.999;
187.948;62.684;51.063;38.997;
188.971;62.672;51.065;38.997;
189.967;62.623;51.071;39.001;
190.979;62.624;51.073;39.001;
191.993;62.597;51.074;39;
193.01;62.573;51.075;39;
194.007;62.561;51.077;39;
195.025;62.55;51.08;39.001;
196.032;62.539;51.079;38.999;
197.035;62.526;51.08;38.999;
198.029;62.485;51.084;39.001;
199.029;62.488;51.083;38.999;
200.023;62.487;51.084;38.999;
201.028;62.457;51.086;38.999;
202.045;62.446;51.086;38.997;
203.05;62.428;51.088;38.998;
204.044;62.42;51.089;38.997;
205.044;62.41;51.09;38.997;
206.037;62.398;51.089;38.995;
207.037;62.383;51.093;38.997;
208.054;62.377;51.092;38.995;
209.073;62.365;51.097;38.998;
210.068;62.363;51.095;38.995;
211.055;62.348;51.098;38.997;
212.051;62.319;51.101;38.999;
213.05;62.276;51.104;38.999;
214.053;62.282;51.106;39;
215.067;62.285;51.105;38.999;
216.052;62.245;51.108;39;
217.058;62.24;51.109;39;
218.077;62.234;51.111;39.001;
219.062;62.21;51.112;39.001;
220.048;62.204;51.113;39;
221.051;62.187;51.115;39.001;
222.024;62.183;51.115;39;
223.023;62.17;51.119;39.002;
224.012;62.162;51.117;39;
224.996;62.158;51.119;39;
225.998;62.15;51.121;39.002;
227.005;62.15;51.12;38.999;
227.99;62.128;51.123;39.001;
228.985;62.129;51.122;39;
229.985;62.097;51.126;39.001;
230.992;62.109;51.126;39.001;
231.994;62.093;51.127;39;
233.008;62.096;51.129;39.001;
234.029;62.087;51.128;39;
235.04;62.082;51.131;39.001;
236.055;62.063;51.133;39.002;
237.05;62.053;51.134;39.002;
238.035;62.047;51.135;39.001;
239.023;62.02;51.137;39.004;
240.014;62.024;51.138;39.004;
241.024;62.022;51.138;39.002;
242.008;62.01;51.14;39.003;
243.028;62.012;51.141;39.003;
244.02;61.97;51.146;39.006;
245.013;61.94;51.141;39.001;
246.011;61.924;51.142;39.001;
247.015;61.955;51.149;39.007;
248.015;61.906;51.146;39.003;
249.004;61.894;51.146;39.001;
250.009;61.899;51.148;39.003;
250.998;61.875;51.149;39.003;
252.005;61.873;51.148;39.001;
253.009;61.866;51.148;39;
254.004;61.879;51.154;39.004;
254.993;61.839;51.153;39.002;
255.982;61.84;51.154;39.003;
256.98;61.822;51.153;39;
257.977;61.821;51.154;39.002;
258.978;61.814;51.154;39;
259.987;61.793;51.158;39.003;
260.981;61.787;51.157;39.001;
261.986;61.78;51.157;39;
262.987;61.771;51.159;39.001;
263.969;61.773;51.16;39.002;
264.968;61.763;51.162;39.003;
265.975;61.76;51.162;39.003;
266.996;61.752;51.164;39.003;
268.002;61.748;51.163;39.001;
268.989;61.729;51.165;39.002;
269.99;61.722;51.169;39.005;
270.989;61.698;51.166;39.001;
271.981;61.721;51.168;39.003;
272.976;61.711;51.17;39.004;
273.98;61.696;51.17;39.002;
274.986;61.693;51.171;39.003;
275.976;61.687;51.171;39.002;
276.981;61.665;51.175;39.005;
277.99;61.661;51.174;39.003;
279.01;61.651;51.175;39.003;
280.014;61.631;51.174;39.001;
281.023;61.621;51.178;39.004;
282.012;61.615;51.178;39.004;
283.021;61.642;51.183;39.007;
284.019;61.63;51.184;39.007;
285.015;61.572;51.179;39.002;
286.016;61.574;51.181;39.003;
286.994;61.57;51.181;39.002;
287.994;61.59;51.185;39.005;
288.999;61.585;51.188;39.007;
290.013;61.587;51.185;39.004;
291.025;61.562;51.191;39.008;
292.016;61.559;51.188;39.005;
293.008;61.551;51.19;39.006;
294.008;61.547;51.19;39.007;
295.016;61.54;51.191;39.006;
296.026;61.527;51.193;39.007;
297.027;61.522;51.192;39.004;
298.02;61.505;51.194;39.006;
299.005;61.469;51.191;39.002;
300.004;61.494;51.194;39.004;
301.006;61.487;51.196;39.006;
302.021;61.475;51.196;39.005;
303.029;61.464;51.197;39.005;
304.028;61.457;51.197;39.004;
305.024;61.448;51.197;39.003;
306.025;61.46;51.198;39.004;
307.034;61.406;51.196;39.001;
308.031;61.434;51.201;39.005;
309.012;61.421;51.201;39.004;
309.996;61.421;51.201;39.003;
310.992;61.409;51.202;39.004;
311.997;61.397;51.202;39.001;
312.994;61.39;51.201;39.001;
314.007;61.373;51.2;38.998;
315.004;61.375;51.202;39;
315.989;61.361;51.205;39.002;
316.973;61.369;51.205;39.001;
317.966;61.341;51.203;38.999;
318.962;61.342;51.204;39;
319.963;61.328;51.204;38.999;
320.969;61.315;51.207;39;
321.954;61.307;51.206;38.999;
322.939;61.305;51.209;39.002;
323.931;61.288;51.209;39;
324.955;61.275;51.209;39;
325.938;61.263;51.209;38.999;
326.918;61.253;51.212;39.001;
327.926;61.231;51.214;39.002;
328.904;61.228;51.215;39.002;
329.903;61.225;51.214;39.001;
330.888;61.221;51.215;39;
331.89;61.227;51.216;39.001;
332.885;61.204;51.217;39.001;
333.877;61.21;51.216;39;
334.881;61.195;51.218;39;
335.855;61.192;51.219;39.001;
336.862;61.183;51.219;39;
337.852;61.169;51.222;39.002;
338.855;61.168;51.221;39;
339.838;61.168;51.222;39.001;
340.834;61.161;51.222;39.001;
341.83;61.158;51.222;39;
342.831;61.149;51.225;39.002;
343.828;61.155;51.225;39.002;
344.83;61.143;51.225;39.002;
345.842;61.141;51.225;39.001;
346.848;61.137;51.225;38.999;
347.827;61.111;51.228;39.001;
348.82;61.121;51.228;39.001;
349.841;61.114;51.229;39.002;
350.838;61.11;51.229;39.001;
351.84;61.12;51.23;39.001;
352.844;61.093;51.23;39.001;
353.851;61.09;51.229;38.999;
354.86;61.088;51.23;39;
355.876;61.079;51.23;38.999;
356.861;61.078;51.231;38.999;
357.869;61.064;51.232;38.999;
358.87;61.06;51.235;39.002;
359.869;61.046;51.235;39.001;
360.858;61.05;51.236;39;
361.842;61.03;51.24;39.003;
362.847;61.029;51.238;39.002;
363.828;61.025;51.238;39.001;
364.821;61.022;51.239;39.001;
365.825;61.015;51.241;39.002;
366.814;61.004;51.241;39.001;
367.796;61.003;51.242;39.001;
368.8;60.997;51.243;39.002;
369.786;60.993;51.243;39.002;
370.773;60.985;51.243;39;
371.772;60.971;51.245;39.002;
372.761;60.97;51.247;39.003;
373.781;60.954;51.247;39.003;
374.778;60.95;51.248;39.003;
375.784;60.951;51.248;39.003;
376.795;60.943;51.249;39.003;
377.793;60.949;51.249;39.003;
378.795;60.918;51.253;39.005;
379.782;60.935;51.249;39.001;
380.782;60.925;51.252;39.004;
381.785;60.904;51.255;39.004;
382.786;60.899;51.255;39.004;
383.791;60.896;51.257;39.005;
384.801;60.901;51.256;39.004;
385.784;60.885;51.256;39.004;
386.771;60.881;51.258;39.004;
387.764;60.864;51.257;39.003;
388.758;60.874;51.259;39.005;
389.759;60.858;51.261;39.006;
390.75;60.845;51.262;39.006;
391.742;60.852;51.261;39.004;
392.749;60.845;51.265;39.007;
393.75;60.829;51.263;39.005;
394.741;60.834;51.264;39.006;
395.75;60.841;51.263;39.003;
396.75;60.833;51.265;39.005;
397.728;60.825;51.265;39.005;
398.737;60.815;51.266;39.005;
399.743;60.814;51.266;39.005;
400.757;60.811;51.265;39.003;
401.751;60.813;51.267;39.005;
402.753;60.81;51.266;39.003;
403.743;60.796;51.268;39.004;
404.757;60.802;51.267;39.003;
405.775;60.793;51.269;39.004;
406.784;60.784;51.269;39.003;
407.77;60.786;51.269;39.002;
408.756;60.78;51.27;39.003;
409.749;60.776;51.271;39.004;
410.748;60.769;51.271;39.003;
411.758;60.769;51.272;39.004;
412.766;60.764;51.273;39.003;
413.749;60.76;51.274;39.004;
414.765;60.757;51.273;39.003;
415.763;60.753;51.276;39.004;
416.767;60.739;51.276;39.004;
417.756;60.738;51.274;39.001;
418.743;60.741;51.279;39.006;
419.763;60.733;51.276;39.003;
420.757;60.727;51.278;39.004;
421.754;60.712;51.279;39.004;
422.754;60.718;51.278;39.003;
423.752;60.712;51.28;39.004;
424.747;60.698;51.279;39.002;
425.748;60.702;51.281;39.003;
426.741;60.691;51.283;39.005;
427.734;60.683;51.283;39.004;
428.736;60.688;51.283;39.004;
429.744;60.69;51.283;39.003;
430.744;60.675;51.284;39.004;
431.755;60.665;51.286;39.005;
432.757;60.654;51.287;39.005;
433.76;60.641;51.291;39.008;
434.768;60.646;51.29;39.006;
435.781;60.63;51.292;39.008;
436.787;60.641;51.293;39.008;
437.778;60.628;51.294;39.009;
438.773;60.586;51.291;39.004;
439.773;60.617;51.295;39.009;
440.78;60.615;51.293;39.006;
441.761;60.61;51.295;39.007;
442.749;60.564;51.294;39.006;
443.761;60.569;51.292;39.003;
444.752;60.558;51.294;39.005;
445.749;60.558;51.294;39.004;
446.753;60.553;51.296;39.005;
447.762;60.553;51.296;39.005;
448.774;60.553;51.295;39.004;
449.789;60.544;51.296;39.003;
450.811;60.533;51.298;39.005;
451.802;60.541;51.297;39.004;
452.797;60.523;51.297;39.003;
453.797;60.532;51.297;39.003;
454.802;60.521;51.296;39.001;
455.81;60.519;51.298;39.003;
456.811;60.518;51.298;39.002;
457.799;60.515;51.298;39.001;
458.798;60.511;51.3;39.002;
459.789;60.506;51.3;39.001;
460.773;60.509;51.299;39;
461.794;60.49;51.302;39.002;
462.776;60.483;51.302;39.002;
463.767;60.483;51.304;39.003;
464.757;60.482;51.304;39.003;
465.747;60.481;51.303;39.001;
466.743;60.471;51.303;39.001;
467.762;60.478;51.304;39.001;
468.76;60.457;51.303;39;
469.767;60.428;51.303;39;
470.75;60.451;51.306;39.002;
471.737;60.419;51.303;38.999;
472.745;60.446;51.307;39.001;
473.731;60.406;51.305;39;
474.725;60.446;51.307;39.001;
475.723;60.445;51.308;39.001;
476.726;60.424;51.309;39.001;
477.734;60.432;51.308;39.001;
478.723;60.424;51.31;39.001;
479.716;60.418;51.31;39;
480.716;60.389;51.308;38.999;
481.718;60.412;51.311;39.001;
482.727;60.414;51.313;39.002;
483.737;60.399;51.312;39.001;
484.72;60.406;51.313;39.001;
485.706;60.351;51.313;39.001;
486.711;60.397;51.313;39;
487.713;60.395;51.315;39.002;
488.719;60.394;51.314;39.001;
489.724;60.347;51.313;38.999;
490.698;60.381;51.317;39.002;
491.693;60.34;51.314;39;
492.667;60.331;51.316;39;
493.664;60.323;51.316;38.999;
494.656;60.322;51.317;39;
495.651;60.323;51.317;39;
496.644;60.315;51.318;39;
497.627;60.301;51.32;39.001;
498.624;60.303;51.32;39.002;
499.63;60.304;51.321;39.002;
500.614;60.29;51.323;39.003;
501.627;60.29;51.322;39.001;
502.609;60.284;51.323;39.002;
503.6;60.279;51.325;39.003;
504.627;60.263;51.325;39.002;
505.635;60.274;51.325;39.003;
506.629;60.264;51.323;39;
507.625;60.258;51.326;39.002;
508.622;60.25;51.328;39.003;
509.62;60.25;51.326;39.001;
510.623;60.239;51.329;39.003;
511.631;60.242;51.328;39.001;
512.646;60.236;51.329;39.002;
513.637;60.239;51.328;39.001;
514.634;60.216;51.331;39.003;
515.635;60.227;51.33;39.002;
516.644;60.216;51.331;39.002;
517.645;60.216;51.332;39.003;
518.618;60.212;51.332;39.002;
519.623;60.204;51.332;39.002;
520.636;60.212;51.332;39.002;
521.647;60.216;51.335;39.003;
522.661;60.196;51.332;39.001;
523.647;60.216;51.334;39.002;
524.666;60.202;51.334;39;
525.66;60.193;51.334;39;
526.654;60.201;51.336;39.002;
527.651;60.174;51.333;38.999;
528.653;60.184;51.335;39;
529.653;60.177;51.336;39.001;
530.652;60.189;51.337;39;
531.654;60.184;51.338;39.001;
532.659;60.156;51.334;38.998;
533.65;60.178;51.339;39.001;
534.656;60.158;51.336;38.998;
535.65;60.169;51.338;38.999;
536.656;60.136;51.339;39;
537.642;60.142;51.337;38.998;
538.633;60.152;51.34;38.998;
539.625;60.135;51.338;38.998;
540.622;60.115;51.336;38.996;
541.624;60.155;51.344;39.001;
542.633;60.143;51.34;38.998;
543.649;60.136;51.34;38.998;
544.643;60.14;51.341;38.998;
545.647;60.108;51.34;38.997;
546.643;60.137;51.343;38.999;
547.639;60.123;51.341;38.996;
548.624;60.12;51.342;38.996;
549.638;60.127;51.343;38.997;
550.649;60.106;51.343;38.996;
551.655;60.114;51.342;38.996;
552.664;60.121;51.345;38.998;
553.677;60.105;51.346;38.998;
554.663;60.111;51.346;38.997;
555.657;60.091;51.343;38.995;
556.651;60.072;51.342;38.992;
557.652;60.081;51.343;38.993;
558.654;60.097;51.347;38.996;
559.657;60.083;51.347;38.996;
560.66;60.057;51.345;38.994;
561.642;60.068;51.348;38.996;
562.619;60.033;51.347;38.994;
563.604;60.04;51.344;38.991;
564.606;60.04;51.346;38.993;
565.599;60.036;51.346;38.992;
566.574;60.036;51.346;38.992;
567.575;60.017;51.345;38.991;
568.577;60.022;51.346;38.991;
569.563;60.013;51.344;38.989;
570.565;60.03;51.35;38.994;
571.554;60.012;51.347;38.992;
572.561;59.988;51.347;38.99;
573.548;60.018;51.353;38.995;
574.55;59.981;51.351;38.992;
575.544;59.985;51.349;38.99;
576.55;59.978;51.351;38.992;
577.528;59.969;51.352;38.992;
578.542;59.965;51.352;38.992;
579.533;59.962;51.353;38.993;
580.53;59.953;51.352;38.991;
581.514;59.977;51.355;38.994;
582.529;59.954;51.353;38.992;
583.518;59.944;51.354;38.991;
584.517;59.966;51.357;38.994;
585.502;59.935;51.356;38.993;
586.484;59.94;51.357;38.993;
587.469;59.923;51.356;38.991;
588.459;59.93;51.357;38.992;
589.453;59.918;51.358;38.993;
590.455;59.92;51.357;38.991;
591.443;59.919;51.358;38.991;
592.442;59.922;51.358;38.991;
593.44;59.931;51.361;38.993;
594.431;59.904;51.36;38.992;
595.443;59.924;51.361;38.993;
596.45;59.921;51.361;38.993;
597.438;59.919;51.363;38.994;
598.446;59.91;51.362;38.992;
599.442;59.917;51.364;38.995;
600.444;59.914;51.362;38.991;
601.459;59.877;51.361;38.99;
602.481;59.899;51.363;38.993;
603.48;59.895;51.363;38.992;
604.49;59.896;51.364;38.992;
605.508;59.89;51.363;38.991;
606.5;59.882;51.364;38.99;
607.5;59.879;51.366;38.992;
608.486;59.879;51.364;38.99;
609.476;59.88;51.364;38.99;
610.473;59.874;51.366;38.991;
611.455;59.879;51.367;38.992;
612.436;59.88;51.366;38.991;
613.429;59.865;51.366;38.99;
614.452;59.859;51.365;38.989;
615.449;59.856;51.366;38.99;
616.451;59.858;51.365;38.989;
617.463;59.852;51.366;38.989;
618.488;59.853;51.366;38.988;
619.488;59.848;51.369;38.991;
620.483;59.844;51.368;38.989;
621.463;59.828;51.368;38.989;
622.458;59.829;51.371;38.991;
623.436;59.824;51.369;38.989;
624.43;59.827;51.37;38.99;
625.436;59.824;51.37;38.989;
626.437;59.816;51.372;38.991;
627.428;59.809;51.371;38.989;
628.438;59.814;51.372;38.99;
629.442;59.807;51.372;38.989;
630.438;59.806;51.373;38.99;
631.436;59.804;51.373;38.99;
632.447;59.79;51.372;38.988;
633.465;59.795;51.374;38.989;
634.462;59.798;51.374;38.989;
635.466;59.793;51.373;38.988;
636.482;59.784;51.374;38.988;
637.48;59.786;51.375;38.99;
638.483;59.782;51.374;38.988;
639.491;59.77;51.376;38.989;
640.511;59.767;51.377;38.989;
641.497;59.77;51.376;38.989;
642.517;59.77;51.377;38.989;
643.51;59.772;51.377;38.988;
644.53;59.758;51.379;38.989;
645.531;59.756;51.377;38.988;
646.534;59.742;51.378;38.988;
647.54;59.757;51.377;38.987;
648.553;59.724;51.379;38.988;
649.574;59.728;51.38;38.989;
650.575;59.733;51.381;38.99;
651.573;59.723;51.383;38.991;
652.562;59.727;51.38;38.988;
653.566;59.719;51.382;38.989;
654.567;59.724;51.379;38.986;
655.552;59.711;51.382;38.989;
656.55;59.714;51.382;38.988;
657.536;59.701;51.382;38.988;
658.537;59.7;51.383;38.988;
659.519;59.703;51.383;38.988;
660.515;59.701;51.385;38.99;
661.512;59.703;51.382;38.987;
662.505;59.674;51.387;38.99;
663.507;59.686;51.386;38.989;
664.516;59.677;51.388;38.991;
665.501;59.677;51.387;38.989;
666.493;59.672;51.386;38.988;
667.498;59.663;51.387;38.988;
668.505;59.663;51.385;38.987;
669.486;59.667;51.385;38.986;
670.486;59.652;51.388;38.988;
671.486;59.66;51.388;38.988;
672.489;59.642;51.39;38.989;
673.5;59.661;51.387;38.986;
674.482;59.642;51.388;38.987;
675.469;59.631;51.39;38.988;
676.457;59.639;51.39;38.988;
677.447;59.644;51.39;38.988;
678.45;59.637;51.391;38.989;
679.45;59.637;51.392;38.989;
680.449;59.625;51.391;38.987;
681.431;59.627;51.389;38.985;
682.428;59.624;51.392;38.988;
683.424;59.621;51.391;38.987;
684.403;59.611;51.392;38.987;
685.394;59.612;51.394;38.988;
686.396;59.614;51.395;38.989;
687.39;59.611;51.393;38.987;
688.392;59.606;51.394;38.987;
689.387;59.613;51.394;38.987;
690.392;59.598;51.392;38.985;
691.376;59.595;51.394;38.986;
692.368;59.598;51.393;38.986;
693.367;59.601;51.393;38.985;
694.371;59.588;51.394;38.986;
695.369;59.583;51.393;38.984;
696.371;59.586;51.396;38.986;
697.356;59.582;51.396;38.986;
698.343;59.583;51.394;38.983;
699.337;59.576;51.395;38.984;
700.341;59.576;51.396;38.985;
701.35;59.574;51.395;38.984;
702.355;59.577;51.396;38.985;
703.353;59.57;51.394;38.982;
704.357;59.568;51.395;38.984;
705.367;59.561;51.396;38.983;
706.385;59.557;51.397;38.984;
707.396;59.565;51.396;38.983;
708.386;59.561;51.398;38.985;
709.381;59.553;51.396;38.982;
710.38;59.552;51.397;38.983;
711.38;59.56;51.397;38.983;
712.382;59.557;51.396;38.981;
713.385;59.555;51.399;38.984;
714.384;59.546;51.398;38.982;
715.391;59.545;51.399;38.984;
716.385;59.539;51.397;38.981;
717.386;59.538;51.397;38.981;
718.395;59.539;51.399;38.982;
719.379;59.532;51.4;38.983;
720.37;59.524;51.401;38.983;
721.365;59.53;51.401;38.983;
722.366;59.523;51.4;38.981;
723.379;59.52;51.402;38.983;
724.383;59.518;51.402;38.983;
725.386;59.521;51.403;38.984;
726.393;59.513;51.401;38.981;
727.391;59.522;51.401;38.982;
728.394;59.506;51.402;38.981;
729.373;59.513;51.402;38.981;
730.356;59.512;51.402;38.981;
731.346;59.5;51.402;38.981;
732.34;59.506;51.404;38.982;
733.34;59.493;51.404;38.981;
734.345;59.508;51.402;38.98;
735.354;59.489;51.404;38.981;
736.371;59.497;51.403;38.979;
737.361;59.49;51.403;38.98;
738.353;59.488;51.405;38.981;
739.353;59.487;51.403;38.979;
740.362;59.486;51.406;38.982;
741.374;59.484;51.405;38.98;
742.375;59.48;51.406;38.981;
743.378;59.483;51.406;38.981;
744.351;59.475;51.406;38.98;
745.344;59.478;51.405;38.979;
746.354;59.474;51.407;38.981;
747.35;59.476;51.406;38.979;
748.359;59.48;51.408;38.981;
749.34;59.472;51.408;38.98;
750.352;59.471;51.409;38.981;
751.346;59.46;51.41;38.981;
752.334;59.453;51.409;38.98;
753.335;59.47;51.408;38.98;
754.329;59.446;51.41;38.981;
755.327;59.445;51.41;38.98;
756.329;59.456;51.409;38.98;
757.323;59.442;51.411;38.981;
758.32;59.45;51.41;38.979;
759.321;59.436;51.412;38.982;
760.326;59.434;51.409;38.978;
761.31;59.44;51.411;38.98;
762.329;59.429;51.413;38.98;
763.321;59.429;51.412;38.98;
764.323;59.424;51.414;38.981;
765.329;59.431;51.413;38.98;
766.338;59.416;51.413;38.98;
767.332;59.41;51.413;38.979;
768.322;59.414;51.412;38.979;
769.329;59.412;51.414;38.98;
770.327;59.402;51.416;38.981;
771.323;59.408;51.416;38.981;
772.324;59.392;51.416;38.981;
773.322;59.398;51.417;38.982;
774.323;59.39;51.416;38.98;
775.334;59.396;51.416;38.98;
776.333;59.39;51.416;38.98;
777.32;59.381;51.416;38.979;
778.319;59.379;51.417;38.98;
779.337;59.375;51.417;38.979;
780.338;59.377;51.418;38.981;
781.335;59.374;51.419;38.981;
782.335;59.373;51.42;38.982;
783.338;59.357;51.419;38.98;
784.348;59.37;51.42;38.981;
785.337;59.356;51.421;38.982;
786.361;59.359;51.421;38.981;
787.369;59.352;51.42;38.979;
788.381;59.358;51.421;38.981;
789.373;59.357;51.421;38.98;
790.366;59.345;51.421;38.979;
791.368;59.351;51.421;38.98;
792.375;59.344;51.421;38.979;
793.376;59.309;51.422;38.98;
794.374;59.338;51.424;38.981;
795.376;59.332;51.424;38.98;
796.383;59.338;51.423;38.98;
797.395;59.299;51.422;38.978;
798.379;59.333;51.426;38.982;
799.365;59.298;51.422;38.977;
800.353;59.325;51.425;38.98;
801.342;59.294;51.422;38.977;
802.341;59.323;51.427;38.981;
803.347;59.286;51.422;38.975;
804.324;59.286;51.423;38.977;
805.325;59.318;51.427;38.981;
806.333;59.288;51.422;38.975;
807.321;59.308;51.428;38.981;
808.31;59.277;51.424;38.976;
809.309;59.298;51.427;38.979;
810.281;59.27;51.425;38.977;
811.277;59.272;51.424;38.976;
812.26;59.262;51.426;38.977;
813.251;59.269;51.423;38.974;
814.25;59.264;51.424;38.975;
815.249;59.266;51.425;38.976;
816.255;59.271;51.424;38.974;
817.257;59.253;51.426;38.975;
818.259;59.257;51.424;38.974;
819.242;59.261;51.424;38.974;
820.238;59.26;51.425;38.974;
821.24;59.257;51.424;38.973;
822.218;59.253;51.424;38.973;
823.214;59.25;51.427;38.975;
824.213;59.242;51.426;38.973;
825.217;59.243;51.428;38.975;
