IDs:;240717_13_240712J;13_DNAJB6_00_130_uM;
140.59;71.912;50.438;38.993
141.59;71.928;50.436;38.993
142.6;71.89;50.436;38.991
143.607;71.886;50.44;38.996
144.595;71.914;50.437;38.993
145.581;71.906;50.439;38.995
146.57;71.92;50.438;38.994
147.576;71.886;50.441;38.996
148.59;71.852;50.44;38.996
149.585;71.919;50.439;38.995
150.574;71.892;50.441;38.996
151.59;71.926;50.439;38.995
152.579;71.913;50.439;38.994
153.576;71.894;50.439;38.995
154.58;71.893;50.438;38.993
155.569;71.904;50.438;38.994
156.544;71.895;50.44;38.995
157.549;71.882;50.441;38.996
158.555;71.871;50.435;38.992
159.569;71.889;50.441;38.996
160.568;71.886;50.44;38.995
161.575;71.873;50.443;38.998
162.574;71.877;50.443;38.998
163.561;71.911;50.438;38.994
164.543;71.901;50.441;38.997
165.509;71.886;50.442;38.997
166.52;71.909;50.438;38.994
167.528;71.913;50.439;38.995
168.538;71.893;50.441;38.997
169.531;71.885;50.442;38.997
170.535;71.915;50.441;38.996
171.521;71.889;50.44;38.996
172.513;71.9;50.444;39
173.514;71.905;50.439;38.994
174.495;71.885;50.442;38.998
175.495;71.872;50.44;38.995
176.495;71.869;50.442;38.997
177.491;71.882;50.439;38.994
178.479;71.846;50.44;38.995
179.497;71.884;50.442;38.997
180.49;71.848;50.439;38.994
181.491;71.892;50.442;38.997
182.483;71.882;50.441;38.996
183.467;71.868;50.446;39.001
184.456;71.859;50.44;38.995
185.448;71.876;50.44;38.995
186.442;71.869;50.441;38.997
187.442;71.89;50.441;38.996
188.458;71.887;50.441;38.996
189.451;71.849;50.441;38.995
190.442;71.887;50.441;38.996
191.442;71.886;50.442;38.997
192.437;71.867;50.443;38.998
193.429;71.899;50.441;38.996
194.422;71.868;50.442;38.996
195.402;71.888;50.439;38.994
196.415;71.903;50.441;38.997
197.41;71.879;50.44;38.994
198.39;71.872;50.443;38.997
199.378;71.851;50.443;38.998
200.357;71.891;50.443;38.998
201.352;71.881;50.441;38.996
202.341;71.868;50.443;38.998
203.337;71.866;50.443;38.998
204.343;71.858;50.441;38.996
205.337;71.851;50.443;38.997
206.338;71.879;50.443;38.997
207.336;71.889;50.441;38.996
208.331;71.877;50.443;38.998
209.331;71.877;50.441;38.996
210.315;71.87;50.441;38.996
211.299;71.88;50.442;38.997
212.294;71.898;50.444;38.999
213.3;71.842;50.444;38.997
214.287;71.875;50.444;38.999
215.306;71.872;50.443;38.997
216.308;71.873;50.442;38.997
217.304;71.862;50.442;38.996
218.306;71.877;50.443;38.998
219.294;71.873;50.443;38.998
220.26;71.885;50.443;38.997
221.253;71.862;50.442;38.996
222.246;71.851;50.44;38.996
223.25;71.854;50.442;38.996
224.232;71.829;50.439;38.994
225.218;71.844;50.442;38.996
226.208;71.86;50.445;38.999
227.207;71.865;50.443;38.997
228.193;71.857;50.442;38.996
229.21;71.865;50.442;38.996
230.231;71.872;50.443;38.997
231.224;71.866;50.441;38.996
232.222;71.853;50.444;38.999
233.223;71.871;50.441;38.995
234.235;71.842;50.444;38.998
235.234;71.873;50.443;38.997
236.233;71.864;50.439;38.993
237.236;71.889;50.442;38.997
238.241;71.871;50.442;38.996
239.233;71.875;50.443;38.997
240.231;71.863;50.443;38.997
241.23;71.855;50.442;38.996
242.228;71.865;50.446;39
243.212;71.85;50.444;38.998
244.222;71.875;50.445;38.999
245.197;71.844;50.444;38.998
246.181;71.857;50.441;38.996
247.179;71.846;50.442;38.995
248.169;71.87;50.44;38.994
249.166;71.869;50.443;38.997
250.17;71.881;50.443;38.998
251.172;71.839;50.443;38.997
252.159;71.882;50.441;38.995
253.143;71.818;50.441;38.996
254.133;71.828;50.446;38.999
255.132;71.837;50.444;38.997
256.14;71.899;50.445;38.999
257.128;71.854;50.445;38.999
258.133;71.849;50.446;38.999
259.124;71.863;50.443;38.997
260.121;71.845;50.443;38.996
261.122;71.816;50.443;38.997
262.112;71.855;50.442;38.996
263.092;71.839;50.445;38.999
264.076;71.845;50.444;38.998
265.071;71.851;50.444;38.998
266.076;71.85;50.442;38.996
267.055;71.836;50.444;38.997
268.062;71.872;50.445;38.999
269.047;71.813;50.446;39
270.034;71.836;50.444;38.997
271.033;71.847;50.444;38.998
272.033;71.849;50.444;38.998
273.059;71.826;50.448;39.001
274.055;71.863;50.441;38.995
275.051;71.864;50.445;38.998
276.058;71.863;50.443;38.996
277.054;71.867;50.444;38.997
278.049;71.859;50.446;39
279.035;71.848;50.444;38.998
280.028;71.87;50.443;38.997
281.013;71.858;50.444;38.998
282.015;71.879;50.444;38.997
283.001;71.879;50.44;38.994
284.081;71.835;50.446;39
285.084;71.826;50.444;38.996
286.093;71.861;50.444;38.998
287.097;71.842;50.447;39
288.085;71.862;50.442;38.997
289.097;71.841;50.444;38.997
290.068;71.817;50.443;38.996
291.061;71.86;50.446;39.001
292.071;71.818;50.445;38.998
293.081;71.833;50.446;38.999
294.079;71.842;50.446;38.999
295.079;71.822;50.446;39
296.08;71.842;50.444;38.998
297.097;71.849;50.446;39
298.086;71.87;50.444;38.997
299.077;71.854;50.445;38.998
300.081;71.846;50.443;38.998
301.079;71.853;50.444;38.998
302.063;71.835;50.443;38.997
303.047;71.856;50.444;38.998
304.037;71.825;50.444;38.998
305.05;71.849;50.445;38.999
306.035;71.851;50.443;38.997
307.034;71.867;50.446;39
308.018;71.826;50.443;38.996
309.014;71.858;50.444;38.997
309.997;71.84;50.445;38.998
310.998;71.826;50.445;38.998
311.987;71.852;50.443;38.996
312.977;71.829;50.446;38.999
313.979;71.846;50.442;38.995
314.982;71.882;50.443;38.997
315.981;71.854;50.442;38.996
316.982;71.81;50.445;38.998
317.964;71.85;50.445;38.999
318.953;71.816;50.444;38.997
319.949;71.854;50.441;38.994
320.932;71.855;50.443;38.997
321.916;71.822;50.445;38.997
322.918;71.832;50.444;38.997
323.917;71.856;50.443;38.997
324.938;71.838;50.442;38.995
325.925;71.834;50.444;38.997
326.913;71.854;50.442;38.995
327.908;71.837;50.442;38.995
328.907;71.857;50.443;38.996
329.912;71.853;50.445;38.998
330.919;71.834;50.443;38.996
331.922;71.836;50.44;38.993
332.904;71.837;50.443;38.996
333.889;71.838;50.444;38.997
334.871;71.811;50.443;38.997
335.87;71.854;50.44;38.993
336.875;71.843;50.444;38.998
337.883;71.863;50.44;38.993
338.896;71.827;50.442;38.996
339.887;71.838;50.442;38.995
340.874;71.82;50.443;38.995
341.862;71.864;50.44;38.994
342.856;71.831;50.443;38.996
343.849;71.833;50.44;38.993
344.855;71.851;50.442;38.995
345.846;71.817;50.442;38.995
346.825;71.822;50.443;38.995
347.83;71.814;50.443;38.996
348.814;71.833;50.443;38.996
349.803;71.844;50.441;38.994
350.798;71.831;50.442;38.996
351.795;71.848;50.442;38.995
352.796;71.814;50.443;38.996
353.8;71.841;50.443;38.996
354.799;71.856;50.442;38.995
355.794;71.863;50.441;38.995
356.792;71.857;50.442;38.996
357.794;71.831;50.441;38.994
358.798;71.838;50.442;38.996
359.807;71.883;50.44;38.994
360.819;71.835;50.441;38.994
361.835;71.832;50.444;38.997
362.872;71.831;50.442;38.995
363.88;71.82;50.442;38.995
364.897;71.841;50.441;38.995
365.903;71.841;50.441;38.994
366.891;71.833;50.444;38.997
367.877;71.812;50.443;38.995
368.879;71.831;50.442;38.995
369.873;71.832;50.442;38.995
370.874;71.888;50.438;38.992
371.863;71.836;50.442;38.994
372.854;71.847;50.442;38.995
373.848;71.821;50.441;38.993
374.825;71.818;50.442;38.995
375.806;71.807;50.445;38.998
376.821;71.827;50.442;38.995
377.803;71.81;50.44;38.993
378.823;71.815;50.446;38.998
379.819;71.798;50.44;38.993
380.837;71.814;50.443;38.996
381.859;71.829;50.442;38.995
382.855;71.833;50.442;38.994
383.861;71.824;50.442;38.995
384.84;71.814;50.446;38.998
385.826;71.805;50.444;38.996
386.831;71.819;50.443;38.995
387.824;71.829;50.443;38.996
388.816;71.838;50.442;38.996
389.797;71.808;50.441;38.993
390.773;71.831;50.441;38.994
391.771;71.826;50.444;38.996
392.789;71.798;50.445;38.996
393.781;71.833;50.443;38.995
394.764;71.886;50.44;38.993
395.754;71.812;50.443;38.995
396.746;71.844;50.444;38.997
397.737;71.796;50.444;38.997
398.731;71.792;50.443;38.994
399.741;71.82;50.443;38.996
400.753;71.813;50.442;38.995
401.73;71.809;50.438;38.992
402.717;71.837;50.444;38.996
403.702;71.843;50.443;38.995
404.693;71.802;50.443;38.995
405.72;71.832;50.44;38.993
406.707;71.814;50.443;38.994
407.691;71.812;50.441;38.994
408.682;71.83;50.443;38.996
409.676;71.824;50.438;38.991
410.676;71.822;50.441;38.993
411.676;71.827;50.442;38.995
412.657;71.815;50.44;38.992
413.635;71.833;50.442;38.994
414.636;71.798;50.444;38.996
415.623;71.808;50.441;38.993
416.607;71.862;50.437;38.99
417.611;71.864;50.441;38.993
418.612;71.892;50.436;38.99
419.592;71.82;50.441;38.992
420.586;71.828;50.441;38.994
421.611;71.798;50.441;38.992
422.597;71.849;50.439;38.992
423.592;71.823;50.441;38.993
424.592;71.808;50.44;38.992
425.596;71.792;50.443;38.994
426.583;71.813;50.439;38.991
427.597;71.808;50.442;38.994
428.604;71.794;50.44;38.992
429.598;71.809;50.441;38.993
430.6;71.819;50.439;38.992
431.597;71.833;50.44;38.992
432.59;71.817;50.441;38.994
433.587;71.796;50.441;38.992
434.59;71.833;50.439;38.991
435.599;71.805;50.44;38.992
436.612;71.837;50.442;38.994
437.597;71.849;50.437;38.989
438.592;71.834;50.44;38.992
439.578;71.78;50.438;38.991
440.589;71.822;50.438;38.99
441.591;71.849;50.438;38.99
442.589;71.792;50.441;38.991
443.574;71.829;50.44;38.992
444.576;71.815;50.44;38.992
445.567;71.825;50.438;38.991
446.583;71.805;50.44;38.992
447.577;71.811;50.441;38.992
448.581;71.761;50.442;38.992
449.565;71.841;50.441;38.993
450.555;71.816;50.439;38.991
451.563;71.816;50.441;38.993
452.557;71.825;50.44;38.992
453.559;71.83;50.439;38.991
454.554;71.785;50.442;38.993
455.557;71.827;50.438;38.99
456.567;71.849;50.44;38.993
457.554;71.807;50.439;38.99
458.544;71.781;50.441;38.992
459.544;71.815;50.438;38.99
460.547;71.81;50.435;38.987
461.531;71.835;50.438;38.99
462.523;71.813;50.44;38.992
463.552;71.793;50.439;38.991
464.554;71.811;50.439;38.99
465.563;71.824;50.437;38.989
466.574;71.826;50.438;38.99
467.591;71.833;50.439;38.991
468.598;71.799;50.438;38.989
469.605;71.817;50.437;38.989
470.61;71.808;50.438;38.99
471.607;71.803;50.435;38.987
472.588;71.83;50.438;38.99
473.588;71.812;50.436;38.988
474.584;71.827;50.439;38.991
475.59;71.825;50.433;38.984
476.581;71.834;50.436;38.988
477.579;71.858;50.434;38.987
478.563;71.826;50.433;38.985
479.553;71.793;50.436;38.987
480.549;71.786;50.438;38.989
481.532;71.792;50.436;38.987
482.528;71.795;50.437;38.989
483.515;71.785;50.437;38.989
484.509;71.808;50.437;38.989
485.516;71.805;50.435;38.987
486.522;71.793;50.435;38.986
487.529;71.82;50.435;38.987
488.529;71.846;50.433;38.986
489.539;71.812;50.436;38.988
490.55;71.801;50.434;38.986
491.535;71.831;50.434;38.985
492.527;71.811;50.438;38.989
493.518;71.844;50.431;38.984
494.517;71.799;50.435;38.987
495.518;71.832;50.433;38.985
496.524;71.787;50.435;38.986
497.531;71.831;50.434;38.986
498.525;71.825;50.431;38.983
499.521;71.806;50.434;38.985
500.532;71.84;50.431;38.983
501.529;71.808;50.435;38.986
502.517;71.816;50.435;38.987
503.523;71.776;50.436;38.987
504.506;71.786;50.435;38.987
505.507;71.784;50.436;38.987
506.505;71.8;50.435;38.986
507.509;71.789;50.436;38.987
508.506;71.791;50.434;38.984
509.512;71.819;50.435;38.987
510.504;71.832;50.433;38.984
511.498;71.801;50.435;38.986
512.501;71.821;50.434;38.986
513.5;71.809;50.432;38.983
514.507;71.78;50.436;38.988
515.515;71.797;50.433;38.985
516.508;71.804;50.434;38.986
517.503;71.824;50.431;38.983
518.5;71.776;50.434;38.985
519.506;71.787;50.434;38.985
520.514;71.815;50.432;38.984
521.508;71.785;50.436;38.987
522.5;71.794;50.43;38.982
523.496;71.799;50.434;38.986
524.494;71.817;50.432;38.984
525.495;71.776;50.435;38.985
526.496;71.765;50.434;38.985
527.502;71.804;50.43;38.981
528.502;71.786;50.436;38.987
529.492;71.771;50.431;38.982
530.492;71.824;50.433;38.984
531.496;71.788;50.431;38.982
532.482;71.809;50.431;38.982
533.482;71.804;50.431;38.983
534.486;71.832;50.428;38.98
535.473;71.782;50.434;38.984
536.463;71.81;50.432;38.983
537.468;71.8;50.43;38.981
538.456;71.831;50.428;38.98
539.455;71.839;50.428;38.98
540.449;71.823;50.426;38.978
541.446;71.832;50.429;38.981
542.439;71.776;50.429;38.98
543.431;71.828;50.426;38.978
544.43;71.788;50.428;38.979
545.426;71.795;50.429;38.98
546.428;71.832;50.427;38.979
547.434;71.816;50.426;38.977
548.444;71.836;50.428;38.98
549.429;71.795;50.427;38.977
550.432;71.772;50.428;38.979
551.438;71.814;50.428;38.981
552.414;71.844;50.427;38.979
553.429;71.811;50.426;38.979
554.414;71.782;50.429;38.979
555.403;71.804;50.427;38.978
556.397;71.821;50.425;38.976
557.396;71.792;50.428;38.979
558.395;71.812;50.423;38.974
559.398;71.799;50.426;38.977
560.403;71.797;50.423;38.974
561.404;71.838;50.426;38.977
562.412;71.806;50.427;38.979
563.402;71.814;50.424;38.976
564.385;71.798;50.428;38.98
565.376;71.818;50.426;38.977
566.359;71.792;50.425;38.977
567.355;71.797;50.425;38.976
568.363;71.773;50.428;38.979
569.369;71.793;50.424;38.976
570.358;71.82;50.427;38.978
571.359;71.822;50.423;38.975
572.341;71.785;50.425;38.976
573.339;71.837;50.425;38.977
574.349;71.825;50.425;38.977
575.373;71.779;50.427;38.979
576.355;71.802;50.423;38.974
577.353;71.797;50.426;38.977
578.365;71.799;50.423;38.974
579.366;71.831;50.423;38.975
580.366;71.773;50.426;38.976
581.372;71.801;50.425;38.975
582.351;71.809;50.427;38.978
583.365;71.831;50.422;38.974
584.385;71.791;50.423;38.974
585.407;71.794;50.425;38.976
586.401;71.805;50.424;38.975
587.396;71.805;50.424;38.975
588.397;71.786;50.423;38.974
589.401;71.79;50.425;38.976
590.409;71.79;50.426;38.976
591.395;71.782;50.425;38.976
592.396;71.797;50.423;38.975
593.396;71.814;50.422;38.973
594.415;71.805;50.424;38.976
595.418;71.793;50.423;38.974
596.411;71.838;50.425;38.976
597.405;71.807;50.422;38.973
598.395;71.834;50.422;38.973
599.377;71.777;50.425;38.977
600.37;71.803;50.425;38.977
601.354;71.795;50.424;38.975
602.341;71.792;50.424;38.975
603.336;71.795;50.423;38.974
604.344;71.791;50.421;38.972
605.328;71.806;50.42;38.972
606.318;71.809;50.424;38.975
607.328;71.804;50.42;38.972
608.319;71.796;50.426;38.976
609.317;71.787;50.424;38.975
610.319;71.787;50.421;38.972
611.324;71.795;50.423;38.974
612.337;71.805;50.422;38.974
613.354;71.81;50.42;38.971
614.346;71.824;50.423;38.975
615.329;71.808;50.421;38.973
616.312;71.814;50.422;38.973
617.314;71.806;50.419;38.97
618.315;71.812;50.424;38.975
619.317;71.801;50.42;38.971
620.329;71.813;50.419;38.971
621.332;71.795;50.422;38.973
622.33;71.782;50.422;38.974
623.326;71.834;50.42;38.971
624.322;71.788;50.419;38.969
625.308;71.785;50.422;38.974
626.308;71.785;50.421;38.972
627.315;71.779;50.423;38.974
628.291;71.794;50.421;38.972
629.279;71.815;50.419;38.97
630.29;71.777;50.42;38.971
631.294;71.786;50.419;38.97
632.276;71.806;50.417;38.967
633.293;71.794;50.419;38.971
634.277;71.8;50.42;38.971
635.258;71.795;50.418;38.969
636.279;71.793;50.418;38.969
637.275;71.812;50.415;38.966
638.277;71.801;50.418;38.969
639.289;71.775;50.417;38.968
640.279;71.835;50.417;38.969
641.271;71.79;50.419;38.97
642.27;71.783;50.42;38.971
643.279;71.824;50.419;38.97
644.261;71.786;50.417;38.967
645.257;71.761;50.42;38.971
646.259;71.795;50.418;38.969
647.262;71.808;50.417;38.968
648.269;71.817;50.416;38.968
649.28;71.793;50.419;38.97
650.266;71.827;50.418;38.97
651.263;71.796;50.417;38.967
652.272;71.792;50.419;38.97
653.271;71.817;50.416;38.967
654.278;71.819;50.418;38.97
655.27;71.8;50.417;38.968
656.25;71.789;50.418;38.969
657.248;71.763;50.42;38.97
658.236;71.809;50.418;38.969
659.236;71.793;50.418;38.969
660.229;71.796;50.418;38.969
661.245;71.785;50.416;38.967
662.227;71.79;50.417;38.968
663.244;71.799;50.418;38.969
664.245;71.814;50.416;38.967
665.234;71.819;50.418;38.97
666.225;71.781;50.418;38.968
667.248;71.781;50.419;38.97
668.242;71.78;50.416;38.967
669.249;71.809;50.417;38.968
670.232;71.774;50.42;38.97
671.223;71.771;50.42;38.971
672.221;71.796;50.419;38.97
673.222;71.796;50.418;38.969
674.193;71.785;50.419;38.969
675.193;71.8;50.415;38.966
676.194;71.791;50.417;38.968
677.201;71.8;50.417;38.968
678.183;71.788;50.417;38.967
679.2;71.812;50.414;38.964
680.196;71.812;50.417;38.968
681.211;71.79;50.415;38.965
682.211;71.793;50.417;38.968
683.216;71.797;50.418;38.969
684.208;71.782;50.417;38.967
685.221;71.739;50.416;38.965
686.226;71.792;50.417;38.968
687.246;71.817;50.414;38.965
688.25;71.784;50.418;38.969
689.243;71.831;50.413;38.965
690.249;71.809;50.415;38.966
691.262;71.822;50.414;38.966
692.255;71.814;50.414;38.966
693.258;71.773;50.418;38.968
694.281;71.801;50.416;38.967
695.271;71.834;50.414;38.965
696.276;71.758;50.419;38.968
697.279;71.802;50.415;38.966
698.293;71.807;50.421;38.97
699.311;71.759;50.419;38.968
700.311;71.83;50.419;38.971
701.289;71.818;50.416;38.968
702.299;71.765;50.419;38.969
703.285;71.774;50.414;38.963
704.275;71.789;50.419;38.969
705.273;71.81;50.414;38.965
706.28;71.787;50.416;38.966
707.287;71.8;50.414;38.965
708.274;71.749;50.414;38.964
709.261;71.765;50.415;38.964
710.25;71.783;50.41;38.961
711.243;71.792;50.415;38.966
712.236;71.777;50.412;38.962
713.21;71.783;50.41;38.961
714.21;71.791;50.411;38.962
715.211;71.798;50.412;38.963
716.213;71.786;50.411;38.961
717.203;71.803;50.412;38.964
718.184;71.77;50.415;38.965
719.166;71.836;50.412;38.964
720.159;71.764;50.41;38.961
721.158;71.798;50.412;38.964
722.168;71.794;50.412;38.962
723.162;71.774;50.413;38.963
724.171;71.75;50.413;38.963
725.159;71.78;50.413;38.963
726.137;71.801;50.412;38.962
727.116;71.777;50.414;38.964
728.107;71.757;50.414;38.964
729.098;71.786;50.411;38.962
730.1;71.786;50.413;38.963
731.107;71.78;50.412;38.962
732.119;71.803;50.413;38.964
733.105;71.758;50.412;38.962
734.086;71.802;50.408;38.959
735.094;71.812;50.411;38.963
736.079;71.777;50.411;38.961
737.071;71.774;50.411;38.961
738.088;71.785;50.412;38.962
739.098;71.778;50.413;38.963
740.113;71.758;50.41;38.96
741.102;71.784;50.411;38.962
742.125;71.766;50.411;38.961
743.118;71.775;50.41;38.961
744.11;71.795;50.411;38.962
745.105;71.782;50.41;38.96
746.088;71.759;50.41;38.96
747.071;71.798;50.408;38.959
748.087;71.789;50.409;38.959
749.081;71.776;50.411;38.961
750.056;71.795;50.409;38.96
751.058;71.817;50.409;38.96
752.042;71.796;50.408;38.958
753.039;71.782;50.41;38.961
754.044;71.784;50.407;38.958
755.046;71.787;50.409;38.959
756.052;71.765;50.409;38.959
757.042;71.767;50.408;38.958
758.04;71.826;50.407;38.959
759.046;71.817;50.407;38.959
760.059;71.794;50.406;38.958
761.069;71.78;50.411;38.961
762.079;71.784;50.41;38.96
763.067;71.756;50.41;38.959
764.062;71.811;50.41;38.961
765.065;71.751;50.41;38.959
766.072;71.795;50.41;38.961
767.083;71.785;50.41;38.96
768.097;71.788;50.409;38.959
769.101;71.808;50.408;38.96
770.1;71.793;50.41;38.96
771.108;71.88;50.404;38.957
772.115;71.831;50.407;38.959
773.128;71.756;50.411;38.96
774.117;71.768;50.408;38.958
775.142;71.805;50.408;38.959
776.137;71.782;50.409;38.96
777.133;71.783;50.406;38.956
778.127;71.799;50.408;38.959
779.123;71.781;50.407;38.958
780.128;71.795;50.409;38.959
781.122;71.779;50.409;38.959
782.109;71.785;50.409;38.959
783.11;71.794;50.409;38.959
784.1;71.804;50.407;38.958
785.097;71.781;50.407;38.957
786.088;71.748;50.41;38.96
787.075;71.78;50.409;38.959
788.071;71.756;50.409;38.958
789.079;71.787;50.41;38.961
790.068;71.785;50.408;38.959
791.091;71.78;50.408;38.958
792.095;71.779;50.406;38.956
793.093;71.753;50.409;38.958
794.092;71.782;50.409;38.959
795.102;71.771;50.408;38.958
796.118;71.793;50.407;38.957
797.117;71.795;50.407;38.958
798.121;71.792;50.407;38.958
799.102;71.779;50.407;38.956
800.087;71.779;50.407;38.958
801.109;71.791;50.408;38.958
802.102;71.779;50.408;38.958
803.101;71.783;50.406;38.956
804.105;71.809;50.408;38.958
805.114;71.796;50.405;38.956
806.096;71.786;50.409;38.958
807.086;71.769;50.405;38.955
808.099;71.778;50.405;38.955
809.092;71.793;50.407;38.958
810.094;71.789;50.406;38.956
811.075;71.776;50.407;38.957
812.058;71.791;50.403;38.954
813.061;71.782;50.407;38.957
814.048;71.782;50.407;38.957
815.054;71.797;50.407;38.957
816.048;71.775;50.405;38.954
817.039;71.766;50.406;38.956
818.049;71.781;50.405;38.956
819.037;71.784;50.404;38.955
820.031;71.75;50.402;38.952
821.005;71.777;50.406;38.955
822.007;71.781;50.405;38.956
823.011;71.788;50.403;38.954
823.993;71.804;50.403;38.954
824.98;71.662;50.409;38.955
825.973;71.771;50.404;38.953
826.992;71.77;50.405;38.955
827.985;71.745;50.404;38.952
828.978;71.763;50.404;38.954
829.978;71.795;50.404;38.954
830.984;71.779;50.403;38.953
831.964;71.791;50.404;38.954
832.968;71.771;50.403;38.953
833.971;71.75;50.404;38.953
834.975;71.775;50.404;38.954
835.983;71.763;50.403;38.953
836.97;71.77;50.405;38.955
837.958;71.771;50.402;38.952
838.949;71.754;50.402;38.951
839.949;71.752;50.402;38.952
840.935;71.771;50.402;38.952
841.931;71.758;50.402;38.951
842.926;71.772;50.405;38.955
843.93;71.777;50.401;38.951
844.929;71.78;50.402;38.953
845.946;71.753;50.402;38.952
846.964;71.758;50.403;38.953
847.951;71.77;50.401;38.951
848.964;71.766;50.402;38.952
849.961;71.757;50.4;38.95
850.959;71.761;50.401;38.951
851.963;71.777;50.399;38.949
852.963;71.737;50.402;38.951
853.974;71.759;50.399;38.948
854.99;71.779;50.403;38.953
855.995;71.779;50.398;38.948
856.988;71.767;50.4;38.95
857.975;71.761;50.399;38.948
858.988;71.764;50.398;38.949
859.974;71.76;50.4;38.95
860.968;71.783;50.398;38.948
861.962;71.757;50.4;38.95
862.964;71.74;50.399;38.949
863.969;71.8;50.399;38.95
864.977;71.759;50.398;38.949
865.957;71.784;50.398;38.949
866.95;71.743;50.397;38.946
867.939;71.76;50.4;38.95
868.937;71.764;50.399;38.949
869.938;71.761;50.398;38.948
870.934;71.747;50.398;38.948
