IDs:;240715_02_240712A;02_DNAJB6_05_000_uM;
164.558;58.269;51.596;38.978
165.552;58.29;51.601;38.982
166.551;58.261;51.6;38.98
167.539;58.253;51.599;38.978
168.528;58.246;51.599;38.977
169.524;58.259;51.605;38.982
170.528;58.229;51.603;38.978
171.534;58.247;51.607;38.981
172.546;58.22;51.606;38.979
173.543;58.226;51.612;38.983
174.542;58.2;51.61;38.98
175.562;58.184;51.613;38.983
176.573;58.189;51.613;38.982
177.572;58.168;51.614;38.98
178.564;58.165;51.615;38.98
179.566;58.165;51.617;38.982
180.565;58.155;51.618;38.981
181.581;58.15;51.62;38.982
182.576;58.141;51.619;38.98
183.58;58.141;51.621;38.981
184.581;58.123;51.622;38.981
185.588;58.122;51.623;38.981
186.586;58.126;51.623;38.98
187.588;58.114;51.625;38.98
188.578;58.112;51.626;38.98
189.58;58.114;51.625;38.978
190.593;58.096;51.628;38.981
191.612;58.098;51.627;38.977
192.604;58.104;51.63;38.981
193.614;58.092;51.63;38.979
194.62;58.098;51.632;38.98
195.605;58.08;51.633;38.979
196.625;58.078;51.636;38.981
197.639;58.071;51.636;38.98
198.646;58.074;51.637;38.978
199.63;58.066;51.635;38.975
200.649;58.063;51.637;38.979
201.644;58.054;51.636;38.975
202.645;58.039;51.641;38.981
203.635;58.05;51.64;38.977
204.623;58.033;51.644;38.981
205.614;58.029;51.643;38.978
206.624;58.047;51.649;38.982
207.639;58.014;51.649;38.983
208.659;58.005;51.649;38.982
209.66;58.013;51.651;38.984
210.659;57.998;51.651;38.982
211.659;57.999;51.655;38.984
212.656;57.99;51.655;38.982
213.671;57.977;51.658;38.985
214.67;57.975;51.657;38.983
215.676;57.989;51.659;38.983
216.664;57.982;51.661;38.983
217.655;57.965;51.66;38.983
218.644;57.957;51.663;38.986
219.634;57.944;51.665;38.986
220.626;57.948;51.664;38.985
221.617;57.954;51.665;38.984
222.613;57.934;51.666;38.984
223.615;57.936;51.666;38.984
224.606;57.927;51.667;38.984
225.594;57.925;51.668;38.984
226.619;57.927;51.668;38.983
227.623;57.924;51.666;38.978
228.629;57.909;51.669;38.982
229.641;57.906;51.669;38.981
230.652;57.906;51.671;38.982
231.649;57.893;51.669;38.979
232.652;57.888;51.673;38.982
233.658;57.891;51.67;38.977
234.659;57.868;51.674;38.981
235.658;57.878;51.675;38.981
236.655;57.873;51.677;38.982
237.649;57.856;51.675;38.979
238.64;57.86;51.677;38.98
239.639;57.856;51.678;38.98
240.635;57.854;51.681;38.982
241.622;57.859;51.678;38.977
242.646;57.837;51.679;38.978
243.625;57.848;51.681;38.98
244.641;57.806;51.682;38.98
245.642;57.825;51.683;38.98
246.64;57.814;51.684;38.98
247.65;57.818;51.683;38.977
248.637;57.81;51.69;38.983
249.632;57.806;51.687;38.977
250.634;57.785;51.696;38.986
251.634;57.789;51.694;38.985
252.631;57.779;51.693;38.983
253.636;57.763;51.694;38.982
254.634;57.797;51.693;38.977
255.627;57.759;51.693;38.979
256.627;57.756;51.694;38.98
257.636;57.783;51.69;38.97
258.619;57.746;51.696;38.98
259.603;57.742;51.696;38.98
260.593;57.75;51.695;38.976
261.587;57.728;51.698;38.979
262.57;57.759;51.696;38.971
263.58;57.729;51.701;38.981
264.566;57.718;51.701;38.98
265.585;57.742;51.698;38.97
266.576;57.701;51.7;38.977
267.57;57.737;51.697;38.97
268.558;57.688;51.701;38.977
269.552;57.734;51.696;38.964
270.535;57.713;51.697;38.966
271.532;57.677;51.703;38.977
272.533;57.709;51.697;38.965
273.527;57.7;51.7;38.967
274.504;57.685;51.702;38.968
275.501;57.692;51.699;38.965
276.505;57.7;51.697;38.962
277.511;57.685;51.7;38.966
278.496;57.664;51.699;38.963
279.51;57.662;51.701;38.965
280.499;57.67;51.699;38.96
281.5;57.664;51.698;38.96
282.508;57.637;51.701;38.959
283.498;57.657;51.697;38.949
284.508;57.653;51.703;38.961
285.494;57.629;51.699;38.955
286.489;57.634;51.705;38.962
287.477;57.636;51.706;38.963
288.458;57.626;51.705;38.958
289.461;57.624;51.706;38.959
290.47;57.626;51.704;38.957
291.458;57.614;51.704;38.955
292.445;57.611;51.71;38.963
293.434;57.617;51.709;38.96
294.446;57.6;51.712;38.962
295.429;57.595;51.712;38.961
296.445;57.573;51.712;38.956
297.451;57.603;51.714;38.962
298.46;57.562;51.714;38.959
299.456;57.614;51.707;38.946
300.449;57.577;51.709;38.947
301.445;57.578;51.715;38.952
302.444;57.558;51.723;38.964
303.435;57.557;51.716;38.955
304.443;57.549;51.714;38.949
305.451;57.551;51.713;38.947
306.465;57.535;51.718;38.953
307.457;57.545;51.715;38.947
308.456;57.533;51.717;38.948
309.461;57.532;51.718;38.949
310.459;57.544;51.715;38.943
311.453;57.517;51.721;38.952
312.459;57.526;51.717;38.944
313.471;57.519;51.719;38.948
314.467;57.502;51.721;38.948
315.47;57.493;51.723;38.952
316.465;57.495;51.722;38.949
317.457;57.513;51.721;38.946
318.453;57.502;51.724;38.951
319.455;57.5;51.721;38.946
320.46;57.489;51.726;38.952
321.442;57.497;51.723;38.946
322.428;57.491;51.723;38.944
323.416;57.478;51.726;38.948
324.392;57.471;51.727;38.949
325.398;57.479;51.724;38.943
326.387;57.472;51.723;38.942
327.406;57.47;51.726;38.944
328.398;57.463;51.726;38.944
329.39;57.469;51.727;38.945
330.388;57.459;51.727;38.943
331.396;57.457;51.729;38.946
332.39;57.454;51.729;38.943
333.401;57.461;51.729;38.942
334.382;57.441;51.732;38.946
335.388;57.442;51.73;38.942
336.387;57.444;51.733;38.945
337.393;57.433;51.733;38.944
338.385;57.433;51.732;38.944
339.388;57.429;51.733;38.942
340.387;57.439;51.732;38.94
341.394;57.405;51.737;38.947
342.405;57.415;51.735;38.942
343.412;57.411;51.736;38.941
344.395;57.46;51.739;38.942
345.383;57.413;51.733;38.936
346.38;57.452;51.739;38.943
347.379;57.405;51.734;38.937
348.362;57.39;51.737;38.939
349.351;57.426;51.745;38.947
350.346;57.359;51.742;38.944
351.347;57.38;51.738;38.939
352.326;57.358;51.742;38.941
353.312;57.365;51.74;38.941
354.304;57.359;51.739;38.937
355.299;57.358;51.741;38.938
356.31;57.344;51.741;38.937
357.325;57.345;51.744;38.94
358.34;57.351;51.741;38.936
359.346;57.333;51.744;38.939
360.352;57.353;51.741;38.935
361.331;57.337;51.746;38.938
362.345;57.332;51.744;38.937
363.361;57.326;51.747;38.938
364.352;57.324;51.747;38.937
365.345;57.323;51.747;38.937
366.342;57.32;51.748;38.937
367.344;57.305;51.75;38.941
368.335;57.312;51.749;38.939
369.34;57.305;51.75;38.938
370.337;57.309;51.749;38.936
371.318;57.311;51.75;38.937
372.311;57.319;51.751;38.935
373.331;57.292;51.754;38.94
374.31;57.296;51.754;38.939
375.33;57.248;51.76;38.95
376.319;57.248;51.76;38.95
377.318;57.26;51.758;38.946
378.305;57.247;51.762;38.951
379.299;57.286;51.757;38.94
380.298;57.254;51.759;38.945
381.294;57.271;51.755;38.936
382.286;57.242;51.761;38.947
383.286;57.237;51.761;38.946
384.288;57.242;51.762;38.947
385.285;57.228;51.762;38.946
386.292;57.224;51.763;38.946
387.288;57.227;51.761;38.945
388.284;57.223;51.764;38.946
389.288;57.241;51.761;38.94
390.293;57.215;51.766;38.949
391.282;57.212;51.767;38.949
392.274;57.211;51.768;38.948
393.265;57.215;51.766;38.946
394.258;57.237;51.765;38.938
395.256;57.234;51.763;38.936
396.26;57.208;51.77;38.947
397.27;57.247;51.763;38.933
398.269;57.229;51.768;38.938
399.27;57.231;51.767;38.937
400.271;57.239;51.767;38.934
401.27;57.226;51.772;38.941
402.254;57.223;51.77;38.938
403.259;57.226;51.77;38.937
404.243;57.202;51.771;38.94
405.245;57.199;51.771;38.938
406.233;57.21;51.771;38.936
407.243;57.221;51.771;38.936
408.236;57.198;51.772;38.936
409.243;57.215;51.772;38.936
410.235;57.189;51.774;38.938
411.236;57.205;51.773;38.934
412.237;57.194;51.775;38.939
413.237;57.185;51.774;38.935
414.246;57.186;51.777;38.938
415.23;57.176;51.778;38.937
416.219;57.178;51.779;38.938
417.217;57.173;51.78;38.939
418.218;57.174;51.78;38.938
419.219;57.178;51.782;38.939
420.223;57.167;51.783;38.94
421.223;57.148;51.785;38.942
422.219;57.156;51.784;38.939
423.218;57.156;51.786;38.941
424.223;57.149;51.786;38.94
425.229;57.142;51.789;38.944
426.21;57.135;51.79;38.944
427.225;57.151;51.788;38.94
428.212;57.14;51.79;38.941
429.203;57.136;51.792;38.944
430.194;57.121;51.791;38.942
431.198;57.128;51.793;38.944
432.19;57.127;51.793;38.943
433.179;57.132;51.794;38.943
434.177;57.125;51.796;38.944
435.164;57.113;51.795;38.944
436.157;57.128;51.795;38.941
437.166;57.112;51.798;38.945
438.165;57.115;51.796;38.942
439.15;57.113;51.797;38.942
440.153;57.104;51.799;38.943
441.171;57.109;51.798;38.941
442.18;57.1;51.798;38.941
443.18;57.082;51.802;38.947
444.171;57.086;51.8;38.944
445.18;57.092;51.8;38.944
446.157;57.102;51.801;38.941
447.17;57.08;51.803;38.945
448.193;57.096;51.801;38.94
449.183;57.077;51.802;38.942
450.161;57.075;51.803;38.943
451.165;57.065;51.805;38.945
452.152;57.081;51.804;38.942
453.142;57.068;51.805;38.943
454.132;57.075;51.806;38.943
455.132;57.072;51.807;38.943
456.135;57.061;51.806;38.943
457.14;57.058;51.806;38.942
458.134;57.055;51.807;38.942
459.121;57.057;51.81;38.944
460.115;57.056;51.809;38.943
461.113;57.062;51.808;38.942
462.113;57.052;51.81;38.944
463.118;57.056;51.809;38.939
464.1;57.041;51.812;38.944
465.091;57.043;51.814;38.944
466.106;57.035;51.813;38.943
467.107;57.044;51.812;38.941
468.118;57.043;51.812;38.941
469.115;57.03;51.814;38.943
470.11;57.023;51.812;38.94
471.107;57.042;51.814;38.942
472.111;57.027;51.813;38.939
473.095;57.027;51.815;38.941
474.11;57.031;51.815;38.941
475.111;57.009;51.816;38.94
476.125;57.014;51.818;38.942
477.117;57.001;51.818;38.941
478.121;57.016;51.819;38.942
479.106;57.009;51.819;38.941
480.123;56.993;51.822;38.943
481.122;57.002;51.822;38.943
482.111;57.004;51.822;38.943
483.101;56.991;51.822;38.942
484.09;56.992;51.823;38.943
485.076;56.992;51.824;38.942
486.097;56.995;51.826;38.945
487.079;56.987;51.827;38.944
488.087;56.989;51.828;38.944
489.1;56.978;51.826;38.942
490.092;56.978;51.829;38.944
491.086;56.956;51.829;38.946
492.083;56.951;51.829;38.944
493.084;56.974;51.83;38.944
494.087;56.952;51.83;38.944
495.094;56.952;51.832;38.946
496.1;56.941;51.831;38.944
497.112;56.943;51.833;38.945
498.127;56.942;51.833;38.944
499.116;56.933;51.833;38.944
500.109;56.934;51.832;38.942
501.105;56.949;51.832;38.941
502.103;56.935;51.834;38.944
503.092;56.932;51.833;38.942
504.094;56.953;51.833;38.941
505.084;56.933;51.834;38.941
506.064;56.922;51.835;38.942
507.077;56.928;51.834;38.942
508.079;56.922;51.836;38.943
509.064;56.911;51.837;38.942
510.053;56.902;51.839;38.944
511.046;56.907;51.839;38.943
512.056;56.912;51.838;38.942
513.049;56.9;51.838;38.942
514.053;56.904;51.836;38.939
515.037;56.905;51.838;38.941
516.025;56.897;51.839;38.94
517.004;56.885;51.84;38.942
517.994;56.889;51.839;38.939
518.979;56.894;51.84;38.94
519.97;56.885;51.842;38.941
520.968;56.883;51.839;38.939
521.975;56.882;51.84;38.939
522.986;56.882;51.841;38.938
523.972;56.873;51.84;38.937
524.965;56.875;51.841;38.938
525.966;56.881;51.84;38.937
526.971;56.876;51.843;38.939
527.979;56.867;51.84;38.935
528.959;56.868;51.843;38.939
529.954;56.87;51.843;38.937
530.948;56.86;51.841;38.934
531.947;56.859;51.843;38.937
532.952;56.861;51.84;38.933
533.974;56.852;51.844;38.936
534.958;56.845;51.845;38.938
535.946;56.843;51.845;38.937
536.939;56.823;51.846;38.937
537.94;56.83;51.847;38.938
538.932;56.84;51.845;38.934
539.929;56.809;51.848;38.938
540.921;56.831;51.847;38.936
541.927;56.815;51.846;38.934
542.923;56.826;51.849;38.937
543.918;56.818;51.849;38.937
544.906;56.827;51.848;38.934
545.909;56.828;51.849;38.935
546.916;56.81;51.848;38.934
547.91;56.811;51.848;38.933
548.887;56.807;51.851;38.936
549.898;56.775;51.85;38.935
550.893;56.775;51.85;38.934
551.898;56.788;51.851;38.934
552.893;56.797;51.854;38.937
553.877;56.784;51.851;38.933
554.87;56.761;51.85;38.931
555.873;56.774;51.855;38.937
556.885;56.782;51.852;38.932
557.88;56.749;51.855;38.936
558.873;56.785;51.853;38.931
559.873;56.754;51.854;38.933
560.878;56.728;51.855;38.934
561.886;56.739;51.857;38.935
562.884;56.747;51.855;38.932
563.884;56.716;51.856;38.932
564.859;56.716;51.857;38.935
565.866;56.732;51.854;38.93
566.877;56.719;51.859;38.933
567.88;56.712;51.858;38.933
568.879;56.716;51.857;38.93
569.879;56.708;51.861;38.935
570.872;56.708;51.858;38.931
571.868;56.71;51.861;38.934
572.846;56.698;51.863;38.935
573.854;56.694;51.86;38.932
574.842;56.704;51.863;38.935
575.837;56.69;51.861;38.931
576.819;56.691;51.862;38.931
577.822;56.689;51.863;38.932
578.798;56.689;51.864;38.933
579.81;56.682;51.862;38.931
580.802;56.688;51.862;38.93
581.803;56.681;51.864;38.932
582.812;56.685;51.863;38.929
583.829;56.675;51.863;38.928
584.822;56.674;51.865;38.931
585.807;56.677;51.864;38.929
586.79;56.67;51.87;38.934
587.78;56.654;51.864;38.928
588.774;56.658;51.868;38.93
589.771;56.658;51.866;38.93
590.773;56.665;51.865;38.926
591.779;56.651;51.867;38.929
592.789;56.649;51.867;38.929
593.773;56.641;51.871;38.931
594.761;56.65;51.868;38.928
595.751;56.649;51.865;38.925
596.747;56.642;51.869;38.929
597.749;56.638;51.87;38.929
598.753;56.636;51.871;38.93
599.764;56.626;51.87;38.928
600.776;56.644;51.869;38.925
601.754;56.631;51.87;38.927
602.757;56.628;51.868;38.923
603.746;56.618;51.871;38.928
604.741;56.619;51.871;38.927
605.736;56.613;51.869;38.926
606.75;56.605;51.872;38.927
607.751;56.617;51.87;38.923
608.763;56.613;51.872;38.926
609.757;56.608;51.871;38.924
610.733;56.611;51.868;38.92
611.72;56.611;51.871;38.923
612.722;56.594;51.871;38.924
613.712;56.598;51.869;38.92
614.713;56.6;51.872;38.924
615.695;56.588;51.874;38.926
616.684;56.6;51.873;38.923
617.689;56.59;51.875;38.925
618.699;56.583;51.876;38.927
619.684;56.585;51.877;38.925
620.677;56.59;51.877;38.925
621.68;56.577;51.874;38.921
622.68;56.581;51.876;38.923
623.683;56.586;51.875;38.921
624.689;56.565;51.878;38.925
625.699;56.569;51.876;38.922
626.686;56.571;51.877;38.923
627.677;56.569;51.875;38.919
628.671;56.56;51.878;38.922
629.679;56.565;51.878;38.922
630.686;56.565;51.876;38.918
631.671;56.559;51.879;38.921
632.661;56.556;51.879;38.921
633.652;56.556;51.878;38.919
634.652;56.554;51.877;38.918
635.655;56.543;51.88;38.92
636.672;56.547;51.88;38.921
637.658;56.541;51.882;38.924
638.655;56.541;51.88;38.92
639.652;56.534;51.881;38.922
640.637;56.529;51.881;38.92
641.645;56.529;51.879;38.915
642.639;56.533;51.879;38.917
643.644;56.513;51.882;38.92
644.64;56.515;51.885;38.922
645.647;56.518;51.88;38.916
646.646;56.513;51.881;38.917
647.629;56.517;51.881;38.917
648.623;56.506;51.88;38.915
649.614;56.504;51.882;38.916
650.601;56.508;51.882;38.915
651.592;56.509;51.881;38.913
652.591;56.488;51.884;38.919
653.605;56.497;51.884;38.916
654.604;56.504;51.883;38.914
655.606;56.497;51.886;38.916
656.614;56.483;51.887;38.917
657.608;56.483;51.888;38.919
658.613;56.481;51.887;38.916
659.622;56.482;51.887;38.918
660.636;56.476;51.886;38.916
661.615;56.47;51.889;38.919
662.621;56.474;51.887;38.916
663.633;56.468;51.89;38.917
664.622;56.47;51.89;38.917
665.617;56.474;51.888;38.914
666.595;56.464;51.89;38.918
667.607;56.478;51.889;38.914
668.622;56.46;51.893;38.919
669.641;56.459;51.893;38.919
670.634;56.464;51.893;38.918
671.628;56.46;51.891;38.915
672.63;56.458;51.894;38.918
673.635;56.465;51.892;38.915
674.614;56.457;51.892;38.914
675.631;56.449;51.895;38.917
676.617;56.436;51.895;38.917
677.611;56.453;51.893;38.914
678.61;56.437;51.896;38.919
679.623;56.444;51.895;38.917
680.627;56.446;51.895;38.914
681.624;56.449;51.894;38.911
682.612;56.444;51.897;38.916
683.599;56.442;51.897;38.915
684.594;56.436;51.898;38.915
685.6;56.429;51.901;38.921
686.593;56.439;51.898;38.915
687.581;56.428;51.899;38.917
688.577;56.428;51.9;38.918
689.566;56.429;51.902;38.919
690.562;56.42;51.9;38.917
691.551;56.437;51.901;38.913
692.545;56.435;51.901;38.914
693.552;56.425;51.902;38.915
694.544;56.422;51.903;38.917
695.563;56.423;51.904;38.917
696.56;56.419;51.904;38.917
697.56;56.422;51.902;38.912
698.58;56.426;51.904;38.915
699.587;56.417;51.906;38.917
700.6;56.412;51.906;38.918
701.585;56.407;51.906;38.917
702.565;56.421;51.904;38.912
703.569;56.418;51.905;38.914
704.578;56.417;51.906;38.916
705.593;56.41;51.907;38.915
706.611;56.415;51.907;38.914
707.602;56.414;51.906;38.912
708.585;56.408;51.907;38.913
709.581;56.408;51.907;38.914
710.576;56.405;51.906;38.913
711.585;56.407;51.907;38.911
712.588;56.402;51.907;38.912
713.562;56.397;51.906;38.911
714.552;56.392;51.908;38.912
715.538;56.4;51.909;38.913
716.537;56.385;51.911;38.915
717.548;56.395;51.91;38.911
718.563;56.389;51.909;38.911
719.564;56.386;51.911;38.913
720.577;56.383;51.91;38.911
721.567;56.381;51.914;38.915
722.565;56.381;51.911;38.913
723.566;56.374;51.913;38.915
724.564;56.378;51.911;38.911
725.563;56.374;51.911;38.91
726.575;56.375;51.912;38.912
727.585;56.372;51.912;38.912
728.57;56.364;51.915;38.914
729.565;56.362;51.914;38.912
730.565;56.369;51.914;38.91
731.568;56.368;51.913;38.909
732.576;56.36;51.915;38.913
733.59;56.359;51.915;38.91
734.58;56.355;51.916;38.912
735.573;56.358;51.916;38.911
736.569;56.349;51.916;38.911
737.57;56.345;51.917;38.913
738.572;56.352;51.918;38.912
739.549;56.348;51.917;38.911
740.529;56.341;51.918;38.911
741.548;56.333;51.919;38.913
742.568;56.339;51.92;38.913
743.559;56.33;51.922;38.914
744.553;56.328;51.922;38.914
745.543;56.335;51.923;38.914
746.524;56.33;51.923;38.914
747.518;56.332;51.922;38.913
748.518;56.324;51.924;38.914
749.506;56.324;51.923;38.913
750.492;56.326;51.922;38.909
751.484;56.325;51.923;38.91
752.48;56.319;51.925;38.915
753.462;56.318;51.926;38.913
754.45;56.318;51.924;38.91
755.454;56.312;51.927;38.914
756.465;56.315;51.926;38.912
757.465;56.315;51.926;38.911
758.44;56.302;51.927;38.912
759.452;56.295;51.925;38.911
760.443;56.305;51.927;38.913
761.444;56.305;51.926;38.91
762.423;56.308;51.925;38.909
763.417;56.306;51.926;38.909
764.414;56.301;51.927;38.911
765.419;56.278;51.928;38.913
766.429;56.293;51.928;38.91
767.415;56.288;51.928;38.911
768.406;56.293;51.928;38.91
769.422;56.289;51.928;38.909
770.435;56.287;51.93;38.912
771.45;56.289;51.929;38.91
772.441;56.273;51.931;38.912
773.439;56.282;51.93;38.91
774.455;56.287;51.93;38.909
775.472;56.287;51.929;38.908
776.467;56.283;51.93;38.909
777.459;56.276;51.93;38.909
778.47;56.278;51.931;38.909
779.462;56.281;51.929;38.905
780.437;56.269;51.93;38.907
781.435;56.259;51.929;38.906
782.442;56.275;51.929;38.905
783.438;56.264;51.931;38.907
784.437;56.27;51.934;38.91
785.442;56.269;51.93;38.905
786.438;56.264;51.933;38.908
787.419;56.27;51.933;38.907
788.406;56.267;51.931;38.904
789.404;56.256;51.934;38.909
790.411;56.265;51.933;38.906
791.4;56.264;51.931;38.904
792.396;56.261;51.933;38.906
793.388;56.259;51.934;38.905
794.385;56.261;51.934;38.905
795.364;56.242;51.935;38.907
796.381;56.257;51.936;38.906
797.374;56.256;51.935;38.906
798.378;56.248;51.937;38.907
799.365;56.253;51.937;38.906
800.357;56.249;51.936;38.905
801.383;56.246;51.936;38.905
802.374;56.249;51.937;38.906
803.391;56.239;51.937;38.905
804.412;56.244;51.935;38.904
805.409;56.245;51.937;38.905
806.411;56.241;51.938;38.905
807.415;56.233;51.938;38.906
808.394;56.242;51.939;38.905
809.407;56.245;51.938;38.904
810.395;56.232;51.938;38.904
811.386;56.23;51.94;38.906
812.379;56.246;51.94;38.905
813.378;56.229;51.939;38.904
814.377;56.239;51.941;38.906
815.39;56.233;51.939;38.904
816.393;56.233;51.942;38.905
817.377;56.222;51.941;38.903
818.391;56.226;51.941;38.903
819.388;56.233;51.94;38.902
820.396;56.217;51.942;38.905
821.404;56.226;51.941;38.902
822.419;56.219;51.941;38.902
823.418;56.224;51.94;38.901
824.402;56.218;51.942;38.902
825.402;56.218;51.943;38.903
826.405;56.213;51.94;38.9
827.418;56.205;51.943;38.902
828.408;56.206;51.942;38.901
829.411;56.208;51.941;38.9
830.399;56.199;51.943;38.903
831.382;56.21;51.941;38.899
832.362;56.204;51.942;38.899
833.346;56.198;51.943;38.901
834.34;56.21;51.944;38.901
835.34;56.205;51.945;38.901
836.343;56.201;51.945;38.902
837.347;56.196;51.943;38.899
838.357;56.199;51.946;38.901
839.378;56.194;51.946;38.902
840.37;56.2;51.946;38.902
841.366;56.199;51.945;38.9
842.357;56.189;51.948;38.902
843.345;56.187;51.948;38.903
844.344;56.19;51.948;38.901
845.322;56.186;51.948;38.9
846.309;56.183;51.95;38.903
847.325;56.18;51.949;38.901
848.323;56.182;51.951;38.902
849.308;56.181;51.951;38.902
850.281;56.173;51.952;38.902
851.272;56.181;51.95;38.9
852.278;56.167;51.951;38.902
853.277;56.17;51.95;38.899
854.298;56.175;51.951;38.9
855.304;56.172;51.952;38.9
856.295;56.165;51.953;38.902
857.295;56.162;51.955;38.903
858.288;56.16;51.953;38.901
859.285;56.15;51.955;38.903
860.293;56.146;51.955;38.902
861.284;56.152;51.956;38.903
862.285;56.15;51.955;38.901
863.29;56.157;51.955;38.901
864.301;56.146;51.956;38.902
865.286;56.151;51.955;38.9
866.279;56.143;51.958;38.903
867.28;56.142;51.956;38.902
868.285;56.14;51.96;38.903
869.284;56.137;51.958;38.901
870.288;56.137;51.959;38.903
