IDs:;240715_03_240712B;03_DNAJB6_03_330_uM;
Concentration [uM]:;3.33;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
589.748;56.524;51.828;38.881
590.739;56.515;51.831;38.882
591.727;56.513;51.829;38.88
592.74;56.523;51.831;38.882
593.729;56.519;51.833;38.883
594.721;56.523;51.829;38.877
595.716;56.516;51.831;38.88
596.718;56.521;51.833;38.88
597.725;56.51;51.834;38.882
598.732;56.509;51.833;38.88
599.743;56.516;51.835;38.882
600.754;56.5;51.833;38.88
601.74;56.508;51.836;38.88
602.726;56.516;51.836;38.881
603.718;56.507;51.835;38.88
604.732;56.499;51.838;38.882
605.727;56.493;51.833;38.877
606.73;56.492;51.836;38.88
607.737;56.493;51.835;38.878
608.743;56.49;51.834;38.876
609.722;56.484;51.837;38.878
610.731;56.481;51.836;38.878
611.724;56.49;51.837;38.877
612.734;56.485;51.839;38.879
613.727;56.481;51.838;38.877
614.72;56.483;51.838;38.877
615.728;56.478;51.838;38.878
616.745;56.474;51.838;38.876
617.749;56.468;51.84;38.878
618.761;56.467;51.84;38.878
619.751;56.479;51.84;38.877
620.759;56.462;51.839;38.877
621.761;56.467;51.839;38.874
622.745;56.458;51.841;38.878
623.748;56.461;51.842;38.879
624.747;56.46;51.842;38.876
625.752;56.457;51.841;38.876
626.761;56.444;51.843;38.879
627.779;56.453;51.843;38.876
628.797;56.45;51.844;38.877
629.792;56.452;51.841;38.874
630.792;56.448;51.844;38.875
631.794;56.444;51.843;38.874
632.799;56.434;51.843;38.874
633.807;56.429;51.844;38.876
634.817;56.429;51.845;38.877
635.83;56.432;51.843;38.873
636.814;56.431;51.843;38.873
637.821;56.431;51.845;38.875
638.822;56.428;51.844;38.873
639.823;56.413;51.846;38.877
640.835;56.412;51.844;38.873
641.835;56.41;51.847;38.876
642.824;56.421;51.846;38.872
643.814;56.409;51.847;38.874
644.817;56.411;51.848;38.875
645.799;56.417;51.845;38.871
646.796;56.407;51.847;38.872
647.798;56.41;51.849;38.875
648.795;56.403;51.849;38.872
649.796;56.399;51.85;38.874
650.782;56.397;51.85;38.872
651.774;56.391;51.85;38.874
652.767;56.398;51.85;38.87
653.774;56.391;51.851;38.872
654.791;56.393;51.854;38.874
655.811;56.393;51.85;38.872
656.819;56.391;51.852;38.873
657.809;56.377;51.855;38.876
658.799;56.381;51.854;38.874
659.802;56.392;51.853;38.871
660.791;56.389;51.852;38.869
661.809;56.385;51.855;38.871
662.822;56.379;51.855;38.874
663.828;56.381;51.853;38.869
664.838;56.378;51.856;38.873
665.858;56.367;51.856;38.873
666.849;56.378;51.857;38.872
667.847;56.369;51.857;38.872
668.846;56.369;51.857;38.871
669.851;56.357;51.861;38.877
670.825;56.363;51.86;38.874
671.837;56.371;51.859;38.871
672.83;56.366;51.859;38.873
673.82;56.367;51.857;38.869
674.819;56.358;51.859;38.872
675.817;56.361;51.859;38.872
676.799;56.356;51.86;38.871
677.797;56.356;51.862;38.872
678.798;56.347;51.863;38.874
679.781;56.352;51.859;38.87
680.776;56.341;51.862;38.873
681.771;56.352;51.863;38.871
682.769;56.352;51.86;38.868
683.767;56.344;51.864;38.872
684.776;56.337;51.863;38.871
685.795;56.332;51.865;38.874
686.798;56.341;51.864;38.871
687.782;56.339;51.866;38.873
688.777;56.34;51.865;38.871
689.76;56.332;51.865;38.872
690.778;56.333;51.867;38.872
691.777;56.339;51.865;38.87
692.788;56.326;51.868;38.874
693.786;56.324;51.867;38.872
694.774;56.323;51.868;38.871
695.758;56.329;51.868;38.872
696.749;56.324;51.868;38.871
697.749;56.316;51.868;38.871
698.756;56.323;51.869;38.871
699.74;56.314;51.869;38.872
700.726;56.314;51.868;38.87
701.706;56.316;51.867;38.868
702.704;56.312;51.87;38.871
703.694;56.309;51.868;38.869
704.709;56.315;51.867;38.868
705.696;56.307;51.87;38.871
706.718;56.312;51.87;38.87
707.712;56.308;51.869;38.87
708.709;56.31;51.869;38.867
709.706;56.301;51.871;38.87
710.709;56.305;51.869;38.866
711.705;56.298;51.871;38.869
712.701;56.297;51.871;38.87
713.693;56.303;51.871;38.867
714.675;56.3;51.87;38.866
715.652;56.299;51.872;38.868
716.642;56.299;51.873;38.868
717.637;56.292;51.872;38.867
718.637;56.297;51.873;38.868
719.648;56.29;51.873;38.869
720.633;56.294;51.871;38.865
721.64;56.292;51.874;38.868
722.618;56.286;51.875;38.867
723.628;56.291;51.875;38.867
