IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
307.613;59.546;51.428;39.006
308.589;59.501;51.429;39.005
309.606;59.531;51.435;39.011
310.596;59.515;51.432;39.007
311.59;59.521;51.435;39.01
312.593;59.501;51.436;39.01
313.578;59.498;51.438;39.011
314.576;59.512;51.436;39.009
315.553;59.501;51.437;39.01
316.556;59.492;51.439;39.01
317.558;59.483;51.442;39.012
318.557;59.468;51.443;39.012
319.549;59.471;51.441;39.01
320.535;59.461;51.44;39.009
321.513;59.46;51.442;39.01
322.497;59.446;51.446;39.012
323.489;59.448;51.443;39.009
324.498;59.43;51.446;39.01
325.498;59.433;51.446;39.011
326.5;59.424;51.446;39.009
327.483;59.414;51.448;39.01
328.48;59.411;51.448;39.01
329.483;59.41;51.447;39.008
330.493;59.403;51.449;39.01
331.482;59.399;51.45;39.01
332.475;59.393;51.449;39.009
333.478;59.392;51.45;39.009
334.459;59.391;51.45;39.008
335.46;59.385;51.451;39.009
336.462;59.352;51.448;39.005
337.463;59.342;51.449;39.004
338.47;59.336;51.45;39.005
339.45;59.366;51.453;39.007
340.434;59.35;51.453;39.006
341.421;59.323;51.451;39.004
342.417;59.325;51.453;39.006
343.425;59.326;51.452;39.004
344.441;59.325;51.451;39.004
345.428;59.312;51.452;39.002
346.435;59.336;51.456;39.006
347.438;59.331;51.458;39.007
348.438;59.304;51.454;39.003
349.435;59.296;51.455;39.003
350.434;59.316;51.457;39.005
351.417;59.293;51.456;39.003
352.397;59.282;51.456;39.002
353.4;59.306;51.459;39.004
354.413;59.299;51.462;39.006
355.399;59.284;51.46;39.004
356.391;59.264;51.457;39
357.382;59.287;51.462;39.004
358.382;59.287;51.463;39.005
359.377;59.267;51.461;39.003
360.372;59.27;51.462;39.002
361.374;59.257;51.464;39.004
362.371;59.266;51.465;39.004
363.369;59.255;51.468;39.007
364.374;59.226;51.46;38.999
365.372;59.217;51.464;39.001
366.384;59.206;51.463;38.999
367.401;59.206;51.464;39
368.405;59.206;51.465;39
369.395;59.197;51.466;39.001
370.389;59.214;51.472;39.006
371.386;59.179;51.469;39.002
372.389;59.177;51.471;39.003
373.394;59.196;51.474;39.006
374.376;59.164;51.471;39.002
375.361;59.155;51.473;39.004
376.359;59.149;51.474;39.004
377.36;59.138;51.475;39.003
378.364;59.155;51.473;39.003
379.36;59.144;51.473;39.001
380.341;59.128;51.475;39.002
381.334;59.119;51.477;39.003
382.328;59.126;51.476;39.002
383.319;59.119;51.476;39.002
384.314;59.117;51.478;39.004
385.303;59.113;51.48;39.004
386.302;59.114;51.477;39
387.284;59.085;51.481;39.003
388.262;59.097;51.48;39.002
389.269;59.106;51.48;39.001
390.279;59.073;51.482;39.003
391.288;59.093;51.481;39.001
392.286;59.087;51.481;39.001
393.299;59.063;51.482;39.001
394.29;59.068;51.483;39.001
395.294;59.072;51.483;39.002
396.281;59.053;51.483;39.001
397.271;59.069;51.483;39
398.266;59.064;51.483;39
399.24;59.075;51.486;39.002
400.249;59.051;51.484;38.999
401.232;59.053;51.485;39
402.218;59.037;51.487;39.001
403.213;59.025;51.485;38.998
404.198;59.044;51.488;39
405.214;59.045;51.488;39.001
406.232;59.042;51.488;39
407.224;59.022;51.486;38.998
408.248;59.027;51.49;39
409.238;59.017;51.489;38.999
410.232;59.025;51.491;39
411.222;59.021;51.491;38.999
412.203;59.009;51.49;38.998
413.203;59.006;51.491;38.998
414.207;59.01;51.491;38.998
415.2;59.003;51.492;38.998
416.191;59.012;51.494;38.999
417.184;58.985;51.492;38.997
418.173;58.996;51.495;38.999
419.151;58.976;51.492;38.996
420.136;58.977;51.492;38.996
421.131;58.972;51.492;38.995
422.141;58.97;51.494;38.996
423.131;58.971;51.495;38.997
424.131;58.964;51.497;38.998
425.133;58.964;51.498;38.998
426.144;58.959;51.499;38.998
427.132;58.951;51.498;38.997
428.126;58.963;51.497;38.996
429.124;58.931;51.498;38.997
430.112;58.937;51.501;38.998
431.098;58.932;51.501;38.998
432.084;58.926;51.5;38.996
433.084;58.936;51.502;38.998
434.092;58.901;51.499;38.994
435.098;58.914;51.505;38.999
436.113;58.903;51.503;38.998
437.098;58.898;51.505;38.998
438.091;58.9;51.504;38.997
439.085;58.901;51.504;38.996
