IDs:;240715_07_240712F;07_DNAJB6_00_658_uM;;*shifted by 3 s
Concentration [uM]:;0.658;;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3];
366.641;60.401;51.363;39.05;
367.652;60.389;51.364;39.051;
368.663;60.425;51.367;39.053;
369.654;60.435;51.366;39.051;
370.664;60.43;51.37;39.054;
371.653;60.377;51.367;39.051;
372.648;60.384;51.366;39.05;
373.63;60.36;51.366;39.049;
374.632;60.393;51.369;39.05;
375.627;60.397;51.371;39.052;
376.606;60.342;51.372;39.052;
377.61;60.384;51.373;39.052;
378.609;60.352;51.369;39.049;
379.617;60.372;51.373;39.052;
380.623;60.328;51.371;39.049;
381.639;60.369;51.375;39.053;
382.655;60.327;51.373;39.05;
383.655;60.356;51.377;39.052;
384.673;60.313;51.373;39.048;
385.674;60.339;51.377;39.051;
386.677;60.312;51.374;39.048;
387.684;60.342;51.379;39.052;
388.695;60.295;51.375;39.048;
389.69;60.285;51.378;39.05;
390.683;60.284;51.378;39.05;
391.686;60.291;51.377;39.048;
392.696;60.286;51.378;39.048;
393.689;60.273;51.378;39.047;
394.678;60.259;51.379;39.048;
395.651;60.263;51.378;39.047;
396.643;60.258;51.381;39.049;
397.643;60.249;51.381;39.047;
398.631;60.261;51.381;39.048;
399.614;60.248;51.381;39.047;
400.615;60.239;51.38;39.045;
401.606;60.225;51.381;39.045;
402.594;60.227;51.382;39.046;
403.595;60.223;51.383;39.046;
404.57;60.21;51.384;39.045;
405.566;60.225;51.384;39.045;
406.561;60.239;51.39;39.05;
407.563;60.188;51.385;39.045;
408.553;60.239;51.393;39.051;
409.546;60.236;51.395;39.053;
410.547;60.18;51.387;39.045;
411.553;60.199;51.392;39.048;
412.536;60.195;51.39;39.046;
413.526;60.208;51.391;39.047;
414.512;60.199;51.393;39.048;
415.52;60.179;51.397;39.051;
416.509;60.156;51.395;39.048;
417.51;60.179;51.393;39.048;
418.514;60.161;51.395;39.048;
419.521;60.138;51.397;39.049;
420.501;60.142;51.398;39.049;
421.514;60.158;51.401;39.052;
422.503;60.146;51.399;39.049;
423.492;60.134;51.401;39.05;
424.485;60.122;51.4;39.048;
425.48;60.124;51.402;39.05;
426.478;60.14;51.405;39.052;
427.482;60.135;51.403;39.05;
428.468;60.125;51.404;39.051;
429.469;60.105;51.401;39.047;
430.461;60.107;51.401;39.047;
431.469;60.094;51.405;39.049;
432.454;60.11;51.406;39.05;
433.454;60.103;51.407;39.051;
434.438;60.094;51.407;39.05;
435.443;60.067;51.406;39.047;
436.427;60.086;51.407;39.048;
437.409;60.094;51.41;39.051;
438.421;60.089;51.41;39.05;
439.415;60.062;51.407;39.046;
440.447;60.045;51.405;39.044;
441.447;60.047;51.41;39.049;
442.459;60.066;51.41;39.047;
443.444;60.058;51.411;39.048;
444.444;60.036;51.412;39.048;
445.432;60.042;51.411;39.047;
446.422;60.035;51.411;39.046;
447.419;60.034;51.41;39.046;
448.42;60.002;51.408;39.042;
449.426;60.017;51.413;39.046;
450.407;60.03;51.413;39.046;
451.395;60.011;51.415;39.047;
452.388;60.008;51.414;39.046;
453.383;59.995;51.411;39.043;
454.374;60.002;51.416;39.046;
455.389;59.972;51.412;39.043;
456.407;59.98;51.412;39.041;
457.396;59.992;51.418;39.047;
458.399;59.98;51.418;39.046;
459.397;59.982;51.415;39.043;
460.402;59.986;51.416;39.044;
461.402;59.944;51.411;39.038;
462.399;59.969;51.417;39.044;
463.42;59.962;51.417;39.043;
464.407;59.976;51.419;39.045;
465.39;59.955;51.421;39.045;
466.386;59.956;51.42;39.044;
467.388;59.945;51.422;39.045;
468.403;59.907;51.419;39.041;
469.412;59.938;51.424;39.045;
470.418;59.896;51.419;39.04;
471.403;59.894;51.421;39.042;
472.398;59.884;51.421;39.042;
473.415;59.884;51.42;39.04;
474.435;59.905;51.425;39.044;
475.435;59.903;51.427;39.045;
476.441;59.863;51.425;39.043;
477.421;59.862;51.424;39.041;
478.408;59.856;51.426;39.042;
479.399;59.876;51.429;39.045;
480.417;59.873;51.429;39.045;
481.408;59.876;51.432;39.048;
482.402;59.844;51.429;39.044;
483.395;59.835;51.429;39.043;
484.389;59.85;51.432;39.046;
485.368;59.826;51.431;39.044;
486.354;59.824;51.432;39.045;
487.357;59.831;51.433;39.045;
488.348;59.828;51.436;39.047;
489.341;59.835;51.436;39.046;
490.328;59.804;51.432;39.042;
491.338;59.815;51.437;39.046;
492.346;59.785;51.434;39.043;
493.339;59.795;51.434;39.042;
494.342;59.788;51.435;39.043;
495.336;59.797;51.436;39.044;
496.345;59.794;51.438;39.045;
497.33;59.792;51.438;39.044;
498.319;59.793;51.436;39.042;
499.306;59.784;51.437;39.043;
500.304;59.755;51.437;39.041;
501.304;59.773;51.437;39.042;
502.315;59.772;51.439;39.043;
503.308;59.775;51.437;39.04;
504.305;59.758;51.439;39.043;
505.308;59.755;51.44;39.042;
506.321;59.757;51.439;39.041;
507.34;59.755;51.438;39.039;
508.332;59.758;51.441;39.042;
509.334;59.749;51.439;39.039;
510.311;59.745;51.44;39.039;
511.318;59.749;51.44;39.04;
512.3;59.742;51.44;39.039;
513.287;59.736;51.439;39.038;
514.291;59.736;51.441;39.039;
515.295;59.732;51.44;39.037;
516.299;59.73;51.441;39.038;
517.292;59.718;51.443;39.039;
518.293;59.715;51.442;39.038;
519.305;59.719;51.443;39.038;
520.327;59.714;51.443;39.037;
521.32;59.705;51.444;39.038;
522.33;59.7;51.444;39.038;
523.332;59.705;51.445;39.039;
524.326;59.7;51.445;39.038;
525.343;59.698;51.446;39.039;
526.342;59.694;51.444;39.036;
527.328;59.7;51.442;39.034;
528.323;59.679;51.443;39.035;
529.324;59.683;51.445;39.036;
530.335;59.689;51.445;39.036;
531.324;59.672;51.445;39.035;
532.343;59.666;51.448;39.037;
533.339;59.663;51.446;39.034;
534.339;59.661;51.446;39.034;
535.345;59.65;51.446;39.034;
536.326;59.648;51.449;39.037;
537.315;59.654;51.444;39.032;
538.305;59.635;51.449;39.035;
539.306;59.633;51.45;39.036;
540.31;59.628;51.448;39.034;
541.318;59.625;51.45;39.034;
542.303;59.623;51.451;39.035;
543.29;59.63;51.451;39.036;
544.31;59.612;51.45;39.034;
545.304;59.607;51.453;39.036;
546.319;59.606;51.453;39.035;
547.3;59.6;51.452;39.033;
548.3;59.596;51.455;39.037;
549.278;59.596;51.455;39.036;
550.262;59.593;51.455;39.035;
551.267;59.574;51.456;39.036;
552.269;59.578;51.457;39.037;
553.269;59.576;51.456;39.035;
554.256;59.573;51.459;39.037;
555.25;59.57;51.458;39.036;
556.26;59.564;51.457;39.035;
557.279;59.551;51.46;39.036;
558.295;59.557;51.461;39.037;
559.296;59.548;51.458;39.034;
560.298;59.521;51.46;39.035;
561.297;59.531;51.461;39.035;
562.302;59.531;51.464;39.038;
563.301;59.529;51.463;39.037;
564.301;59.525;51.462;39.035;
565.274;59.5;51.46;39.033;
566.284;59.52;51.466;39.038;
567.277;59.518;51.463;39.035;
568.271;59.522;51.464;39.036;
569.26;59.508;51.467;39.038;
570.277;59.511;51.467;39.038;
571.272;59.5;51.468;39.038;
572.268;59.503;51.467;39.037;
573.283;59.495;51.468;39.037;
574.271;59.494;51.468;39.037;
575.268;59.489;51.469;39.038;
576.277;59.492;51.47;39.038;
577.273;59.486;51.469;39.037;
578.278;59.485;51.471;39.039;
579.269;59.473;51.472;39.038;
580.268;59.479;51.472;39.038;
581.273;59.478;51.473;39.039;
582.286;59.468;51.471;39.037;
583.27;59.471;51.472;39.037;
584.273;59.464;51.471;39.035;
585.283;59.46;51.474;39.038;
586.257;59.462;51.474;39.038;
587.263;59.453;51.473;39.036;
588.252;59.452;51.474;39.037;
589.229;59.456;51.475;39.037;
590.245;59.448;51.474;39.037;
591.239;59.451;51.475;39.037;
592.215;59.45;51.476;39.037;
593.198;59.455;51.476;39.037;
594.215;59.44;51.477;39.037;
595.209;59.44;51.478;39.038;
596.211;59.434;51.477;39.036;
597.19;59.433;51.476;39.035;
598.191;59.432;51.478;39.037;
599.185;59.43;51.475;39.034;
600.187;59.424;51.479;39.037;
601.193;59.419;51.478;39.035;
602.206;59.419;51.48;39.037;
603.189;59.427;51.478;39.035;
604.208;59.426;51.477;39.034;
605.203;59.407;51.479;39.035;
606.2;59.408;51.48;39.035;
607.198;59.411;51.481;39.037;
608.184;59.408;51.48;39.035;
