IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
268.448;71.557;50.477;38.995
269.465;71.589;50.484;39.002
270.469;71.591;50.479;38.997
271.477;71.568;50.481;38.998
272.494;71.587;50.482;39
273.495;71.585;50.48;38.998
274.493;71.552;50.475;38.993
275.476;71.527;50.476;38.993
276.486;71.599;50.484;39.001
277.494;71.601;50.482;38.999
278.478;71.569;50.48;38.999
279.476;71.587;50.482;39
280.48;71.561;50.478;38.996
281.473;71.584;50.485;39.002
282.494;71.588;50.482;39
283.504;71.569;50.479;38.997
284.481;71.563;50.479;38.997
285.498;71.569;50.482;39
286.489;71.552;50.479;38.997
287.494;71.597;50.483;39
288.504;71.584;50.482;38.999
289.495;71.591;50.483;39
290.474;71.558;50.479;38.997
291.471;71.59;50.484;39.002
292.443;71.542;50.481;38.999
293.453;71.583;50.48;38.998
294.446;71.541;50.478;38.995
295.443;71.584;50.479;38.997
296.454;71.602;50.48;38.998
297.454;71.549;50.481;38.998
298.444;71.586;50.483;39.001
299.462;71.595;50.481;38.999
300.454;71.591;50.484;39.001
301.457;71.584;50.485;39.002
302.464;71.55;50.48;38.997
303.474;71.586;50.484;39.002
304.49;71.569;50.482;39
305.511;71.573;50.479;38.997
306.518;71.575;50.48;38.998
307.523;71.578;50.483;39
308.537;71.581;50.484;39.001
309.551;71.595;50.483;39
310.536;71.551;50.48;38.998
311.526;71.556;50.482;38.999
312.518;71.549;50.482;38.999
313.514;71.577;50.482;38.999
314.513;71.553;50.479;38.998
315.513;71.536;50.478;38.996
316.509;71.525;50.478;38.996
317.503;71.553;50.481;38.998
318.497;71.552;50.479;38.997
319.486;71.596;50.483;39.001
320.49;71.553;50.48;38.997
321.487;71.56;50.48;38.997
322.463;71.528;50.477;38.995
323.456;71.564;50.483;39
324.431;71.544;50.481;38.999
325.441;71.546;50.48;38.998
326.443;71.546;50.475;38.994
327.441;71.58;50.483;39
328.438;71.541;50.475;38.993
329.44;71.579;50.48;38.997
330.428;71.559;50.476;38.994
331.424;71.529;50.48;38.998
332.424;71.553;50.478;38.995
333.431;71.535;50.477;38.995
334.442;71.532;50.48;38.997
335.432;71.58;50.479;38.996
336.441;71.553;50.478;38.996
337.45;71.567;50.479;38.997
338.468;71.59;50.482;38.999
339.458;71.561;50.477;38.994
340.452;71.587;50.483;39
341.45;71.525;50.474;38.991
342.453;71.56;50.48;38.997
343.462;71.544;50.478;38.996
344.459;71.546;50.477;38.995
345.45;71.582;50.481;39
346.443;71.552;50.477;38.994
347.446;71.59;50.482;39
348.444;71.55;50.477;38.994
349.444;71.548;50.48;38.997
350.433;71.537;50.475;38.993
351.42;71.58;50.482;38.999
352.399;71.546;50.479;38.996
353.399;71.587;50.48;38.997
354.414;71.55;50.476;38.995
355.434;71.527;50.477;38.995
356.427;71.585;50.481;38.999
357.42;71.554;50.476;38.994
358.401;71.58;50.479;38.997
359.41;71.588;50.48;38.997
360.427;71.591;50.478;38.996
361.424;71.589;50.477;38.995
362.398;71.546;50.475;38.993
363.409;71.53;50.476;38.993
364.398;71.577;50.481;38.998
365.382;71.586;50.478;38.995
366.371;71.573;50.479;38.996
367.369;71.528;50.478;38.995
368.373;71.548;50.476;38.993
369.368;71.528;50.476;38.993
370.387;71.555;50.475;38.992
371.386;71.551;50.476;38.994
372.389;71.561;50.474;38.992
373.394;71.551;50.476;38.994
374.402;71.549;50.476;38.994
375.415;71.542;50.475;38.993
376.403;71.552;50.476;38.993
377.39;71.549;50.476;38.993
378.383;71.521;50.473;38.991
379.385;71.53;50.477;38.994
380.398;71.57;50.475;38.992
381.4;71.52;50.475;38.993
382.404;71.595;50.476;38.993
383.41;71.545;50.474;38.992
384.429;71.533;50.474;38.991
385.434;71.544;50.474;38.992
386.428;71.516;50.472;38.989
387.439;71.581;50.476;38.994
388.442;71.559;50.472;38.99
389.454;71.527;50.474;38.992
390.448;71.518;50.473;38.99
391.441;71.582;50.477;38.994
392.442;71.531;50.473;38.99
393.446;71.584;50.476;38.994
394.446;71.569;50.476;38.993
395.456;71.583;50.474;38.992
396.44;71.579;50.475;38.993
397.438;71.538;50.474;38.991
398.419;71.548;50.473;38.99
399.403;71.538;50.473;38.991
400.398;71.543;50.471;38.989
401.397;71.533;50.473;38.99
402.398;71.527;50.472;38.989
403.406;71.565;50.476;38.992
404.388;71.536;50.472;38.989
405.39;71.545;50.471;38.989
406.392;71.542;50.472;38.99
407.395;71.58;50.477;38.994
408.401;71.539;50.471;38.988
409.417;71.555;50.472;38.989
410.438;71.563;50.476;38.993
411.43;71.547;50.471;38.989
412.423;71.54;50.471;38.989
413.421;71.545;50.47;38.987
414.423;71.572;50.476;38.993
415.421;71.578;50.473;38.991
416.414;71.535;50.472;38.989
417.398;71.565;50.475;38.992
418.389;71.52;50.472;38.99
419.39;71.521;50.47;38.988
420.385;71.542;50.473;38.991
421.392;71.525;50.47;38.988
422.383;71.531;50.469;38.987
423.384;71.525;50.472;38.989
424.394;71.52;50.471;38.989
425.391;71.54;50.473;38.991
426.38;71.557;50.471;38.988
427.376;71.525;50.47;38.987
428.382;71.519;50.471;38.988
429.395;71.561;50.474;38.991
430.392;71.532;50.472;38.99
431.398;71.571;50.473;38.99
432.393;71.533;50.472;38.99
433.4;71.51;50.469;38.987
434.41;71.52;50.469;38.987
435.424;71.543;50.471;38.989
436.427;71.542;50.466;38.985
437.438;71.518;50.468;38.986
438.429;71.526;50.471;38.989
439.45;71.577;50.474;38.991
440.446;71.53;50.47;38.987
441.447;71.538;50.467;38.985
442.451;71.499;50.469;38.986
443.427;71.548;50.47;38.987
444.428;71.518;50.468;38.985
445.42;71.568;50.473;38.99
446.41;71.529;50.47;38.987
447.407;71.525;50.469;38.986
448.384;71.557;50.471;38.988
449.395;71.52;50.468;38.986
450.399;71.531;50.467;38.984
451.39;71.509;50.467;38.985
452.383;71.529;50.467;38.984
453.383;71.564;50.469;38.986
454.39;71.567;50.47;38.987
455.381;71.51;50.468;38.985
456.388;71.53;50.466;38.984
457.382;71.519;50.467;38.984
458.398;71.532;50.467;38.984
459.416;71.515;50.466;38.983
460.413;71.512;50.466;38.984
461.418;71.526;50.465;38.982
462.402;71.53;50.466;38.983
463.395;71.531;50.467;38.984
464.392;71.503;50.467;38.985
465.399;71.512;50.465;38.982
466.41;71.54;50.466;38.983
467.403;71.556;50.468;38.985
468.399;71.519;50.466;38.983
469.4;71.527;50.465;38.983
470.406;71.536;50.464;38.982
471.417;71.516;50.463;38.98
472.417;71.53;50.464;38.982
473.414;71.5;50.466;38.983
474.412;71.541;50.464;38.982
475.417;71.519;50.465;38.982
476.424;71.533;50.465;38.982
477.433;71.52;50.464;38.982
478.443;71.54;50.467;38.984
479.46;71.526;50.464;38.981
480.484;71.499;50.465;38.982
481.477;71.545;50.463;38.98
482.485;71.514;50.464;38.981
483.481;71.514;50.464;38.981
484.471;71.515;50.462;38.979
485.466;71.514;50.463;38.981
486.473;71.536;50.463;38.981
487.465;71.566;50.465;38.982
488.458;71.534;50.462;38.979
489.463;71.51;50.461;38.979
490.454;71.505;50.463;38.981
491.45;71.544;50.464;38.982
492.456;71.505;50.464;38.98
493.44;71.543;50.462;38.979
494.447;71.521;50.463;38.98
495.435;71.533;50.463;38.98
496.437;71.512;50.463;38.98
497.412;71.549;50.466;38.983
498.433;71.508;50.461;38.978
499.415;71.515;50.46;38.978
500.398;71.518;50.462;38.98
501.393;71.53;50.461;38.979
502.381;71.495;50.461;38.978
503.395;71.527;50.465;38.982
504.411;71.546;50.463;38.98
505.435;71.514;50.459;38.976
506.431;71.527;50.46;38.978
