IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
287.612;58.554;51.573;39.008
288.625;58.548;51.574;39.008
289.634;58.549;51.573;39.007
290.611;58.538;51.576;39.008
291.624;58.527;51.573;39.003
292.642;58.52;51.576;39.005
293.647;58.521;51.574;39.003
294.658;58.523;51.578;39.006
295.674;58.515;51.579;39.007
296.664;58.512;51.578;39.004
297.659;58.488;51.58;39.005
298.67;58.493;51.58;39.004
299.677;58.488;51.579;39.002
300.656;58.465;51.584;39.008
301.671;58.483;51.58;39.001
302.661;58.463;51.585;39.007
303.653;58.476;51.583;39.004
304.645;58.47;51.584;39.004
305.635;58.421;51.582;39.002
306.612;58.439;51.589;39.009
307.62;58.431;51.593;39.011
308.6;58.428;51.595;39.012
309.601;58.432;51.592;39.009
310.602;58.428;51.595;39.011
311.597;58.423;51.593;39.006
312.591;58.414;51.597;39.011
313.574;58.407;51.597;39.011
314.569;58.406;51.596;39.008
315.568;58.398;51.597;39.009
316.577;58.388;51.598;39.009
317.581;58.391;51.599;39.01
318.582;58.386;51.601;39.01
319.594;58.382;51.6;39.009
320.595;58.376;51.6;39.009
321.597;58.347;51.599;39.006
322.603;58.364;51.605;39.011
323.586;58.374;51.602;39.007
324.575;58.361;51.602;39.007
325.568;58.367;51.603;39.006
326.55;58.359;51.604;39.006
327.547;58.35;51.604;39.005
328.571;58.331;51.604;39.006
329.565;58.347;51.603;39.003
330.564;58.324;51.604;39.004
331.567;58.328;51.602;39.001
332.571;58.358;51.605;39
333.577;58.335;51.607;39.004
334.586;58.336;51.608;39.005
335.567;58.324;51.611;39.007
336.554;58.316;51.609;39.005
337.559;58.302;51.607;39.001
338.557;58.336;51.608;38.999
339.547;58.312;51.605;38.994
340.541;58.287;51.61;39.002
341.535;58.291;51.61;39.002
342.534;58.28;51.606;38.995
343.53;58.284;51.61;39.001
344.524;58.279;51.608;38.996
345.513;58.29;51.607;38.992
346.495;58.251;51.608;38.993
347.496;58.242;51.608;38.993
348.483;58.282;51.611;38.993
349.5;58.273;51.611;38.994
350.518;58.233;51.607;38.99
351.51;58.229;51.609;38.992
352.509;58.223;51.61;38.991
353.513;58.215;51.612;38.992
354.499;58.25;51.611;38.99
355.493;58.201;51.613;38.991
356.492;58.235;51.614;38.99
357.496;58.2;51.613;38.99
358.478;58.251;51.619;38.994
359.485;58.17;51.618;38.994
360.49;58.178;51.618;38.994
361.478;58.178;51.616;38.99
362.465;58.167;51.62;38.993
363.456;58.206;51.621;38.992
364.455;58.197;51.622;38.993
365.454;58.153;51.623;38.995
366.458;58.16;51.62;38.991
367.441;58.147;51.624;38.993
368.426;58.15;51.623;38.992
369.443;58.126;51.624;38.993
370.446;58.137;51.624;38.992
371.456;58.132;51.625;38.993
372.458;58.173;51.629;38.995
373.453;58.155;51.63;38.997
374.445;58.148;51.63;38.994
375.434;58.118;51.626;38.989
376.41;58.107;51.627;38.99
377.411;58.16;51.629;38.99
378.416;58.11;51.627;38.988
379.407;58.097;51.627;38.988
380.411;58.131;51.631;38.991
381.41;58.136;51.632;38.992
382.407;58.14;51.633;38.991
383.403;58.137;51.633;38.989
384.383;58.118;51.634;38.993
385.391;58.126;51.634;38.991
386.403;58.119;51.634;38.99
387.39;58.12;51.634;38.99
388.384;58.109;51.634;38.989
389.391;58.111;51.634;38.989
390.4;58.109;51.633;38.987
391.394;58.098;51.636;38.989
392.395;58.083;51.636;38.99
393.401;58.085;51.638;38.991
394.386;58.082;51.635;38.986
395.363;58.077;51.638;38.99
396.376;58.07;51.636;38.985
397.362;58.069;51.638;38.988
398.354;58.073;51.638;38.988
399.352;58.034;51.637;38.988
400.352;58.069;51.638;38.985
401.356;58.042;51.638;38.986
402.361;58.074;51.64;38.986
403.378;58.026;51.639;38.986
404.365;58.04;51.643;38.988
405.37;58.036;51.639;38.984
406.366;58.037;51.643;38.989
407.356;58.015;51.643;38.989
408.354;58.018;51.64;38.983
409.338;57.999;51.643;38.987
410.337;57.994;51.646;38.988
411.333;57.998;51.647;38.988
412.335;58.002;51.646;38.987
413.342;58.009;51.645;38.984
414.34;57.974;51.645;38.984
415.344;58.005;51.647;38.987
416.354;57.961;51.648;38.986
417.349;57.972;51.65;38.989
418.348;57.953;51.649;38.986
419.353;57.962;51.651;38.987
420.348;57.958;51.648;38.984
421.34;57.945;51.649;38.985
422.339;57.932;51.655;38.989
423.344;57.937;51.652;38.984
424.348;57.923;51.654;38.987
425.363;57.922;51.653;38.986
426.35;57.919;51.655;38.987
427.337;57.918;51.654;38.985
428.33;57.9;51.657;38.989
429.331;57.877;51.661;38.989
430.332;57.908;51.658;38.987
431.345;57.903;51.658;38.986
432.349;57.907;51.659;38.986
433.343;57.909;51.657;38.982
434.359;57.899;51.66;38.986
435.367;57.904;51.658;38.983
436.373;57.889;51.659;38.984
437.36;57.892;51.657;38.98
438.373;57.877;51.662;38.985
439.354;57.876;51.66;38.983
440.342;57.875;51.66;38.981
441.341;57.869;51.664;38.985
442.343;57.867;51.663;38.984
443.341;57.864;51.663;38.985
444.356;57.872;51.662;38.981
445.347;57.859;51.663;38.983
446.333;57.861;51.663;38.982
447.325;57.859;51.661;38.979
448.338;57.869;51.662;38.979
449.337;57.842;51.665;38.983
450.343;57.852;51.664;38.98
451.353;57.826;51.668;38.986
452.34;57.836;51.665;38.981
453.328;57.839;51.666;38.98
454.321;57.817;51.668;38.984
455.319;57.823;51.667;38.982
456.322;57.811;51.669;38.984
457.327;57.834;51.667;38.977
