IDs:;240716_11_240712I;11_DNAJB6_00_195_uM;
Concentration [uM]:;0.195;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
301.263;71.558;50.469;38.993
302.255;71.523;50.468;38.992
303.25;71.556;50.468;38.992
304.249;71.546;50.468;38.992
305.242;71.598;50.47;38.993
306.243;71.512;50.467;38.991
307.245;71.542;50.469;38.992
308.256;71.506;50.466;38.989
309.273;71.56;50.466;38.99
310.272;71.523;50.468;38.991
311.275;71.561;50.468;38.992
312.278;71.594;50.472;38.994
313.285;71.522;50.466;38.99
314.263;71.537;50.468;38.991
315.247;71.541;50.466;38.989
316.249;71.523;50.469;38.992
317.248;71.541;50.467;38.991
318.251;71.599;50.471;38.994
319.256;71.541;50.466;38.99
320.265;71.541;50.469;38.992
321.26;71.548;50.468;38.992
322.266;71.505;50.469;38.992
323.243;71.526;50.467;38.99
324.247;71.536;50.467;38.99
325.245;71.541;50.466;38.99
326.247;71.529;50.47;38.994
327.25;71.528;50.466;38.99
328.253;71.551;50.466;38.99
329.259;71.532;50.469;38.992
330.266;71.538;50.466;38.99
331.245;71.526;50.469;38.992
332.23;71.568;50.468;38.991
333.242;71.522;50.467;38.99
334.232;71.536;50.466;38.989
335.244;71.535;50.468;38.991
336.247;71.55;50.468;38.992
337.246;71.513;50.466;38.989
338.248;71.519;50.468;38.991
339.249;71.552;50.465;38.989
340.226;71.526;50.466;38.989
341.242;71.574;50.47;38.992
342.263;71.518;50.466;38.99
343.258;71.569;50.47;38.993
344.268;71.512;50.468;38.991
345.244;71.52;50.467;38.989
346.259;71.551;50.467;38.99
347.257;71.51;50.466;38.989
348.253;71.499;50.466;38.988
349.253;71.514;50.467;38.99
350.254;71.556;50.464;38.987
351.267;71.538;50.472;38.992
352.243;71.532;50.466;38.989
353.244;71.498;50.466;38.988
354.252;71.534;50.464;38.986
355.243;71.524;50.467;38.99
356.228;71.524;50.466;38.989
357.214;71.523;50.464;38.988
358.219;71.496;50.465;38.988
359.2;71.549;50.47;38.992
360.205;71.505;50.465;38.987
361.193;71.496;50.467;38.99
362.212;71.488;50.464;38.986
363.207;71.501;50.465;38.988
364.202;71.514;50.465;38.988
365.2;71.539;50.463;38.986
366.191;71.558;50.469;38.99
367.174;71.538;50.466;38.989
368.159;71.503;50.464;38.987
369.164;71.549;50.465;38.988
370.167;71.494;50.467;38.989
371.174;71.528;50.465;38.988
372.156;71.548;50.468;38.99
373.143;71.54;50.463;38.986
374.135;71.5;50.462;38.985
375.134;71.531;50.463;38.986
376.137;71.499;50.463;38.985
377.142;71.499;50.464;38.986
378.124;71.516;50.465;38.988
379.11;71.535;50.464;38.987
380.099;71.507;50.465;38.987
381.108;71.505;50.464;38.987
382.107;71.509;50.464;38.986
383.096;71.501;50.465;38.987
384.072;71.499;50.463;38.985
385.073;71.488;50.464;38.986
386.082;71.514;50.464;38.986
387.059;71.519;50.463;38.985
388.048;71.548;50.463;38.985
389.033;71.518;50.463;38.985
390.016;71.501;50.463;38.985
391.004;71.483;50.462;38.985
392.002;71.464;50.464;38.986
392.998;71.49;50.461;38.983
393.991;71.495;50.461;38.984
394.983;71.53;50.461;38.985
395.984;71.524;50.462;38.984
396.993;71.481;50.462;38.983
398.004;71.497;50.461;38.982
399.022;71.474;50.461;38.982
400.018;71.532;50.462;38.985
401.006;71.506;50.459;38.982
402.023;71.476;50.461;38.983
403.015;71.509;50.464;38.986
403.99;71.473;50.463;38.985
405.012;71.549;50.465;38.986
406.011;71.494;50.464;38.985
407.008;71.491;50.463;38.985
408.011;71.466;50.462;38.983
409.024;71.488;50.461;38.982
410.038;71.483;50.463;38.985
411.059;71.483;50.462;38.983
412.054;71.484;50.463;38.984
413.054;71.493;50.461;38.982
414.056;71.52;50.462;38.984
415.041;71.554;50.467;38.988
416.033;71.485;50.459;38.981
417.014;71.532;50.462;38.984
418.01;71.505;50.462;38.984
419.008;71.508;50.464;38.985
420.015;71.485;50.462;38.984
421.012;71.483;50.462;38.983
422.016;71.493;50.459;38.981
423.007;71.492;50.462;38.984
424.015;71.546;50.464;38.984
425.003;71.468;50.461;38.982
425.983;71.489;50.461;38.983
426.971;71.535;50.461;38.983
427.965;71.465;50.459;38.98
428.967;71.509;50.459;38.981
429.952;71.46;50.461;38.982
430.945;71.503;50.459;38.98
431.962;71.469;50.462;38.983
432.956;71.49;50.459;38.98
433.961;71.517;50.461;38.982
434.968;71.514;50.46;38.981
435.955;71.466;50.461;38.982
436.949;71.489;50.462;38.983
437.933;71.478;50.46;38.981
438.946;71.499;50.461;38.982
439.931;71.488;50.46;38.981
440.908;71.479;50.46;38.981
441.911;71.49;50.459;38.98
442.919;71.482;50.461;38.982
443.912;71.451;50.458;38.978
444.91;71.484;50.46;38.981
445.899;71.458;50.46;38.98
446.891;71.487;50.462;38.982
447.887;71.469;50.46;38.981
448.869;71.483;50.463;38.983
449.867;71.497;50.46;38.98
450.871;71.444;50.458;38.978
451.86;71.469;50.459;38.98
452.858;71.464;50.459;38.979
453.857;71.451;50.459;38.979
454.854;71.455;50.46;38.98
455.853;71.492;50.459;38.979
456.847;71.451;50.458;38.979
457.84;71.463;50.462;38.982
458.83;71.465;50.458;38.978
459.836;71.451;50.459;38.98
460.826;71.472;50.459;38.979
461.822;71.467;50.459;38.979
462.823;71.474;50.459;38.98
463.829;71.506;50.454;38.975
464.808;71.465;50.457;38.977
465.794;71.459;50.458;38.979
466.793;71.458;50.458;38.979
467.804;71.458;50.456;38.977
468.816;71.463;50.454;38.975
469.799;71.468;50.456;38.976
470.79;71.457;50.455;38.975
471.8;71.446;50.455;38.975
472.812;71.464;50.454;38.975
473.826;71.47;50.454;38.975
474.812;71.46;50.454;38.975
475.799;71.443;50.456;38.976
476.791;71.448;50.453;38.973
477.785;71.509;50.458;38.978
478.78;71.437;50.456;38.977
479.782;71.454;50.452;38.973
480.795;71.462;50.455;38.975
481.797;71.456;50.451;38.972
482.794;71.442;50.455;38.975
483.785;71.483;50.452;38.973
484.766;71.444;50.456;38.976
485.768;71.44;50.452;38.972
486.747;71.469;50.453;38.974
487.73;71.475;50.453;38.974
488.726;71.438;50.453;38.973
489.734;71.445;50.451;38.971
490.734;71.491;50.453;38.973
491.732;71.431;50.455;38.974
492.709;71.487;50.454;38.974
493.717;71.435;50.451;38.971
494.698;71.463;50.453;38.973
495.68;71.43;50.452;38.971
496.672;71.436;50.454;38.973
497.679;71.431;50.452;38.972
498.688;71.466;50.452;38.973
499.685;71.429;50.453;38.973
500.682;71.437;50.453;38.972
501.686;71.473;50.454;38.975
502.677;71.434;50.451;38.971
503.676;71.473;50.454;38.974
504.677;71.424;50.452;38.971
505.698;71.433;50.452;38.972
506.691;71.432;50.451;38.971
507.684;71.453;50.451;38.971
508.675;71.432;50.454;38.974
509.651;71.439;50.453;38.972
510.651;71.479;50.453;38.973
511.637;71.427;50.451;38.97
512.636;71.444;50.453;38.972
513.639;71.422;50.452;38.971
514.622;71.453;50.453;38.972
515.618;71.448;50.45;38.97
516.628;71.45;50.449;38.969
517.628;71.42;50.45;38.97
518.627;71.446;50.45;38.969
519.634;71.423;50.452;38.971
520.625;71.448;50.456;38.974
521.615;71.454;50.45;38.969
522.602;71.406;50.451;38.97
523.61;71.444;50.45;38.97
524.609;71.403;50.451;38.969
525.606;71.424;50.451;38.971
526.609;71.437;50.45;38.969
527.596;71.421;50.45;38.969
528.592;71.418;50.451;38.97
529.595;71.424;50.448;38.967
530.575;71.417;50.448;38.967
531.56;71.422;50.447;38.966
532.55;71.406;50.448;38.967
533.528;71.395;50.45;38.969
534.542;71.467;50.448;38.967
535.555;71.429;50.447;38.966
536.542;71.469;50.446;38.966
537.535;71.431;50.447;38.966
538.51;71.406;50.447;38.966
539.505;71.426;50.446;38.965
540.507;71.406;50.447;38.966
541.517;71.399;50.445;38.963
542.494;71.413;50.444;38.963
543.499;71.443;50.445;38.964
544.484;71.405;50.446;38.964
545.485;71.397;50.445;38.963
546.485;71.425;50.446;38.966
547.495;71.412;50.444;38.963
548.475;71.392;50.445;38.964
549.466;71.403;50.445;38.964
550.484;71.415;50.444;38.962
551.486;71.387;50.448;38.966
552.485;71.409;50.444;38.962
553.481;71.397;50.445;38.964
554.472;71.398;50.445;38.964
555.462;71.378;50.443;38.96
556.459;71.392;50.444;38.962
557.45;71.404;50.443;38.961
558.446;71.385;50.444;38.962
559.448;71.383;50.443;38.961
560.453;71.376;50.443;38.96
561.433;71.383;50.443;38.961
562.444;71.388;50.444;38.963
563.465;71.403;50.444;38.962
564.456;71.398;50.444;38.962
565.448;71.397;50.443;38.96
566.444;71.391;50.442;38.96
567.456;71.376;50.443;38.96
568.439;71.387;50.443;38.96
569.438;71.378;50.443;38.96
570.429;71.395;50.442;38.96
571.415;71.36;50.442;38.959
572.422;71.39;50.442;38.96
573.426;71.39;50.44;38.958
574.422;71.37;50.442;38.96
575.431;71.375;50.442;38.96
576.444;71.397;50.44;38.958
577.441;71.38;50.442;38.96
578.423;71.378;50.44;38.957
579.414;71.417;50.441;38.959
580.412;71.366;50.442;38.959
581.417;71.387;50.44;38.957
582.407;71.356;50.442;38.959
583.404;71.374;50.44;38.958
584.411;71.38;50.439;38.957
585.422;71.379;50.437;38.955
586.424;71.371;50.442;38.959
587.434;71.37;50.44;38.958
588.429;71.336;50.439;38.955
589.425;71.387;50.44;38.958
590.425;71.373;50.439;38.956
591.407;71.345;50.439;38.955
592.394;71.363;50.44;38.956
593.39;71.354;50.441;38.957
594.388;71.369;50.438;38.955
595.388;71.346;50.444;38.96
596.394;71.368;50.439;38.955
597.398;71.356;50.441;38.958
598.408;71.348;50.442;38.958
599.406;71.349;50.44;38.957
600.414;71.364;50.44;38.956
601.415;71.36;50.44;38.957
602.416;71.374;50.44;38.957
603.425;71.349;50.441;38.957
604.408;71.365;50.44;38.957
605.409;71.343;50.44;38.955
606.392;71.331;50.438;38.954
607.392;71.349;50.441;38.957
608.401;71.348;50.439;38.955
609.39;71.364;50.44;38.957
610.404;71.349;50.439;38.954
611.393;71.351;50.438;38.954
612.394;71.358;50.439;38.955
613.372;71.336;50.438;38.955
614.375;71.356;50.437;38.954
615.353;71.33;50.438;38.953
616.35;71.342;50.44;38.956
617.352;71.339;50.439;38.954
618.364;71.367;50.44;38.957
619.377;71.358;50.439;38.956
620.381;71.338;50.437;38.953
621.386;71.329;50.438;38.954
622.386;71.338;50.439;38.955
623.38;71.318;50.439;38.954
624.377;71.331;50.439;38.954
625.38;71.339;50.44;38.956
626.388;71.325;50.439;38.954
627.368;71.347;50.439;38.955
628.353;71.33;50.439;38.955
629.376;71.343;50.438;38.955
630.371;71.355;50.437;38.953
631.359;71.355;50.44;38.955
632.351;71.328;50.438;38.954
633.347;71.325;50.44;38.955
634.36;71.333;50.437;38.952
635.337;71.332;50.438;38.954
636.335;71.345;50.438;38.953
637.345;71.313;50.439;38.953
638.32;71.341;50.439;38.954
639.317;71.325;50.436;38.951
640.341;71.334;50.438;38.953
641.34;71.339;50.435;38.95
642.339;71.312;50.437;38.952
643.342;71.312;50.436;38.951
644.34;71.306;50.435;38.949
645.346;71.312;50.437;38.952
646.328;71.303;50.435;38.949
647.315;71.337;50.433;38.948
648.309;71.304;50.435;38.949
649.301;71.316;50.436;38.951
650.289;71.34;50.432;38.947
651.309;71.307;50.436;38.95
652.307;71.311;50.433;38.947
653.31;71.3;50.434;38.949
654.321;71.307;50.433;38.947
655.335;71.309;50.435;38.949
656.328;71.304;50.431;38.945
657.321;71.291;50.436;38.95
658.327;71.306;50.434;38.948
659.333;71.296;50.434;38.948
660.348;71.297;50.434;38.948
661.354;71.299;50.434;38.948
662.346;71.304;50.433;38.947
663.343;71.294;50.432;38.945
664.335;71.331;50.431;38.946
665.345;71.296;50.432;38.946
666.337;71.332;50.431;38.945
667.345;71.303;50.434;38.948
668.346;71.293;50.431;38.944
669.331;71.303;50.432;38.946
670.303;71.29;50.433;38.946
671.3;71.29;50.433;38.946
672.285;71.291;50.431;38.944
673.276;71.272;50.431;38.944
674.266;71.308;50.431;38.945
675.27;71.274;50.432;38.945
676.253;71.294;50.43;38.943
677.24;71.289;50.43;38.943
678.233;71.259;50.433;38.946
679.243;71.274;50.431;38.944
680.236;71.266;50.431;38.944
681.246;71.26;50.432;38.944
682.253;71.283;50.43;38.943
683.264;71.266;50.429;38.942
684.282;71.289;50.429;38.942
685.272;71.263;50.43;38.942
686.271;71.287;50.429;38.942
687.276;71.268;50.429;38.942
688.282;71.279;50.43;38.943
689.292;71.276;50.428;38.941
690.276;71.28;50.427;38.94
691.286;71.251;50.43;38.943
692.279;71.277;50.428;38.941
693.266;71.281;50.428;38.94
694.258;71.264;50.428;38.94
695.257;71.293;50.428;38.939
696.264;71.267;50.431;38.943
697.25;71.258;50.429;38.941
698.253;71.247;50.431;38.942
699.242;71.269;50.429;38.941
700.241;71.263;50.426;38.938
701.248;71.263;50.428;38.94
702.234;71.253;50.427;38.939
703.228;71.238;50.427;38.939
704.232;71.251;50.427;38.939
705.231;71.242;50.427;38.939
706.236;71.264;50.426;38.938
707.23;71.244;50.427;38.939
708.226;71.245;50.426;38.938
709.219;71.228;50.428;38.939
710.218;71.243;50.427;38.939
711.224;71.235;50.427;38.937
712.243;71.222;50.426;38.937
713.247;71.244;50.427;38.939
714.252;71.229;50.427;38.938
715.231;71.216;50.425;38.936
716.246;71.229;50.428;38.939
717.237;71.25;50.424;38.936
718.234;71.236;50.427;38.938
719.235;71.246;50.427;38.938
720.231;71.257;50.428;38.938
721.226;71.222;50.429;38.94
722.225;71.211;50.429;38.939
723.21;71.237;50.427;38.937
724.194;71.235;50.429;38.94
725.184;71.203;50.429;38.939
726.18;71.229;50.426;38.937
727.186;71.214;50.426;38.936
728.185;71.243;50.426;38.935
729.185;71.224;50.426;38.937
