IDs:;240717_14_240712K;14_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
271.531;71.637;50.472;38.998
272.538;71.62;50.474;39
273.56;71.638;50.471;38.998
274.561;71.618;50.473;39
275.564;71.597;50.472;38.998
276.546;71.642;50.471;38.997
277.534;71.587;50.473;38.999
278.557;71.592;50.473;38.999
279.553;71.576;50.47;38.996
280.545;71.623;50.472;38.998
281.53;71.6;50.469;38.996
282.519;71.615;50.473;39
283.512;71.56;50.47;38.996
284.511;71.632;50.472;38.998
285.513;71.602;50.469;38.996
286.511;71.612;50.472;38.998
287.512;71.645;50.469;38.996
288.5;71.584;50.47;38.997
289.501;71.571;50.469;38.996
290.481;71.604;50.472;38.998
291.474;71.583;50.469;38.996
292.48;71.62;50.472;38.998
293.473;71.619;50.473;38.999
294.449;71.601;50.469;38.996
295.432;71.612;50.471;38.997
296.425;71.641;50.468;38.995
297.419;71.572;50.467;38.993
298.403;71.62;50.471;38.998
299.387;71.622;50.473;38.999
300.386;71.6;50.469;38.997
301.389;71.589;50.471;38.998
302.4;71.611;50.471;38.996
303.395;71.64;50.468;38.996
304.413;71.64;50.469;38.996
305.426;71.616;50.474;39
306.416;71.622;50.471;38.998
307.405;71.565;50.468;38.994
308.39;71.6;50.469;38.995
309.389;71.594;50.47;38.997
310.387;71.623;50.471;38.997
311.389;71.585;50.47;38.997
312.363;71.619;50.472;38.999
313.371;71.583;50.469;38.996
314.359;71.644;50.47;38.997
315.348;71.61;50.474;38.999
316.344;71.593;50.468;38.994
317.351;71.58;50.47;38.997
318.347;71.612;50.472;38.999
319.344;71.63;50.469;38.995
320.352;71.613;50.47;38.997
321.359;71.629;50.469;38.995
322.353;71.59;50.469;38.996
323.339;71.614;50.468;38.996
324.339;71.617;50.471;38.997
325.326;71.626;50.471;38.999
326.331;71.6;50.471;38.996
327.34;71.596;50.469;38.995
328.328;71.584;50.468;38.995
329.311;71.628;50.469;38.996
330.325;71.598;50.47;38.997
331.316;71.635;50.468;38.994
332.289;71.606;50.471;38.997
333.276;71.589;50.469;38.996
334.272;71.626;50.47;38.996
335.281;71.587;50.468;38.995
336.289;71.584;50.469;38.997
337.291;71.575;50.467;38.994
338.292;71.606;50.47;38.997
339.3;71.57;50.468;38.994
340.279;71.586;50.466;38.993
341.291;71.602;50.472;38.998
342.279;71.606;50.471;38.998
343.27;71.626;50.468;38.994
344.27;71.598;50.471;38.997
345.271;71.587;50.469;38.996
346.28;71.598;50.47;38.997
347.292;71.593;50.467;38.995
348.3;71.596;50.47;38.997
349.302;71.61;50.468;38.994
350.308;71.604;50.469;38.996
351.313;71.582;50.469;38.996
352.307;71.578;50.466;38.993
353.301;71.586;50.467;38.994
354.306;71.623;50.468;38.994
355.305;71.585;50.468;38.994
356.317;71.59;50.467;38.994
357.322;71.587;50.472;38.998
358.315;71.594;50.468;38.994
359.305;71.617;50.465;38.991
360.295;71.603;50.468;38.994
361.291;71.621;50.468;38.994
362.27;71.627;50.469;38.995
363.26;71.577;50.466;38.992
364.264;71.587;50.467;38.993
365.255;71.635;50.468;38.994
366.248;71.578;50.465;38.991
367.257;71.661;50.468;38.995
368.28;71.623;50.467;38.994
369.282;71.568;50.463;38.99
370.29;71.606;50.469;38.996
371.294;71.6;50.466;38.993
372.276;71.595;50.469;38.995
373.294;71.614;50.468;38.994
374.282;71.559;50.465;38.991
375.275;71.586;50.467;38.994
376.271;71.582;50.467;38.994
377.273;71.613;50.47;38.996
378.281;71.612;50.467;38.995
379.26;71.599;50.469;38.995
380.275;71.616;50.469;38.996
381.264;71.578;50.468;38.995
382.263;71.627;50.467;38.993
383.249;71.596;50.47;38.996
384.223;71.574;50.465;38.991
385.232;71.543;50.467;38.993
386.216;71.634;50.465;38.992
387.216;71.582;50.469;38.996
388.203;71.606;50.465;38.993
389.2;71.597;50.467;38.993
390.203;71.61;50.467;38.993
391.187;71.563;50.466;38.992
392.176;71.594;50.465;38.991
393.172;71.577;50.465;38.992
394.164;71.587;50.469;38.996
395.158;71.567;50.465;38.991
396.173;71.577;50.469;38.995
397.161;71.606;50.467;38.994
398.146;71.637;50.465;38.991
399.163;71.611;50.465;38.992
400.145;71.622;50.466;38.993
401.151;71.635;50.464;38.991
402.163;71.594;50.463;38.989
403.15;71.624;50.465;38.991
404.172;71.594;50.465;38.992
405.174;71.569;50.465;38.991
406.17;71.595;50.462;38.99
407.158;71.606;50.463;38.99
408.158;71.617;50.463;38.99
409.164;71.59;50.46;38.987
410.171;71.59;50.465;38.991
411.16;71.622;50.464;38.99
412.152;71.572;50.459;38.985
413.143;71.621;50.461;38.988
414.138;71.574;50.463;38.989
415.138;71.585;50.462;38.989
416.139;71.582;50.463;38.99
417.142;71.576;50.462;38.988
418.139;71.569;50.461;38.987
419.119;71.591;50.464;38.991
420.105;71.569;50.462;38.988
421.09;71.564;50.463;38.989
422.087;71.584;50.458;38.985
423.072;71.607;50.462;38.988
424.068;71.606;50.46;38.987
425.053;71.581;50.46;38.986
426.049;71.608;50.461;38.988
427.031;71.585;50.459;38.986
428.023;71.58;50.463;38.99
429.019;71.586;50.46;38.986
430.013;71.603;50.461;38.988
431.01;71.608;50.459;38.986
432.016;71.563;50.458;38.984
433.013;71.588;50.463;38.989
434.003;71.566;50.457;38.984
435.012;71.564;50.46;38.987
436.02;71.627;50.461;38.987
437.018;71.579;50.458;38.985
438.014;71.61;50.462;38.989
439.016;71.574;50.456;38.983
439.995;71.612;50.462;38.988
441.007;71.605;50.459;38.985
441.992;71.593;50.461;38.987
442.987;71.563;50.456;38.983
443.995;71.581;50.457;38.983
445.019;71.581;50.459;38.985
446.038;71.614;50.46;38.987
447.032;71.56;50.457;38.983
448.026;71.606;50.458;38.984
449.022;71.558;50.458;38.984
450.021;71.626;50.459;38.986
451.034;71.566;50.458;38.984
452.028;71.585;50.454;38.981
453.026;71.596;50.455;38.983
454.035;71.571;50.457;38.984
455.046;71.604;50.458;38.985
456.027;71.616;50.456;38.983
457.008;71.569;50.457;38.984
458.022;71.612;50.455;38.982
459.035;71.572;50.453;38.98
460.031;71.579;50.455;38.981
461.033;71.607;50.454;38.981
462.017;71.563;50.457;38.984
463.008;71.605;50.454;38.981
464.012;71.563;50.452;38.98
465.017;71.584;50.458;38.984
466.002;71.538;50.452;38.978
467.002;71.633;50.456;38.983
467.986;71.557;50.451;38.979
468.993;71.579;50.454;38.98
470;71.583;50.454;38.981
470.989;71.616;50.454;38.981
471.979;71.564;50.452;38.979
472.993;71.578;50.452;38.979
473.977;71.568;50.453;38.98
474.966;71.568;50.452;38.979
475.956;71.614;50.455;38.982
476.952;71.565;50.453;38.979
477.948;71.611;50.454;38.981
478.949;71.581;50.453;38.981
479.955;71.6;50.456;38.982
480.962;71.57;50.454;38.981
481.964;71.573;50.452;38.979
482.963;71.615;50.454;38.981
483.961;71.564;50.449;38.976
484.968;71.589;50.453;38.981
485.963;71.571;50.452;38.979
486.959;71.579;50.452;38.979
487.977;71.58;50.452;38.978
488.96;71.547;50.451;38.977
489.96;71.568;50.452;38.979
490.967;71.567;50.45;38.977
491.966;71.61;50.453;38.981
492.949;71.616;50.452;38.979
493.94;71.576;50.452;38.98
494.948;71.563;50.451;38.978
495.945;71.571;50.45;38.978
496.949;71.566;50.451;38.978
497.937;71.545;50.452;38.979
498.934;71.566;50.453;38.98
499.93;71.553;50.45;38.976
500.916;71.589;50.455;38.981
501.921;71.566;50.452;38.979
502.92;71.563;50.45;38.977
503.914;71.564;50.453;38.98
504.916;71.591;50.45;38.977
505.919;71.547;50.448;38.975
506.928;71.574;50.448;38.975
507.942;71.601;50.451;38.978
508.941;71.562;50.448;38.975
509.944;71.564;50.45;38.977
510.955;71.576;50.449;38.975
511.936;71.551;50.45;38.976
512.92;71.546;50.45;38.977
513.91;71.592;50.448;38.976
514.911;71.533;50.448;38.975
515.918;71.577;50.452;38.979
516.926;71.604;50.45;38.977
517.926;71.57;50.45;38.977
518.93;71.608;50.451;38.977
519.928;71.552;50.448;38.974
520.936;71.552;50.447;38.974
521.931;71.602;50.451;38.978
522.94;71.557;50.447;38.975
523.936;71.585;50.448;38.976
524.943;71.582;50.449;38.976
525.933;71.592;50.449;38.976
526.926;71.565;50.448;38.974
527.93;71.56;50.449;38.976
528.947;71.613;50.451;38.978
529.946;71.566;50.446;38.973
530.944;71.565;50.447;38.973
531.93;71.565;50.446;38.973
532.92;71.567;50.448;38.976
533.917;71.576;50.446;38.972
534.904;71.578;50.446;38.974
535.893;71.545;50.443;38.97
536.882;71.601;50.449;38.976
537.882;71.529;50.446;38.972
538.885;71.617;50.448;38.976
539.894;71.585;50.444;38.971
540.877;71.553;50.444;38.972
541.863;71.543;50.444;38.971
542.859;71.539;50.445;38.972
543.858;71.551;50.446;38.973
544.862;71.566;50.444;38.971
545.84;71.596;50.446;38.973
546.85;71.574;50.442;38.97
547.864;71.567;50.443;38.969
548.856;71.559;50.443;38.97
549.853;71.54;50.444;38.97
550.855;71.61;50.447;38.973
551.847;71.54;50.446;38.972
552.82;71.56;50.444;38.972
553.823;71.572;50.445;38.971
554.837;71.583;50.445;38.972
555.826;71.566;50.442;38.969
556.828;71.596;50.447;38.974
557.828;71.601;50.446;38.973
558.822;71.571;50.442;38.969
559.821;71.594;50.448;38.975
560.832;71.543;50.44;38.967
561.815;71.551;50.441;38.968
562.819;71.559;50.442;38.97
563.843;71.554;50.444;38.971
564.819;71.56;50.443;38.97
