IDs:;240715_04_240712C;04_DNAJB6_02_220_uM;
Concentration [uM]:;2.22;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
544.719;57.184;51.831;38.985
545.716;57.184;51.83;38.983
546.698;57.186;51.828;38.98
547.683;57.193;51.829;38.981
548.676;57.18;51.831;38.982
549.673;57.186;51.829;38.98
550.663;57.185;51.831;38.981
551.652;57.189;51.831;38.98
552.644;57.181;51.83;38.978
553.64;57.169;51.835;38.984
554.648;57.178;51.832;38.979
555.654;57.17;51.836;38.984
556.634;57.173;51.832;38.979
557.615;57.167;51.834;38.98
558.634;57.171;51.835;38.981
559.64;57.164;51.836;38.982
560.635;57.169;51.834;38.979
561.631;57.175;51.835;38.978
562.62;57.166;51.837;38.981
563.625;57.166;51.837;38.979
564.623;57.16;51.837;38.98
565.602;57.174;51.836;38.977
566.59;57.16;51.837;38.978
567.597;57.168;51.838;38.978
568.573;57.146;51.841;38.983
569.581;57.144;51.842;38.983
570.565;57.149;51.842;38.983
571.555;57.143;51.843;38.984
572.55;57.151;51.84;38.979
573.538;57.146;51.842;38.981
574.539;57.142;51.843;38.981
575.525;57.133;51.844;38.982
576.528;57.136;51.845;38.982
577.507;57.144;51.843;38.979
578.519;57.126;51.846;38.982
579.504;57.138;51.846;38.981
580.505;57.13;51.847;38.983
581.503;57.117;51.848;38.984
582.48;57.126;51.847;38.98
583.462;57.107;51.853;38.988
584.48;57.117;51.85;38.982
585.488;57.12;51.85;38.983
586.493;57.108;51.851;38.983
587.502;57.092;51.855;38.988
588.512;57.1;51.853;38.985
589.496;57.086;51.858;38.989
590.487;57.098;51.853;38.984
591.489;57.103;51.854;38.983
592.494;57.098;51.856;38.986
593.498;57.092;51.856;38.984
594.495;57.079;51.858;38.987
595.508;57.082;51.857;38.986
596.497;57.085;51.856;38.983
597.505;57.072;51.86;38.987
598.501;57.079;51.86;38.986
599.49;57.071;51.862;38.988
600.489;57.078;51.863;38.988
601.5;57.076;51.863;38.989
602.493;57.054;51.864;38.989
603.508;57.054;51.866;38.989
604.517;57.07;51.862;38.984
605.511;57.056;51.866;38.989
606.509;57.063;51.866;38.99
607.49;57.056;51.865;38.987
608.507;57.043;51.868;38.99
609.505;57.054;51.865;38.985
610.505;57.047;51.866;38.986
611.505;57.044;51.865;38.987
612.513;57.048;51.867;38.987
613.503;57.047;51.869;38.989
614.5;57.043;51.866;38.984
615.501;57.037;51.869;38.987
616.504;57.034;51.866;38.983
617.516;57.031;51.869;38.987
618.503;57.032;51.869;38.986
619.497;57.021;51.868;38.984
620.501;57.022;51.87;38.986
621.508;57.016;51.87;38.985
622.512;57.027;51.871;38.986
623.507;57.022;51.872;38.987
624.507;57.009;51.872;38.986
625.511;57.02;51.872;38.987
626.508;57.011;51.87;38.983
627.503;57.02;51.871;38.984
628.5;57.009;51.873;38.984
629.487;57.013;51.871;38.983
630.479;57.008;51.872;38.984
631.492;57.011;51.872;38.983
632.493;57.003;51.873;38.983
633.478;57.01;51.873;38.983
634.475;56.991;51.873;38.983
635.464;57.003;51.874;38.983
636.452;57.003;51.875;38.984
637.448;56.999;51.876;38.984
638.452;56.982;51.877;38.986
639.432;56.992;51.875;38.982
640.42;56.976;51.878;38.986
641.404;56.985;51.876;38.984
642.414;56.988;51.876;38.981
643.423;56.989;51.874;38.98
644.398;56.988;51.875;38.98
645.386;56.975;51.877;38.983
646.376;56.983;51.879;38.984
647.373;56.966;51.878;38.983
648.378;56.981;51.878;38.981
649.384;56.968;51.879;38.982
650.401;56.967;51.88;38.984
651.389;56.972;51.88;38.982
652.364;56.963;51.877;38.98
653.367;56.956;51.879;38.982
654.388;56.956;51.878;38.98
655.377;56.957;51.88;38.982
656.371;56.949;51.88;38.981
657.372;56.958;51.88;38.98
658.368;56.946;51.882;38.982
659.364;56.949;51.881;38.981
660.368;56.94;51.882;38.981
661.377;56.942;51.884;38.983
662.367;56.95;51.879;38.976
663.372;56.937;51.882;38.98
664.357;56.924;51.88;38.978
665.356;56.931;51.882;38.978
666.338;56.928;51.881;38.978
667.338;56.92;51.879;38.976
668.339;56.916;51.881;38.976
669.343;56.92;51.883;38.978
670.326;56.901;51.885;38.978
671.328;56.919;51.881;38.976
672.314;56.904;51.882;38.977
673.302;56.907;51.882;38.976
674.297;56.904;51.882;38.975
675.294;56.901;51.884;38.977
676.299;56.891;51.881;38.973
677.312;56.89;51.885;38.976
678.301;56.901;51.882;38.974
679.323;56.886;51.884;38.975
680.323;56.886;51.883;38.973
681.326;56.879;51.886;38.977
682.317;56.883;51.886;38.975
683.311;56.883;51.886;38.975
684.308;56.877;51.888;38.977
685.31;56.878;51.887;38.975
686.317;56.877;51.887;38.976
687.33;56.859;51.892;38.981
688.324;56.876;51.893;38.98
689.319;56.871;51.892;38.978
690.324;56.866;51.893;38.979
691.324;56.867;51.894;38.979
692.32;56.864;51.892;38.977
693.311;56.856;51.895;38.981
694.29;56.849;51.895;38.979
695.294;56.857;51.894;38.977
696.285;56.843;51.895;38.978
697.267;56.847;51.897;38.98
698.264;56.827;51.899;38.981
699.24;56.84;51.895;38.976
700.233;56.84;51.896;38.978
701.231;56.842;51.897;38.979
702.233;56.821;51.894;38.976
703.243;56.822;51.9;38.981
704.233;56.827;51.898;38.979
705.233;56.819;51.895;38.975
706.254;56.81;51.897;38.976
707.249;56.797;51.897;38.978
708.256;56.809;51.898;38.977
709.267;56.801;51.898;38.977
710.252;56.807;51.897;38.976
711.243;56.796;51.899;38.977
712.244;56.793;51.898;38.975
713.25;56.801;51.903;38.981
714.239;56.804;51.9;38.976
715.23;56.794;51.901;38.976
716.226;56.797;51.902;38.977
717.227;56.805;51.902;38.977
718.23;56.795;51.9;38.974
719.237;56.78;51.9;38.975
720.219;56.779;51.902;38.976
721.232;56.785;51.9;38.973
722.219;56.777;51.902;38.976
723.206;56.778;51.902;38.974
724.184;56.774;51.904;38.976
725.18;56.77;51.903;38.976
726.172;56.758;51.905;38.977
727.174;56.762;51.907;38.978
728.169;56.759;51.907;38.978
729.153;56.756;51.906;38.976
730.159;56.748;51.907;38.977
731.15;56.741;51.905;38.975
732.153;56.74;51.906;38.975
733.168;56.736;51.906;38.973
734.166;56.74;51.908;38.976
735.171;56.725;51.908;38.976
736.15;56.739;51.904;38.971
737.161;56.729;51.906;38.973
738.178;56.737;51.907;38.973
739.187;56.747;51.906;38.971
740.17;56.73;51.904;38.97
741.158;56.708;51.905;38.971
742.132;56.729;51.904;38.97
743.122;56.709;51.906;38.97
744.118;56.726;51.905;38.97
745.117;56.704;51.905;38.969
746.121;56.714;51.907;38.971
747.118;56.712;51.905;38.968
748.116;56.696;51.908;38.971
749.12;56.71;51.905;38.967
750.126;56.699;51.904;38.967
751.11;56.7;51.907;38.969
752.096;56.68;51.905;38.967
753.088;56.7;51.905;38.966
754.083;56.69;51.908;38.968
755.08;56.682;51.906;38.965
756.08;56.684;51.906;38.967
757.08;56.682;51.905;38.964
758.068;56.687;51.906;38.965
759.06;56.669;51.907;38.965
760.055;56.674;51.906;38.965
761.057;56.665;51.906;38.963
762.054;56.671;51.906;38.963
763.067;56.669;51.903;38.96
764.07;56.661;51.907;38.964
765.088;56.663;51.906;38.962
766.091;56.662;51.907;38.962
767.085;56.651;51.906;38.961
768.094;56.658;51.907;38.962
769.086;56.654;51.906;38.959
770.073;56.652;51.907;38.961
771.069;56.652;51.908;38.962
