IDs:;240714_01_240712A;01_DNAJB6_05_000_uM;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
449.355;57.377;51.707;38.902
450.364;57.383;51.705;38.899
451.354;57.377;51.706;38.9
452.351;57.355;51.71;38.903
453.353;57.362;51.711;38.903
454.362;57.354;51.709;38.901
455.353;57.354;51.712;38.904
456.356;57.347;51.713;38.903
457.355;57.349;51.713;38.903
458.36;57.344;51.715;38.905
459.364;57.34;51.714;38.902
460.344;57.337;51.716;38.903
461.326;57.334;51.718;38.905
462.313;57.338;51.718;38.905
463.304;57.326;51.719;38.904
464.299;57.274;51.716;38.902
465.299;57.321;51.719;38.903
466.273;57.267;51.718;38.903
467.294;57.249;51.72;38.908
468.311;57.308;51.723;38.905
469.332;57.26;51.718;38.9
470.324;57.26;51.721;38.903
471.336;57.252;51.72;38.9
472.342;57.306;51.726;38.905
473.318;57.25;51.723;38.904
474.295;57.244;51.723;38.902
475.283;57.244;51.722;38.9
476.283;57.238;51.724;38.902
477.28;57.235;51.723;38.9
478.262;57.29;51.728;38.903
479.262;57.236;51.725;38.901
480.26;57.231;51.726;38.901
481.271;57.23;51.727;38.902
482.262;57.212;51.73;38.906
483.252;57.235;51.727;38.899
484.23;57.223;51.727;38.9
485.239;57.222;51.727;38.9
486.224;57.21;51.731;38.903
487.21;57.213;51.73;38.902
488.23;57.216;51.729;38.9
489.226;57.268;51.734;38.902
490.228;57.214;51.73;38.899
491.236;57.197;51.733;38.902
492.226;57.261;51.737;38.904
493.217;57.189;51.733;38.902
494.213;57.2;51.732;38.9
495.213;57.192;51.734;38.903
496.225;57.184;51.735;38.902
497.206;57.186;51.735;38.901
498.19;57.181;51.737;38.901
499.18;57.184;51.735;38.9
500.204;57.182;51.737;38.901
501.216;57.187;51.738;38.901
502.224;57.17;51.739;38.903
503.203;57.171;51.738;38.9
504.187;57.176;51.739;38.901
505.188;57.171;51.74;38.901
506.187;57.168;51.74;38.902
507.19;57.162;51.743;38.904
508.196;57.162;51.742;38.902
509.191;57.164;51.743;38.903
510.172;57.156;51.742;38.901
511.169;57.166;51.741;38.899
512.153;57.154;51.743;38.902
513.151;57.146;51.746;38.903
514.14;57.15;51.742;38.897
515.139;57.138;51.745;38.901
516.13;57.132;51.745;38.9
517.126;57.15;51.744;38.898
518.117;57.133;51.748;38.901
519.115;57.126;51.748;38.901
520.095;57.118;51.747;38.898
521.087;57.138;51.749;38.9
522.085;57.121;51.749;38.899
523.084;57.118;51.749;38.9
524.079;57.095;51.755;38.905
525.079;57.101;51.752;38.901
526.069;57.091;51.755;38.905
527.091;57.092;51.755;38.903
528.091;57.086;51.759;38.908
529.098;57.096;51.757;38.904
530.08;57.093;51.757;38.902
531.096;57.08;51.758;38.903
532.086;57.07;51.76;38.906
533.101;57.083;51.76;38.906
534.11;57.083;51.762;38.907
535.123;57.075;51.76;38.903
536.109;57.06;51.762;38.906
537.102;57.076;51.762;38.904
538.097;57.06;51.762;38.904
539.097;57.051;51.765;38.906
540.069;57.062;51.765;38.906
541.08;57.06;51.763;38.903
542.061;57.051;51.764;38.904
543.046;57.05;51.765;38.905
544.065;57.055;51.763;38.901
545.055;57.049;51.766;38.905
546.049;57.035;51.767;38.905
547.048;57.033;51.766;38.903
548.042;57.037;51.769;38.905
549.04;57.038;51.768;38.904
550.048;57.032;51.77;38.906
551.041;57.027;51.77;38.905
552.051;57.025;51.771;38.905
553.058;57.024;51.769;38.903
554.048;57.024;51.771;38.904
555.048;57.02;51.772;38.905
556.043;57.031;51.771;38.903
557.026;57.018;51.772;38.903
558.023;57.015;51.772;38.903
559.03;57.016;51.772;38.902
560.02;57.018;51.774;38.903
561.024;57.012;51.773;38.902
562.038;57.01;51.774;38.903
563.028;57.003;51.773;38.901
564.034;57.001;51.774;38.902
565.014;57.005;51.774;38.9
566;56.995;51.775;38.901
567.012;57.002;51.777;38.903
567.99;56.994;51.777;38.902
568.983;56.998;51.776;38.899
569.975;56.994;51.777;38.902
570.982;56.989;51.779;38.903
571.991;56.991;51.778;38.902
573.007;56.988;51.776;38.897
573.994;56.983;51.779;38.9
574.986;56.983;51.779;38.901
575.984;56.974;51.78;38.9
576.987;56.982;51.779;38.899
577.994;56.985;51.777;38.896
579.004;56.967;51.782;38.901
580.016;56.958;51.782;38.9
580.998;56.969;51.781;38.899
581.985;56.958;51.783;38.902
582.977;56.952;51.781;38.899
583.974;56.963;51.782;38.899
584.957;56.951;51.785;38.902
585.96;56.937;51.783;38.899
586.947;56.949;51.784;38.899
587.945;56.951;51.785;38.9
588.946;56.941;51.784;38.898
589.936;56.939;51.788;38.902
590.92;56.938;51.787;38.902
591.91;56.934;51.787;38.899
592.906;56.928;51.789;38.902
593.907;56.924;51.789;38.901
594.904;56.904;51.79;38.9
595.909;56.9;51.791;38.902
596.897;56.898;51.789;38.897
597.895;56.888;51.793;38.903
598.875;56.895;51.793;38.901
599.876;56.864;51.792;38.901
600.876;56.89;51.794;38.902
601.861;56.889;51.796;38.903
602.844;56.863;51.794;38.9
603.85;56.883;51.797;38.902
604.857;56.88;51.796;38.901
605.872;56.881;51.797;38.903
606.872;56.898;51.796;38.9
607.876;56.858;51.796;38.9
608.882;56.861;51.798;38.902
609.89;56.854;51.798;38.901
610.901;56.855;51.799;38.902
611.915;56.832;51.795;38.897
612.935;56.854;51.799;38.9
613.924;56.862;51.8;38.9
614.923;56.855;51.798;38.898
615.925;56.853;51.801;38.902
616.928;56.84;51.8;38.898
617.936;56.852;51.803;38.9
618.935;56.842;51.801;38.899
619.936;56.828;51.801;38.897
620.925;56.837;51.802;38.898
621.917;56.84;51.802;38.897
622.919;56.82;51.804;38.901
623.92;56.811;51.804;38.9
624.904;56.816;51.804;38.899
625.904;56.823;51.804;38.897
626.91;56.799;51.806;38.901
627.899;56.812;51.805;38.898
628.901;56.791;51.805;38.899
629.913;56.818;51.806;38.898
630.93;56.812;51.805;38.896
631.93;56.81;51.805;38.896
632.948;56.812;51.807;38.898
633.967;56.79;51.808;38.899
634.944;56.801;51.807;38.897
635.955;56.794;51.806;38.895
636.944;56.788;51.808;38.897
637.942;56.787;51.809;38.898
638.946;56.785;51.807;38.894
639.949;56.776;51.809;38.898
640.944;56.777;51.809;38.896
641.946;56.779;51.809;38.895
642.954;56.779;51.808;38.895
643.937;56.768;51.809;38.894
644.954;56.774;51.807;38.893
645.947;56.762;51.811;38.896
646.944;56.768;51.811;38.896
647.943;56.766;51.809;38.893
648.949;56.765;51.811;38.894
649.954;56.755;51.811;38.893
650.948;56.751;51.813;38.894
651.97;56.754;51.812;38.894
652.966;56.761;51.813;38.893
653.965;56.745;51.812;38.892
654.969;56.736;51.815;38.895
655.956;56.74;51.814;38.893
656.953;56.744;51.812;38.89
657.952;56.742;51.814;38.892
658.941;56.736;51.816;38.894
659.938;56.735;51.813;38.889
660.942;56.743;51.816;38.892
661.934;56.731;51.816;38.894
662.946;56.731;51.818;38.895
663.935;56.734;51.817;38.892
664.938;56.726;51.82;38.895
665.922;56.726;51.822;38.896
666.924;56.726;51.818;38.892
667.902;56.724;51.823;38.896
668.921;56.722;51.823;38.896
669.92;56.712;51.823;38.895
670.916;56.711;51.824;38.895
671.919;56.709;51.823;38.894
672.923;56.703;51.828;38.898
673.904;56.711;51.824;38.893
674.896;56.71;51.823;38.893
675.92;56.685;51.827;38.896
676.932;56.704;51.826;38.894
677.92;56.696;51.825;38.893
678.909;56.68;51.83;38.896
679.893;56.689;51.828;38.893
680.877;56.689;51.828;38.893
681.864;56.685;51.83;38.894
682.856;56.665;51.827;38.892
683.855;56.673;51.83;38.894
684.858;56.674;51.827;38.89
685.872;56.673;51.831;38.895
686.889;56.699;51.834;38.897
687.906;56.664;51.831;38.892
688.895;56.663;51.832;38.894
689.888;56.66;51.833;38.895
690.883;56.643;51.83;38.891
691.882;56.678;51.837;38.898
692.884;56.651;51.833;38.893
693.892;56.628;51.833;38.893
694.893;56.641;51.832;38.89
695.866;56.671;51.838;38.896
696.872;56.68;51.838;38.895
697.862;56.64;51.837;38.894
698.853;56.633;51.833;38.889
699.854;56.641;51.837;38.895
700.857;56.615;51.836;38.893
701.862;56.634;51.839;38.895
702.861;56.627;51.838;38.892
703.866;56.661;51.842;38.896
704.863;56.656;51.842;38.895
705.865;56.641;51.843;38.898
706.877;56.657;51.842;38.894
707.876;56.608;51.837;38.889
708.864;56.644;51.844;38.896
709.868;56.604;51.837;38.889
710.869;56.645;51.843;38.894
711.881;56.635;51.843;38.894
712.897;56.644;51.843;38.892
713.891;56.595;51.839;38.891
714.891;56.592;51.841;38.892
715.869;56.591;51.841;38.892
716.859;56.636;51.845;38.891
717.854;56.627;51.847;38.895
718.858;56.626;51.846;38.894
719.865;56.624;51.846;38.893
720.873;56.618;51.846;38.893
721.876;56.621;51.847;38.893
722.874;56.614;51.845;38.891
723.874;56.628;51.846;38.891
724.855;56.618;51.847;38.892
725.867;56.609;51.846;38.891
726.883;56.611;51.849;38.893
727.873;56.612;51.848;38.891
728.865;56.607;51.85;38.893
729.866;56.614;51.847;38.888
730.869;56.602;51.85;38.892
731.854;56.603;51.85;38.891
732.853;56.613;51.846;38.885
733.855;56.607;51.849;38.889
