IDs:;240716_10_240712H;10_DNAJB6_00_293_uM;
Concentration [uM]:;0.293;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
511.984;68.39;50.611;38.977
512.971;68.377;50.611;38.976
513.973;68.358;50.614;38.977
514.969;68.351;50.615;38.978
515.978;68.335;50.615;38.977
516.966;68.32;50.617;38.978
517.962;68.28;50.619;38.978
518.976;68.252;50.621;38.98
519.991;68.23;50.624;38.981
520.987;68.228;50.624;38.981
521.988;68.206;50.624;38.98
522.993;68.19;50.627;38.982
523.975;68.153;50.629;38.982
524.962;68.162;50.626;38.979
525.957;68.133;50.628;38.979
526.959;68.129;50.629;38.98
527.963;68.11;50.631;38.981
528.972;68.104;50.632;38.981
529.987;68.085;50.632;38.98
531.008;68.078;50.633;38.979
532.004;68.052;50.634;38.979
532.999;68.036;50.635;38.979
533.999;68.024;50.636;38.979
534.976;68.007;50.637;38.98
535.966;67.985;50.638;38.979
536.964;67.969;50.637;38.976
537.965;67.964;50.64;38.979
538.953;67.952;50.64;38.978
539.936;67.935;50.639;38.975
540.928;67.888;50.638;38.973
541.92;67.911;50.639;38.974
542.919;67.863;50.64;38.974
543.9;67.833;50.641;38.973
544.919;67.819;50.644;38.976
545.913;67.786;50.644;38.974
546.909;67.79;50.647;38.976
547.909;67.765;50.65;38.978
548.915;67.747;50.648;38.976
549.902;67.732;50.651;38.977
550.897;67.697;50.652;38.977
551.882;67.676;50.653;38.978
552.875;67.66;50.654;38.977
553.868;67.634;50.655;38.977
554.866;67.619;50.655;38.977
555.873;67.635;50.656;38.977
556.885;67.597;50.656;38.975
557.901;67.593;50.656;38.974
558.893;67.548;50.657;38.975
559.891;67.544;50.66;38.975
560.894;67.515;50.66;38.974
561.902;67.506;50.659;38.973
562.91;67.485;50.659;38.971
563.933;67.465;50.661;38.973
564.922;67.436;50.663;38.973
565.92;67.424;50.664;38.973
566.92;67.404;50.662;38.97
567.923;67.388;50.665;38.972
568.92;67.372;50.665;38.971
569.91;67.373;50.666;38.972
570.904;67.353;50.667;38.971
571.898;67.32;50.667;38.969
572.898;67.316;50.667;38.969
573.899;67.302;50.669;38.97
574.884;67.246;50.668;38.967
575.876;67.239;50.669;38.967
576.884;67.227;50.671;38.968
577.878;67.146;50.671;38.967
578.887;67.159;50.673;38.968
579.887;67.148;50.672;38.966
580.874;67.119;50.675;38.968
581.868;67.135;50.68;38.972
582.865;67.073;50.676;38.966
583.876;67.048;50.678;38.968
584.878;67.049;50.681;38.969
585.884;67.032;50.681;38.968
586.886;66.987;50.68;38.966
587.885;66.984;50.683;38.968
588.9;66.974;50.681;38.965
589.914;66.958;50.684;38.967
590.916;66.942;50.681;38.962
591.916;66.926;50.684;38.965
592.917;66.904;50.683;38.963
593.924;66.895;50.685;38.964
594.934;66.873;50.686;38.963
595.944;66.844;50.688;38.964
596.96;66.849;50.688;38.963
597.946;66.834;50.689;38.963
598.966;66.822;50.688;38.961
599.958;66.821;50.69;38.962
600.955;66.789;50.692;38.963
601.957;66.766;50.694;38.963
602.957;66.805;50.7;38.968
603.96;66.797;50.699;38.965
604.971;66.728;50.695;38.962
605.964;66.733;50.701;38.965
606.951;66.752;50.702;38.965
607.945;66.647;50.703;38.965
608.96;66.65;50.703;38.964
609.943;66.636;50.705;38.965
610.933;66.628;50.703;38.963
611.935;66.595;50.704;38.962
612.918;66.548;50.708;38.965
613.896;66.542;50.709;38.965
614.88;66.539;50.709;38.963
615.873;66.533;50.71;38.963
616.878;66.515;50.711;38.964
617.894;66.502;50.711;38.963
618.914;66.479;50.714;38.963
619.916;66.466;50.713;38.962
620.929;66.471;50.712;38.961
621.946;66.449;50.717;38.964
622.944;66.432;50.716;38.962
623.934;66.432;50.717;38.963
624.92;66.409;50.719;38.963
625.914;66.389;50.72;38.963
626.913;66.378;50.721;38.963
627.918;66.358;50.724;38.965
628.925;66.35;50.723;38.963
629.939;66.341;50.723;38.962
630.924;66.313;50.725;38.962
631.91;66.303;50.727;38.963
632.903;66.299;50.727;38.963
633.897;66.284;50.725;38.959
634.896;66.275;50.729;38.962
635.903;66.256;50.729;38.961
636.899;66.243;50.732;38.963
637.898;66.226;50.732;38.963
638.886;66.194;50.734;38.962
639.89;66.172;50.738;38.965
640.887;66.152;50.741;38.967
641.893;66.138;50.738;38.963
642.886;66.123;50.741;38.965
643.884;66.113;50.739;38.963
644.895;66.109;50.742;38.965
645.895;66.084;50.743;38.964
646.897;66.086;50.744;38.964
647.907;66.065;50.743;38.962
648.883;66.016;50.747;38.964
649.867;66.029;50.748;38.964
650.86;66.015;50.748;38.963
651.856;65.981;50.747;38.961
652.858;65.98;50.749;38.962
653.845;65.974;50.75;38.962
654.846;65.948;50.75;38.961
655.844;65.952;50.751;38.962
656.848;65.925;50.75;38.959
657.859;65.916;50.752;38.96
658.844;65.904;50.754;38.961
659.833;65.884;50.753;38.958
660.825;65.862;50.755;38.96
661.819;65.85;50.757;38.96
662.809;65.848;50.757;38.959
663.791;65.835;50.758;38.958
664.778;65.817;50.759;38.96
665.769;65.794;50.762;38.961
666.793;65.776;50.763;38.96
667.793;65.746;50.758;38.955
668.792;65.72;50.761;38.957
669.79;65.697;50.767;38.961
670.793;65.682;50.767;38.959
671.781;65.645;50.767;38.959
672.765;65.649;50.768;38.959
673.773;65.623;50.767;38.957
674.769;65.612;50.769;38.958
675.773;65.605;50.768;38.956
676.762;65.599;50.768;38.955
677.742;65.563;50.77;38.956
678.752;65.569;50.771;38.956
679.74;65.525;50.771;38.954
680.739;65.5;50.771;38.954
681.756;65.504;50.772;38.953
682.753;65.491;50.772;38.953
683.742;65.448;50.772;38.951
684.738;65.405;50.77;38.948
685.749;65.422;50.771;38.948
686.731;65.442;50.773;38.949
687.719;65.409;50.775;38.95
688.715;65.394;50.774;38.948
689.716;65.363;50.771;38.944
690.695;65.346;50.773;38.945
691.676;65.335;50.774;38.945
692.692;65.302;50.773;38.942
693.683;65.289;50.774;38.943
694.676;65.275;50.776;38.944
695.674;65.278;50.776;38.942
696.694;65.279;50.778;38.944
697.686;65.242;50.777;38.941
698.682;65.217;50.779;38.943
699.683;65.209;50.78;38.943
700.676;65.204;50.779;38.94
701.683;65.161;50.784;38.944
702.672;65.142;50.784;38.943
703.662;65.096;50.787;38.945
704.657;65.122;50.787;38.944
705.641;65.128;50.786;38.943
706.632;65.089;50.788;38.943
707.637;65.102;50.788;38.942
708.63;65.065;50.789;38.942
709.634;65.057;50.79;38.943
710.64;65.059;50.791;38.943
711.639;65.033;50.79;38.94
712.62;64.997;50.794;38.944
713.607;65.012;50.793;38.942
714.596;65;50.792;38.94
715.601;65.006;50.793;38.939
716.612;64.984;50.793;38.939
717.627;64.974;50.797;38.941
718.619;64.96;50.796;38.94
719.619;64.958;50.795;38.938
720.624;64.947;50.798;38.94
721.601;64.917;50.796;38.937
722.596;64.903;50.797;38.937
723.62;64.891;50.795;38.934
724.618;64.883;50.798;38.936
725.609;64.858;50.8;38.938
726.59;64.857;50.8;38.936
727.577;64.843;50.798;38.933
728.566;64.819;50.802;38.936
729.571;64.827;50.802;38.936
730.58;64.829;50.802;38.935
731.568;64.811;50.804;38.936
732.566;64.789;50.804;38.934
733.561;64.782;50.806;38.936
734.55;64.782;50.807;38.936
735.555;64.749;50.808;38.936
736.559;64.741;50.812;38.938
737.566;64.721;50.813;38.938
738.579;64.739;50.811;38.937
739.58;64.693;50.816;38.939
740.577;64.691;50.819;38.942
741.561;64.673;50.819;38.94
742.549;64.654;50.82;38.94
743.56;64.646;50.821;38.941
744.57;64.621;50.822;38.94
745.561;64.623;50.823;38.941
746.559;64.625;50.823;38.94
747.566;64.618;50.823;38.938
748.562;64.609;50.825;38.941
749.565;64.579;50.826;38.939
750.575;64.594;50.825;38.938
751.569;64.577;50.824;38.936
752.568;64.569;50.825;38.937
753.571;64.56;50.826;38.936
754.553;64.545;50.826;38.936
755.574;64.545;50.827;38.936
756.581;64.541;50.827;38.935
757.588;64.504;50.831;38.938
758.6;64.52;50.83;38.937
759.62;64.497;50.833;38.938
760.614;64.499;50.835;38.939
761.608;64.489;50.835;38.939
762.604;64.48;50.833;38.936
763.604;64.46;50.836;38.938
764.61;64.449;50.833;38.934
765.607;64.451;50.835;38.936
