IDs:;240911_03_240712D;15_b01_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
330.506;71.664;49.887;38.393
331.508;71.693;49.887;38.394
332.498;71.691;49.886;38.393
333.493;71.688;49.884;38.391
334.48;71.691;49.886;38.393
335.461;71.706;49.888;38.395
336.463;71.705;49.886;38.392
337.455;71.693;49.885;38.392
338.459;71.666;49.889;38.396
339.451;71.635;49.889;38.394
340.449;71.672;49.887;38.393
341.457;71.687;49.887;38.394
342.455;71.683;49.887;38.393
343.459;71.698;49.889;38.396
344.452;71.667;49.888;38.394
345.445;71.666;49.889;38.395
346.457;71.684;49.888;38.395
347.447;71.683;49.887;38.394
348.447;71.678;49.89;38.397
349.425;71.713;49.887;38.395
350.438;71.687;49.889;38.395
351.456;71.675;49.89;38.396
352.452;71.71;49.886;38.393
353.454;71.683;49.89;38.396
354.459;71.693;49.889;38.395
355.469;71.685;49.889;38.395
356.483;71.683;49.89;38.396
357.483;71.689;49.889;38.396
358.49;71.686;49.888;38.394
359.501;71.682;49.889;38.395
360.515;71.685;49.889;38.395
361.531;71.691;49.89;38.397
362.525;71.662;49.891;38.396
363.518;71.673;49.891;38.397
364.515;71.656;49.889;38.396
365.515;71.687;49.89;38.396
366.527;71.667;49.89;38.396
367.526;71.691;49.89;38.397
368.527;71.696;49.887;38.394
369.527;71.697;49.891;38.398
370.512;71.637;49.891;38.397
371.488;71.667;49.891;38.396
372.477;71.678;49.892;38.398
373.463;71.678;49.891;38.397
374.461;71.685;49.89;38.397
375.442;71.691;49.89;38.397
376.431;71.682;49.889;38.396
377.427;71.711;49.891;38.398
378.415;71.702;49.891;38.398
379.41;71.683;49.891;38.397
380.404;71.709;49.89;38.396
381.404;71.701;49.892;38.399
382.382;71.694;49.891;38.398
383.393;71.709;49.89;38.396
384.382;71.694;49.891;38.398
385.377;71.679;49.892;38.399
386.386;71.675;49.892;38.398
387.371;71.693;49.891;38.397
388.352;71.686;49.893;38.399
389.337;71.676;49.892;38.398
390.355;71.699;49.891;38.398
391.346;71.686;49.892;38.398
392.356;71.672;49.892;38.398
393.369;71.695;49.893;38.399
394.351;71.69;49.89;38.396
395.338;71.686;49.893;38.399
396.328;71.646;49.893;38.399
397.32;71.684;49.893;38.4
398.318;71.677;49.894;38.399
399.333;71.683;49.893;38.4
400.327;71.661;49.894;38.4
401.322;71.67;49.894;38.4
402.328;71.706;49.894;38.402
403.329;71.661;49.894;38.399
404.346;71.685;49.894;38.4
405.342;71.683;49.892;38.398
406.327;71.688;49.893;38.399
407.317;71.692;49.892;38.399
408.319;71.638;49.893;38.399
409.31;71.71;49.892;38.399
410.311;71.685;49.897;38.402
411.299;71.682;49.894;38.4
412.322;71.682;49.894;38.401
413.327;71.678;49.894;38.399
414.311;71.671;49.894;38.4
415.31;71.689;49.893;38.399
416.31;71.677;49.894;38.4
417.305;71.689;49.893;38.399
418.3;71.676;49.894;38.401
419.3;71.679;49.895;38.401
420.305;71.688;49.897;38.403
421.33;71.702;49.892;38.399
422.33;71.676;49.895;38.401
423.337;71.678;49.894;38.4
424.346;71.735;49.892;38.4
425.334;71.684;49.894;38.4
426.324;71.674;49.897;38.403
427.318;71.663;49.896;38.402
428.32;71.699;49.893;38.4
429.325;71.712;49.893;38.399
430.319;71.679;49.896;38.402
431.31;71.692;49.896;38.403
432.311;71.66;49.896;38.401
433.31;71.686;49.896;38.403
434.305;71.694;49.897;38.403
435.301;71.684;49.894;38.4
436.292;71.691;49.896;38.403
437.281;71.696;49.899;38.406
438.283;71.666;49.896;38.402
439.27;71.692;49.896;38.402
440.273;71.68;49.9;38.406
441.282;71.696;49.895;38.402
442.279;71.686;49.897;38.404
443.279;71.692;49.897;38.403
444.289;71.701;49.898;38.404
445.273;71.703;49.898;38.405
446.249;71.672;49.899;38.405
447.24;71.703;49.897;38.403
448.24;71.682;49.897;38.403
449.228;71.692;49.897;38.403
450.222;71.677;49.898;38.403
451.224;71.67;49.899;38.404
452.205;71.665;49.903;38.408
453.219;71.678;49.897;38.402
454.229;71.663;49.897;38.403
455.211;71.688;49.898;38.404
456.2;71.707;49.899;38.406
457.177;71.677;49.899;38.405
458.184;71.649;49.896;38.402
459.193;71.706;49.895;38.401
460.177;71.691;49.894;38.401
461.165;71.697;49.895;38.402
462.157;71.668;49.897;38.403
463.153;71.708;49.896;38.403
464.16;71.644;49.899;38.404
465.169;71.683;49.896;38.402
466.153;71.667;49.899;38.404
467.14;71.696;49.897;38.403
468.134;71.647;49.897;38.404
469.136;71.66;49.898;38.404
470.136;71.677;49.899;38.405
471.135;71.673;49.899;38.405
472.132;71.692;49.896;38.403
473.139;71.646;49.898;38.404
474.138;71.692;49.898;38.404
475.118;71.692;49.896;38.402
476.112;71.678;49.9;38.406
477.1;71.681;49.898;38.405
478.097;71.686;49.896;38.402
479.093;71.672;49.898;38.404
480.081;71.694;49.899;38.405
481.07;71.677;49.901;38.407
482.072;71.645;49.898;38.404
483.077;71.684;49.899;38.405
484.096;71.674;49.899;38.405
485.093;71.69;49.9;38.406
486.089;71.658;49.902;38.407
487.088;71.694;49.897;38.403
488.092;71.711;49.899;38.406
489.076;71.697;49.899;38.405
490.064;71.688;49.897;38.403
491.056;71.697;49.899;38.405
492.053;71.681;49.902;38.408
493.054;71.681;49.9;38.405
494.061;71.695;49.902;38.408
495.04;71.698;49.899;38.406
496.022;71.663;49.9;38.405
497.04;71.699;49.9;38.407
498.032;71.7;49.899;38.406
499.026;71.675;49.9;38.406
500.024;71.703;49.901;38.407
501.019;71.673;49.903;38.408
502.017;71.676;49.897;38.403
503.017;71.677;49.901;38.407
504.025;71.712;49.897;38.404
505.01;71.667;49.899;38.404
506.002;71.683;49.902;38.408
506.997;71.694;49.901;38.407
507.974;71.709;49.9;38.406
508.963;71.701;49.899;38.406
509.964;71.679;49.901;38.406
510.959;71.703;49.9;38.406
511.968;71.688;49.902;38.408
512.959;71.664;49.901;38.407
513.962;71.637;49.903;38.408
514.941;71.644;49.904;38.408
515.928;71.673;49.9;38.406
516.938;71.679;49.904;38.409
517.948;71.71;49.901;38.408
518.934;71.664;49.903;38.409
519.926;71.686;49.903;38.409
520.926;71.69;49.902;38.408
521.929;71.699;49.902;38.408
522.941;71.651;49.902;38.407
523.959;71.678;49.904;38.41
524.956;71.684;49.902;38.407
525.959;71.678;49.905;38.411
526.939;71.683;49.903;38.409
527.954;71.693;49.903;38.409
528.942;71.686;49.904;38.41
529.938;71.679;49.904;38.41
530.938;71.684;49.903;38.408
531.944;71.686;49.904;38.41
532.935;71.693;49.902;38.408
533.922;71.665;49.904;38.408
534.913;71.699;49.903;38.41
535.907;71.708;49.903;38.41
536.902;71.684;49.904;38.409
537.903;71.702;49.902;38.409
538.879;71.668;49.906;38.411
539.873;71.664;49.906;38.411
540.846;71.686;49.906;38.412
541.853;71.69;49.905;38.411
542.848;71.666;49.908;38.414
543.851;71.682;49.906;38.411
544.837;71.651;49.904;38.41
545.837;71.67;49.909;38.414
546.825;71.702;49.904;38.411
547.813;71.678;49.903;38.409
548.816;71.67;49.906;38.411
549.818;71.681;49.907;38.413
550.818;71.658;49.905;38.411
551.831;71.665;49.902;38.408
552.823;71.642;49.903;38.409
553.819;71.693;49.906;38.412
554.82;71.689;49.905;38.411
555.801;71.654;49.902;38.407
556.819;71.71;49.902;38.409
557.812;71.68;49.907;38.412
558.812;71.701;49.904;38.411
559.821;71.674;49.907;38.412
560.811;71.693;49.903;38.409
561.806;71.683;49.903;38.409
562.798;71.677;49.906;38.411
563.785;71.703;49.904;38.41
564.775;71.676;49.904;38.409
565.772;71.663;49.907;38.412
566.789;71.675;49.906;38.411
567.803;71.703;49.905;38.411
568.789;71.64;49.904;38.409
569.778;71.703;49.903;38.409
570.772;71.673;49.908;38.413
571.772;71.677;49.907;38.413
572.775;71.678;49.905;38.41
573.764;71.668;49.909;38.415
574.76;71.67;49.906;38.412
575.744;71.684;49.906;38.412
576.73;71.685;49.905;38.411
577.723;71.675;49.908;38.414
578.729;71.678;49.907;38.413
579.714;71.697;49.905;38.411
580.716;71.671;49.908;38.413
581.704;71.698;49.904;38.411
582.71;71.697;49.906;38.412
583.717;71.667;49.907;38.413
584.699;71.681;49.906;38.412
585.683;71.689;49.906;38.412
586.675;71.689;49.905;38.411
587.678;71.689;49.904;38.41
588.682;71.668;49.906;38.411
589.698;71.663;49.907;38.413
590.698;71.689;49.905;38.411
591.682;71.693;49.904;38.41
592.669;71.663;49.908;38.413
593.667;71.698;49.906;38.412
594.647;71.712;49.905;38.411
595.659;71.684;49.908;38.414
596.645;71.681;49.908;38.413
597.64;71.683;49.908;38.414
598.635;71.664;49.909;38.414
599.636;71.701;49.907;38.413
600.642;71.678;49.906;38.412
601.652;71.679;49.907;38.413
602.651;71.684;49.906;38.412
603.646;71.694;49.905;38.411
604.645;71.687;49.906;38.412
605.645;71.671;49.908;38.414
606.65;71.663;49.908;38.413
607.643;71.679;49.907;38.413
608.662;71.679;49.91;38.415
609.669;71.685;49.905;38.411
