IDs:;240911_02_240906B_drop;13_b02_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
658.058;71.876;49.908;38.437
659.073;71.92;49.904;38.435
660.065;71.863;49.912;38.441
661.07;71.904;49.904;38.434
662.078;71.9;49.907;38.437
663.06;71.852;49.91;38.439
664.046;71.861;49.908;38.437
665.037;71.881;49.905;38.435
666.033;71.898;49.905;38.436
667.036;71.888;49.907;38.437
668.019;71.902;49.906;38.436
669.009;71.909;49.905;38.435
670.021;71.873;49.908;38.437
671.029;71.912;49.904;38.434
672.041;71.88;49.907;38.436
673.054;71.897;49.911;38.441
674.041;71.863;49.908;38.436
675.061;71.902;49.907;38.437
676.054;71.882;49.908;38.438
677.05;71.901;49.911;38.441
678.047;71.933;49.911;38.442
679.057;71.883;49.906;38.436
680.046;71.876;49.906;38.436
681.039;71.901;49.911;38.441
682.057;71.897;49.908;38.438
683.044;71.921;49.909;38.439
684.026;71.882;49.907;38.437
685.02;71.859;49.912;38.44
686.027;71.895;49.911;38.44
687.022;71.903;49.908;38.438
688.036;71.909;49.908;38.438
689.008;71.9;49.912;38.441
690;71.898;49.909;38.438
690.988;71.91;49.907;38.437
691.976;71.887;49.911;38.44
692.977;71.853;49.913;38.442
693.984;71.887;49.907;38.436
694.977;71.884;49.909;38.439
695.972;71.905;49.911;38.441
696.975;71.88;49.913;38.442
697.997;71.917;49.909;38.438
698.991;71.889;49.907;38.437
699.991;71.889;49.913;38.443
700.996;71.881;49.909;38.439
702.02;71.885;49.914;38.444
703.019;71.895;49.911;38.441
703.991;71.894;49.909;38.439
705;71.873;49.912;38.441
705.982;71.873;49.909;38.438
707.001;71.899;49.913;38.442
707.994;71.881;49.912;38.441
708.999;71.878;49.912;38.441
709.988;71.898;49.911;38.441
710.976;71.894;49.91;38.44
711.99;71.87;49.913;38.443
712.997;71.848;49.914;38.442
713.989;71.905;49.91;38.44
714.977;71.895;49.911;38.441
715.972;71.896;49.911;38.44
716.952;71.887;49.91;38.44
717.951;71.894;49.913;38.443
718.939;71.878;49.913;38.442
719.923;71.853;49.915;38.443
720.923;71.889;49.917;38.446
721.935;71.892;49.91;38.44
722.929;71.913;49.908;38.438
723.922;71.876;49.914;38.442
724.926;71.887;49.912;38.442
725.904;71.885;49.916;38.444
726.894;71.875;49.912;38.44
727.878;71.869;49.914;38.443
728.889;71.872;49.911;38.439
729.88;71.877;49.913;38.442
730.863;71.859;49.915;38.444
731.855;71.902;49.912;38.441
732.868;71.874;49.912;38.441
733.87;71.882;49.911;38.44
734.868;71.889;49.91;38.439
735.877;71.908;49.91;38.44
736.894;71.893;49.91;38.439
737.882;71.911;49.915;38.445
738.882;71.901;49.911;38.441
739.884;71.905;49.912;38.441
740.893;71.842;49.914;38.441
741.877;71.882;49.908;38.437
742.863;71.857;49.909;38.438
743.855;71.875;49.914;38.443
744.849;71.883;49.91;38.439
745.846;71.876;49.914;38.443
746.85;71.901;49.909;38.439
747.856;71.867;49.911;38.44
748.862;71.871;49.914;38.443
749.861;71.884;49.91;38.439
750.863;71.886;49.909;38.438
751.85;71.899;49.91;38.44
752.857;71.857;49.908;38.436
753.858;71.873;49.912;38.441
754.851;71.888;49.912;38.441
755.855;71.901;49.91;38.44
756.862;71.913;49.91;38.439
757.841;71.874;49.907;38.436
758.84;71.86;49.909;38.437
759.853;71.891;49.904;38.434
760.858;71.88;49.91;38.439
761.869;71.892;49.906;38.436
762.87;71.9;49.907;38.437
763.876;71.853;49.911;38.439
764.858;71.9;49.908;38.438
765.858;71.851;49.913;38.442
766.862;71.877;49.906;38.435
767.872;71.894;49.909;38.438
768.869;71.896;49.906;38.436
769.871;71.842;49.91;38.438
770.881;71.858;49.911;38.439
771.865;71.907;49.912;38.441
772.852;71.88;49.91;38.439
773.847;71.885;49.913;38.442
774.846;71.855;49.908;38.436
775.854;71.864;49.911;38.44
776.834;71.897;49.909;38.439
777.85;71.879;49.911;38.44
778.834;71.879;49.913;38.442
779.848;71.876;49.915;38.443
780.851;71.858;49.916;38.445
781.862;71.891;49.908;38.437
782.839;71.883;49.91;38.438
783.839;71.897;49.918;38.447
784.854;71.902;49.915;38.444
785.859;71.847;49.914;38.442
786.86;71.878;49.913;38.441
787.856;71.885;49.914;38.443
788.864;71.861;49.91;38.439
789.86;71.879;49.91;38.44
790.867;71.879;49.917;38.445
791.859;71.894;49.91;38.44
792.861;71.874;49.915;38.444
793.854;71.885;49.912;38.441
794.851;71.87;49.917;38.445
795.876;71.882;49.914;38.443
796.874;71.873;49.913;38.441
797.87;71.864;49.916;38.445
798.867;71.872;49.914;38.443
799.868;71.87;49.913;38.442
800.88;71.869;49.917;38.445
801.879;71.856;49.917;38.445
802.875;71.874;49.914;38.443
803.873;71.894;49.912;38.441
804.86;71.872;49.912;38.441
805.854;71.853;49.918;38.446
806.853;71.906;49.908;38.438
807.859;71.893;49.92;38.448
808.869;71.863;49.913;38.442
809.884;71.909;49.912;38.442
810.905;71.895;49.916;38.444
811.897;71.895;49.914;38.443
812.887;71.883;49.915;38.443
813.883;71.866;49.921;38.448
814.883;71.888;49.917;38.447
815.885;71.858;49.918;38.447
816.875;71.876;49.915;38.444
817.876;71.889;49.914;38.443
818.853;71.893;49.919;38.448
819.868;71.849;49.921;38.449
820.86;71.886;49.917;38.446
821.839;71.873;49.917;38.447
822.841;71.867;49.914;38.443
823.852;71.875;49.916;38.444
824.853;71.883;49.917;38.446
825.86;71.847;49.919;38.447
826.857;71.845;49.92;38.448
827.869;71.88;49.917;38.446
828.853;71.884;49.917;38.445
829.864;71.855;49.918;38.447
830.841;71.84;49.924;38.452
831.847;71.904;49.912;38.441
832.86;71.866;49.92;38.448
833.858;71.878;49.921;38.449
834.867;71.89;49.917;38.446
835.853;71.885;49.916;38.445
836.843;71.883;49.916;38.444
837.837;71.867;49.919;38.447
838.84;71.885;49.919;38.448
839.846;71.888;49.917;38.445
840.825;71.901;49.917;38.445
841.808;71.865;49.919;38.447
842.81;71.868;49.916;38.445
843.814;71.883;49.92;38.447
844.82;71.872;49.92;38.448
845.831;71.866;49.923;38.451
846.815;71.902;49.918;38.448
847.806;71.875;49.916;38.444
848.798;71.868;49.915;38.444
849.79;71.891;49.925;38.453
850.789;71.893;49.915;38.445
851.788;71.878;49.923;38.451
852.801;71.891;49.916;38.446
853.79;71.886;49.917;38.446
854.784;71.868;49.926;38.453
855.764;71.869;49.92;38.448
856.763;71.882;49.919;38.447
857.76;71.89;49.914;38.443
858.771;71.86;49.919;38.447
859.786;71.848;49.92;38.448
860.775;71.898;49.925;38.454
861.774;71.888;49.918;38.447
