IDs:;240718_15_240712K;15_DNAJB6_00_087_uM;
156.699;71.664;50.352;38.892
157.699;71.681;50.354;38.894
158.694;71.654;50.352;38.892
159.682;71.664;50.353;38.893
160.677;71.64;50.354;38.893
161.672;71.666;50.353;38.893
162.686;71.666;50.353;38.893
163.704;71.663;50.349;38.89
164.696;71.65;50.351;38.892
165.694;71.677;50.352;38.893
166.666;71.676;50.355;38.895
167.665;71.652;50.352;38.892
168.659;71.642;50.351;38.892
169.665;71.665;50.35;38.89
170.667;71.702;50.355;38.895
171.668;71.642;50.35;38.89
172.661;71.636;50.351;38.891
173.652;71.685;50.354;38.894
174.656;71.665;50.351;38.892
175.658;71.649;50.351;38.892
176.639;71.633;50.351;38.891
177.649;71.674;50.35;38.89
178.647;71.712;50.356;38.896
179.64;71.641;50.349;38.89
180.635;71.64;50.353;38.892
181.638;71.635;50.352;38.892
182.652;71.653;50.352;38.892
183.645;71.68;50.353;38.893
184.642;71.646;50.35;38.89
185.636;71.638;50.355;38.895
186.639;71.679;50.354;38.893
187.651;71.646;50.351;38.891
188.638;71.691;50.354;38.894
189.627;71.707;50.354;38.894
190.634;71.721;50.355;38.895
191.641;71.692;50.352;38.892
192.651;71.634;50.354;38.894
193.634;71.646;50.351;38.891
194.622;71.664;50.352;38.892
195.621;71.669;50.355;38.895
196.633;71.641;50.352;38.892
197.635;71.642;50.355;38.895
198.627;71.651;50.352;38.892
199.603;71.679;50.35;38.891
200.621;71.661;50.353;38.893
201.625;71.708;50.354;38.894
202.623;71.645;50.353;38.893
203.627;71.683;50.352;38.891
204.615;71.685;50.356;38.896
205.6;71.654;50.355;38.894
206.579;71.688;50.357;38.897
207.587;71.648;50.355;38.894
208.599;71.692;50.355;38.895
209.577;71.638;50.351;38.891
210.56;71.683;50.355;38.893
211.556;71.654;50.352;38.892
212.573;71.663;50.354;38.891
213.559;71.66;50.355;38.895
214.552;71.615;50.352;38.891
215.553;71.64;50.351;38.892
216.542;71.657;50.354;38.893
217.529;71.701;50.354;38.894
218.522;71.61;50.35;38.89
219.498;71.667;50.351;38.892
220.508;71.673;50.352;38.892
221.505;71.672;50.353;38.892
222.503;71.656;50.354;38.894
223.506;71.65;50.35;38.89
224.503;71.644;50.352;38.892
225.485;71.62;50.352;38.892
226.474;71.64;50.349;38.89
227.46;71.674;50.351;38.89
228.464;71.664;50.353;38.894
229.478;71.657;50.352;38.892
230.488;71.671;50.355;38.894
231.48;71.622;50.349;38.889
232.48;71.638;50.349;38.89
233.487;71.671;50.351;38.891
234.483;71.643;50.349;38.89
235.486;71.66;50.352;38.891
236.469;71.657;50.35;38.89
237.474;71.697;50.354;38.894
238.467;71.679;50.351;38.89
239.46;71.669;50.353;38.893
240.459;71.652;50.351;38.891
241.432;71.634;50.349;38.889
242.417;71.663;50.347;38.887
243.435;71.659;50.348;38.889
244.43;71.608;50.348;38.887
245.416;71.646;50.348;38.889
246.4;71.613;50.347;38.888
247.4;71.621;50.346;38.886
248.407;71.63;50.348;38.887
249.417;71.655;50.35;38.889
250.428;71.657;50.349;38.889
251.413;71.697;50.352;38.891
252.435;71.679;50.35;38.89
253.443;71.672;50.353;38.891
254.417;71.623;50.347;38.887
255.399;71.63;50.347;38.887
256.395;71.641;50.347;38.887
257.389;71.638;50.345;38.885
258.4;71.685;50.352;38.891
259.422;71.706;50.352;38.892
260.424;71.62;50.348;38.887
261.423;71.653;50.348;38.887
262.419;71.624;50.349;38.889
263.419;71.632;50.351;38.89
264.429;71.678;50.351;38.89
265.412;71.662;50.35;38.89
266.409;71.627;50.346;38.885
267.409;71.634;50.35;38.889
268.416;71.655;50.347;38.887
269.416;71.616;50.349;38.889
270.414;71.635;50.345;38.885
271.42;71.642;50.347;38.887
272.414;71.651;50.345;38.886
273.413;71.63;50.348;38.887
274.417;71.629;50.347;38.887
275.42;71.688;50.349;38.888
276.405;71.632;50.348;38.887
277.395;71.655;50.347;38.887
278.383;71.644;50.345;38.884
279.384;71.65;50.346;38.885
280.394;71.626;50.345;38.884
281.401;71.692;50.348;38.887
282.41;71.649;50.346;38.886
283.412;71.626;50.346;38.885
284.415;71.645;50.346;38.885
285.427;71.623;50.347;38.887
286.414;71.633;50.347;38.886
287.411;71.65;50.345;38.885
288.411;71.678;50.349;38.889
289.413;71.652;50.345;38.884
290.401;71.652;50.346;38.886
291.4;71.676;50.348;38.887
292.401;71.62;50.343;38.883
293.407;71.635;50.344;38.884
294.387;71.649;50.346;38.885
295.404;71.631;50.344;38.884
296.41;71.625;50.345;38.884
297.411;71.649;50.344;38.884
298.416;71.642;50.345;38.884
299.426;71.628;50.347;38.886
300.435;71.609;50.344;38.883
301.433;71.632;50.346;38.885
302.435;71.636;50.342;38.882
303.439;71.639;50.346;38.886
304.428;71.668;50.346;38.885
305.414;71.594;50.343;38.881
306.416;71.638;50.347;38.886
307.409;71.613;50.346;38.885
308.404;71.637;50.343;38.882
309.416;71.694;50.347;38.885
310.434;71.689;50.349;38.887
311.439;71.642;50.347;38.886
312.426;71.644;50.346;38.885
313.403;71.628;50.345;38.884
314.398;71.663;50.345;38.886
315.382;71.616;50.346;38.885
316.398;71.639;50.346;38.886
317.397;71.616;50.345;38.883
318.403;71.648;50.345;38.885
319.415;71.626;50.344;38.884
320.428;71.677;50.349;38.887
321.417;71.673;50.347;38.886
322.409;71.63;50.342;38.882
323.411;71.638;50.342;38.882
324.385;71.609;50.344;38.883
325.407;71.617;50.344;38.883
326.393;71.626;50.343;38.883
327.387;71.629;50.343;38.882
328.382;71.618;50.343;38.883
329.382;71.622;50.339;38.879
330.386;71.638;50.345;38.884
331.388;71.642;50.342;38.881
332.387;71.623;50.344;38.883
333.385;71.627;50.342;38.882
334.402;71.633;50.339;38.879
335.392;71.665;50.344;38.884
336.392;71.601;50.34;38.878
337.389;71.635;50.343;38.882
338.393;71.641;50.339;38.879
339.377;71.628;50.34;38.879
340.37;71.599;50.342;38.881
341.387;71.663;50.344;38.882
342.398;71.622;50.341;38.881
343.403;71.615;50.341;38.879
344.412;71.684;50.342;38.882
345.399;71.592;50.339;38.878
346.415;71.616;50.339;38.878
347.436;71.656;50.343;38.882
348.429;71.634;50.339;38.878
349.418;71.614;50.338;38.877
350.413;71.646;50.337;38.876
351.397;71.596;50.338;38.876
352.384;71.625;50.338;38.877
353.408;71.619;50.339;38.878
354.403;71.632;50.338;38.878
355.403;71.622;50.34;38.879
356.409;71.602;50.337;38.876
357.399;71.636;50.34;38.879
358.418;71.623;50.338;38.878
359.411;71.657;50.337;38.877
360.398;71.644;50.339;38.879
361.397;71.633;50.341;38.88
362.396;71.656;50.342;38.879
363.383;71.634;50.337;38.877
364.367;71.616;50.337;38.876
365.351;71.64;50.343;38.882
366.354;71.595;50.34;38.879
367.341;71.643;50.337;38.877
368.349;71.615;50.339;38.878
369.338;71.631;50.336;38.875
370.351;71.634;50.337;38.876
371.355;71.633;50.337;38.877
372.361;71.672;50.338;38.877
373.356;71.618;50.338;38.877
374.351;71.615;50.339;38.879
375.35;71.584;50.338;38.877
376.355;71.622;50.337;38.877
377.362;71.635;50.337;38.876
378.34;71.6;50.337;38.877
379.357;71.602;50.338;38.876
380.362;71.654;50.342;38.881
381.343;71.586;50.338;38.877
382.354;71.622;50.336;38.874
383.349;71.626;50.337;38.877
384.346;71.606;50.337;38.876
385.346;71.629;50.336;38.876
386.331;71.62;50.336;38.876
387.329;71.604;50.334;38.873
388.337;71.627;50.335;38.875
389.331;71.64;50.336;38.875
390.339;71.65;50.334;38.874
391.331;71.616;50.337;38.876
392.335;71.666;50.338;38.877
393.346;71.618;50.334;38.874
394.362;71.616;50.335;38.874
395.364;71.624;50.334;38.874
396.343;71.639;50.334;38.873
397.332;71.602;50.336;38.876
398.32;71.658;50.337;38.877
399.306;71.658;50.337;38.875
400.306;71.611;50.335;38.875
401.31;71.644;50.339;38.878
402.341;71.605;50.335;38.875
403.345;71.617;50.335;38.874
404.337;71.605;50.335;38.874
405.357;71.609;50.332;38.871
406.349;71.607;50.333;38.873
407.346;71.602;50.333;38.873
408.354;71.605;50.335;38.875
409.361;71.659;50.335;38.873
410.341;71.628;50.336;38.875
411.341;71.605;50.336;38.875
412.338;71.627;50.337;38.876
413.337;71.611;50.336;38.875
414.339;71.608;50.337;38.876
415.345;71.614;50.336;38.875
416.329;71.62;50.337;38.876
417.331;71.627;50.336;38.875
418.332;71.636;50.336;38.875
419.333;71.629;50.341;38.878
420.33;71.632;50.334;38.874
421.318;71.594;50.334;38.873
422.295;71.62;50.335;38.876
423.281;71.633;50.341;38.879
424.29;71.629;50.336;38.876
425.282;71.623;50.336;38.875
426.281;71.596;50.335;38.874
427.297;71.618;50.336;38.876
428.308;71.605;50.336;38.874
429.302;71.621;50.336;38.874
430.29;71.594;50.334;38.873
431.283;71.661;50.338;38.877
432.278;71.622;50.335;38.874
433.277;71.629;50.334;38.873
434.276;71.624;50.335;38.873
435.26;71.623;50.336;38.875
436.275;71.59;50.335;38.875
437.277;71.604;50.334;38.873
438.282;71.611;50.333;38.873
439.295;71.611;50.336;38.875
440.308;71.662;50.339;38.877
441.325;71.624;50.334;38.873
442.312;71.629;50.335;38.874
443.32;71.585;50.336;38.873
444.323;71.619;50.334;38.873
445.33;71.655;50.337;38.875
446.324;71.649;50.339;38.877
447.326;71.605;50.336;38.875
448.333;71.593;50.334;38.874
449.33;71.613;50.335;38.874
450.319;71.645;50.337;38.875
451.302;71.604;50.335;38.874
452.296;71.612;50.335;38.873
453.276;71.604;50.334;38.873
454.279;71.622;50.333;38.873
455.273;71.604;50.336;38.875
456.263;71.608;50.337;38.875
457.25;71.603;50.333;38.871
458.247;71.642;50.336;38.875
459.25;71.593;50.334;38.872
460.255;71.619;50.336;38.874
461.239;71.597;50.338;38.877
462.23;71.634;50.336;38.874
463.232;71.633;50.335;38.874
464.247;71.627;50.332;38.871
465.234;71.656;50.337;38.875
466.227;71.627;50.334;38.874
467.222;71.586;50.333;38.871
468.227;71.653;50.339;38.878
469.242;71.584;50.334;38.873
470.23;71.639;50.336;38.875
471.238;71.604;50.336;38.874
472.243;71.611;50.337;38.875
473.252;71.606;50.334;38.873
474.254;71.65;50.334;38.874
475.252;71.626;50.34;38.877
476.25;71.618;50.334;38.873
477.254;71.602;50.335;38.873
478.249;71.614;50.333;38.872
479.248;71.61;50.333;38.872
480.249;71.596;50.335;38.873
481.232;71.596;50.335;38.873
482.218;71.606;50.334;38.873
483.218;71.592;50.333;38.872
484.204;71.656;50.337;38.874
485.204;71.603;50.333;38.872
486.183;71.656;50.338;38.877
487.188;71.634;50.332;38.87
488.197;71.613;50.334;38.872
489.21;71.619;50.335;38.873
490.213;71.619;50.336;38.875
491.223;71.597;50.333;38.872
492.229;71.596;50.333;38.872
493.238;71.615;50.334;38.873
494.228;71.619;50.334;38.873
495.233;71.616;50.335;38.873
496.225;71.614;50.334;38.873
497.223;71.596;50.333;38.871
498.228;71.612;50.336;38.874
499.222;71.626;50.332;38.871
500.213;71.613;50.333;38.871
501.232;71.575;50.337;38.874
502.225;71.605;50.335;38.873
503.205;71.583;50.333;38.871
504.21;71.61;50.336;38.874
505.211;71.593;50.331;38.868
506.217;71.598;50.332;38.871
507.215;71.593;50.332;38.871
508.202;71.615;50.332;38.87
509.209;71.609;50.333;38.871
510.202;71.6;50.329;38.868
511.202;71.627;50.33;38.869
512.211;71.596;50.328;38.866
513.208;71.593;50.332;38.87
514.195;71.623;50.332;38.87
515.191;71.594;50.329;38.866
516.17;71.635;50.329;38.868
517.175;71.612;50.329;38.868
518.177;71.592;50.329;38.868
519.157;71.591;50.33;38.868
520.148;71.612;50.329;38.868
521.152;71.595;50.329;38.867
522.155;71.639;50.333;38.871
523.137;71.629;50.331;38.869
524.113;71.604;50.33;38.869
525.115;71.579;50.328;38.866
526.122;71.587;50.329;38.867
527.136;71.601;50.329;38.868
528.128;71.625;50.334;38.871
529.127;71.598;50.327;38.865
530.131;71.588;50.329;38.866
531.114;71.621;50.328;38.866
532.095;71.557;50.328;38.865
533.1;71.578;50.331;38.87
534.1;71.582;50.327;38.865
535.102;71.602;50.33;38.868
536.107;71.637;50.332;38.869
537.097;71.6;50.327;38.865
538.099;71.593;50.327;38.866
539.073;71.603;50.329;38.868
540.086;71.588;50.327;38.865
541.082;71.603;50.327;38.865
542.074;71.597;50.327;38.865
543.061;71.64;50.33;38.868
544.064;71.616;50.328;38.867
545.046;71.584;50.327;38.865
546.032;71.586;50.329;38.867
547.029;71.59;50.329;38.867
548.036;71.605;50.326;38.864
549.022;71.61;50.326;38.865
550.013;71.638;50.33;38.869
551.013;71.622;50.326;38.864
552.018;71.596;50.327;38.866
553.011;71.568;50.329;38.866
554.007;71.605;50.324;38.862
555.011;71.573;50.327;38.866
556.02;71.595;50.326;38.864
557.005;71.652;50.332;38.87
558.013;71.58;50.327;38.865
559.018;71.59;50.327;38.865
560.021;71.578;50.326;38.863
561.004;71.577;50.323;38.86
562.012;71.595;50.325;38.863
563.01;71.596;50.324;38.863
564.008;71.611;50.325;38.864
565;71.6;50.324;38.863
565.985;71.592;50.323;38.861
566.998;71.603;50.324;38.862
568.016;71.636;50.324;38.862
569.026;71.564;50.321;38.859
570.03;71.586;50.322;38.861
571.023;71.609;50.327;38.864
572.028;71.604;50.321;38.859
573.014;71.633;50.325;38.863
574.017;71.6;50.32;38.859
575.032;71.606;50.321;38.86
576.043;71.596;50.319;38.857
577.048;71.588;50.319;38.858
578.038;71.595;50.318;38.857
579.035;71.584;50.323;38.861
580.044;71.593;50.32;38.859
581.035;71.594;50.317;38.855
582.045;71.587;50.321;38.859
583.06;71.622;50.321;38.86
584.043;71.624;50.321;38.86
585.029;71.578;50.317;38.855
586.024;71.59;50.317;38.856
587.023;71.6;50.319;38.858
588.036;71.617;50.316;38.855
589.037;71.593;50.32;38.858
590.033;71.586;50.318;38.856
591.024;71.592;50.319;38.857
592.029;71.587;50.316;38.855
593.037;71.584;50.318;38.856
594.036;71.648;50.319;38.856
595.035;71.644;50.319;38.858
596.018;71.628;50.32;38.858
597.014;71.6;50.315;38.854
598.018;71.592;50.316;38.855
599.006;71.594;50.317;38.857
600.003;71.584;50.313;38.852
600.982;71.574;50.318;38.856
602.001;71.577;50.317;38.856
602.991;71.613;50.313;38.852
603.982;71.581;50.317;38.856
604.985;71.583;50.317;38.856
605.997;71.572;50.313;38.852
607.015;71.581;50.313;38.852
608.022;71.619;50.315;38.854
609.037;71.589;50.315;38.853
610.02;71.653;50.319;38.857
611.011;71.574;50.313;38.851
612.019;71.561;50.315;38.852
613.023;71.573;50.315;38.853
614.032;71.576;50.317;38.855
615.028;71.568;50.315;38.853
616.028;71.567;50.313;38.85
617.035;71.586;50.313;38.852
618.041;71.6;50.313;38.851
619.037;71.585;50.313;38.851
620.009;71.614;50.319;38.856
621.024;71.58;50.315;38.853
622.022;71.614;50.318;38.855
623.01;71.583;50.312;38.851
624.015;71.596;50.314;38.852
625.026;71.56;50.309;38.847
626.026;71.571;50.315;38.853
627.038;71.568;50.314;38.852
628.026;71.551;50.313;38.85
629.036;71.572;50.312;38.85
630.015;71.582;50.311;38.85
631.029;71.602;50.314;38.852
632.019;71.577;50.31;38.849
633.024;71.626;50.316;38.854
634.038;71.565;50.312;38.849
635.008;71.579;50.311;38.849
636.019;71.589;50.314;38.853
637.032;71.609;50.313;38.852
638.019;71.642;50.316;38.854
639.03;71.591;50.312;38.851
640.044;71.588;50.316;38.854
641.056;71.589;50.313;38.852
642.042;71.614;50.313;38.852
643.035;71.627;50.316;38.854
644.031;71.564;50.312;38.85
645.039;71.588;50.313;38.853
646.047;71.609;50.31;38.849
647.043;71.582;50.311;38.85
648.041;71.575;50.311;38.849
649.033;71.57;50.312;38.85
650.031;71.58;50.308;38.847
651.031;71.578;50.308;38.846
652.02;71.575;50.312;38.851
653;71.564;50.308;38.847
653.988;71.579;50.308;38.846
654.968;71.564;50.308;38.846
655.964;71.572;50.31;38.848
656.976;71.57;50.309;38.847
657.956;71.579;50.308;38.847
658.961;71.561;50.309;38.847
659.967;71.561;50.308;38.846
660.966;71.594;50.308;38.847
661.967;71.554;50.308;38.845
662.976;71.58;50.308;38.846
663.96;71.544;50.309;38.847
664.948;71.601;50.306;38.845
665.947;71.565;50.307;38.845
666.957;71.61;50.307;38.845
667.962;71.571;50.309;38.848
668.972;71.573;50.305;38.843
669.96;71.57;50.308;38.846
670.946;71.573;50.308;38.847
671.969;71.579;50.307;38.845
672.965;71.559;50.307;38.845
673.972;71.573;50.304;38.843
674.957;71.57;50.307;38.845
675.936;71.585;50.304;38.842
676.94;71.581;50.303;38.841
677.925;71.568;50.305;38.844
678.913;71.586;50.304;38.843
679.918;71.583;50.306;38.844
680.907;71.586;50.305;38.844
681.909;71.593;50.302;38.841
682.9;71.552;50.304;38.841
683.9;71.582;50.303;38.842
684.884;71.564;50.303;38.842
685.883;71.546;50.303;38.841
686.887;71.557;50.302;38.842
687.889;71.558;50.303;38.841
688.876;71.561;50.302;38.84
689.87;71.553;50.304;38.842
690.888;71.562;50.301;38.839
691.88;71.561;50.304;38.842
692.876;71.572;50.299;38.837
693.877;71.555;50.303;38.842
694.859;71.583;50.301;38.84
695.851;71.573;50.299;38.838
696.845;71.58;50.299;38.838
697.822;71.555;50.302;38.84
698.832;71.57;50.298;38.836
699.816;71.592;50.3;38.838
700.822;71.591;50.299;38.838
701.835;71.635;50.301;38.84
702.816;71.562;50.3;38.838
703.802;71.561;50.298;38.836
704.792;71.579;50.3;38.838
705.789;71.561;50.299;38.837
706.792;71.557;50.3;38.838
707.795;71.559;50.296;38.835
708.784;71.562;50.299;38.837
709.781;71.553;50.296;38.834
710.776;71.565;50.299;38.837
711.77;71.612;50.301;38.838
712.757;71.583;50.295;38.833
713.761;71.582;50.297;38.836
714.774;71.579;50.294;38.833
715.785;71.582;50.296;38.835
716.783;71.589;50.296;38.834
717.764;71.561;50.296;38.834
718.754;71.58;50.295;38.834
719.75;71.581;50.295;38.834
720.763;71.563;50.296;38.834
721.745;71.575;50.294;38.833
722.743;71.569;50.294;38.832
723.74;71.607;50.297;38.836
724.729;71.573;50.298;38.836
725.729;71.551;50.292;38.83
726.731;71.569;50.294;38.833
727.71;71.569;50.294;38.832
728.703;71.566;50.291;38.829
729.7;71.562;50.291;38.83
730.702;71.556;50.293;38.831
731.71;71.568;50.293;38.832
732.697;71.55;50.292;38.831
733.72;71.576;50.294;38.832
734.714;71.564;50.293;38.831
735.713;71.613;50.295;38.833
736.717;71.566;50.292;38.831
737.697;71.553;50.29;38.829
738.71;71.59;50.29;38.829
739.697;71.555;50.291;38.829
740.721;71.572;50.291;38.83
741.714;71.562;50.291;38.829
742.716;71.572;50.289;38.828
743.705;71.615;50.29;38.828
744.707;71.576;50.289;38.828
745.702;71.561;50.29;38.829
746.706;71.564;50.289;38.827
747.701;71.576;50.289;38.828
748.7;71.576;50.289;38.828
749.693;71.581;50.287;38.826
750.692;71.55;50.288;38.826
751.685;71.594;50.291;38.829
752.682;71.562;50.289;38.827
753.677;71.543;50.288;38.826
754.677;71.569;50.288;38.826
755.696;71.543;50.286;38.824
756.697;71.571;50.287;38.825
757.702;71.552;50.288;38.826
758.7;71.557;50.283;38.822
759.706;71.576;50.287;38.825
760.687;71.565;50.285;38.825
761.704;71.579;50.287;38.826
762.715;71.588;50.284;38.823
763.731;71.565;50.283;38.823
764.748;71.584;50.284;38.823
765.745;71.566;50.285;38.824
766.736;71.575;50.284;38.823
767.719;71.573;50.284;38.822
768.707;71.559;50.285;38.823
769.698;71.56;50.283;38.822
770.7;71.575;50.282;38.821
771.705;71.585;50.286;38.824
772.714;71.575;50.28;38.819
773.724;71.559;50.284;38.823
774.723;71.554;50.283;38.82
775.726;71.572;50.282;38.82
776.704;71.563;50.283;38.821
777.713;71.583;50.282;38.821
778.713;71.624;50.285;38.824
779.721;71.563;50.28;38.819
780.722;71.588;50.281;38.82
781.705;71.544;50.278;38.817
782.702;71.559;50.278;38.816
783.714;71.582;50.28;38.819
784.714;71.61;50.279;38.819
785.697;71.561;50.28;38.819
786.691;71.599;50.282;38.82
787.692;71.549;50.279;38.817
788.678;71.585;50.278;38.817
789.681;71.579;50.278;38.817
790.681;71.551;50.28;38.818
791.67;71.576;50.28;38.818
792.654;71.564;50.278;38.816
793.666;71.58;50.279;38.818
794.656;71.569;50.278;38.817
795.647;71.546;50.28;38.818
796.641;71.565;50.278;38.816
797.646;71.582;50.276;38.814
798.621;71.541;50.278;38.816
799.632;71.576;50.278;38.816
800.647;71.565;50.277;38.816
801.636;71.56;50.277;38.816
802.628;71.557;50.279;38.818
803.621;71.543;50.276;38.814
804.618;71.56;50.279;38.817
805.617;71.554;50.277;38.816
806.62;71.574;50.279;38.818
807.613;71.554;50.277;38.816
808.607;71.574;50.276;38.815
809.609;71.571;50.277;38.816
810.606;71.574;50.276;38.815
811.608;71.59;50.277;38.817
812.612;71.573;50.279;38.818
813.585;71.565;50.279;38.817
814.563;71.551;50.278;38.815
815.565;71.575;50.278;38.816
816.545;71.581;50.277;38.816
817.553;71.57;50.276;38.814
818.541;71.555;50.276;38.815
819.544;71.564;50.276;38.815
820.532;71.551;50.275;38.813
821.53;71.562;50.275;38.814
822.539;71.583;50.275;38.814
823.557;71.558;50.278;38.816
824.559;71.555;50.277;38.816
825.562;71.572;50.279;38.817
826.57;71.566;50.276;38.815
827.591;71.581;50.274;38.813
828.604;71.552;50.279;38.817
829.618;71.58;50.277;38.815
830.605;71.556;50.278;38.817
831.602;71.554;50.278;38.816
832.6;71.557;50.277;38.815
833.601;71.577;50.278;38.816
834.605;71.564;50.275;38.814
835.613;71.579;50.277;38.816
836.623;71.579;50.277;38.815
837.635;71.561;50.274;38.813
838.625;71.563;50.276;38.815
839.603;71.567;50.278;38.816
840.6;71.576;50.278;38.816
841.596;71.605;50.28;38.818
842.593;71.582;50.278;38.817
843.58;71.579;50.278;38.817
844.574;71.542;50.276;38.813
845.577;71.565;50.275;38.813
846.574;71.552;50.277;38.815
847.581;71.571;50.276;38.815
848.575;71.551;50.274;38.813
849.559;71.564;50.273;38.811
850.549;71.586;50.272;38.811
851.547;71.539;50.275;38.813
852.551;71.559;50.274;38.812
853.556;71.572;50.276;38.814
854.548;71.554;50.273;38.811
855.542;71.571;50.275;38.813
856.544;71.56;50.274;38.812
857.543;71.578;50.272;38.81
858.531;71.555;50.272;38.81
859.542;71.538;50.271;38.809
860.528;71.581;50.274;38.812
861.533;71.555;50.273;38.812
862.509;71.553;50.274;38.812
863.501;71.553;50.272;38.81
864.486;71.572;50.271;38.81
865.492;71.578;50.27;38.809
866.499;71.563;50.271;38.81
867.498;71.566;50.275;38.813
868.507;71.566;50.271;38.809
869.513;71.559;50.27;38.808
870.53;71.557;50.27;38.809
871.531;71.574;50.271;38.81
