IDs:;240716_09_240712G;09_DNAJB6_00_439_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
416.711;63.341;50.967;38.981
417.701;63.337;50.967;38.98
418.691;63.328;50.965;38.977
419.69;63.318;50.968;38.979
420.674;63.316;50.97;38.98
421.675;63.282;50.971;38.98
422.665;63.285;50.97;38.979
423.656;63.284;50.972;38.979
424.65;63.269;50.972;38.978
425.627;63.259;50.972;38.977
426.614;63.234;50.976;38.98
427.612;63.217;50.977;38.98
428.617;63.183;50.979;38.981
429.602;63.211;50.98;38.981
430.598;63.209;50.981;38.981
431.585;63.164;50.981;38.98
432.569;63.156;50.982;38.98
433.56;63.147;50.982;38.98
434.564;63.119;50.985;38.98
435.57;63.113;50.986;38.981
436.575;63.126;50.984;38.979
437.586;63.117;50.986;38.98
438.57;63.091;50.99;38.983
439.562;63.068;50.989;38.98
440.558;63.083;50.989;38.98
441.558;63.062;50.989;38.979
442.559;63.06;50.992;38.98
443.564;63.041;50.992;38.981
444.557;63.029;50.994;38.981
445.546;63.038;50.993;38.98
446.539;63.03;50.994;38.98
447.532;63.013;50.993;38.978
448.541;63.007;50.995;38.979
449.537;63.01;50.995;38.978
450.533;63.011;50.997;38.98
451.544;63.009;50.995;38.977
452.549;63.001;50.998;38.981
453.541;62.992;51.001;38.98
454.524;62.981;50.999;38.978
455.517;62.98;51.001;38.979
456.523;62.936;51.003;38.98
457.508;62.937;51.002;38.98
458.508;62.939;51.004;38.98
459.488;62.951;51.005;38.981
460.482;62.954;51.006;38.98
461.485;62.943;51.005;38.979
462.504;62.927;51.005;38.978
463.498;62.915;51.006;38.979
464.501;62.897;51.009;38.979
465.497;62.888;51.008;38.979
466.503;62.869;51.012;38.981
467.513;62.866;51.014;38.982
468.528;62.856;51.013;38.981
469.545;62.862;51.014;38.981
470.544;62.844;51.014;38.98
471.545;62.833;51.017;38.983
472.566;62.825;51.017;38.983
473.555;62.816;51.018;38.983
474.549;62.823;51.017;38.981
475.545;62.8;51.019;38.983
476.549;62.795;51.02;38.983
477.556;62.771;51.022;38.984
478.539;62.798;51.021;38.982
479.526;62.77;51.024;38.984
480.516;62.76;51.024;38.984
481.507;62.762;51.025;38.984
482.505;62.754;51.027;38.985
483.506;62.736;51.028;38.985
484.508;62.747;51.026;38.984
485.515;62.736;51.026;38.982
486.503;62.733;51.029;38.985
487.487;62.739;51.03;38.984
488.491;62.737;51.03;38.983
489.486;62.71;51.031;38.984
490.473;62.713;51.032;38.984
491.46;62.709;51.03;38.982
492.438;62.706;51.029;38.98
493.431;62.689;51.032;38.983
494.433;62.703;51.032;38.981
495.459;62.694;51.033;38.982
496.452;62.69;51.031;38.98
497.445;62.685;51.033;38.982
498.425;62.665;51.036;38.983
499.409;62.669;51.036;38.982
500.397;62.654;51.035;38.982
501.394;62.651;51.037;38.983
502.387;62.641;51.038;38.983
503.379;62.649;51.036;38.981
504.373;62.632;51.04;38.984
505.373;62.6;51.041;38.984
506.379;62.608;51.042;38.984
507.389;62.603;51.042;38.984
508.412;62.596;51.044;38.985
509.418;62.598;51.042;38.983
510.422;62.597;51.044;38.984
511.409;62.596;51.044;38.983
512.4;62.586;51.043;38.982
