IDs:;240814 04_240812A_elasticity2;04_DNAJB6_00_439_uM_expansion_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
401.164;64.0900826053488;26.95;17.274
402.158;63.8330826053488;26.95;17.274
403.16;63.6885844571356;26.947;17.272
404.153;63.9968317188594;26.951;17.275
405.15;64.123580858637;26.952;17.276
406.141;63.5828317188594;26.952;17.275
407.137;63.884580858637;26.951;17.276
408.139;63.545333518107;26.948;17.273
409.153;63.4808317188594;26.953;17.275
410.132;64.267580858637;26.951;17.276
411.112;63.851580858637;26.952;17.276
412.127;63.563086414011;26.945;17.27
413.122;64.0710826053488;26.949;17.274
414.123;63.5080826053488;26.95;17.274
415.107;64.3058317188594;26.949;17.275
416.095;63.9398317188594;26.952;17.275
417.096;63.853333518107;26.949;17.273
418.104;63.3305844571356;26.948;17.272
419.1;64.35133002468;26.953;17.277
420.089;63.9520826053488;26.949;17.274
421.084;63.3760826053488;26.952;17.274
422.086;63.3500826053488;26.951;17.274
423.094;63.819333518107;26.95;17.273
424.104;64.0288317188594;26.952;17.275
425.087;63.460333518107;26.949;17.273
426.073;63.6138354224364;26.946;17.271
427.062;63.2155844571356;26.948;17.272
428.053;63.656333518107;26.948;17.273
429.046;63.669580858637;26.952;17.276
430.045;63.5938354224364;26.946;17.271
431.045;63.7310826053488;26.95;17.274
432.033;63.6195844571356;26.948;17.272
433.028;63.7168354224364;26.946;17.271
434;63.7190826053488;26.951;17.274
435.008;63.4118317188594;26.953;17.275
436.005;64.345333518107;26.948;17.273
436.994;63.0085844571356;26.95;17.272
437.993;62.8858317188594;26.955;17.275
438.993;63.0763374318612;26.945;17.269
439.994;63.5505844571356;26.947;17.272
440.992;63.4265844571356;26.948;17.272
442.002;63.8548317188594;26.951;17.275
443.017;62.965580858637;26.955;17.276
444.013;63.159333518107;26.95;17.273
445.011;63.049580858637;26.955;17.276
446.009;63.6408317188594;26.951;17.275
446.995;63.5760826053488;26.95;17.274
447.987;64.1470792169866;26.955;17.278
448.988;63.515333518107;26.949;17.273
449.973;63.3945844571356;26.948;17.272
450.99;62.9890826053488;26.952;17.274
451.978;64.2958317188594;26.95;17.275
452.976;63.2248317188594;26.953;17.275
453.974;63.4768317188594;26.953;17.275
454.984;63.3460826053488;26.952;17.274
455.998;63.281580858637;26.954;17.276
456.983;63.0968354224364;26.948;17.271
457.971;63.204333518107;26.951;17.273
458.978;63.01333002468;26.955;17.277
459.982;63.11133002468;26.956;17.277
460.972;63.145580858637;26.955;17.276
461.966;62.98733002468;26.957;17.277
462.948;63.426333518107;26.949;17.273
463.943;63.3948317188594;26.954;17.275
464.935;63.244580858637;26.955;17.276
465.912;63.005580858637;26.956;17.276
466.925;63.0900826053488;26.952;17.274
467.917;63.3610826053488;26.953;17.274
468.911;63.20333002468;26.956;17.277
469.9;63.505580858637;26.954;17.276
470.899;63.5780826053488;26.951;17.274
471.882;63.1648354224364;26.948;17.271
472.891;63.217333518107;26.95;17.273
473.882;62.7200826053488;26.955;17.274
474.876;62.9715844571356;26.949;17.272
475.877;63.3170826053488;26.953;17.274
476.883;63.2708317188594;26.953;17.275
477.875;62.689580858637;26.958;17.276
478.878;62.748333518107;26.953;17.273
479.89;63.0370826053488;26.954;17.274
480.882;62.9825844571356;26.95;17.272
481.886;63.3573374318612;26.944;17.269
482.873;63.2360826053488;26.953;17.274
483.859;63.375333518107;26.951;17.273
484.853;63.0303374318612;26.947;17.269
485.849;63.4615844571356;26.948;17.272
