IDs:;model_05_000_uM
Concentration [uM]:;05.000
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
473.0;55.15568152199076;Inf;Inf
474.0;55.15260023969355;Inf;Inf
475.0;55.14952549344086;Inf;Inf
476.0;55.14645725562549;Inf;Inf
477.0;55.14339549881552;Inf;Inf
478.0;55.140340195752714;Inf;Inf
479.0;55.13729131935117;Inf;Inf
480.0;55.13424884269574;Inf;Inf
481.0;55.131212739040755;Inf;Inf
482.0;55.1281829818084;Inf;Inf
483.0;55.12515954458755;Inf;Inf
484.0;55.12214240113212;Inf;Inf
485.0;55.11913152535996;Inf;Inf
486.0;55.11612689135117;Inf;Inf
487.0;55.1131284733471;Inf;Inf
488.0;55.11013624574875;Inf;Inf
489.0;55.10715018311559;Inf;Inf
490.0;55.10417026016418;Inf;Inf
491.0;55.10119645176694;Inf;Inf
492.0;55.09822873295082;Inf;Inf
493.0;55.09526707889604;Inf;Inf
494.0;55.09231146493486;Inf;Inf
495.0;55.08936186655033;Inf;Inf
496.0;55.08641825937503;Inf;Inf
497.0;55.083480619189935;Inf;Inf
498.0;55.080548921923096;Inf;Inf
499.0;55.07762314364854;Inf;Inf
500.0;55.07470326058504;Inf;Inf
501.0;55.071789249094984;Inf;Inf
502.0;55.0688810856832;Inf;Inf
503.0;55.06597874699583;Inf;Inf
504.0;55.06308220981916;Inf;Inf
505.0;55.06019145107851;Inf;Inf
506.0;55.0573064478372;Inf;Inf
507.0;55.05442717729526;Inf;Inf
508.0;55.051553616788574;Inf;Inf
509.0;55.04868574378768;Inf;Inf
510.0;55.045823535896695;Inf;Inf
511.0;55.042966970852255;Inf;Inf
512.0;55.04011602652257;Inf;Inf
513.0;55.03727068090625;Inf;Inf
514.0;55.034430912131405;Inf;Inf
515.0;55.0315966984545;Inf;Inf
516.0;55.02876801825948;Inf;Inf
517.0;55.02594485005668;Inf;Inf
518.0;55.02312717248189;Inf;Inf
519.0;55.02031496429538;Inf;Inf
520.0;55.017508204380874;Inf;Inf
521.0;55.01470687174467;Inf;Inf
522.0;55.01191094551465;Inf;Inf
523.0;55.00912040493931;Inf;Inf
524.0;55.00633522938689;Inf;Inf
525.0;55.00355539834451;Inf;Inf
526.0;55.00078089141706;Inf;Inf
527.0;54.99801168832646;Inf;Inf
528.0;54.995247768910765;Inf;Inf
529.0;54.99248911312318;Inf;Inf
530.0;54.98973570103124;Inf;Inf
531.0;54.986987512816015;Inf;Inf
532.0;54.98424452877108;Inf;Inf
533.0;54.98150672930178;Inf;Inf
534.0;54.978774094924404;Inf;Inf
535.0;54.97604660626527;Inf;Inf
536.0;54.9733242440599;Inf;Inf
537.0;54.970606989152294;Inf;Inf
538.0;54.96789482249401;Inf;Inf
539.0;54.96518772514341;Inf;Inf
540.0;54.962485678264876;Inf;Inf
541.0;54.95978866312794;Inf;Inf
542.0;54.957096661106604;Inf;Inf
543.0;54.954409653678525;Inf;Inf
544.0;54.951727622424166;Inf;Inf
545.0;54.949050549026175;Inf;Inf
546.0;54.94637841526856;Inf;Inf
547.0;54.943711203035875;Inf;Inf
548.0;54.94104889431264;Inf;Inf
549.0;54.93839147118242;Inf;Inf
550.0;54.93573891582726;Inf;Inf
551.0;54.93309121052686;Inf;Inf
552.0;54.930448337657886;Inf;Inf
553.0;54.927810279693304;Inf;Inf
554.0;54.92517701920162;Inf;Inf
555.0;54.92254853884625;Inf;Inf
556.0;54.91992482138475;Inf;Inf
557.0;54.917305849668175;Inf;Inf
558.0;54.914691606640424;Inf;Inf
559.0;54.91208207533759;Inf;Inf
560.0;54.90947723888716;Inf;Inf
561.0;54.90687708050758;Inf;Inf
562.0;54.90428158350737;Inf;Inf
563.0;54.901690731284624;Inf;Inf
564.0;54.89910450732636;Inf;Inf
565.0;54.89652289520781;Inf;Inf
566.0;54.89394587859184;Inf;Inf
567.0;54.891373441228346;Inf;Inf
568.0;54.888805566953614;Inf;Inf
569.0;54.88624223968969;Inf;Inf
570.0;54.88368344344383;Inf;Inf
571.0;54.8811291623078;Inf;Inf
572.0;54.87857938045737;Inf;Inf
573.0;54.87603408215172;Inf;Inf
574.0;54.87349325173277;Inf;Inf
575.0;54.870956873624664;Inf;Inf
576.0;54.86842493233323;Inf;Inf
577.0;54.865897412445335;Inf;Inf
578.0;54.863374298628344;Inf;Inf
579.0;54.860855575629564;Inf;Inf
580.0;54.85834122827572;Inf;Inf
581.0;54.85583124147234;Inf;Inf
582.0;54.853325600203235;Inf;Inf
583.0;54.85082428953;Inf;Inf
584.0;54.848327294591414;Inf;Inf
585.0;54.845834600602934;Inf;Inf
586.0;54.84334619285619;Inf;Inf
587.0;54.84086205671842;Inf;Inf
588.0;54.838382177631985;Inf;Inf
589.0;54.835906541113836;Inf;Inf
590.0;54.833435132755;Inf;Inf
591.0;54.830967938220105;Inf;Inf
592.0;54.828504943246855;Inf;Inf
593.0;54.82604613364551;Inf;Inf
594.0;54.82359149529845;Inf;Inf
595.0;54.82114101415966;Inf;Inf
596.0;54.818694676254204;Inf;Inf
597.0;54.81625246767783;Inf;Inf
598.0;54.81381437459643;Inf;Inf
599.0;54.81138038324557;Inf;Inf
600.0;54.80895047993006;Inf;Inf
601.0;54.80652465102343;Inf;Inf
602.0;54.804102882967555;Inf;Inf
603.0;54.80168516227212;Inf;Inf
604.0;54.799271475514196;Inf;Inf
605.0;54.796861809337834;Inf;Inf
606.0;54.79445615045351;Inf;Inf
607.0;54.792054485637806;Inf;Inf
608.0;54.78965680173288;Inf;Inf
609.0;54.78726308564611;Inf;Inf
610.0;54.78487332434959;Inf;Inf
611.0;54.782487504879725;Inf;Inf
612.0;54.78010561433687;Inf;Inf
613.0;54.77772763988483;Inf;Inf
614.0;54.77535356875044;Inf;Inf
615.0;54.77298338822326;Inf;Inf
616.0;54.770617085655;Inf;Inf
617.0;54.76825464845926;Inf;Inf
618.0;54.76589606411106;Inf;Inf
619.0;54.763541320146466;Inf;Inf
620.0;54.761190404162114;Inf;Inf
621.0;54.75884330381495;Inf;Inf
622.0;54.75650000682172;Inf;Inf
623.0;54.754160500958676;Inf;Inf
624.0;54.751824774061106;Inf;Inf
625.0;54.74949281402302;Inf;Inf
626.0;54.74716460879674;Inf;Inf
627.0;54.74484014639251;Inf;Inf
628.0;54.742519414878224;Inf;Inf
629.0;54.7402024023789;Inf;Inf
630.0;54.73788909707642;Inf;Inf
631.0;54.73557948720916;Inf;Inf
632.0;54.73327356107158;Inf;Inf
633.0;54.730971307013924;Inf;Inf
634.0;54.72867271344185;Inf;Inf
635.0;54.72637776881603;Inf;Inf
636.0;54.72408646165188;Inf;Inf
637.0;54.72179878051916;Inf;Inf
638.0;54.7195147140416;Inf;Inf
639.0;54.717234250896716;Inf;Inf
640.0;54.71495737981528;Inf;Inf
641.0;54.71268408958107;Inf;Inf
642.0;54.710414369030524;Inf;Inf
643.0;54.70814820705246;Inf;Inf
644.0;54.70588559258769;Inf;Inf
645.0;54.703626514628716;Inf;Inf
646.0;54.70137096221939;Inf;Inf
647.0;54.69911892445463;Inf;Inf
648.0;54.69687039048006;Inf;Inf
649.0;54.69462534949175;Inf;Inf
650.0;54.69238379073587;Inf;Inf
651.0;54.69014570350834;Inf;Inf
652.0;54.68791107715462;Inf;Inf
653.0;54.68567990106928;Inf;Inf
654.0;54.68345216469583;Inf;Inf
655.0;54.68122785752632;Inf;Inf
656.0;54.67900696910112;Inf;Inf
657.0;54.6767894890085;Inf;Inf
658.0;54.67457540688449;Inf;Inf
659.0;54.672364712412524;Inf;Inf
660.0;54.670157395323095;Inf;Inf
661.0;54.667953445393536;Inf;Inf
662.0;54.6657528524477;Inf;Inf
663.0;54.66355560635574;Inf;Inf
664.0;54.66136169703377;Inf;Inf
665.0;54.65917111444355;Inf;Inf
666.0;54.65698384859231;Inf;Inf
667.0;54.65479988953236;Inf;Inf
668.0;54.652619227360994;Inf;Inf
669.0;54.650441852220034;Inf;Inf
670.0;54.648267754295624;Inf;Inf
671.0;54.64609692381801;Inf;Inf
672.0;54.64392935106121;Inf;Inf
673.0;54.64176502634281;Inf;Inf
674.0;54.6396039400237;Inf;Inf
675.0;54.637446082507736;Inf;Inf
676.0;54.6352914442416;Inf;Inf
677.0;54.63314001571444;Inf;Inf
678.0;54.63099178745772;Inf;Inf
679.0;54.62884675004485;Inf;Inf
680.0;54.62670489409103;Inf;Inf
681.0;54.624566210253015;Inf;Inf
682.0;54.62243068922879;Inf;Inf
683.0;54.620298321757346;Inf;Inf
684.0;54.61816909861855;Inf;Inf
685.0;54.61604301063271;Inf;Inf
686.0;54.61392004866047;Inf;Inf
687.0;54.611800203602606;Inf;Inf
688.0;54.60968346639968;Inf;Inf
689.0;54.60756982803185;Inf;Inf
690.0;54.60545927951869;Inf;Inf
