ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
61	240510 WideTempSol t1(65h)_10deg_001_14.lcd	Unknown	10deg	A4	4.402	7052730	142.623	1800242	-----	-----	-----	4.317	4.667	2.14	666.58	1.544
62	240510 WideTempSol t1(65h)_10deg_001_08.lcd	Unknown	10deg	A3	4.402	7460227	150.867	1928409	-----	-----	-----	4.317	4.667	2.15	700.83	1.539
63	240510 WideTempSol t1(65h)_10deg_001_02.lcd	Unknown	10deg	A2	4.397	8878004	179.554	2199219	-----	-----	-----	4.317	4.650	2.30	779.42	1.562
64	240510 WideTempSol t1(65h)_10deg-buffer_001_20.lcd	Unknown	10deg-buffer	A5	4.367	1451	-0.047	194	-----	-----	-----	-----	4.567	-5.26	0.09	2.119
65	240510 WideTempSol QC_none_001_07.lcd	Control	none	-1	4.421	2377	-0.028	693	-----	-----	-----	4.367	4.483	-0.14	2.03	--
66	240510 WideTempSol QC_none_001_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
67	240510 WideTempSol QC_buffer240510_001_02.lcd	Control	buffer240510	A1	4.267	2496	-0.026	169	-----	-----	-----	-----	-----	-4.26	0.06	--
68	240510 WideTempSol QC_10uM ABm1-42_003_05.lcd	Unknown	10uM ABm1-42	B1	4.421	478348	9.602	135176	-----	-----	-----	4.350	4.70	0.64	150.45	1.440
69	240510 WideTempSol QC_10uM ABm1-42_002_04.lcd	Unknown	10uM ABm1-42	B1	4.425	511062	10.264	141537	-----	-----	-----	4.350	4.7	0.74	137.93	1.584
70	240510 WideTempSol QC_10uM ABm1-42_001_06.lcd	Unknown	10uM ABm1-42	B1	4.412	4274378	86.408	1127506	-----	-----	-----	4.333	4.667	1.78	485.08	1.536
71	240510 WideTempSol QC_10uM ABm1-42_001_03.lcd	Unknown	10uM ABm1-42	B1	4.422	539643	10.842	153770	-----	-----	-----	4.350	4.7	0.68	158.69	1.475
	Average				4.423	768966	15.482	200310		100.0		4.322	4.740	0.98	86.56	1.476
	%RSD				1.124366	240.924302	242.112191	235.358899		18.795655		1.761965	6.704124	201.732621	204.416833	11.244474
	Maximum				4.632	8878004	179.554	2199219		127.4		4.600	6.450	2.57	779.42	2.119
	Minimum				4.267	534	-0.066	169		61.4		4.100	4.317	-8.32	0.06	1.008
	Std. Dev.				0.049726	1852624.954914	37.484466	471448.012382		18.795655		0.076153	0.317802	1.975900	176.940958	0.166006

