"time (h)"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"ThT (a.u.)"	"ThT (a.u.)"	"ThT (a.u.)"
109.77500000000000							3.1916	3.1305	3.1765
109.99666666666700							3.2062	3.1411	3.1772
110.22000000000000							3.2025	3.1650	3.1876
110.44166666666700							3.2173	3.1574	3.1962
110.66333333333300							3.2250	3.1480	3.2039
110.88666666666700							3.2379	3.1494	3.1982
111.10833333333300							3.2442	3.1634	3.1989
111.33000000000000							3.2442	3.1750	3.1956
111.55333333333300							3.2347	3.1624	3.2007
111.77500000000000							3.2196	3.1544	3.1966
111.99666666666700							3.2233	3.1460	3.1963
112.22000000000000							3.2214	3.1326	3.1930
112.44166666666700							3.2218	3.1405	3.2141
112.66333333333300							3.2448	3.1436	3.1922
112.88666666666700							3.2228	3.1552	3.1960
113.10833333333300							3.2332	3.1427	3.1863
113.33000000000000							3.2179	3.1330	3.1808
113.55333333333300							3.2124	3.1394	3.2001
113.77500000000000							3.2208	3.1464	3.1725
113.99666666666700							3.2162	3.1350	3.1752
114.22000000000000							3.2476	3.1516	3.2005
114.44166666666700							3.2242	3.1509	3.1784
114.66333333333300							3.2336	3.1427	3.1875
114.88666666666700							3.2195	3.1530	3.1866
115.10833333333300							3.2320	3.1366	3.2000
115.33000000000000							3.2112	3.1694	3.2011
115.55333333333300							3.2142	3.1644	3.1792
115.77500000000000							3.2366	3.1605	3.1976
115.99666666666700							3.2478	3.1800	3.2053
116.22000000000000							3.2306	3.1602	3.2194
116.44166666666700							3.2387	3.1738	3.1808
116.66333333333300							3.2453	3.1715	3.1946
116.88666666666700							3.2303	3.1735	3.1799
117.10833333333300							3.2397	3.1520	3.1836
117.33000000000000							3.2435	3.1588	3.1929
117.55333333333300							3.2357	3.1607	3.1989
117.77500000000000							3.2294	3.1695	3.1991
117.99666666666700							3.2221	3.1498	3.2015
118.22000000000000							3.2234	3.1541	3.1893
118.44166666666700							3.2383	3.1755	3.1860
118.66333333333300							3.2209	3.1635	3.1968
118.88666666666700							3.2366	3.1492	3.1894
119.10833333333300							3.2394	3.1685	3.1928
119.33000000000000							3.2450	3.1789	3.1890
119.55333333333300							3.2334	3.1629	3.1960
119.77500000000000							3.2358	3.1536	3.1850
119.99666666666700							3.2393	3.1690	3.2078
120.22000000000000							3.2364	3.1741	3.2041
120.44166666666700							3.2434	3.1626	3.1870
120.66333333333300							3.2471	3.1680	3.2138
120.88666666666700							3.2412	3.1692	3.1969
121.10833333333300							3.2258	3.1757	3.2034
121.33000000000000							3.2472	3.1698	3.2022
121.55333333333300							3.2164	3.1716	3.2089
121.77500000000000							3.2580	3.1698	3.1941
121.99666666666700							3.2358	3.1824	3.1898
122.22000000000000							3.2580	3.1848	3.2031
122.44166666666700							3.2553	3.1820	3.2145
122.66333333333300							3.2488	3.1828	3.2187
122.88500000000000							3.2546	3.1792	3.2048
123.10833333333300							3.2621	3.2039	3.2160
123.33000000000000							3.2546	3.1890	3.2027
123.55166666666700							3.2462	3.1810	3.2017
