time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
4.1889	15735	16715	17054	16228	23647	24280	24341	24665	66337	64388	65425	65997	84511	85816	94788	86103
4.2250	15952	16713	17103	16589	23879	24651	24164	25301	66565	63902	65756	66294	84966	85900	94786	85481
4.2611	16021	16510	17154	16628	24250	24917	24491	25199	66098	64496	66367	65763	85181	84550	94826	86213
4.2972	15837	16853	17111	16184	24664	25197	25221	25509	65973	64264	66185	66145	85273	84973	94578	85764
4.3333	16288	16973	17236	16674	24372	25320	25782	25783	66706	63812	65676	66881	86662	85230	94253	84940
4.3694	16040	17164	17153	16475	24906	25747	25458	26305	67714	64991	66153	66878	85867	85691	94685	84982
4.4056	16153	17140	17651	16439	25158	25978	25542	26654	67468	64085	66345	65926	85091	85395	95520	84819
4.4417	16048	17506	17410	16520	25858	26284	25885	26625	67261	64209	65695	66655	84577	84672	95833	85546
4.4778	16459	17076	17491	16955	26036	26482	26082	27110	67683	65155	65422	67360	84315	86316	94874	84686
4.5139	16212	17312	18083	16913	26342	27173	26324	27862	67152	65403	66594	67335	85598	85999	95019	86103
4.5500	16291	17301	17664	16998	26602	27037	26876	28170	67564	65939	65669	66399	85730	85922	95321	84646
4.5861	16522	17485	17697	17324	26980	28099	27242	27940	67940	65221	65630	67412	85396	85839	95012	85790
4.6222	16805	17515	18114	17601	26826	27320	27992	28472	67701	64379	66972	67340	85974	86071	95858	85182
4.6583	16942	17795	18135	17189	27663	27638	27687	28475	67810	64577	65873	67072	85105	85745	95889	85829
4.6944	16582	18051	17999	17403	27944	28311	28315	29627	67772	65208	66397	67061	85404	85836	95810	85486
4.7306	16853	17880	18427	17341	28028	28628	28171	29556	68395	66143	66112	67115	85262	86319	96194	86376
4.7667	16786	17793	18121	17021	28165	28976	29107	30099	68065	65326	66376	67290	85501	85690	95676	85753
4.8028	16755	17940	18156	17437	28460	29280	29190	30245	67287	65636	67248	67423	85661	86920	96060	86247
4.8389	17090	18127	18663	17815	29039	30200	29901	30493	67963	65133	66355	67933	86227	85876	96946	85543
4.8750	16894	18173	18264	17635	29450	29707	30120	30390	67966	65215	67442	68225	85514	86665	96218	85143
4.9111	16939	18111	18256	17819	29431	30929	29977	31437	67556	65622	66528	67605	86224	86976	95709	86387
4.9472	17258	18062	18659	17835	30151	31090	30768	31420	68509	64983	67541	67260	86494	86291	96991	85350
4.9833	17364	18423	18493	18010	30628	30955	31296	32536	68205	65616	66984	68230	85849	86414	96542	85352
5.0194	17674	18267	19053	18007	30804	31545	31567	32990	68167	64697	67293	67569	86023	85654	95506	86370
5.0556	17409	18485	19286	18095	31446	32132	31917	33223	68558	65160	66664	67782	86447	85984	96380	87339
5.0917	17606	18824	18559	18031	31387	32892	32078	33081	67811	65781	67385	67736	85896	85551	96860	86356
5.1278	17993	18754	19224	18444	32550	33171	32481	33624	68570	65771	66896	67808	86344	87346	96794	87088
5.1639	17727	18796	19058	18328	32605	33574	32379	34115	68519	66037	67229	67824	85707	85865	96895	85992
5.2000	18408	18713	18985	18789	33027	33371	33181	34064	68629	66014	67056	68314	86749	85538	95805	86659
5.2361	17622	19086	19552	18609	33085	34576	34067	35148	67858	66071	66988	67193	85814	86008	96437	87520
5.2722	17826	18955	19357	18711	33879	34943	34551	34985	68459	65300	67540	67352	87769	86301	97125	87211
5.3083	17953	19267	19299	18996	34357	35198	34312	35163	68180	66174	66965	67969	86191	86429	96554	86559
5.3444	18437	19450	19200	18730	34541	35591	35121	36230	68783	65996	67666	68537	86038	86067	95461	85788
5.3806	17998	19602	19701	18965	35039	36006	35366	35776	69036	66028	67400	67788	87264	86234	96239	86490
5.4167	18227	19532	19278	19343	35073	36497	35530	36872	67943	66087	66517	68050	86549	87223	96342	87264
5.4528	18684	19855	19847	18837	35792	36587	36490	36907	69376	65577	67173	67713	85570	87012	97340	86937
5.4889	18981	19837	19324	19352	36007	36827	37280	37862	68748	65782	66974	68935	86921	86648	97074	86992
5.5250	18255	20123	20087	19438	36568	37724	37210	38296	68375	65621	67760	68804	86812	87859	96649	86856
5.5611	18714	20438	19956	19725	37307	37587	37315	37986	67643	66983	67331	68459	87164	88029	96713	86542
5.5972	18653	20425	20045	19692	37163	38094	38491	39004	68426	66236	67556	67850	86472	86815	97544	87162
5.6333	18891	20099	20312	19309	38294	39160	38879	39276	67686	66095	67180	68145	87177	86728	97497	86603
5.6694	19280	20528	20178	19981	38145	39722	39120	40304	68934	65546	66993	68555	86591	87476	96892	87614
5.7056	19501	20632	20519	19975	39266	40327	39240	40882	69387	66357	67540	68757	87205	87731	97824	87146
5.7417	18976	20439	20179	20430	39535	40340	40286	40746	67954	67131	67801	68760	87388	87111	97752	87398
5.7778	19718	20828	20305	19910	39953	40842	40847	40838	68361	66246	67410	68922	87723	87975	98509	86649
5.8139	19722	20780	20624	20209	40126	42351	41058	41536	68825	66123	68058	69302	87195	87773	98191	87396
5.8500	19601	21174	20532	20803	41128	41899	41460	42059	69420	66466	67574	68457	88157	87930	97378	87481
5.8861	19669	20903	21187	20718	40917	42606	42681	41733	69269	66091	67309	68328	87297	87586	98319	87294
5.9222	19376	21511	21074	20467	42218	42760	41987	42385	69932	66117	67963	68151	87431	87303	97413	86890
5.9583	20110	21491	20958	20825	42231	42670	42402	43225	69232	66505	68398	68053	88196	88009	98696	87526
5.9944	19803	21147	20635	20643	42935	43732	43265	43867	69552	66222	68394	69313	87777	87623	98746	87424
6.0306	19714	21396	20981	20978	43333	44055	44209	43485	69614	66451	67824	69227	87515	87557	97404	87494
6.0667	19886	21711	21567	20915	43755	44440	44505	44199	69257	66338	68667	67849	87755	87288	97535	87971
6.1028	19968	21670	21636	21124	44396	44788	44003	44573	68841	66649	68090	69014	88675	87774	98752	87927
6.1389	20217	21926	21598	21589	44865	44955	44394	44838	68185	66889	68939	68409	88133	88534	98468	87145
6.1750	20080	22705	21746	21248	45260	45999	45057	45179	69875	66355	67962	68068	88415	87430	97073	87923
