"q (Å^-1)"	"Intensity (cm^-1) AB 20-34 5 mM"	"Intensity (cm^-1) Monomer random coil model"	"Intensity (cm^-1) low q slope"
0.523867900	-0.00054862000000	0.00057682215434	
0.521973400	0.00086712000000	0.00058085711703	
0.520078800	-0.00088117000000	0.00058493412579	
0.518184300	0.00000322000000	0.00058905331992	
0.516289800	-0.00025022000000	0.00059321549266	
0.514395300	0.00107661000000	0.00059742123289	
0.512500800	0.00008860000000	0.00060167113937	
0.510606300	-0.00083073000000	0.00060596582093	
0.508711800	0.00064941000000	0.00061030589670	
0.506817300	0.00030572000000	0.00061469199628	
0.504922800	0.00043269000000	0.00061912475996	
0.503028300	-0.00065347000000	0.00062360483894	
0.501133800	0.00031896000000	0.00062813289554	
0.499239300	0.00043278000000	0.00063270960340	
0.497344800	-0.00020275000000	0.00063733564776	
0.495450300	0.00078503000000	0.00064201172563	
0.493555800	0.00008483000000	0.00064673854605	
0.491661300	-0.00016350000000	0.00065151683035	
0.489766800	0.00031155000000	0.00065634731239	
0.487872300	0.00115587000000	0.00066123073876	
0.485977800	0.00007417000000	0.00066616786914	
0.484083300	0.00013078000000	0.00067115947646	
0.482188800	0.00009016000000	0.00067620634724	
0.480294300	-0.00024559000000	0.00068130928183	
0.478399800	-0.00010137000000	0.00068646909471	
0.476505300	0.00046088000000	0.00069168661476	
0.474610800	0.00008786000000	0.00069696268559	
0.472716300	-0.00041363000000	0.00070229816578	
0.470821800	0.00030042000000	0.00070769392926	
0.468927300	0.00047597000000	0.00071315086558	
0.467032800	0.00039387000000	0.00071866988024	
0.465138300	0.00125298000000	0.00072425189502	
0.463243700	-0.00042266000000	0.00072989814806	
0.461349200	0.00001374000000	0.00073560899873	
0.459454700	0.00025990000000	0.00074138571604	
0.457560200	-0.00000986000000	0.00074722929036	
0.455665700	0.00019361000000	0.00075314073010	
0.453771200	-0.00051163000000	0.00075912106208	
0.451876700	-0.00015981000000	0.00076517133197	
0.449982200	0.00000931000000	0.00077129260459	
0.448087700	0.00049293000000	0.00077748596441	
0.446193200	0.00091203000000	0.00078375251588	
0.444298700	0.00043148000000	0.00079009338392	
0.442404200	0.00075729000000	0.00079650971430	
0.440509700	0.00015327000000	0.00080300267410	
0.438615200	-0.00005969000000	0.00080957345216	
0.436720700	0.00032102000000	0.00081622325956	
0.434826200	0.00032951000000	0.00082295333005	
0.432931700	0.00121114000000	0.00082976492055	
0.431037200	0.00039346000000	0.00083665931166	
0.429142700	-0.00020885000000	0.00084363780813	
0.427248200	0.00137582000000	0.00085070173942	
0.425353700	-0.00014168000000	0.00085785246016	
0.423459200	0.00016215000000	0.00086509135075	
0.421564700	0.00010741000000	0.00087241981788	
0.419670200	0.00010539000000	0.00087983929508	
0.417775700	0.00008465000000	0.00088735124332	
0.415881200	0.00095584000000	0.00089495715157	
0.413986700	-0.00013610000000	0.00090265853744	
0.412092200	0.00031257000000	0.00091045694773	
0.410197700	0.00035278000000	0.00091835395911	
0.408303200	0.00122991000000	0.00092635117872	
0.406408700	0.00146015000000	0.00093445024484	
0.404514100	0.00052851000000	0.00094265326328	
0.402619600	0.00071390000000	0.00095096107076	
0.400725100	0.00048001000000	0.00095937583323	
