"Time (h)"	"Time (h)"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"
11.25000000							0.67785772311306									
11.35000000							0.67579564780981									
11.45000000							0.67372404151025									
11.55000000							0.67164319970288									
11.65000000							0.66955341850434									
11.75000000							0.66745499441788									
11.85000000							0.66534822409655									
11.95000000							0.66323340411145									
12.05000000							0.66111083072535									
12.15000000							0.65898079967198									
12.25000000							0.65684360594122									
12.35000000							0.65469954357049									
12.45000000							0.65254890544241									
12.55000000							0.65039198308916									
12.65000000							0.64822906650346									
12.75000000							0.64606044395643									
12.85000000							0.64388640182247									
12.95000000							0.64170722441119									
13.05000000							0.63952319380652									
13.15000000							0.63733458971296									
13.25000000							0.63514168930916									
13.35000000							0.63294476710869									
13.45000000							0.63074409482807									
13.55000000							0.62853994126203									
13.65000000							0.62633257216591									
13.75000000							0.62412225014529									
13.85000000							0.62190923455253									
13.95000000							0.61969378139042									
14.05000000							0.61747614322257									
14.15000000							0.61525656909068									
14.25000000							0.61303530443838									
14.35000000							0.61081259104157									
14.45000000							0.60858866694518									
14.55000000							0.60636376640611									
14.65000000							0.60413811984223									
14.75000000							0.60191195378730									
14.85000000							0.59968549085161									
14.95000000							0.59745894968818									
15.05000000							0.59523254496434									
15.15000000							0.59300648733847									
15.25000000							0.59078098344184									
15.35000000							0.58855623586519									
15.45000000							0.58633244315004									
15.55000000							0.58410979978436									
15.65000000							0.58188849620255									
15.75000000							0.57966871878958									
15.85000000							0.57745064988886									
15.95000000							0.57523446781399									
16.05000000							0.57302034686391									
16.15000000							0.57080845734145									
16.25000000							0.56859896557509									
16.35000000							0.56639203394361									
16.45000000							0.56418782090365									
16.55000000							0.56198648101988									
16.65000000							0.55978816499768									
16.75000000							0.55759301971814									
16.85000000							0.55540118827522									
16.95000000							0.55321281001492									
17.05000000							0.55102802057637									
17.15000000							0.54884695193458									
17.25000000							0.54666973244483									
17.35000000							0.54449648688846									
17.45000000							0.54232733652005									
17.55000000							0.54016239911573									
17.65000000							0.53800178902261									
17.75000000							0.53584561720916									
17.85000000							0.53369399131642									
17.95000000							0.53154701570999									
18.05000000							0.52940479153265									
18.15000000							0.52726741675749									
18.25000000							0.52513498624156									
18.35000000							0.52300759177979									
18.45000000							0.52088532215932									
18.55000000							0.51876826321389									
18.65000000							0.51665649787846									
18.75000000							0.51455010624383									
18.85000000							0.51244916561125									
18.95000000							0.51035375054698									
19.05000000							0.50826393293672									
19.15000000							0.50617978203975									
19.25000000							0.50410136454296									
19.35000000							0.50202874461451									
19.45000000							0.49996198395712									
19.55000000							0.49790114186106									
19.65000000							0.49584627525665									
19.75000000							0.49379743876630									
19.85000000							0.49175468475610									
19.95000000							0.48971806338684									
20.05000000							0.48768762266450									
20.15000000							0.48566340849012									
20.25000000							0.48364546470912									
20.35000000							0.48163383315996									
20.45000000							0.47962855372214									
20.55000000							0.47762966436358									
20.65000000							0.47563720118725									
20.75000000							0.47365119847719									
20.85000000							0.47167168874375									
20.95000000							0.46969870276818									
21.05000000							0.46773226964644									
21.15000000							0.46577241683228									
21.25000000							0.46381917017967									
21.35000000							0.46187255398435									
21.45000000							0.45993259102474									
21.55000000							0.45799930260208									
21.65000000							0.45607270857979									
21.75000000							0.45415282742212									
21.85000000							0.45223967623203									
21.95000000							0.45033327078833									
22.05000000							0.44843362558211									
22.15000000							0.44654075385235									
22.25000000							0.44465466762093									
22.35000000							0.44277537772675									
22.45000000							0.44090289385926									
22.55000000							0.43903722459122									
22.65000000							0.43717837741073									
22.75000000							0.43532635875259									
22.85000000							0.43348117402898									
22.95000000							0.43164282765938									
23.05000000							0.42981132309992									
23.15000000							0.42798666287192									
23.25000000							0.42616884858995									
23.35000000							0.42435788098903									
23.45000000							0.42255375995139									
23.55000000							0.42075648453243									
23.65000000							0.41896605298617									
23.75000000							0.41718246279005									
23.85000000							0.41540571066909									
23.95000000							0.41363579261954									
24.05000000							0.41187270393185									
24.15000000							0.41011643921316									
24.25000000							0.40836699240918									
24.35000000							0.40662435682551									
24.45000000							0.40488852514844									
24.55000000							0.40315948946524									
24.65000000							0.40143724128387									
24.75000000							0.39972177155227									
24.85000000							0.39801307067705									
24.95000000							0.39631112854175									
25.05000000							0.39461593452463									
