wavenumber (1/cm)	full-length (a.u.)	NTD (a.u.)	CTD (a.u.)
1696.09	3.43E-03	1.99E-03	8.48E-04
1696.57	3.00E-03	2.16E-03	6.66E-04
1697.05	2.69E-03	2.32E-03	5.25E-04
1697.53	2.49E-03	2.44E-03	4.23E-04
1698.02	2.33E-03	2.53E-03	3.44E-04
1698.5	2.09E-03	2.61E-03	2.73E-04
1698.98	1.67E-03	2.67E-03	2.00E-04
1699.46	9.83E-04	2.74E-03	1.13E-04
1699.94	2.51E-05	2.83E-03	6.01E-06
1700.43	0.00E+00	0.00E+00	0.00E+00
