Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
14.389	83.425	27.025	37.938	28.138	39.675	46.013	48.225	70.213	70.225	116.20	178.00	251.80	255.00	255.00
14.517	79.700	27.388	37.850	27.962	39.287	45.638	48.725	71.125	70.812	118.31	178.06	252.39	255.00	255.00
14.646	77.400	27.938	37.675	28.237	39.237	45.987	49.062	72.537	71.912	121.15	179.29	253.21	255.00	255.00
14.774	76.738	28.038	37.275	28.513	39.362	46.775	49.175	72.900	73.088	123.46	181.16	253.49	255.00	255.00
14.903	75.812	28.425	37.425	29.013	39.562	48.300	49.862	74.450	74.688	126.50	183.69	254.20	255.00	253.81
15.031	72.537	28.750	37.938	29.438	39.438	49.575	50.312	75.700	75.662	128.69	184.18	254.52	255.00	248.74
15.160	67.125	28.913	38.725	29.913	39.162	50.525	50.713	76.713	76.688	131.14	186.59	254.79	255.00	235.64
15.288	64.637	28.938	38.825	30.525	39.013	50.300	50.838	77.275	77.350	132.68	188.35	254.91	255.00	207.50
15.417	64.037	29.688	38.713	31.138	39.162	51.638	51.388	79.188	77.725	134.69	190.32	254.85	255.00	175.56
15.545	63.338	29.875	38.612	31.375	39.175	52.950	52.438	79.713	78.088	136.38	191.82	255.00	255.00	143.01
15.674	63.075	29.888	38.975	31.725	39.625	54.188	53.250	80.762	78.600	137.86	193.45	254.99	255.00	117.97
15.802	62.825	30.237	38.950	31.825	39.950	56.000	53.975	82.050	78.963	139.56	195.85	254.99	255.00	95.213
15.931	63.275	30.600	38.838	32.138	40.062	57.888	54.450	83.062	79.625	141.57	197.26	255.00	255.00	76.613
16.059	64.613	31.225	38.550	32.562	40.112	59.925	55.150	84.713	80.425	143.21	200.07	255.00	255.00	64.887
16.188	66.025	31.825	38.888	33.100	39.838	61.325	55.787	86.375	81.363	144.95	201.56	255.00	255.00	57.975
16.316	68.812	32.100	39.263	33.500	40.025	62.188	55.900	88.412	81.925	146.61	205.04	255.00	255.00	53.550
16.444	69.600	32.338	40.300	33.950	40.463	61.825	55.900	88.950	82.238	148.59	206.89	255.00	255.00	50.662
16.573	68.988	32.975	40.487	34.500	41.237	62.588	56.675	90.675	83.588	151.50	210.46	254.98	255.00	48.938
16.701	68.688	33.412	40.800	35.638	42.037	63.475	57.037	92.613	84.750	154.09	212.21	255.00	255.00	47.600
16.830	70.525	33.575	41.425	36.675	44.237	64.662	57.450	93.863	86.100	156.60	213.82	255.00	254.19	46.338
16.958	73.062	33.825	41.338	37.475	45.500	66.963	58.188	95.412	87.713	159.04	215.26	255.00	248.20	45.438
17.087	74.812	34.250	41.463	38.037	45.787	65.850	59.200	97.300	89.225	161.35	217.80	255.00	239.37	44.838
17.215	75.250	34.900	41.700	38.275	45.062	62.125	59.888	99.650	91.238	165.31	219.91	255.00	228.55	44.487
17.344	75.500	35.625	41.625	38.700	43.562	62.125	60.537	101.01	92.613	168.04	222.41	255.00	220.18	43.800
17.472	75.600	37.575	41.600	39.075	42.425	62.825	61.300	102.01	95.475	170.69	224.19	255.00	208.12	43.263
17.601	75.113	39.775	41.888	39.375	42.513	63.125	62.000	103.16	97.725	172.71	225.64	255.00	196.76	42.688
17.729	74.938	38.425	42.862	39.900	43.388	63.688	63.237	105.13	100.95	176.56	227.61	255.00	186.52	42.412
17.858	75.650	37.287	43.263	40.175	43.950	63.975	64.188	106.72	104.66	180.02	230.46	255.00	172.38	41.825
17.986	76.375	36.925	43.825	40.562	44.263	64.812	65.363	108.71	108.76	182.50	231.86	255.00	156.88	41.675
18.115	75.550	36.525	44.162	40.750	44.463	65.275	66.412	110.32	112.01	184.38	231.70	255.00	142.80	41.300
18.243	74.975	36.237	45.025	41.438	45.263	66.300	67.738	112.22	116.09	187.40	233.31	255.00	132.81	41.025
18.372	76.238	37.025	45.787	42.188	46.450	67.062	68.875	115.46	121.25	191.74	236.02	255.00	127.62	40.862
18.500	76.800	37.188	46.537	42.725	47.388	67.725	69.588	118.15	125.18	195.11	235.85	255.00	122.72	40.287
18.628	77.075	37.463	47.025	43.525	47.912	68.625	70.887	120.44	130.76	199.25	237.06	255.00	118.79	40.037
18.757	77.537	38.025	47.050	44.013	48.675	69.113	72.100	123.38	135.89	202.29	237.89	255.00	115.29	39.787
18.885	78.575	38.888	47.400	44.487	50.475	70.137	73.438	127.05	141.37	206.18	238.19	255.00	112.90	39.525
19.014	79.450	40.412	47.925	44.850	51.975	70.925	74.050	129.43	146.59	208.45	237.90	255.00	109.85	39.138
19.142	80.988	43.150	49.312	45.237	52.650	72.338	75.488	132.59	152.98	210.90	239.19	255.00	107.44	39.175
19.271	82.275	42.662	50.537	45.237	52.688	73.338	76.150	135.07	158.15	213.23	238.32	255.00	104.85	39.000
19.399	84.363	41.888	52.362	45.875	53.325	74.838	77.463	139.99	164.40	215.11	238.54	255.00	103.34	39.000
19.528	87.162	41.950	53.450	46.675	52.787	76.562	79.125	143.64	171.07	217.81	239.77	255.00	101.69	39.075
19.656	89.188	42.125	51.188	47.275	53.150	77.938	80.113	147.65	177.14	219.14	238.19	255.00	99.738	38.938
19.785	91.175	42.237	50.112	47.588	53.737	79.625	81.125	152.15	184.16	219.74	236.69	255.00	98.550	38.987
19.913	92.887	42.400	50.200	48.562	54.487	81.725	82.675	157.01	192.11	220.80	235.94	255.00	97.088	38.750
