"q (Å^-1)"	"Intensity (cm-1) 1000 nM JB6"	"Intensity (cm-1) 300 nM JB6"	"Intensity (cm-1) 0 nM JB6"
1.5247120000	-0.00488993000000	-0.00476705000000	-0.00424425000000
1.5174690000	-0.00533307000000	-0.00511608000000	-0.00573264000000
1.5102270000	-0.00568474000000	-0.00466173000000	-0.00451945000000
1.5029840000	-0.00430184000000	-0.00388889000000	-0.00354140000000
1.4957420000	-0.00479149000000	-0.00393770000000	-0.00337796000000
1.4884990000	-0.00525064000000	-0.00401067000000	-0.00470925000000
1.4812560000	-0.00420399000000	-0.00374574000000	-0.00420144000000
1.4740140000	-0.00524158000000	-0.00424853000000	-0.00446900000000
1.4667710000	-0.00493713000000	-0.00447249000000	-0.00421021000000
1.4595290000	-0.00461944000000	-0.00422841000000	-0.00490498000000
1.4522860000	-0.00420766000000	-0.00398603000000	-0.00397382000000
1.4450430000	-0.00416004000000	-0.00413826000000	-0.00356557000000
1.4378010000	-0.00436384000000	-0.00351295000000	-0.00424324000000
1.4305580000	-0.00395760000000	-0.00361332000000	-0.00372603000000
1.4233160000	-0.00325589000000	-0.00290653000000	-0.00306870000000
1.4160730000	-0.00378855000000	-0.00340312000000	-0.00371219000000
1.4088300000	-0.00302584000000	-0.00279364000000	-0.00242619000000
1.4015880000	-0.00347475000000	-0.00355425000000	-0.00322608000000
1.3943450000	-0.00441264000000	-0.00406574000000	-0.00378810000000
1.3871030000	-0.00368181000000	-0.00359451000000	-0.00315463000000
1.3798600000	-0.00360386000000	-0.00318342000000	-0.00317997000000
1.3726170000	-0.00366123000000	-0.00314977000000	-0.00350969000000
1.3653750000	-0.00356473000000	-0.00312316000000	-0.00320825000000
1.3581320000	-0.00270452000000	-0.00266734000000	-0.00228196000000
1.3508900000	-0.00366779000000	-0.00292373000000	-0.00304653000000
1.3436470000	-0.00364708000000	-0.00286984000000	-0.00291457000000
1.3364040000	-0.00257691000000	-0.00235575000000	-0.00270384000000
1.3291620000	-0.00322898000000	-0.00261157000000	-0.00254107000000
1.3219190000	-0.00220311000000	-0.00238652000000	-0.00218041000000
1.3146770000	-0.00312916000000	-0.00226335000000	-0.00200338000000
1.3074340000	-0.00276302000000	-0.00193425000000	-0.00274223000000
1.3001910000	-0.00260749000000	-0.00185204000000	-0.00175039000000
1.2929490000	-0.00334506000000	-0.00313056000000	-0.00239924000000
1.2857060000	-0.00238827000000	-0.00151856000000	-0.00172354000000
1.2784640000	-0.00205592000000	-0.00171977000000	-0.00190741000000
1.2712210000	-0.00251255000000	-0.00253104000000	-0.00231473000000
1.2639780000	-0.00194667000000	-0.00143789000000	-0.00214313000000
1.2567360000	-0.00262473000000	-0.00232852000000	-0.00239778000000
1.2494930000	-0.00280229000000	-0.00214013000000	-0.00237985000000
1.2422500000	-0.00255977000000	-0.00268118000000	-0.00210001000000
1.2350080000	-0.00195828000000	-0.00235746000000	-0.00232774000000
1.2277650000	-0.00271634000000	-0.00222013000000	-0.00234338000000
1.2205230000	-0.00186160000000	-0.00149921000000	-0.00202208000000
1.2132800000	-0.00292223000000	-0.00265737000000	-0.00251029000000
1.2060370000	-0.00177078000000	-0.00164765000000	-0.00161490000000
1.1987950000	-0.00212153000000	-0.00207630000000	-0.00219531000000
1.1915520000	-0.00221715000000	-0.00186653000000	-0.00195349000000
1.1843100000	-0.00223087000000	-0.00223708000000	-0.00170821000000
1.1770670000	-0.00235419000000	-0.00169117000000	-0.00215980000000
1.1698240000	-0.00215289000000	-0.00142247000000	-0.00140689000000
1.1625820000	-0.00214987000000	-0.00175197000000	-0.00174694000000
1.1553390000	-0.00221411000000	-0.00185693000000	-0.00178434000000
1.1480970000	-0.00128269000000	-0.00133847000000	-0.00154947000000
1.1408540000	-0.00158607000000	-0.00119310000000	-0.00115386000000
