wavelength	0% native	50% native	100% native	0.5 M	1 M	1.5 M	1.8 M	2 M	2.1 M	2.2 M	2.3 M	2.4 M	2.5 M	2.6 M	2.7 M	2.8 M	2.9 M	3 M	3.2 M	3.5 M	4 M	4.5 M	5 M
234.5	-219.36178	-614.1597	-1008.95762	-1125.23777	-1094.76045	-1062.12639	-1025.00401	-1016.03569	-1036.1374	-956.36342	-1000.68045	-1018.15911	-809.82245	-797.75643	-570.70037	-537.45844	-458.13413	-401.76773	-348.26587	-282.36491	-246.72476	-293.09026	-253.56134
234	-247.83227	-689.32877	-1130.81695	-1178.17338	-1180.72981	-1141.62558	-1143.19108	-1088.8232	-1143.09948	-1067.4058	-1090.97993	-1049.68565	-826.31019	-867.74602	-597.52208	-565.56253	-525.80877	-397.42929	-386.88714	-309.19494	-271.25651	-314.55762	-211.42602
233.5	-185.72848	-715.21784	-1244.70721	-1276.14216	-1280.46394	-1220.39197	-1262.55227	-1165.28297	-1253.5423	-1140.36818	-1152.91717	-1085.44238	-922.16387	-932.83926	-673.24907	-634.67777	-548.75004	-431.35405	-413.19257	-323.04297	-288.71019	-303.54914	-236.84877
233	-195.20476	-777.15509	-1359.10543	-1396.92729	-1382.2632	-1372.23732	-1333.42454	-1222.47375	-1330.36015	-1216.55316	-1257.989	-1127.76922	-997.34959	-1027.75197	-694.74974	-641.8974	-581.37576	-432.5032	-412.89279	-315.47361	-295.12208	-288.1939	-251.89591
232.5	-199.00193	-843.4974	-1487.99286	-1521.09323	-1464.09398	-1485.7029	-1448.26409	-1346.58141	-1393.44654	-1323.46528	-1365.70052	-1210.73249	-1074.15911	-1091.53784	-743.94647	-665.76297	-624.93502	-429.37219	-366.76877	-315.94825	-296.49606	-260.06483	-267.2345
232	-167.88342	-865.35613	-1562.82052	-1596.1374	-1579.46647	-1572.21353	-1542.66885	-1455.08401	-1474.66112	-1436.98914	-1417.90335	-1338.67063	-1153.74989	-1136.72922	-797.9313	-704.35926	-655.03762	-434.99301	-321.34424	-319.39569	-326.38216	-193.36446	-232.41874
231.5	-128.23792	-879.69546	-1631.15301	-1701.15926	-1683.86379	-1675.94468	-1639.48015	-1583.4968	-1628.67985	-1528.24625	-1508.71078	-1442.9597	-1244.89874	-1149.61963	-872.72565	-711.57888	-637.85041	-461.19019	-298.46126	-379.40937	-312.68401	-166.30126	-294.18944
231	-132.29323	-949.22706	-1766.16089	-1837.55777	-1804.19093	-1738.48149	-1751.96312	-1669.12476	-1745.1432	-1619.81145	-1544.86721	-1508.66082	-1320.77561	-1181.85398	-915.72699	-722.02944	-622.78662	-505.34067	-314.96565	-342.05383	-407.47182	-196.9368	-266.36848
230.5	-132.11004	-1028.69294	-1925.27584	-1938.08297	-1907.65561	-1830.78781	-1831.14587	-1743.36952	-1790.3429	-1694.28937	-1649.01472	-1574.67836	-1343.70855	-1212.62275	-930.59926	-683.91613	-705.70825	-531.08818	-348.69056	-325.49948	-366.65219	-251.88758	-294.19777
230	-143.45993	-1098.22454	-2052.98914	-2008.04758	-1987.84595	-1973.2568	-1920.19628	-1855.76089	-1868.2516	-1831.67881	-1731.0287	-1677.61011	-1397.09383	-1275.93398	-981.96937	-740.87375	-722.89546	-556.42766	-395.48907	-266.38513	-391.42543	-257.92476	-250.04729
229.5	-138.36372	-1150.41903	-2162.47435	-2099.27138	-2044.34558	-2070.22632	-1990.38572	-1936.30929	-1928.1487	-1911.26959	-1843.84476	-1748.69888	-1467.3832	-1318.40238	-1034.23881	-782.97576	-741.94796	-590.1942	-427.43197	-287.99405	-343.58602	-238.53918	-240.36283
229	-187.84357	-1241.85933	-2295.86677	-2239.75851	-2188.08862	-2211.51286	-2061.50781	-2030.15613	-2064.68877	-1932.98677	-1910.42022	-1812.32654	-1525.31509	-1370.84669	-1086.41665	-864.01546	-723.47836	-571.42483	-437.25799	-274.03777	-326.79019	-269.21636	-223.05071
228.5	-179.83286	-1335.15658	-2490.47197	-2382.21918	-2302.23703	-2253.88134	-2174.08238	-2108.81428	-2114.31851	-1998.41309	-1987.12149	-1867.29398	-1584.4461	-1434.491	-1131.4748	-843.64729	-726.12639	-571.90781	-406.38929	-306.82171	-290.90022	-241.84506	-210.68491
228	-143.55152	-1381.04743	-2618.54335	-2484.45145	-2390.12996	-2376.15703	-2247.56104	-2219.5652	-2196.93204	-2067.87807	-2036.85115	-1921.37041	-1630.17874	-1487.4516	-1145.64758	-882.85145	-744.20461	-565.9539	-399.43613	-286.80327	-266.14364	-201.31688	-201.12535
227.5	-104.1142	-1416.82082	-2729.52743	-2553.21695	-2430.00862	-2438.76877	-2314.91093	-2280.0452	-2205.40074	-2165.13903	-2091.68535	-2008.89695	-1658.97398	-1538.06394	-1108.91658	-868.89517	-795.1084	-565.5542	-357.44238	-312.97546	-234.53383	-140.51212	-181.97294
227	-91.6568	-1460.1719	-2828.68699	-2680.84699	-2523.131	-2504.80297	-2381.12833	-2323.35465	-2274.51599	-2196.74885	-2125.26037	-2072.11658	-1665.41086	-1581.03197	-1138.05323	-886.03242	-792.51866	-581.66721	-347.09175	-231.7942	-198.01933	-167.30885	-134.10022
226.5	-76.31822	-1517.88729	-2959.44803	-2812.24922	-2594.64446	-2549.31152	-2424.07138	-2359.65264	-2299.74721	-2252.26587	-2149.94201	-2115.08461	-1648.19866	-1669.55777	-1155.35703	-889.83792	-744.40446	-557.2687	-324.62513	-184.46275	-162.42082	-133.36743	-67.69963
226	-27.04654	-1514.86454	-3002.68253	-2857.79866	-2688.49963	-2643.08342	-2498.31613	-2461.19375	-2379.36297	-2314.3197	-2217.93309	-2132.77978	-1658.84907	-1715.63182	-1166.79019	-890.05442	-744.99569	-536.80059	-343.91078	-121.22647	-169.99851	-72.52104	-25.66424
225.5	-22.0919	-1560.83866	-3099.58543	-2901.89918	-2722.20788	-2653.00104	-2547.42126	-2528.22721	-2483.66037	-2402.52907	-2243.83881	-2154.4803	-1720.66974	-1717.83851	-1194.80268	-879.92862	-759.5432	-515.41651	-365.58632	-160.67212	-127.56342	14.63078	23.26602
225	53.40193	-1583.14706	-3219.68773	-2962.21264	-2812.84877	-2662.42736	-2573.65175	-2535.56342	-2554.64922	-2487.24104	-2230.70691	-2157.87777	-1800.61859	-1676.11123	-1198.83301	-879.5539	-741.94796	-518.85561	-327.8061	-115.84714	-110.07643	-15.23033	11.53309
224.5	148.21472	-1578.09249	-3304.3997	-3039.59673	-2878.10022	-2656.50677	-2577.02424	-2491.20476	-2567.58126	-2465.79033	-2262.51658	-2209.24788	-1786.21264	-1664.20342	-1208.50914	-878.47138	-744.10468	-476.49546	-260.96416	-144.30097	-39.95361	-37.41383	60.07197
224	159.36476	-1587.26067	-3333.8861	-3090.85026	-2921.15985	-2682.43747	-2638.82825	-2486.1252	-2552.91717	-2457.18007	-2272.60074	-2191.9774	-1747.89115	-1606.70454	-1165.61606	-865.79747	-752.50677	-468.85948	-224.59955	-131.27732	-74.27807	-18.54454	78.25011
223.5	159.63955	-1603.85665	-3367.34454	-3149.85636	-2921.90097	-2699.35822	-2684.66914	-2501.8052	-2548.71197	-2446.05502	-2311.0971	-2247.7942	-1739.96372	-1614.67361	-1164.53353	-825.96045	-736.07732	-438.61532	-207.04595	-87.22677	-41.04446	12.95703	94.87108
223	177.851	-1627.64729	-3433.14558	-3210.87762	-2953.92714	-2779.69844	-2668.32297	-2508.62513	-2511.33978	-2470.23703	-2353.53219	-2186.57309	-1728.86364	-1655.04357	-1160.39494	-876.31465	-705.1087	-415.63242	-165.69338	-77.9087	-17.59524	121.90929	92.18974
222.5	239.30528	-1639.31361	-3517.93249	-3253.67078	-2918.36193	-2790.32387	-2654.25011	-2496.55911	-2503.08758	-2421.65651	-2290.76223	-2206.74141	-1749.59822	-1586.9026	-1175.98335	-881.16937	-663.47301	-377.58572	-131.87688	-35.14052	-11.25829	137.17294	126.38929
222	320.32833	-1610.47673	-3541.27346	-3270.84967	-2977.0516	-2783.66216	-2604.2623	-2482.31138	-2468.37175	-2407.03405	-2275.5652	-2181.06885	-1771.24877	-1575.24461	-1157.78022	-849.41799	-655.54558	-392.33309	-147.28208	-15.81323	45.41621	115.15599	201.39182
221.5	340.92134	-1617.14677	-3575.21487	-3296.96357	-2950.83777	-2791.33145	-2573.74335	-2457.08848	-2452.85829	-2425.83673	-2245.99554	-2186.85621	-1746.28401	-1583.18037	-1121.18245	-779.05368	-692.75955	-347.79955	-116.42171	-21.5423	65.85933	92.43123	245.9087
221	254.14424	-1666.43509	-3587.01442	-3291.08461	-3007.67881	-2767.75732	-2607.64312	-2439.50156	-2422.58082	-2415.611	-2286.29888	-2113.99375	-1775.99524	-1621.44357	-1107.95896	-707.42364	-721.5881	-340.72981	-145.13368	-23.18275	140.32892	106.65398	270.77353
220.5	216.61383	-1659.93993	-3536.48535	-3333.96104	-2978.04253	-2734.53204	-2635.32253	-2442.41606	-2453.19138	-2373.50067	-2300.8797	-2055.50394	-1779.30944	-1601.98305	-1074.11747	-720.12253	-649.20862	-297.55361	-109.97651	-14.49755	95.52059	130.01993	313.57502
220	243.20238	-1652.37888	-3547.96015	-3347.98394	-2966.55108	-2677.34126	-2603.47123	-2440.709	-2461.61844	-2347.52833	-2266.14721	-2063.36476	-1770.80743	-1621.81829	-1070.97814	-791.11138	-643.4629	-339.90543	-104.62216	-39.40401	86.69383	117.84565	343.1197
219.5	187.86022	-1713.03375	-3613.92773	-3390.8687	-2914.95613	-2610.95732	-2577.44892	-2450.32684	-2435.72937	-2322.90498	-2262.49993	-2053.41383	-1733.86825	-1587.69368	-1133.63152	-861.6339	-696.24862	-313.71658	-53.15212	-48.46394	65.24312	108.14454	325.27465
219	197.86944	-1762.45532	-3722.78007	-3420.97963	-2927.69665	-2662.12758	-2546.87167	-2451.83405	-2438.04431	-2314.06989	-2210.61353	-2079.16134	-1679.22558	-1550.32149	-1214.28818	-879.429	-672.11658	-384.18914	-116.99628	-55.40877	69.45665	105.18007	285.72907
218.5	186.98587	-1719.96193	-3626.90141	-3375.41353	-2979.74126	-2684.36937	-2482.71941	-2442.35777	-2426.23643	-2297.51554	-2215.03524	-2093.0177	-1654.1942	-1558.49041	-1286.01814	-886.63197	-739.03346	-415.81561	-135.59911	-22.86632	79.43257	74.80268	267.36773
218	180.29086	-1723.30944	-3626.90974	-3338.79078	-2985.70349	-2708.29323	-2471.84416	-2406.44283	-2455.32312	-2372.80119	-2229.63271	-2102.01933	-1715.35703	-1626.19004	-1252.87613	-850.01755	-727.79182	-448.3081	-200.35093	-59.38082	8.67688	90.59926	123.3832
217.5	98.2852	-1746.83361	-3591.94409	-3341.14736	-2939.00491	-2723.5319	-2546.85502	-2370.02825	-2433.2229	-2360.05234	-2230.37383	-2188.62989	-1642.49457	-1684.51331	-1150.61056	-911.60506	-726.30959	-492.23375	-230.05383	-160.31405	-78.38335	66.56714	114.5148
217	53.86825	-1782.99836	-3619.86498	-3293.94082	-2933.02602	-2733.49115	-2530.4339	-2317.48401	-2462.46781	-2357.97888	-2194.67539	-2223.43732	-1662.71286	-1571.46409	-1153.7832	-903.08639	-780.81071	-483.89829	-307.87926	-265.41918	-40.39494	-86.25249	-36.28134
216.5	131.22736	-1720.58647	-3572.4003	-3288.52818	-2926.1145	-2686.22632	-2497.14201	-2427.43554	-2485.70885	-2403.39509	-2219.15717	-2230.44877	-1670.43212	-1510.3429	-1219.70082	-849.25145	-796.14097	-533.10335	-348.5823	-310.60223	-55.87509	-150.29651	-12.2742
216	147.10721	-1666.51836	-3480.14394	-3353.74632	-2955.79242	-2665.22528	-2424.06305	-2483.96015	-2545.7142	-2419.2	-2301.12119	-2262.24178	-1743.13636	-1675.17026	-1295.94409	-803.10245	-902.32862	-623.81086	-370.74082	-368.26766	-92.33963	-269.24967	-104.38067
215.5	-26.13056	-1810.96089	-3595.79123	-3424.00238	-2881.1313	-2609.0171	-2454.10736	-2521.78201	-2455.73948	-2470.26201	-2445.36387	-2232.27242	-1809.10394	-1723.60922	-1334.63197	-926.41071	-966.8223	-632.92907	-402.96684	-379.0513	-182.15613	-313.3252	-175.15301
215	-177.7261	-1849.1658	-3520.6055	-3428.32416	-2907.81978	-2702.94721	-2497.6916	-2547.88758	-2471.34454	-2426.61115	-2365.94796	-2286.63197	-1828.20639	-1753.41204	-1387.79242	-1089.23955	-954.16506	-694.87465	-383.73115	-485.95509	-260.62275	-380.47524	-377.06112
214.5	-274.97874	-1858.00089	-3441.02305	-3364.54662	-2868.75717	-2665.68327	-2636.43004	-2598.5832	-2487.9655	-2484.95941	-2387.67346	-2260.08506	-1840.62216	-1810.26974	-1331.16788	-1223.83108	-978.44699	-716.26706	-563.28089	-489.4858	-507.52238	-370.07465	-518.49755
214	-452.25517	-1930.68015	-3409.0968	-3376.63762	-2907.11197	-2769.56431	-2678.21561	-2630.30126	-2550.71881	-2492.47048	-2333.70528	-2377.35613	-1855.03643	-1913.52625	-1522.55048	-1263.48491	-973.30082	-870.91866	-644.11242	-559.55033	-618.48149	-502.66766	-547.05963
213.5	-534.39405	-1838.65695	-3142.91152	-3301.30201	-2981.24015	-2820.95108	-2638.12045	-2611.28208	-2492.71197	-2474.55048	-2415.96074	-2312.06305	-1855.68595	-1945.16104	-1600.1261	-1294.94483	-1060.01963	-957.43762	-655.80372	-656.77799	-750.20848	-467.22736	-580.76788
213	-510.63673	-1836.09219	-3161.53933	-3293.31628	-2979.74959	-2846.31554	-2664.11777	-2647.51346	-2533.0403	-2440.75063	-2492.67866	-2413.21279	-1956.73576	-1847.21725	-1748.74052	-1275.88401	-1125.37933	-1105.20268	-595.67346	-679.23628	-687.47182	-426.61591	-684.80714
212.5	-563.27257	-1827.41532	-3091.54974	-3264.65428	-3041.48699	-2903.8061	-2762.51123	-2631.35881	-2565.32461	-2519.44208	-2528.88506	-2368.02974	-2118.04907	-2036.42647	-1805.66483	-1395.9197	-1221.79093	-1182.95316	-780.07792	-826.10201	-522.15316	-458.42558	-674.6397
212	-546.99301	-1757.35078	-2967.70855	-3235.55926	-2903.53963	-2936.87316	-2810.50052	-2830.21086	-2612.77264	-2624.53056	-2753.04327	-2458.41249	-2256.86245	-2035.8519	-1808.0797	-1522.11747	-1407.66929	-1362.85264	-897.01591	-873.85814	-744.57933	-712.79465	-586.23881
211.5	-212.55019	-1558.13234	-2903.70617	-3231.25413	-2912.47465	-3044.77621	-2858.50647	-2903.57294	-2714.22216	-2932.20996	-2807.96907	-2712.90647	-2452.05056	-2082.20074	-1718.52967	-1701.8171	-1531.03584	-1413.12357	-802.88595	-1199.43257	-1075.44149	-1156.94751	-549.82424
211	-24.07375	-1445.3829	-2866.68372	-3254.47019	-3015.23152	-3148.79048	-2931.99346	-2921.60119	-2831.00193	-3064.61978	-2860.01368	-2909.29368	-2566.24892	-2088.94572	-1903.56699	-1826.74082	-1655.41829	-1413.08193	-983.50989	-1196.30989	-1350.71167	-1330.09368	-574.81398
