(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.91538473923109	2.85e+007	-2.05e+007
8.91514025536826	2.93e+007	-2.16e+007
8.91489577150543	2.94e+007	-2.18e+007
8.91465128764260	2.84e+007	-2.10e+007
8.91440680377977	2.54e+007	-1.90e+007
8.91416231991694	1.99e+007	-1.63e+007
8.91391783605411	1.29e+007	-1.41e+007
8.91367335219128	6691328.00	-1.36e+007
8.91342886832845	3292672.00	-1.45e+007
8.91318438446562	2851840.00	-1.53e+007
8.91293990060279	4284928.00	-1.53e+007
8.91269541673996	6524416.00	-1.53e+007
8.91245093287713	8770560.00	-1.60e+007
8.91220644901430	9907712.00	-1.72e+007
8.91196196515147	8729600.00	-1.81e+007
8.91171748128864	5248000.00	-1.89e+007
8.91147299742581	1262080.00	-2.00e+007
8.91122851356298	-1113600.00	-2.10e+007
8.91098402970015	-1489408.00	-2.05e+007
8.91073954583732	-1317376.00	-1.77e+007
8.91049506197449	-1978880.00	-1.35e+007
8.91025057811166	-3315712.00	-9645056.00
8.91000609424883	-4188672.00	-7849984.00
8.90976161038600	-3857920.00	-8820736.00
8.90951712652317	-2363904.00	-1.22e+007
8.90927264266034	-96768.00	-1.68e+007
8.90902815879750	2209280.00	-2.10e+007
8.90878367493468	3247104.00	-2.32e+007
8.90853919107184	1757696.00	-2.26e+007
8.90829470720902	-2276864.00	-1.97e+007
8.90805022334618	-7437824.00	-1.64e+007
8.90780573948335	-1.20e+007	-1.42e+007
8.90756125562052	-1.48e+007	-1.36e+007
8.90731677175769	-1.54e+007	-1.33e+007
8.90707228789486	-1.36e+007	-1.20e+007
8.90682780403203	-9666560.00	-9057280.00
8.90658332016920	-4021248.00	-5129216.00
8.90633883630637	2723840.00	-1382400.00
8.90609435244354	9786880.00	240640.00
8.90584986858071	1.56e+007	-2294784.00
8.90560538471788	1.80e+007	-9391104.00
8.90536090085505	1.59e+007	-1.86e+007
8.90511641699222	1.05e+007	-2.56e+007
8.90487193312939	4203008.00	-2.73e+007
8.90462744926656	-1157632.00	-2.33e+007
8.90438296540373	-5576704.00	-1.64e+007
8.90413848154090	-9638400.00	-1.06e+007
8.90389399767807	-1.31e+007	-9181184.00
8.90364951381524	-1.48e+007	-1.27e+007
8.90340502995241	-1.41e+007	-1.85e+007
8.90316054608958	-1.19e+007	-2.21e+007
8.90291606222675	-9568768.00	-2.14e+007
8.90267157836392	-8553984.00	-1.76e+007
8.90242709450109	-9200128.00	-1.41e+007
8.90218261063826	-1.09e+007	-1.31e+007
8.90193812677543	-1.24e+007	-1.29e+007
8.90169364291260	-1.20e+007	-1.00e+007
8.90144915904977	-9199104.00	-3059712.00
8.90120467518694	-4922880.00	6081536.00
8.90096019132411	-1971200.00	1.39e+007
8.90071570746128	-2717696.00	1.83e+007
8.90047122359844	-7091712.00	1.93e+007
8.90022673973562	-1.27e+007	1.84e+007
8.89998225587278	-1.70e+007	1.70e+007
8.89973777200996	-1.86e+007	1.62e+007
8.89949328814712	-1.71e+007	1.56e+007
8.89924880428429	-1.30e+007	1.44e+007
8.89900432042146	-7981568.00	1.17e+007
8.89875983655863	-4732928.00	8045568.00
8.89851535269580	-5426688.00	5084160.00
8.89827086883297	-9193984.00	3465216.00
8.89802638497014	-1.21e+007	2144256.00
8.89778190110731	-9995776.00	-389120.00
8.89753741724448	-1709056.00	-4388864.00
8.89729293338165	9876992.00	-8759296.00
8.89704844951882	1.99e+007	-1.22e+007
8.89680396565599	2.46e+007	-1.42e+007
8.89655948179316	2.39e+007	-1.47e+007
8.89631499793033	2.02e+007	-1.43e+007
8.89607051406750	1.64e+007	-1.37e+007
8.89582603020467	1.48e+007	-1.38e+007
8.89558154634184	1.62e+007	-1.52e+007
8.89533706247901	2.03e+007	-1.79e+007
8.89509257861618	2.48e+007	-2.04e+007
8.89484809475335	2.65e+007	-2.14e+007
8.89460361089052	2.39e+007	-2.04e+007
8.89435912702769	1.86e+007	-1.89e+007
8.89411464316486	1.32e+007	-1.84e+007
8.89387015930203	7878144.00	-1.92e+007
8.89362567543920	1488384.00	-2.05e+007
8.89338119157637	-5600256.00	-2.14e+007
8.89313670771354	-1.08e+007	-2.13e+007
8.89289222385071	-1.20e+007	-1.99e+007
8.89264773998788	-9853440.00	-1.71e+007
8.89240325612505	-6380032.00	-1.43e+007
8.89215877226222	-2761216.00	-1.32e+007
8.89191428839938	685056.00	-1.42e+007
8.89166980453656	3370496.00	-1.60e+007
8.89142532067372	4544000.00	-1.75e+007
8.89118083681090	4125696.00	-1.92e+007
8.89093635294806	2264576.00	-2.20e+007
8.89069186908523	-1857024.00	-2.58e+007
8.89044738522240	-9634304.00	-2.98e+007
8.89020290135957	-2.10e+007	-3.31e+007
8.88995841749674	-3.32e+007	-3.49e+007
8.88971393363391	-4.26e+007	-3.40e+007
8.88946944977108	-4.69e+007	-3.04e+007
8.88922496590825	-4.67e+007	-2.54e+007
8.88898048204542	-4.42e+007	-2.07e+007
8.88873599818259	-4.19e+007	-1.68e+007
8.88849151431976	-4.12e+007	-1.36e+007
8.88824703045693	-4.20e+007	-1.16e+007
8.88800254659410	-4.28e+007	-1.15e+007
8.88775806273127	-4.27e+007	-1.22e+007
8.88751357886844	-4.17e+007	-1.23e+007
8.88726909500561	-4.09e+007	-1.19e+007
8.88702461114278	-4.13e+007	-1.31e+007
8.88678012727995	-4.25e+007	-1.70e+007
8.88653564341712	-4.32e+007	-2.25e+007
8.88629115955429	-4.19e+007	-2.70e+007
