(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.88604667569146	-3.81e+007	-2.91e+007
8.88580219182863	-3.27e+007	-2.78e+007
8.88555770796580	-2.65e+007	-2.30e+007
8.88531322410297	-1.99e+007	-1.55e+007
8.88506874024014	-1.29e+007	-7393280.00
8.88482425637731	-6202368.00	-1409024.00
8.88457977251448	-1254912.00	969728.00
8.88433528865165	798208.00	9216.00
8.88409080478882	-177664.00	-2809856.00
8.88384632092599	-3352576.00	-5950464.00
8.88360183706316	-7513088.00	-9032704.00
8.88335735320032	-1.16e+007	-1.31e+007
8.88311286933750	-1.47e+007	-1.89e+007
8.88286838547466	-1.62e+007	-2.54e+007
8.88262390161184	-1.61e+007	-2.93e+007
8.88237941774900	-1.48e+007	-2.87e+007
8.88213493388617	-1.36e+007	-2.49e+007
8.88189045002334	-1.38e+007	-2.12e+007
8.88164596616051	-1.57e+007	-1.99e+007
8.88140148229768	-1.82e+007	-2.16e+007
8.88115699843485	-1.97e+007	-2.53e+007
8.88091251457202	-1.91e+007	-3.01e+007
8.88066803070919	-1.67e+007	-3.49e+007
8.88042354684636	-1.34e+007	-3.79e+007
8.88017906298353	-1.06e+007	-3.79e+007
8.87993457912070	-8615424.00	-3.43e+007
8.87969009525787	-7128576.00	-2.84e+007
8.87944561139504	-5250048.00	-2.22e+007
8.87920112753221	-2570240.00	-1.81e+007
8.87895664366938	434176.00	-1.67e+007
8.87871215980655	2597888.00	-1.73e+007
8.87846767594372	2501120.00	-1.85e+007
8.87822319208089	-921600.00	-1.86e+007
8.87797870821806	-7461376.00	-1.67e+007
8.87773422435523	-1.51e+007	-1.31e+007
8.87748974049240	-2.07e+007	-1.00e+007
8.87724525662957	-2.21e+007	-9119744.00
8.87700077276674	-1.91e+007	-1.04e+007
8.87675628890391	-1.29e+007	-1.18e+007
8.87651180504108	-5538304.00	-1.17e+007
8.87626732117825	501760.00	-9963520.00
8.87602283731542	3008512.00	-7180288.00
8.87577835345259	1444864.00	-3675136.00
8.87553386958976	-2136576.00	518144.00
8.87528938572693	-4644352.00	4868096.00
8.87504490186410	-4609536.00	8352768.00
8.87480041800126	-2918912.00	1.02e+007
8.87455593413844	-1098240.00	1.02e+007
8.87431145027560	211968.00	9253888.00
8.87406696641277	899072.00	8321024.00
8.87382248254994	562176.00	7898112.00
8.87357799868711	-1060352.00	6938624.00
8.87333351482428	-3279872.00	3571712.00
8.87308903096145	-4946432.00	-2885632.00
8.87284454709862	-5723136.00	-1.11e+007
8.87260006323579	-6305792.00	-1.89e+007
8.87235557937296	-7378944.00	-2.53e+007
8.87211109551013	-8922112.00	-3.02e+007
8.87186661164730	-1.06e+007	-3.33e+007
8.87162212778447	-1.20e+007	-3.43e+007
8.87137764392164	-1.25e+007	-3.38e+007
8.87113316005881	-1.14e+007	-3.19e+007
8.87088867619598	-8295936.00	-2.81e+007
8.87064419233315	-4234752.00	-2.22e+007
8.87039970847032	-894976.00	-1.52e+007
8.87015522460749	569856.00	-9944064.00
8.86991074074466	-16384.00	-7862272.00
8.86966625688183	-2176000.00	-8446976.00
8.86942177301900	-4868096.00	-9977856.00
8.86917728915617	-6507008.00	-1.10e+007
8.86893280529334	-6003712.00	-1.09e+007
8.86868832143051	-4331520.00	-9378816.00
8.86844383756768	-4294656.00	-7364608.00
8.86819935370485	-7823872.00	-6127616.00
8.86795486984202	-1.35e+007	-6443008.00
8.86771038597919	-1.77e+007	-8048640.00
8.86746590211636	-1.76e+007	-1.05e+007
8.86722141825353	-1.40e+007	-1.41e+007
8.86697693439070	-1.05e+007	-1.91e+007
8.86673245052787	-1.02e+007	-2.41e+007
8.86648796666504	-1.32e+007	-2.69e+007
8.86624348280220	-1.70e+007	-2.56e+007
8.86599899893938	-1.82e+007	-2.04e+007
8.86575451507654	-1.59e+007	-1.33e+007
8.86551003121371	-1.23e+007	-6244352.00
8.86526554735088	-1.07e+007	-1212416.00
8.86502106348805	-1.22e+007	158720.00
8.86477657962522	-1.55e+007	-3484672.00
8.86453209576239	-1.83e+007	-1.21e+007
8.86428761189956	-1.98e+007	-2.34e+007
8.86404312803673	-1.98e+007	-3.44e+007
8.86379864417390	-1.86e+007	-4.33e+007
